date,open,high,low,close,volume
2024-03-01,1.83,1.89,1.83,1.8728,2510
2024-03-04,1.83,1.88,1.71,1.88,3762
2024-03-05,1.85,1.89,1.84,1.87,1326
2024-03-06,1.88,1.88,1.6,1.76,3235
2024-03-07,1.65,1.71,1.5725,1.71,13443
2024-03-08,1.68,1.875,1.65,1.74,7063
2024-03-11,1.6,1.71,1.5,1.65,14099
2024-03-12,1.6,1.65,1.4801,1.6,5919
2024-03-14,1.5803,1.76,1.53,1.76,5538
2024-03-15,1.7,1.75,1.7,1.75,1099
2024-03-18,1.53,1.72,1.53,1.69,1856
2024-03-20,1.8,1.85,1.8,1.8,1284
2024-03-21,1.9,1.9,1.89,1.9,2022
2024-03-25,1.7498,1.85,1.7498,1.85,1186
2024-03-26,1.9,1.9,1.8,1.8,1785
2024-03-28,1.8,1.9,1.8,1.85,2501
2024-04-01,1.7501,1.84,1.7496,1.84,14211
2024-04-02,1.66,1.78,1.65,1.78,14136
2024-04-03,1.77,1.8,1.7465,1.77,3611
2024-04-04,1.7655,1.89,1.76,1.7601,1900
2024-04-05,1.88,1.9,1.76,1.76,2581
2024-04-08,1.7497,1.75,1.7497,1.75,425
2024-04-09,1.73,1.73,1.73,1.73,550
2024-04-10,1.7001,1.725,1.7,1.7,1402
2024-04-11,1.75,1.75,1.62,1.75,14406
2024-04-12,1.8787,1.905,1.75,1.8,3157
2024-04-15,1.7,1.77,1.5,1.73,5213
2024-04-16,1.51,1.75,1.51,1.75,1374
2024-04-17,1.52,1.7,1.5,1.68,8066
2024-04-18,1.5,1.59,1.489,1.5,19068
2024-04-19,1.4899,1.6,1.455,1.6,7346
2024-04-22,1.44,1.63,1.44,1.59,5760
2024-04-23,1.43,1.65,1.42,1.4854,2479
2024-04-24,1.43,1.53,1.37,1.3933,21321
2024-04-25,1.35,1.57,1.31,1.45,13905
2024-04-26,1.42,1.54,1.32,1.54,2502
2024-04-29,1.3,1.54,1.3,1.53,747
2024-04-30,1.5,1.5,1.21,1.41,26585
2024-05-01,1.25,1.4,1.165,1.35,6836
2024-05-02,1.31,1.53,1.31,1.53,1042
2024-05-03,1.49,1.75,1.49,1.6,4048
2024-05-06,1.63,1.65,1.63,1.63,560
