date,open,high,low,close,volume
2024-03-01,10.641,10.641,10.641,10.641,382
2024-03-04,10.65,10.65,10.65,10.65,179
2024-03-06,10.66,10.66,10.65,10.65,158202
2024-03-08,10.67,10.69,10.67,10.69,6244
2024-03-11,10.8,11,10.69,10.69,11339
2024-03-12,10.7,10.73,10.67,10.73,20361
2024-03-13,10.71,10.73,10.71,10.71,7370
2024-03-14,11.245,11.3899,10.7,10.705,6615
2024-03-15,10.7,10.71,10.7,10.71,7226
2024-03-18,10.7,10.71,10.7,10.71,7281
2024-03-19,10.7,10.71,10.7,10.7,14146
2024-03-20,10.705,10.705,10.7,10.7,8280
2024-03-21,10.7,10.71,10.7,10.71,27235
2024-03-22,10.8,10.8,10.705,10.71,52854
2024-03-25,10.71,10.7101,10.71,10.71,30502
2024-03-26,10.71,10.73,10.71,10.72,6783
2024-04-01,10.7,10.86,10.65,10.86,6875
2024-04-02,10.72,10.73,10.71,10.71,6256
2024-04-03,10.72,10.72,10.72,10.72,947
2024-04-04,10.72,10.73,10.72,10.73,3791
2024-04-05,10.72,10.725,10.72,10.725,27221
2024-04-08,10.72,10.72,10.72,10.72,10252
2024-04-09,10.72,10.74,10.72,10.74,54765
2024-04-12,10.77,10.77,10.77,10.77,131
2024-04-15,10.77,10.77,10.62,10.62,24067
2024-04-16,10.7,10.75,10.7,10.74,11642
2024-04-17,10.77,10.77,10.77,10.77,1874
2024-04-19,10.71,10.74,10.71,10.71,31093
2024-04-23,10.73,10.73,10.73,10.73,3355
2024-04-24,10.74,10.74,10.73,10.73,4396
2024-05-02,10.73,10.73,10.73,10.73,382
2024-05-03,10.73,10.73,10.73,10.73,110
2024-05-06,10.7,10.73,10.7,10.73,12628
2024-05-07,10.74,10.7401,10.74,10.74,6857
2024-05-08,10.74,10.74,10.74,10.74,497
2024-05-13,10.74,10.74,10.74,10.74,231
2024-05-15,10.76,10.76,10.76,10.76,1156
2024-05-16,10.76,10.78,10.76,10.78,4823
2024-05-17,10.77,10.78,10.77,10.78,9879
2024-05-20,10.81,10.83,10.81,10.81,700
2024-05-21,10.85,10.85,10.81,10.81,303
2024-05-22,10.78,10.78,10.78,10.78,761
2024-05-28,10.77,10.806,10.77,10.8,3046
2024-05-29,10.815,10.82,10.815,10.82,123388
2024-05-30,10.8,10.82,10.8,10.8,5405
2024-05-31,10.81,10.82,10.81,10.82,8242
2024-06-03,10.82,10.85,10.82,10.85,14581
2024-06-04,10.84,10.84,10.82,10.825,63642
