date,open,high,low,close,volume
2024-03-01,3.37,3.465,3.21,3.46,1674397.0
2024-03-04,3.5,3.6398,3.17,3.24,1414846.0
2024-03-05,3.18,3.25,2.924,2.96,1655704.0
2024-03-06,3.04,3.09,2.962,3,934201
2024-03-07,3,3.1313,2.93,3.11,2516948.0
2024-03-08,3.9,3.98,3.135,3.66,13463258.0
2024-03-11,3.75,4.02,3.6,3.76,3485856.0
2024-03-12,3.71,3.865,3.32,3.79,1855672.0
2024-03-13,3.71,4.3,3.66,4.02,3122864.0
2024-03-14,4.04,4.08,3.77,3.77,1428723.0
2024-03-15,3.77,3.79,3.43,3.47,2046841.0
2024-03-18,3.55,3.65,3.34,3.59,1176689.0
2024-03-19,3.55,3.915,3.46,3.81,1356547.0
2024-03-20,3.8,4.01,3.6386,3.96,1243046.0
2024-03-21,4,4.0156,3.75,3.98,1442491.0
2024-03-22,3.96,3.96,3.7,3.78,1000498.0
2024-03-25,3.73,3.835,3.66,3.8,1265171.0
2024-03-26,3.97,4.19,3.675,3.71,1694194.0
2024-03-27,3.77,4.14,3.75,4.13,2066564.0
2024-03-28,4.13,4.46,4.04,4.31,1843942.0
2024-04-01,4.43,4.5,4.04,4.15,1893646.0
2024-04-02,4.03,4.14,3.89,4.01,1318536.0
2024-04-03,4.04,4.53,4.01,4.32,1868072.0
2024-04-04,4.38,4.78,4.37,4.5,3059232.0
2024-04-05,4.42,4.48,4.275,4.34,1085588.0
2024-04-08,4.41,4.47,4.31,4.4,907719
2024-04-09,4.42,4.46,4.215,4.32,1068562.0
2024-04-10,4.18,4.4195,4.11,4.23,1459950.0
2024-04-11,4.26,4.29,3.97,4.14,978366
2024-04-12,4.1,4.1,3.67,3.67,1274452.0
2024-04-15,3.65,3.76,3.525,3.59,947539
2024-04-16,3.47,3.47,3.22,3.35,1642639.0
2024-04-17,3.38,3.45,3.26,3.26,534803
2024-04-18,3.27,3.4,3.18,3.22,667867
2024-04-19,3.22,3.38,3.1547,3.27,1044391.0
2024-04-22,3.3,3.39,3.185,3.31,797967
2024-04-23,3.29,3.55,3.285,3.32,648292
2024-04-24,3.32,3.425,3.23,3.29,641708
2024-04-25,3.2,3.22,3.09,3.21,506846
2024-04-26,3.25,3.51,3.24,3.47,588697
2024-04-29,3.49,3.62,3.37,3.44,755031
2024-04-30,3.35,3.43,3.1606,3.19,597788
2024-05-01,3.19,3.46,3.115,3.255,762409
2024-05-02,3.35,3.38,3.245,3.32,553490
2024-05-03,3.47,3.58,3.38,3.44,535796
2024-05-06,3.5,3.54,3.38,3.45,660453
2024-05-07,3.45,3.47,3.25,3.25,782244
2024-05-08,3.23,3.29,3.17,3.19,1079930.0
2024-05-09,3.13,3.47,2.74,3.39,1750511.0
2024-05-10,3.39,3.44,3.11,3.11,1067372.0
2024-05-13,3.14,3.1815,2.77,2.77,1354411.0
2024-05-14,2.75,2.98,2.75,2.87,869105
2024-05-15,2.76,2.92,2.65,2.86,1820370.0
2024-05-16,2.88,2.92,2.78,2.81,685302
2024-05-17,2.8,2.87,2.74,2.79,1768943.0
2024-05-20,2.78,2.78,2.515,2.53,1726535.0
2024-05-21,2.53,2.6,2.4001,2.49,1157840.0
2024-05-22,2.44,2.565,2.39,2.41,807892
2024-05-23,2.42,2.48,2.32,2.325,983006
2024-05-24,2.33,2.38,2.28,2.29,1072906.0
2024-05-28,2.34,2.34,2.15,2.2,1881721.0
2024-05-29,2.17,2.2,2.06,2.09,1903805.0
2024-05-30,2.05,2.12,2.01,2.05,1238749.0
2024-05-31,2.06,2.1698,2.04,2.1,889862
2024-06-03,2.11,2.1474,1.9617,1.975,971421
2024-06-04,1.92,1.9675,1.87,1.92,958005
2024-06-05,1.91,2.05,1.8995,2.04,819066
