date,open,high,low,close,volume
2024-03-01,0.72,0.77,0.69,0.745,321641
2024-03-04,0.75,0.75,0.701,0.72,199255
2024-03-05,0.7007,0.7699,0.7007,0.7599,416316
2024-03-06,0.77,0.77,0.72,0.74,172166
2024-03-07,0.7398,0.755001,0.72,0.7469,98470
2024-03-08,0.73,0.77,0.73,0.77,162533
2024-03-11,0.76,0.76,0.73,0.73,125550
2024-03-12,0.74,0.7541,0.7294,0.735,51300
2024-03-13,0.735,0.7699,0.732,0.76,127676
2024-03-14,0.7461,0.7588,0.705,0.724999,136447
2024-03-15,0.708,0.725,0.6416,0.699,175769
2024-03-18,0.7,0.711,0.69,0.7,66952
2024-03-19,0.693,0.72,0.6095,0.6204,963133
2024-03-20,0.62,0.6749,0.62,0.623,206526
2024-03-21,0.625,0.65,0.623201,0.6459,111236
2024-03-22,0.65,0.65,0.6258,0.648,73252
2024-03-25,0.65,0.65,0.6105,0.6153,215367
2024-03-26,0.618,0.6197,0.6,0.6106,102114
2024-03-27,0.606,0.61,0.5805,0.605,126585
2024-03-28,0.6,0.62,0.582,0.6129,48572
2024-04-01,0.634,0.634,0.59,0.6085,100430
2024-04-02,0.589,0.62,0.571,0.592,89864
2024-04-03,0.5816,0.5899,0.5711,0.5774,102466
2024-04-04,0.5824,0.74,0.5824,0.74,2018158.0
2024-04-05,0.7455,0.798,0.623,0.688,3108460.0
2024-04-08,0.6578,0.67,0.6011,0.65,530100
2024-04-09,0.6275,0.689,0.5935,0.67,380919
2024-04-10,0.631,1.04,0.6305,0.8079,7886295.0
2024-04-11,0.8036,0.8766,0.67,0.78,2877710.0
2024-04-12,0.886,1.18,0.7502,1.08,12943907.0
2024-04-15,1.18,1.32,1.01,1.11,16933564.0
2024-04-16,1.19,1.21,0.8127,0.8592,13921269.0
2024-04-17,0.74,0.849,0.7126,0.8153,1736442.0
2024-04-18,0.7486,0.794,0.71,0.7501,886780
2024-04-19,0.7397,0.7925,0.7196,0.7637,1305194.0
2024-04-22,0.73,0.75,0.7066,0.7444,700750
2024-04-23,0.7252,0.759999,0.7206,0.7331,248337
2024-04-24,0.7611,0.855,0.74,0.795,2427627.0
2024-04-25,0.78,0.78,0.72,0.725,624870
2024-04-26,0.737,0.74,0.71,0.7211,358641
2024-04-29,0.7289,0.7389,0.7129,0.719,213155
2024-04-30,0.7139,0.7466,0.7111,0.7442,241457
2024-05-01,0.739,0.76,0.7221,0.7451,217343
2024-05-02,0.7451,0.766433,0.726,0.741,146884
2024-05-03,0.7799,0.7799,0.72,0.733,339889
2024-05-06,0.7221,0.7474,0.7123,0.736,280130
2024-05-07,0.727,0.753,0.722,0.7299,194612
2024-05-08,0.731,0.74,0.722,0.7299,152859
2024-05-09,0.74,0.7504,0.722,0.7321,150735
2024-05-10,0.7299,0.75,0.7199,0.7293,202702
2024-05-13,0.731,0.736,0.715,0.7285,134227
2024-05-14,0.722,0.74,0.72,0.7221,211082
2024-05-15,0.73,0.7479,0.715,0.73,250905
2024-05-16,0.7247,0.739,0.71,0.7261,193994
2024-05-17,0.725,0.7395,0.7167,0.724,181694
2024-05-20,0.732,0.74,0.710201,0.7269,102406
2024-05-21,0.7211,0.7327,0.7,0.7158,122496
2024-05-22,0.709,0.7139,0.651,0.6881,282345
2024-05-23,0.696,0.7,0.6822,0.6824,52978
2024-05-24,0.6901,0.6901,0.664,0.6876,70879
2024-05-28,0.71,0.71,0.672701,0.6996,246929
2024-05-29,0.709,0.7097,0.6512,0.67387,157935
2024-05-30,0.6739,0.7,0.6595,0.675,34607
2024-05-31,0.7,0.7,0.665,0.6868,26527
2024-06-03,0.68,0.6898,0.67,0.675,53306
2024-06-04,0.67,0.68,0.64,0.6598,101541
2024-06-05,0.64,0.68,0.63,0.6389,174145
2024-06-06,0.62,0.65,0.62,0.649,94548
2024-06-07,0.6295,0.6499,0.618,0.6182,118545
2024-06-10,0.602,0.6182,0.59,0.6095,87617
2024-06-11,0.61,0.626857,0.5903,0.6,52656
2024-06-12,0.6,0.629,0.6,0.6112,46329
2024-06-13,0.6244,0.6244,0.581,0.6001,96283
2024-06-14,0.62,0.62655,0.5795,0.609,103351
2024-06-17,0.6195,0.6195,0.588,0.5901,121404
2024-06-18,0.59,0.61999,0.582,0.599,104637
2024-06-20,0.5901,0.6115,0.5821,0.5886,160522
2024-06-21,0.59,0.6179,0.59,0.5923,42498
2024-06-24,0.6079,0.608,0.59,0.5996,38281
2024-06-25,0.593,0.6101,0.593,0.6002,67973
2024-06-26,0.605,0.6187,0.59111,0.6039,25754
2024-06-27,0.607,0.695,0.5931,0.64,323630
2024-06-28,0.664,0.699,0.64,0.688,198105
2024-07-01,0.6933,0.76,0.65,0.662,457276
2024-07-02,0.671,0.725,0.661,0.6733,222210
2024-07-03,0.6611,0.6899,0.64201,0.67,182369
2024-07-05,0.7099,0.85,0.692,0.7699,1894295.0
2024-07-08,0.81,0.82,0.711001,0.7393,1088240.0
2024-07-09,0.74,0.74,0.6652,0.681,200463
2024-07-10,0.7,0.711,0.6609,0.684,1282676.0
2024-07-11,0.678,0.72,0.657847,0.700101,176451
2024-07-12,0.6802,0.71,0.6801,0.7088,107257
2024-07-15,0.6976,0.7199,0.655,0.662,209719
2024-07-16,0.665,0.6879,0.6364,0.65,133951
2024-07-17,0.662,0.679,0.641,0.666,97793
2024-07-18,0.676,0.676,0.581,0.6398,323722
2024-07-19,0.625,0.6399,0.5958,0.6095,93117
2024-07-22,0.61,0.6292,0.6086,0.6111,100039
2024-07-23,0.6,0.62,0.5316,0.581101,246135
2024-07-24,0.59,0.5999,0.5751,0.5963,62630
2024-07-25,0.58,0.588323,0.551,0.5807,122670
2024-07-26,0.5945,0.5945,0.581,0.5833,10718
2024-07-29,0.593,0.68,0.5902,0.6542,1259218.0
2024-07-30,0.639,0.716,0.6,0.6599,1875538.0
2024-07-31,0.6518,0.7,0.599,0.67,1024382.0
2024-08-01,0.6899,0.7,0.651,0.69015,658206
2024-08-02,0.6804,0.6978,0.6339,0.6655,773456
2024-08-05,0.6512,0.771,0.6135,0.73,2696875.0
2024-08-06,0.669,0.69,0.6154,0.64005,1317752.0
2024-08-07,0.6251,0.67,0.58,0.66,908052
2024-08-08,0.644,0.67,0.5907,0.621,648776
2024-08-09,0.612,0.665,0.612,0.64,373825
2024-08-12,0.6437,0.7,0.6116,0.63,2728082.0
2024-08-13,0.64,0.65,0.5762,0.5766,928345
2024-08-14,0.5715,0.5995,0.53,0.5652,770656
2024-08-15,0.5794,0.59,0.542,0.565,372755
2024-08-16,0.58,0.58,0.533,0.5403,191415
2024-08-19,0.537,0.55,0.514,0.5211,433762
2024-08-20,0.54,0.562,0.521,0.5386,234910
