date,open,high,low,close,volume
2024-03-01,21.53,21.59,20.55,21.07,745493
2024-03-04,21.2,21.71,20.84,21.31,593718
2024-03-05,21.04,21.04,20.36,20.69,811082
2024-03-06,20.98,21.22,20.64,20.74,345958
2024-03-07,20.9,20.96,20.27,20.57,480293
2024-03-08,20.77,21.23,20.65,20.745,285447
2024-03-11,20.66,20.77,20.14,20.37,286712
2024-03-12,20.37,21.9099,20.18,21.79,1345225.0
2024-03-13,21.9,23.28,21.56,22.98,1098670.0
2024-03-14,23,23.8585,22.55,23.58,1070676.0
2024-03-15,22.97,23.2217,22.35,22.9,886989
2024-03-18,23.06,23.42,22.7326,22.98,390455
2024-03-19,22.83,23.02,22.53,22.88,286076
2024-03-20,22.87,23.58,22.71,23.39,413993
2024-03-21,23.62,23.83,23.31,23.75,509119
2024-03-22,23.89,24.06,23.05,23.3,413101
2024-03-25,23.13,23.7,23.07,23.3,316095
2024-03-26,23.54,23.92,23.46,23.61,420985
2024-03-27,23.62,23.87,22.96,23.26,320729
2024-03-28,23.09,24.07,23.05,23.72,743777
2024-04-01,23.75,24.17,23.52,23.74,338548
2024-04-02,23,23.62,22.5,23.62,470731
2024-04-03,23.4,23.99,23.4,23.5,282090
2024-04-04,23.76,24.185,23.36,23.42,359592
2024-04-05,23.22,23.87,23.22,23.69,294770
2024-04-08,23.89,24.11,23.61,23.68,265117
2024-04-09,23.73,23.93,23.56,23.64,178572
2024-04-10,23.25,23.58,22.63,22.91,499680
2024-04-11,23,23.36,22.61,23.28,441062
2024-04-12,23,23.4,22.7,22.86,290730
2024-04-15,22.84,22.93,21.52,21.67,458898
2024-04-16,21.63,21.8974,21.32,21.73,259204
2024-04-17,21.97,22.085,21.57,21.57,257113
2024-04-18,21.44,21.98,21.43,21.54,224106
2024-04-19,21.66,22.09,21.45,21.61,341688
2024-04-22,21.61,22.23,21.5701,22.17,215949
2024-04-23,22.32,23.13,22.32,22.84,321270
2024-04-24,23,23.42,22.865,23.34,322199
2024-04-25,22.8,22.9399,22.42,22.81,346212
2024-04-26,22.96,23.45,22.693,23.21,247385
2024-04-29,23.37,23.39,23.05,23.17,176097
2024-04-30,23.04,23.43,22.42,22.44,276052
2024-05-01,22.45,23.37,22.39,22.78,211565
2024-05-02,23.19,23.325,22.72,23.11,188408
2024-05-03,23.38,23.7356,23.07,23.43,293028
2024-05-06,23.54,23.715,23.41,23.53,288838
2024-05-07,23.5,24.525,23.22,24.02,797882
2024-05-08,25.17,25.362,22.48,22.58,929866
2024-05-09,22.56,22.78,21.8,22.47,505950
2024-05-10,22.47,22.7,22.25,22.49,445488
2024-05-13,22.49,23.28,22.49,22.74,423654
2024-05-14,22.74,23.3,22.74,22.82,342328
2024-05-15,23.07,23.39,22.39,23.29,394964
2024-05-16,23.04,23.53,22.59,22.825,635959
2024-05-17,22.8,24.18,22.74,24.02,664079
2024-05-20,24,24.09,23.52,23.58,273744
2024-05-21,23.35,23.55,22.99,23.08,222790
2024-05-22,22.95,23.52,22.9,23.08,275614
2024-05-23,23.24,23.35,22.58,22.72,469503
2024-05-24,22.76,24.19,22.702,23.75,842601
2024-05-28,23.87,24.5,23.47,23.66,540340
2024-05-29,23.3,24.0365,23.11,23.58,321848
2024-05-30,23.62,23.69,23.09,23.28,292238
2024-05-31,23.43,23.5,21.57,21.9,545627
2024-06-03,22.04,22.083,20.94,21.08,577473
2024-06-04,20.99,21.48,20.9008,21.1,445578
2024-06-05,21.15,21.87,21.11,21.57,511226
2024-06-06,21.57,21.68,21.25,21.35,370520
2024-06-07,21.01,21.36,20.88,21.12,276825
2024-06-10,20.89,21.18,20.62,21.14,324492
2024-06-11,21.12,21.63,21.07,21.48,304426
2024-06-12,22.3,22.33,21.49,21.66,343348
2024-06-13,21.73,21.98,21.43,21.55,286273
2024-06-14,21.25,21.47,21.04,21.22,204387
2024-06-17,21.08,21.37,20.7812,21.15,231334
2024-06-18,21.02,21.145,20.39,20.39,278682
2024-06-20,20.3,20.3,19.13,19.49,1184184.0
2024-06-21,19.46,19.94,19.31,19.89,528448
2024-06-24,19.75,19.873,19.2,19.31,359816
2024-06-25,19.32,19.65,19.1,19.65,368127
2024-06-26,19.52,19.78,19.4718,19.63,332110
2024-06-27,19.59,19.8,19.46,19.59,243842
2024-06-28,19.78,20.39,19.43,20.31,1657935.0
2024-07-01,20.26,20.41,19.76,20.4,336364
2024-07-02,20.32,20.6,20.13,20.44,283289
2024-07-03,20.31,20.8,20.31,20.67,222368
2024-07-05,20.57,20.65,19.71,19.82,383513
2024-07-08,19.75,20.3,19.24,20.06,506350
2024-07-09,20,20.3,19.75,20.29,537506
2024-07-10,20.32,20.43,19.92,20.03,219408
2024-07-11,20.33,20.37,19.85,20.23,338710
2024-07-12,20.23,20.7,20.2,20.2,361184
2024-07-15,20.39,21.398,20.23,21.18,458425
2024-07-16,21.71,22.25,21.575,21.97,448170
2024-07-17,21.65,21.69,21.18,21.41,315183
2024-07-18,21.27,21.5826,20.71,20.91,201135
2024-07-19,20.98,21.4,20.7175,21.28,214992
2024-07-22,21.5,22.15,21.354,21.81,419009
2024-07-23,21.69,22.99,21.63,22.78,409845
2024-07-24,22.24,22.55,21.68,21.75,255254
2024-07-25,21.66,22.62,21.4172,22.09,254312
2024-07-26,22.45,22.75,22.15,22.4,199498
2024-07-29,22.37,22.99,21.95,22.01,170642
2024-07-30,22.23,22.45,21.5,21.86,182193
2024-07-31,21.98,22.395,21.65,21.96,200132
2024-08-01,21.89,22.25,20.86,21.17,329966
2024-08-02,19.9,20.4799,19.57,20.04,298794
2024-08-05,18.41,19.25,18.1,19.1,516972
2024-08-06,19.18,19.36,18.84,19.25,319654
2024-08-07,19.6,19.91,18.92,18.96,569718
2024-08-08,18.88,19.79,18.7401,19.6,547923
2024-08-09,13.82,14.32,13.18,14.06,4047637.0
2024-08-12,13.95,14.53,13.6,14.23,1767947.0
2024-08-13,14.3,14.4207,13.87,14.14,1170544.0
2024-08-14,14,14.115,13.66,13.66,852794
2024-08-15,13.85,14.1873,13.78,13.85,838651
2024-08-16,13.82,13.95,13.59,13.63,752252
2024-08-19,13.64,14.5867,13.64,14.49,937254
2024-08-20,14.5,14.7742,14.21,14.38,557224
2024-08-21,14.62,15.5523,14.55,15.3,1013336.0
2024-08-22,15.47,15.87,15.2,15.32,703635
2024-08-23,15.41,15.975,15.41,15.95,664338
2024-08-26,16,16.2786,15.83,16.01,482388
2024-08-27,15.83,16.08,15.51,15.54,532395
2024-08-28,15.43,15.615,15.25,15.25,470860
2024-08-29,15.36,15.83,15.36,15.46,456938
2024-08-30,15.57,15.85,15.515,15.6,384032
2024-09-03,15.3,15.51,14.95,14.99,491189
2024-09-04,14.82,15.48,14.82,15.06,392841
2024-09-05,15.04,15.52,15.04,15.29,479759
2024-09-06,15.36,15.41,14.45,14.51,361907
2024-09-09,14.44,14.6,14.02,14.02,415954
2024-09-10,14.02,14.22,13.87,14.06,450607
2024-09-11,14.03,14.25,13.77,14.11,284744
2024-09-12,14.22,14.425,14.1,14.32,219633
2024-09-13,14.5,14.95,14.415,14.58,356954
2024-09-16,14.55,14.675,14.42,14.57,237584
2024-09-17,14.77,14.95,14.57,14.61,278493
2024-09-18,14.62,15.14,14.5127,14.58,342311
2024-09-19,15.1,15.12,14.54,14.68,399569
2024-09-20,14.69,14.86,14.5,14.52,967577
2024-09-23,14.54,14.6,14.15,14.27,291408
2024-09-24,14.34,14.58,14.17,14.4,274906
2024-09-25,14.42,14.53,14.23,14.24,308824
2024-09-26,14.53,14.6885,14.23,14.48,256947
2024-09-27,14.64,15.0499,14.5901,14.91,302930
2024-09-30,14.85,15.0935,14.71,14.87,284787
2024-10-01,14.97,15.025,14.24,14.4,493761
2024-10-02,14.47,14.78,14.28,14.43,356760
2024-10-03,14.27,14.5,14.215,14.36,304102
2024-10-04,14.59,14.84,14.41,14.77,328043
2024-10-07,14.74,15,14.38,14.48,337395
2024-10-08,14.43,14.8,14.43,14.78,278374
2024-10-09,14.81,14.95,14.5722,14.77,294711
2024-10-10,14.59,14.825,14.55,14.74,310359
2024-10-11,14.74,15.16,14.74,15.12,285800
2024-10-14,15.16,15.28,15.06,15.12,269681
2024-10-15,15.12,15.5,15.09,15.29,272929
2024-10-16,15.37,15.4499,14.9939,15.02,247204
2024-10-17,15.02,15.39,14.9675,15.3,312089
2024-10-18,15.42,15.5399,15.23,15.29,242882
2024-10-21,15.23,15.55,15.16,15.25,282534
2024-10-22,15.16,15.36,15.1562,15.3,241282
2024-10-23,15.24,15.3,14.765,14.97,291295
2024-10-24,15.03,15.2,14.755,14.84,210043
2024-10-25,14.95,15.2199,14.6605,14.79,221781
2024-10-28,14.98,15.28,14.88,15.22,198451
2024-10-29,15.11,15.23,14.9501,15.21,254570
2024-10-30,15.18,15.7,15.18,15.21,276938
2024-10-31,15.11,15.12,14.55,14.705,331274
2024-11-01,14.92,14.92,14.565,14.62,223160
2024-11-04,14.5,14.65,14.29,14.35,287005
2024-11-05,14.31,14.89,14.31,14.84,224423
2024-11-06,15.58,15.87,15.36,15.84,404057
2024-11-07,15.9,16.13,15.8389,16.08,444573
2024-11-08,15.95,16,15.5,15.61,539487
2024-11-11,15.83,16.41,15.79,16.37,473390
2024-11-12,16.21,16.49,16.0652,16.43,693918
2024-11-13,17.74,17.74,15.2,16.26,1097441.0
2024-11-14,16.12,16.225,15.36,15.63,496441
2024-11-15,15.68,15.68,14.805,14.88,427924
2024-11-18,14.75,14.81,14.42,14.68,487992
2024-11-19,14.47,15.99,14.47,15.49,1208236.0
2024-11-20,15.42,15.45,15.01,15.25,439621
2024-11-21,15.28,16.25,15.1,16.2,613265
2024-11-22,16.1,16.43,15.98,16.18,337507
2024-11-25,16.27,16.49,15.85,15.87,426274
2024-11-26,15.88,15.99,15.65,15.79,289723
2024-11-27,15.89,16.04,15.7,15.83,183023
2024-11-29,15.84,16.105,15.78,15.95,152740
2024-12-02,15.89,16.985,15.8,16.83,524884
2024-12-03,16.49,16.71,16.4,16.68,293721
2024-12-04,16.73,17.17,16.7,16.94,305839
2024-12-05,16.92,17.09,15.93,16.1,316512
2024-12-06,16.29,17.05,16.17,16.81,318392
2024-12-09,16.83,16.96,16.46,16.53,206550
2024-12-10,16.4,16.81,16.32,16.69,235441
2024-12-11,16.97,16.97,16.64,16.79,340261
2024-12-12,16.72,17.1,16.36,16.53,261472
2024-12-13,16.49,16.69,16.12,16.3,203039
2024-12-16,16.41,16.6832,16.1,16.51,325167
2024-12-17,16.35,16.57,16.15,16.27,261800
2024-12-18,16.25,16.5,15.33,15.59,357597
2024-12-19,15.79,15.951,15.26,15.4,288289
2024-12-20,15.13,15.8056,15.13,15.44,502469
2024-12-23,15.43,15.545,15.22,15.26,211525
2024-12-24,15.27,15.4,15.1376,15.37,97928
2024-12-26,15.26,15.48,15.14,15.43,180612
2024-12-27,15.34,15.45,14.95,15.1,249811
2024-12-30,14.845,15.04,14.71,14.94,229692
2024-12-31,15.07,15.08,14.68,14.69,194002
2025-01-02,14.97,15.08,14.64,14.83,261181
2025-01-03,14.84,15.38,14.84,15.33,268272
2025-01-06,15.19,15.62,15.11,15.33,290215
2025-01-07,15.4,15.42,14.69,14.84,269242
2025-01-08,14.78,14.97,14.597,14.74,222414
2025-01-10,14.35,14.35,13.8,14.095,436811
2025-01-13,13.88,14.05,13.8,13.9,326524
2025-01-14,14.02,14.15,13.77,14,308365
2025-01-15,14.51,14.55,14.25,14.4,280741
2025-01-16,14.39,14.78,14.33,14.41,284005
2025-01-17,14.7,14.72,14.41,14.52,244235
2025-01-21,14.6,15.04,14.54,14.83,301103
2025-01-22,14.78,15.01,14.64,14.73,284325
2025-01-23,14.47,15.145,14.395,15.13,364434
2025-01-24,15.13,15.27,14.92,14.97,247621
2025-01-27,14.6,15.28,14.47,15.21,397495
2025-01-28,15.2,15.4,15.0992,15.16,260469
2025-01-29,15.19,15.6,14.93,15.57,265217
2025-01-30,15.68,15.75,15.17,15.33,249973
2025-01-31,15.33,15.52,14.98,15.12,225712
2025-02-03,14.69,15.33,14.58,15.07,344627
2025-02-04,15.13,15.57,15.13,15.54,246916
2025-02-05,15.53,15.64,15.455,15.58,194635
2025-02-06,15.69,15.99,15.62,15.84,276783
2025-02-07,15.85,16.46,15.7,16.43,299256
2025-02-10,16.5,16.6,16.29,16.57,393607
2025-02-11,16.51,16.81,16.355,16.66,266058
2025-02-12,16.4,17.32,16.385,17.14,356480
2025-02-13,16.99,16.99,15.14,15.8,828401
2025-02-14,15.88,16.09,15.49,15.7,237211
2025-02-18,15.84,15.84,15.17,15.65,420390
2025-02-19,15.46,15.52,15.05,15.13,272890
2025-02-20,15.11,15.12,14.6,14.79,361559
2025-02-21,15,15.02,14.4744,14.52,375364
2025-02-24,14.59,14.72,14.29,14.64,310942
2025-02-25,14.63,14.65,14.26,14.43,315360
