date,open,high,low,close,volume
2024-03-01,1.15,1.2,1.1172,1.2,3642
2024-03-04,1.49,1.49,1.1,1.1,2709
2024-03-05,0.79,1.5,0.7701,0.9174,5131
2024-03-06,1.05,1.255,1.01,1.1,2126
2024-03-07,1.1,1.1,1.1,1.1,101
2024-03-08,1.15,1.1501,1.1,1.1,2002
2024-03-11,1.35,1.35,1.11,1.2,3798
2024-03-12,1.11,1.23,1.1,1.16,4224
2024-03-13,1.2,1.2002,1.1,1.2,3813
2024-03-14,1.26,1.34,1.2,1.29,17598
2024-03-15,1.25,1.5,1.0401,1.2,25703
2024-03-18,1.21,1.29,1.11,1.23,7939
2024-03-20,1.41,1.41,1.15,1.19,5203
2024-03-21,1.3,1.3,1.25,1.25,6008
2024-03-22,1.2499,1.28,1.2499,1.25,11902
2024-03-25,1.22,1.23,1.2,1.2001,10920
2024-03-26,1.395,1.395,1.15,1.1501,1500
2024-03-27,1.3,1.3,1.12,1.12,2102
2024-03-28,1.1,1.32,1.1,1.15,6400
2024-04-01,1.25,1.4,1.25,1.4,1300
2024-04-02,1.4,1.4,1.2,1.24,15904
2024-04-03,1.3001,1.502,1.2,1.3,10200
2024-04-04,1.35,1.3501,1.31,1.3101,4002
2024-04-05,1.4,1.4001,1.2,1.2,7499
2024-04-08,1.3,1.3,1.29,1.29,1200
2024-04-09,1.2,1.32,1.1099,1.1099,4062
2024-04-10,1.15,1.15,0.8494,1.1,18841
2024-04-11,1.3,1.3,1.145,1.1799,7258
2024-04-16,1.06,1.13,0.4624,1.055,15185
2024-04-17,1.04,1.04,1,1.04,3400
2024-04-18,1.0001,1.0001,1.0001,1.0001,1610
2024-04-19,1.15,1.15,1.15,1.15,200
2024-04-22,1,1.0001,1,1.0001,260
2024-04-23,1,1.0599,1,1.0599,2004
2024-04-24,0.91,1.1,0.91,1.1,599
2024-05-01,0.9501,1,0.9501,1,2800
2024-05-03,1.39,1.39,1.39,1.39,4030
2024-05-14,1.05,1.1501,1.05,1.15,1401
2024-05-15,1.15,1.4,1.07,1.07,25225
2024-05-16,1.0455,1.16,1.0455,1.11,18022
2024-05-17,1.11,1.1201,1.0798,1.1201,27332
2024-05-20,1.12,1.31,1.12,1.31,13385
2024-05-22,1.1701,1.24,1.1701,1.24,846
2024-05-23,1.1614,1.1614,1.16,1.16,4104
2024-05-24,1.03,1.15,1,1.12,6206
2024-05-29,1.12,1.1701,1.0899,1.0899,2368
2024-05-30,1.09,1.12,1.0262,1.12,19515
2024-05-31,1.2,1.2,1.0978,1.12,1132
2024-06-03,1,1,1,1,1000
2024-06-04,1.16,1.16,1.03,1.03,6100
2024-06-05,1.1,1.1,1.1,1.1,100
2024-06-07,1.0001,1.125,1,1,12686
2024-06-10,1.0399,1.04,1.039,1.04,10937
2024-06-11,1.24,1.24,1.23,1.23,1695
2024-06-12,0.93,1.09,0.93,1.07,11271
2024-06-13,1.13,1.2,1.12,1.12,2106
2024-06-14,0.9997,1.0001,0.9499,0.95,26954
2024-06-17,1.2,1.2,1.19,1.19,300
2024-06-18,1.05,1.18,1.05,1.17,555
2024-06-20,1.25,1.25,0.988,0.988,10104
2024-06-21,1.2,1.295,1.04,1.08,6275
2024-06-24,1.08,1.17,1.06,1.06,32239
2024-06-25,1.1,1.14,1.06,1.1,24574
2024-06-27,1.15,1.15,1.04,1.04,6718
