date,open,high,low,close,volume
2024-03-01,159.39,164,158.07,163.09,10405715.0
2024-03-04,165.12,167.83,164.72,166.56,11865142.0
2024-03-05,164.73,165.59,160.23,161.45,9603135.0
2024-03-06,164.82,169.25,164.33,167.89,12230453.0
2024-03-07,169.6,177.59,169.43,175.72,14495135.0
2024-03-08,174.82,175.47,170.54,170.57,11317959.0
2024-03-11,169,171.98,168.1201,171.12,7256262.0
2024-03-12,172.91,173.9,170.58,173.08,7642226.0
2024-03-13,171.22,171.5,168.6,169.25,8730467.0
2024-03-14,169.6,169.95,166.71,168.45,8149816.0
2024-03-15,167.1,168.77,165.85,167.2,16414624.0
2024-03-18,170.91,171.46,166.35,166.92,6656032.0
2024-03-19,166.09,166.46,163.63,164.1,7404369.0
2024-03-20,164.1,168.1725,163.83,167.67,5995811.0
2024-03-21,170.74,172.915,169.6301,170.85,8431474.0
2024-03-22,169.55,171.9,169.3,170.1,5624966.0
2024-03-25,167.88,168.77,166.97,167.52,5682477.0
2024-03-26,168.05,169.42,167,167.07,5289949.0
2024-03-27,169.45,169.48,166.97,169.13,6284666.0
2024-03-28,169.1,169.89,167.98,169.3,5323975.0
2024-04-01,168.27,172.8,168.21,171.72,6679060.0
2024-04-02,170.47,171.4,169.28,171.04,7436314.0
2024-04-03,170,173.96,169.33,173.91,6921555.0
2024-04-04,175,175.95,169.41,169.76,8805689.0
2024-04-05,170.18,172.24,169.71,171.53,5863321.0
2024-04-08,172.93,174.39,172.355,173.62,4812025.0
2024-04-09,175.27,175.99,173.37,175.57,5030472.0
2024-04-10,172.42,173.71,170.07,170.86,6177357.0
2024-04-11,171.67,175.625,170.5,175.13,6262569.0
2024-04-12,172.28,173.39,170.96,171.29,8216680.0
2024-04-15,174.27,174.38,168.5804,169.84,6397658.0
2024-04-16,169.5,169.57,167.45,168.58,6276526.0
2024-04-17,169.22,170.1898,163.7704,164.32,7997285.0
2024-04-18,162.36,164.1,159.86,161.44,9161045.0
2024-04-19,161.29,161.39,156.34,157.63,9999996.0
2024-04-22,158.04,161.64,157.16,160.18,7406689.0
2024-04-23,160.96,162.255,159.68,161.35,6137311.0
2024-04-24,163.87,165.93,162,163.63,5991080.0
2024-04-25,164.08,164.625,161.73,163.3,5729556.0
2024-04-26,162.9,166.52,162.51,165.66,7010162.0
2024-04-29,165.2,169.27,165.2,169.2,6432812.0
2024-04-30,169.23,169.24,165.81,165.85,6635339.0
2024-05-01,164.51,169.64,163.79,164.11,12840625.0
2024-05-02,175.47,181.69,175.29,180.1,25733126.0
2024-05-03,182.24,183.19,177.8,179.64,9984373.0
2024-05-06,181.91,182.4,180.4,181.85,6477146.0
2024-05-07,182.45,184.31,179.22,180.15,7858501.0
2024-05-08,176.73,180.79,176.6151,180.55,6082728.0
2024-05-09,181,181.7099,179.44,180.54,5327325.0
2024-05-10,182,183.545,181.238,182.08,4657471.0
2024-05-13,183.18,184.725,182.9,184.21,5880475.0
2024-05-14,184.51,189.29,184.49,188.97,7679575.0
2024-05-15,190.01,196.08,190,194.61,11038159.0
2024-05-16,195,195.63,192.78,193.27,8038416.0
2024-05-17,192.9,195.44,191.87,193.86,5431968.0
2024-05-20,194,199.99,193.28,197.76,8823179.0
2024-05-21,196.012,201.98,195.76,200.85,11409495.0
2024-05-22,202.93,204.84,201.7,202.93,11096485.0
2024-05-23,205.88,207.95,199.42,201.76,12753170.0
2024-05-24,203.89,211.3,203.56,210.36,13017598.0
2024-05-28,217.225,217.43,211.3,213.08,12117291.0
2024-05-29,208.65,210.66,206.7,208.26,10502952.0
2024-05-30,208,209.37,203.8221,204.8,11492902.0
2024-05-31,208,209.05,198.71,204.05,14237830.0
2024-06-03,209.56,210.98,202.41,205.91,11519434.0
2024-06-04,205.91,206.23,201.66,204.37,6304665.0
2024-06-05,206.93,212.5,205.365,211.9,11223385.0
2024-06-06,211.9,212.24,208.79,209.44,7476957.0
2024-06-07,209.73,209.8,204.89,206.62,5585836.0
2024-06-10,205.285,210.5819,204.56,209.35,6402887.0
2024-06-11,207.15,209.45,204.78,208.52,7944315.0
2024-06-12,212.5,215.62,210.88,215.39,9358564.0
2024-06-13,216.36,218.36,213.01,217.81,9948153.0
2024-06-14,217.64,218.05,213.65,215.33,6204942.0
2024-06-17,217.09,222.67,213.4,222.22,11633402.0
2024-06-18,226.82,230.63,226,227.09,21791357.0
2024-06-20,224.2,225.9,212.84,215.47,18518180.0
2024-06-21,211.76,215.47,209.41,212.53,21860530.0
2024-06-24,206.91,207.03,200.24,200.84,14926602.0
2024-06-25,203.14,203.15,199.17,202.17,11317250.0
2024-06-26,200.31,201.15,195.7,197.33,9451186.0
2024-06-27,196.87,198.57,193.84,195.15,11840521.0
2024-06-28,196,203.94,195.61,199.18,15010973.0
2024-07-01,199.47,200.6682,196.08,200.03,6552797.0
2024-07-02,198.25,200.48,197.09,200.16,5528683.0
2024-07-03,202.68,204.86,200.44,203.81,4863039.0
2024-07-05,205.85,206.75,203.98,205.75,6241664.0
2024-07-08,207.24,210.435,206.1517,207.89,6163629.0
2024-07-09,206.48,208.55,204.66,207.12,5150681.0
2024-07-10,208.74,209.24,206.5567,208.8,5077703.0
2024-07-11,210.02,210.13,199.77,199.85,8387514.0
2024-07-12,201.66,206.08,200.25,202.43,7102123.0
2024-07-15,203,209.24,202.785,208.18,7375781.0
2024-07-16,210,211.09,206.6201,209.64,5879751.0
2024-07-17,199.73,200,190.56,191.6,15816125.0
2024-07-18,193.78,193.9,186.95,191.46,9646675.0
2024-07-19,191.69,193.0888,185.76,186.21,8922506.0
2024-07-22,191,195.5,189.05,194.97,7435196.0
2024-07-23,194.2,196.24,192.15,193.35,4810481.0
2024-07-24,189.335,189.61,180.69,181.07,13025342.0
2024-07-25,179.62,180.235,173.27,175.39,12557344.0
2024-07-26,179.01,181.3,177.57,180.05,6005574.0
2024-07-29,181.5,182.64,177.85,178.64,5777312.0
2024-07-30,179.34,179.4,166.7721,166.94,14626711.0
2024-07-31,175.58,181.08,173.41,180.95,18874199.0
2024-08-01,171.76,176.97,161.33,164,24762771.0
2024-08-02,160.52,164.26,157.53,159.31,16568789.0
2024-08-05,153.27,162.82,151.3901,157.95,12443293.0
2024-08-06,158.42,163.63,156.5,158.72,8957330.0
2024-08-07,163.58,164.32,155.5,156.12,8954031.0
2024-08-08,160.74,165.59,157.87,164.95,9433865.0
2024-08-09,164.07,165.89,161.98,164.48,4737973.0
2024-08-12,160.56,163.39,157.42,162.89,8376423.0
2024-08-13,164.3,169.56,163.28,169.47,10689539.0
2024-08-14,170.64,171.2587,164.7248,167.15,7157244.0
2024-08-15,171.75,174.64,170.61,173.34,10130504.0
2024-08-16,172.285,173.38,170.63,172.18,5233260.0
2024-08-19,171.57,174.32,168.74,174.26,6428448.0
2024-08-20,173.86,175.43,171.15,172.11,5832950.0
2024-08-21,172.99,174.87,172.075,174.22,5753782.0
2024-08-22,174.3,174.585,168.38,169,6036785.0
2024-08-23,171.76,174.62,170.6301,173.5,6627566.0
2024-08-26,171.97,172.38,168.53,169.49,7169140.0
2024-08-27,169.17,174.44,168.265,173.93,6135907.0
2024-08-28,174.38,175.72,169.63,171.85,6395878.0
2024-08-29,173.42,176.3599,168.93,169.49,11195437.0
2024-08-30,172.29,175.46,170.8,175.3,10448320.0
2024-09-03,171.885,172.155,162,163.24,11184974.0
2024-09-04,163,168.24,162.63,165.33,6603258.0
2024-09-05,163.08,165.7994,161.85,163.7,5492015.0
2024-09-06,162.74,163.19,157.13,158.19,10143092.0
2024-09-09,161.09,162.37,158.57,160.77,6870016.0
2024-09-10,160,162.06,157.68,161.68,7437130.0
2024-09-11,162.36,166.9,159.2502,166.56,7226415.0
2024-09-12,165.88,166.31,162.9,164.98,5524501.0
2024-09-13,165.81,168.3,165.44,167.73,3983686.0
2024-09-16,164.93,167.34,163.79,166.61,5934492.0
2024-09-17,168.88,169.5,166.08,168.7,5658698.0
2024-09-18,169.52,172.42,167.695,168.3,5773291.0
2024-09-19,174.42,176.8,172.49,173.92,10562305.0
2024-09-20,172.69,173.07,164.3,168.92,25785235.0
2024-09-23,168.42,169.98,165.35,165.96,9598910.0
2024-09-24,167.42,169.355,165.98,166.95,9426074.0
2024-09-25,166.28,168.59,165.76,168.27,4992548.0
2024-09-26,174.91,175.75,166.7801,172.66,8329186.0
2024-09-27,173,173.45,169.83,170.13,5731520.0
2024-09-30,171.37,172.23,167.75,170.05,7635498.0
2024-10-01,169.8,170.29,164.08,165.78,8089903.0
2024-10-02,166.15,169.75,165.15,168.32,4368994.0
2024-10-03,165.95,169.53,165.66,168.92,5868083.0
2024-10-04,172.55,172.8,166.48,168.9,6519583.0
2024-10-07,167.635,168.7199,165.735,166.94,4083481.0
2024-10-08,164.86,167.7209,163.66,166.34,7325080.0
2024-10-09,165.95,170.3,164.665,170.22,5213605.0
2024-10-10,167.23,168.75,165.33,168.52,4845572.0
2024-10-11,168,170.43,166.87,169.98,3710825.0
2024-10-14,171.34,178.87,170.9,178.04,9868085.0
2024-10-15,177.22,179.825,172.75,174.09,12520242.0
2024-10-16,174.62,174.67,170.2201,171.48,6366847.0
2024-10-17,175.615,175.615,171.02,171.1,6015429.0
2024-10-18,172.11,172.58,169.42,170.92,5992351.0
2024-10-21,169.635,170.17,166.0685,169.01,6904816.0
2024-10-22,169.01,173.48,168.23,173.18,7244871.0
2024-10-23,169.34,172.64,164.3,166.6,9709552.0
