date,open,high,low,close,volume
2024-03-01,0.24,0.24755,0.24,0.24,14854
2024-03-04,0.27,0.28,0.2025,0.240001,26334
2024-03-05,0.242,0.242,0.17999,0.17999,8487
2024-03-06,0.1822,0.19,0.162,0.18,10500
2024-03-07,0.18,0.29,0.18,0.265,67563
2024-03-08,0.251249,0.36,0.251249,0.3,39933
2024-03-11,0.3321,0.3321,0.24,0.24,3546
2024-03-12,0.2912,0.3225,0.28,0.2801,4154
2024-03-13,0.31,0.31,0.222,0.2627,32760
2024-03-14,0.2424,0.2945,0.2217,0.2744,49350
2024-03-15,0.2801,0.2875,0.2325,0.2875,14368
2024-03-18,0.2348,0.31,0.2348,0.31,3686
2024-03-19,0.312,0.312,0.312,0.312,5795
2024-03-21,0.3199,0.3231,0.2511,0.2899,3147
2024-03-22,0.24101,0.3007,0.24101,0.27385,13688
2024-03-25,0.2434,0.2434,0.241,0.2411,500
2024-03-27,0.272,0.2999,0.245,0.299412,12249
2024-03-28,0.2536,0.27005,0.2422,0.2422,6270
2024-04-01,0.2545,0.29,0.2465,0.2532,7844
2024-04-02,0.288,0.288,0.246,0.246,743
2024-04-03,0.2772,0.3,0.2772,0.3,4615
2024-04-04,0.275,0.2827,0.256,0.256,4951
2024-04-05,0.2601,0.2649,0.26,0.262553,3043
2024-04-08,0.2652,0.2652,0.2588,0.2589,2334
2024-04-09,0.22,0.26,0.22,0.26,1150
2024-04-10,0.27,0.2701,0.27,0.2701,760
2024-04-11,0.2723,0.29,0.22,0.2591,5061
2024-04-12,0.24,0.24,0.232,0.232,2070
2024-04-15,0.2202,0.2405,0.1936,0.2405,17543
2024-04-16,0.2347,0.2347,0.2222,0.2222,2602
2024-04-18,0.239999,0.24,0.1825,0.2295,8511
2024-04-19,0.1951,0.2379,0.1851,0.2347,9309
2024-04-22,0.182,0.21,0.18,0.21,31982
2024-04-23,0.2,0.2002,0.2,0.2002,12210
2024-04-25,0.1849,0.2347,0.18,0.2347,21700
2024-04-26,0.1911,0.24,0.18,0.23,26092
2024-04-29,0.22,0.22,0.22,0.22,206
2024-04-30,0.207,0.24,0.1803,0.23,11509
2024-05-01,0.2399,0.24,0.192,0.2,13100
2024-05-02,0.18,0.23,0.18,0.23,6487
2024-05-03,0.2212,0.2399,0.205,0.2399,3251
2024-05-06,0.205,0.205,0.205,0.205,102
2024-05-07,0.2081,0.22,0.2,0.22,991
2024-05-08,0.2,0.235,0.2,0.235,4940
2024-05-09,0.2171,0.235,0.195,0.195,2605
2024-05-10,0.2014,0.2014,0.2014,0.2014,101
2024-05-13,0.2014,0.2015,0.185,0.19,20901
2024-05-14,0.22,0.22,0.1875,0.1975,6231
2024-05-15,0.2,0.200451,0.18,0.189501,43669
2024-05-16,0.185,0.218,0.18,0.218,11654
2024-05-17,0.1861,0.2079,0.185,0.185,1839
2024-05-20,0.185101,0.185626,0.18,0.18,5332
2024-05-21,0.18,0.19,0.18,0.19,6219
2024-05-22,0.182,0.1834,0.182,0.1834,2544
2024-05-23,0.1833,0.183968,0.1833,0.183968,2944
2024-05-24,0.1834,0.1834,0.1834,0.1834,290
2024-05-28,0.1833,0.19,0.18,0.18,38212
2024-05-29,0.1801,0.1801,0.18,0.18,1729
2024-05-30,0.18,0.1803,0.18,0.1803,564
2024-05-31,0.1825,0.1825,0.18,0.18,10786
2024-06-03,0.1881,0.1881,0.1881,0.1881,235
2024-06-04,0.1802,0.1802,0.18,0.18,4207
2024-06-05,0.1895,0.19,0.1895,0.19,1500
2024-06-06,0.1838,0.1838,0.182,0.1821,396
2024-06-07,0.182,0.182,0.182,0.182,602
2024-06-10,0.182,0.1821,0.1711,0.1711,20606
2024-06-11,0.1817,0.1817,0.18,0.18,5714
2024-06-12,0.18,0.1801,0.18,0.1801,1234
2024-06-13,0.1802,0.1802,0.18,0.18,498
2024-06-14,0.1711,0.175,0.1711,0.175,1056
2024-06-17,0.172,0.172,0.1711,0.1711,1144
2024-06-18,0.1611,0.1611,0.155,0.155,2053
2024-06-21,0.16001,0.19,0.16001,0.1678,5405
2024-06-24,0.16,0.16,0.16,0.16,2334
2024-06-25,0.1565,0.1565,0.155,0.155,1825
2024-06-26,0.155,0.155,0.12,0.144899,12500
2024-06-27,0.1555,0.1555,0.1422,0.1422,2016
2024-06-28,0.1724,0.17249,0.125,0.125,850
2024-07-05,0.146,0.146,0.146,0.146,1320
2024-07-08,0.146,0.1461,0.14,0.142,1660
2024-07-09,0.1446,0.159899,0.142,0.151,3434
2024-07-11,0.18,0.19,0.1406,0.1411,12424
2024-07-12,0.1881,0.19,0.1605,0.1605,1297
2024-07-15,0.18,0.19,0.17,0.1818,6933
2024-07-16,0.172499,0.19,0.172499,0.19,3883
2024-07-18,0.1911,0.192001,0.19,0.19,17050
2024-07-19,0.1975,0.1975,0.1553,0.1975,1300
2024-07-22,0.1717,0.1717,0.17,0.17,435
2024-07-23,0.155101,0.172501,0.155,0.162876,2878
2024-07-26,0.155,0.155,0.155,0.155,115
2024-07-29,0.155,0.19,0.15,0.1899,2000
2024-07-30,0.1832,0.185,0.179751,0.184999,1860
2024-07-31,0.15,0.18,0.15,0.1518,3591
2024-08-01,0.1655,0.18,0.1655,0.18,5800
2024-08-06,0.1525,0.1775,0.151,0.1775,3201
2024-08-07,0.1774,0.1774,0.1515,0.1515,2703
2024-08-08,0.151,0.151,0.122,0.15,12869
2024-08-09,0.1301,0.1301,0.1241,0.1241,11546
2024-08-13,0.15,0.165,0.1301,0.149,6053
2024-08-14,0.1312,0.135101,0.1312,0.135101,4753
2024-08-15,0.135,0.135,0.1241,0.134899,20549
2024-08-16,0.159,0.159,0.14,0.14,1139
2024-08-19,0.1485,0.15,0.14,0.14,2100
2024-08-20,0.14,0.143351,0.1001,0.1001,58253
2024-08-21,0.11,0.11,0.0976,0.0979,17804
2024-08-22,0.099999,0.099999,0.096,0.096,1749
2024-08-23,0.099899,0.099899,0.096,0.0972,2857
2024-08-26,0.1,0.1,0.098,0.099,5340
2024-08-27,0.099,0.0991,0.0981,0.0981,1219
2024-08-28,0.0981,0.0981,0.098,0.098,2230
2024-08-29,0.0985,0.098838,0.0985,0.098838,2184
2024-09-03,0.098999,0.098999,0.096,0.096101,3799
2024-09-04,0.1,0.1,0.096,0.096,1242
2024-09-06,0.1,0.1,0.0905,0.1,22012
2024-09-09,0.094,0.094,0.0909,0.0909,323
2024-09-10,0.0909,0.0909,0.081,0.0816,16981
2024-09-11,0.082,0.082,0.081,0.081,3727
2024-09-12,0.081,0.099899,0.081,0.099899,2247
2024-09-13,0.1,0.1,0.081,0.099,3496
2024-09-16,0.0943,0.0943,0.081,0.082,9405
2024-09-17,0.1,0.1,0.085,0.0888,7327
2024-09-18,0.0855,0.0888,0.085,0.0875,29519
2024-09-19,0.1,0.1,0.0876,0.099,14808
2024-09-20,0.0933,0.0933,0.0877,0.0899,11665
2024-09-23,0.0877,0.0877,0.0877,0.0877,102
2024-09-24,0.087801,0.087801,0.086,0.086,2407
2024-09-25,0.0851,0.0861,0.085,0.08601,13004
2024-09-26,0.088,0.088,0.088,0.088,387
2024-09-27,0.089,0.089,0.0866,0.0873,3185
2024-10-01,0.0866,0.0867,0.0866,0.0866,1605
2024-10-02,0.0866,0.0866,0.083,0.083,15252
2024-10-07,0.09,0.09,0.083,0.083,718
2024-10-08,0.0849,0.0849,0.08,0.08,33333
2024-10-09,0.08,0.08,0.0787,0.0787,300
2024-10-10,0.0787,0.08,0.0787,0.08,12262
2024-10-11,0.0786,0.08,0.0786,0.0799,3972
2024-10-14,0.08,0.08,0.0791,0.0797,8004
2024-10-15,0.0794,0.08,0.0794,0.079501,900
2024-10-16,0.08,0.08,0.0793,0.079401,7100
2024-10-17,0.0795,0.08,0.0793,0.08,10317
2024-10-18,0.0786,0.08,0.0786,0.08,10973
2024-10-21,0.0786,0.08,0.0771,0.0794,5055
2024-10-22,0.0769,0.0769,0.0601,0.0699,23320
2024-10-24,0.07,0.07,0.07,0.07,720
2024-10-25,0.07,0.07,0.0675,0.0687,44165
2024-10-28,0.0675,0.0688,0.0675,0.0675,2263
2024-10-29,0.07,0.07,0.068749,0.068749,1578
2024-10-30,0.065,0.066226,0.0635,0.0635,23733
2024-10-31,0.0635,0.07,0.0615,0.0657,4750
2024-11-01,0.0615,0.07,0.061,0.0652,4940
2024-11-04,0.0691,0.07,0.069,0.0691,11984
2024-11-05,0.07,0.07,0.0625,0.069,20117
2024-11-06,0.07,0.07,0.07,0.07,1325
2024-11-07,0.0676,0.07,0.0675,0.067801,6611
2024-11-08,0.0676,0.0681,0.0676,0.068053,2726
2024-11-11,0.068,0.07,0.068,0.068,74167
2024-11-12,0.0685,0.07,0.048,0.048,57115
2024-11-13,0.05,0.060001,0.05,0.06,45692
2024-11-14,0.06,0.06,0.0555,0.06,2638
2024-11-15,0.055,0.06,0.05,0.05109,27993
2024-11-18,0.05,0.06,0.05,0.05,56390
2024-11-19,0.0514,0.06,0.0514,0.05323,2110
2024-11-20,0.0923,0.1389,0.0911,0.118,919184
2024-11-21,0.12,0.177968,0.118,0.153001,254041
2024-11-22,0.175,0.2075,0.1649,0.1948,217061
2024-11-25,0.25,0.4575,0.24,0.4,978183
2024-11-26,0.399,0.41,0.3301,0.37,61233
2024-11-27,0.39,0.39,0.3025,0.3299,15870
2024-11-29,0.322,0.37,0.2775,0.3699,24835
2024-12-02,0.37,0.37,0.2526,0.2751,69550
2024-12-03,0.25,0.29,0.166,0.166,38255
