date,open,high,low,close,volume
2024-03-01,27.83,28.5,27.82,28.24,55093
2024-03-04,28.43,28.85,27.855,27.9,41557
2024-03-05,27.8,28.16,27.553,27.76,36385
2024-03-06,27.91,27.945,27.46,27.84,51501
2024-03-07,27.68,28.15,27.45,27.51,51035
2024-03-08,27.53,27.85,27.51,27.73,35995
2024-03-11,27.75,27.87,27.13,27.79,54999
2024-03-12,27.8,28.81,27.8,28.8,51650
2024-03-13,28.79,29.23,28.6,28.77,53906
2024-03-14,26.18,26.27,20.53,21.6,630825
2024-03-15,21.6,23.61,21.44,23.25,367124
2024-03-18,23.25,23.52,21.17,22.02,303484
2024-03-19,21.92,23.66,21.86,23.3,149627
2024-03-20,22.99,23.355,22.64,23.29,76043
2024-03-21,23.36,23.58,22.595,22.69,106760
2024-03-22,22.06,22.65,21.53,22.14,167405
2024-03-25,22.41,22.48,21.81,22.01,104154
2024-03-26,22.12,22.1592,21.31,21.4,89041
2024-03-27,21.29,22.08,21,21.43,79327
2024-03-28,21.59,21.68,21.1,21.37,225725
2024-04-01,21.22,21.54,20.5,20.69,116108
2024-04-02,20.7,20.91,20.5,20.84,65523
2024-04-03,20.84,21.3,20.69,20.69,40815
2024-04-04,20.65,20.8847,20.29,20.56,125883
2024-04-05,20.59,20.85,20.27,20.33,95844
2024-04-08,20.01,20.38,19.75,19.95,92620
2024-04-09,20.07,20.29,19.431,19.72,122118
2024-04-10,19.46,19.81,19.24,19.6,96125
2024-04-11,19.62,19.74,19.33,19.58,68656
2024-04-12,19.51,19.64,19.35,19.47,51584
2024-04-15,19.38,19.5899,19.0529,19.06,54973
2024-04-16,18.97,19.23,18.83,19.16,56412
2024-04-17,19.27,19.3,18.7,18.71,55941
2024-04-18,18.8,19.46,18.795,19.1,88470
2024-04-19,19.05,19.385,18.72,19.08,52082
2024-04-22,19.17,19.51,18.97,19.08,87403
2024-04-23,19.05,19.28,18.915,19.04,63072
2024-04-24,19.1,19.49,19.0364,19.13,44118
2024-04-25,18.89,19.25,18.605,18.91,59173
2024-04-26,18.98,19.09,18.67,18.97,76074
2024-04-29,19,19.46,18.93,18.94,63096
2024-04-30,18.83,19.02,18.63,18.95,54681
2024-05-01,18.85,19.5,18.81,19.1,79061
2024-05-02,19.16,19.62,18.965,19.35,70154
2024-05-03,19.43,19.71,19.41,19.52,42291
2024-05-06,19.61,19.64,19.29,19.31,45095
2024-05-07,19.27,19.64,19.14,19.14,34023
2024-05-08,18.79,19.45,18.75,19.29,72689
2024-05-09,19.89,20.83,19.88,20.83,103031
2024-05-10,20.79,21.14,20.32,20.4,81574
2024-05-13,20.53,21.8005,20.53,21.59,89161
2024-05-14,21.63,21.94,21.5,21.82,79499
2024-05-15,22.16,22.49,21.82,22.43,74295
2024-05-16,22.38,22.405,21.7,21.98,54099
2024-05-17,22.2,22.2,21.78,22,55551
2024-05-20,22.22,22.72,22.1701,22.62,66170
2024-05-21,22.51,22.51,22.2101,22.44,47419
2024-05-22,22.43,22.47,21.59,21.66,50166
2024-05-23,21.77,21.95,21.03,21.16,57367
2024-05-24,21.3,21.78,21.11,21.63,46544
2024-05-28,21.45,21.45,19.14,20.1,222026
2024-05-29,19.84,20.39,19.63,20,43623
2024-05-30,20.04,20.17,19.625,19.65,43692
2024-05-31,19.78,19.89,19.48,19.85,31815
2024-06-03,20.05,20.28,19.48,19.69,51970
2024-06-04,19.55,20.01,19.4,19.99,44189
2024-06-05,20.05,20.05,19.6721,19.7,38777
2024-06-06,19.52,19.94,19.3955,19.53,24859
2024-06-07,19.38,19.68,19,19.65,65591
2024-06-10,19.49,19.7,19.4,19.4,25373
2024-06-11,19.23,19.27,19.02,19.02,49223
2024-06-12,19.22,19.65,19.22,19.47,45681
2024-06-13,19.45,19.7,19.3815,19.69,46971
2024-06-14,19.55,19.55,19.17,19.36,29012
2024-06-17,19.17,19.52,19.17,19.44,30927
2024-06-18,19.39,19.56,19.06,19.13,46833
2024-06-20,19.02,19.66,19.02,19.48,39146
2024-06-21,19.42,19.555,18.6,19.01,73804
2024-06-24,19.19,19.19,18.65,18.69,61266
