date,open,high,low,close,volume
2024-03-01,2.9844,3.0582,2.862,3.006,2178.7222
2024-03-04,3.06,3.06,2.8836,2.9538,9997.8333
2024-03-05,2.8854,2.916,2.844,2.862,9104.5
2024-03-06,2.88,2.9286,2.6694,2.7648,12078.0556
2024-03-07,2.7648,2.8062,2.6694,2.6784,7177.6111
2024-03-08,2.7,2.79,2.61,2.6136,4006.9444
2024-03-11,2.6874,2.7882,2.5758,2.6298,22005.3333
2024-03-12,2.5506,2.8296,2.5506,2.6874,12132.7222
2024-03-13,2.682,2.754,2.637,2.7126,5714.2222
2024-03-14,2.8332,2.8332,2.25,2.4804,14745.7222
2024-03-15,2.574,2.592,2.52,2.52,3947.2778
2024-03-18,2.628,2.646,2.448,2.466,10762.1667
2024-03-19,2.466,2.466,2.2968,2.4066,10100.2778
2024-03-20,2.52,2.5326,2.3418,2.5038,5906.3333
2024-03-21,2.52,2.52,2.3949,2.4498,8022
2024-03-22,2.502,2.52,2.466,2.4676,2415.1667
2024-03-25,2.4678,2.4678,2.403,2.4498,5661.2222
2024-03-26,2.448,2.5092,2.394,2.394,2810.7778
2024-03-27,2.43,2.52,2.358,2.5038,9352.7222
2024-03-28,2.502,2.79,2.502,2.664,23609.1667
2024-04-01,2.6622,2.6622,2.448,2.5632,7104.1667
2024-04-02,2.5632,2.6946,2.3562,2.4984,58352.8889
2024-04-03,2.4804,2.484,2.178,2.4588,26626.6111
2024-04-04,2.385,2.43,2.2374,2.2536,4785.1111
2024-04-05,2.268,2.61,2.232,2.43,30119.0556
2024-04-08,2.5146,2.5146,2.268,2.475,5531.8889
2024-04-09,2.4768,2.4768,2.34,2.4732,7529.8889
2024-04-10,2.304,2.952,2.304,2.691,252758.5556
2024-04-11,2.52,2.6982,2.3958,2.61,39786.5
2024-04-12,2.5758,3.4866,2.376,2.8656,728986.2778
2024-04-15,2.844,2.8602,2.385,2.448,315440.5
2024-04-16,2.457,2.4642,1.9098,1.953,150402.1667
2024-04-17,1.953,1.953,1.6434,1.7928,65052.9444
2024-04-18,1.764,1.8018,1.7208,1.7712,22823.3333
2024-04-19,1.7982,2.0196,1.7712,1.9872,96079.7222
2024-04-22,1.9278,1.9962,1.8,1.8918,46061.5
2024-04-23,1.8342,1.8918,1.8,1.8216,22871.1667
2024-04-24,1.836,1.836,1.26,1.5642,130187.3333
2024-04-25,1.5192,1.62,1.3986,1.476,46583.7222
2024-04-26,1.593,2.5146,1.53,1.638,677792.4444
2024-04-29,1.602,1.782,1.4508,1.746,153604.2222
2024-04-30,1.7442,1.7982,1.62,1.7046,100362.8333
2024-05-01,1.69,1.99,1.38,1.72,255367
2024-05-02,1.69,1.87,1.63,1.8,188162
2024-05-03,1.75,1.96,1.66,1.72,379489
2024-05-06,1.72,1.84,1.7182,1.75,107383
2024-05-07,1.75,2.118,1.75,1.82,279469
2024-05-08,1.79,1.92,1.79,1.81,29791
2024-05-09,1.77,1.94,1.77,1.84,89541
2024-05-10,1.88,1.88,1.76,1.76,113086
2024-05-13,1.76,1.8684,1.76,1.7884,101753
2024-05-14,1.78,1.8,1.75,1.77,27623
2024-05-15,1.77,1.7899,1.68,1.7,27587
2024-05-16,1.69,1.78,1.69,1.7599,28372
2024-05-17,1.74,1.75,1.68,1.69,38228
2024-05-20,1.67,1.68,1.61,1.66,16457
2024-05-21,1.7,1.708,1.63,1.69,16327
2024-05-22,1.67,1.67,1.62,1.63,14251
2024-05-23,1.63,1.7809,1.5601,1.62,53053
2024-05-24,1.62,1.64,1.58,1.58,10318
2024-05-28,1.65,1.65,1.454,1.5,53364
2024-05-29,1.475,1.535,1.45,1.46,14763
2024-05-30,1.46,1.5,1.46,1.49,4666
2024-05-31,1.49,1.5265,1.49,1.5,3434
2024-06-03,1.46,1.51,1.4,1.41,11948
2024-06-04,1.42,1.51,1.4106,1.4601,11832
2024-06-05,1.45,1.4899,1.45,1.46,74851
2024-06-06,1.47,1.47,1.4109,1.43,18397
2024-06-07,1.48,1.7,1.479,1.55,76379
2024-06-10,1.51,1.545,1.35,1.35,38730
2024-06-11,1.32,1.51,1.32,1.37,9739
2024-06-12,1.32,1.45,1.32,1.45,7263
2024-06-13,1.37,1.44,1.32,1.41,17457
2024-06-14,1.34,1.41,1.34,1.34,2807
2024-06-17,1.34,1.4,1.3301,1.34,12060
2024-06-18,1.3899,1.39,1.37,1.37,5318
2024-06-20,1.33,1.485,1.33,1.42,10249
2024-06-21,1.41,1.4446,1.3811,1.4,5377
2024-06-24,1.4,1.4683,1.4,1.42,3535
2024-06-25,1.41,1.49,1.41,1.44,2360
2024-06-26,1.41,1.455,1.41,1.4327,1707
2024-06-27,1.44,1.44,1.4331,1.439,558
2024-06-28,1.455,1.455,1.4101,1.44,2901
2024-07-01,1.45,1.48,1.4101,1.45,3892
2024-07-02,1.46,1.46,1.4105,1.44,1570
2024-07-03,1.35,1.4552,1.35,1.4552,2664
2024-07-05,1.39,1.43,1.39,1.42,3397
2024-07-08,1.39,1.5399,1.39,1.52,11563
2024-07-09,1.53,1.66,1.49,1.64,19407
2024-07-10,1.6501,1.665,1.5201,1.5999,7865
2024-07-11,1.51,1.65,1.51,1.65,5230
2024-07-12,1.6498,1.65,1.55,1.59,5052
2024-07-15,1.6,1.6197,1.54,1.54,3421
2024-07-16,1.51,1.6099,1.48,1.58,5853
2024-07-17,1.58,1.58,1.5101,1.56,2503
2024-07-18,1.57,1.66,1.49,1.5536,18823
2024-07-19,1.54,1.5907,1.39,1.44,19011
2024-07-22,1.4498,1.52,1.44,1.49,7654
2024-07-23,1.6,1.6,1.47,1.58,7176
2024-07-24,1.545,1.59,1.52,1.52,4906
2024-07-25,1.58,1.58,1.51,1.5201,2642
2024-07-26,1.54,1.54,1.5,1.52,2564
2024-07-29,1.56,1.59,1.52,1.59,5505
2024-07-30,1.59,1.788,1.5774,1.7038,85486
2024-07-31,1.66,1.84,1.66,1.79,27483
2024-08-01,1.8,1.8899,1.65,1.81,24161
2024-08-02,1.8,1.85,1.6331,1.74,14955
2024-08-05,1.61,1.75,1.47,1.5199,44734
2024-08-06,1.54,2.25,1.54,2.19,923321
2024-08-07,2.13,2.5,2.0901,2.2248,141877
2024-08-08,2.175,2.25,2.12,2.24,58606
2024-08-09,2.18,2.3112,1.99,2.11,26561
2024-08-12,2.1042,2.3399,2.0207,2.32,37872
2024-08-13,2.32,2.4197,1.99,2.05,69125
2024-08-14,2.02,2.19,2.02,2.1533,7720
2024-08-15,2.2,2.22,2.05,2.13,11634
2024-08-16,2.2,2.2,2,2.145,31752
2024-08-19,2.19,2.32,2.12,2.285,35642
2024-08-20,2.25,2.38,2.25,2.354,10908
2024-08-21,2.345,2.3799,2.29,2.35,13596
2024-08-22,2.35,2.35,2.3,2.3,2302
2024-08-23,2.27,2.4,2.27,2.305,12200
2024-08-26,2.4,2.6,2.4,2.5867,38847
2024-08-27,2.77,3.125,2.6,3.0001,73050
2024-08-28,3.11,3.33,2.8838,2.92,61070
2024-08-29,2.885,3.072,2.7,2.9,39178
2024-08-30,2.77,3.2899,2.77,3.04,31507
2024-09-03,3.08,3.1899,2.66,2.86,51596
2024-09-04,2.81,3.01,2.6943,2.74,11089
2024-09-05,2.62,2.79,2.62,2.7474,6062
2024-09-06,2.78,2.94,2.51,2.8,20640
2024-09-09,2.79,2.8176,2.59,2.6758,10973
2024-09-10,2.57,2.7,1.8,2.33,96521
2024-09-11,2.4,2.5299,2.21,2.465,12744
2024-09-12,2.3729,2.79,2.3364,2.75,19374
2024-09-13,2.8,2.89,2.6,2.87,24934
2024-09-16,2.74,3.05,2.56,2.9661,71567
2024-09-17,3,3.01,2.79,2.969,21561
2024-09-18,2.93,2.988,2.7701,2.8698,2410
2024-09-19,2.84,3.0755,2.84,3.06,32669
2024-09-20,3.08,3.2,2.75,3.08,119984
2024-09-23,2.985,2.9999,2.91,2.92,7856
2024-09-24,2.999379,3.46,2.91,3.145,66662
2024-09-25,3.2,3.2266,2.92,3.04,16112
2024-09-26,2.78,3.04,2.61,2.97,24614
2024-09-27,2.995,3.11,2.92,2.95,7743
2024-09-30,2.81,2.9465,2.74,2.838,13855
2024-10-01,2.85,3.105,2.75,2.96,27548
2024-10-02,3.1,3.1,2.78,3.1,32853
2024-10-03,2.9,3.01,2.76,2.95,10898
2024-10-04,2.89,3.25,2.82,3.08,27566
2024-10-07,2.9438,3.2389,2.9438,3.065,17382
2024-10-08,3.09,3.3,3.07,3.27,12894
2024-10-09,3.2435,3.31,2.7901,3.22,27664
2024-10-10,2.98,3.19,2.94,3.07,11909
2024-10-11,3.11,3.25,3.07,3.2,6954
2024-10-14,3.15,3.7,3.15,3.45,39345
2024-10-15,3.47,3.47,3.28,3.36,5304
2024-10-16,3.4009,3.59,3.221,3.388,17645
2024-10-17,3.35,3.47,3.1905,3.47,2546
2024-10-18,3.47,3.5,3.2426,3.47,10518
2024-10-21,3.46,3.4924,3.3,3.3637,2173
2024-10-22,3.45,3.45,3.2801,3.375,6585
2024-10-23,3.2801,3.35,3.25,3.35,4644
2024-10-24,3.3,3.36,3.29,3.36,5241
2024-10-25,3.425,3.52,3.314,3.47,21394
2024-10-28,3.4,3.4,2.86,2.94,29982
2024-10-29,2.96,2.96,2.1,2.44,88632
2024-10-30,2.39,2.39,2.16,2.22,18342
2024-10-31,2.268,2.28,2.11,2.27,9949
2024-11-01,2.38,2.57,2.1701,2.45,39447
2024-11-04,2.57,2.89,2.47,2.62,26869
2024-11-05,2.67,2.68,2.45,2.64,21177
2024-11-06,2.71,2.71,2.4986,2.6427,3747
2024-11-07,2.5713,2.6475,2.5301,2.5301,6987
2024-11-08,2.5355,2.7277,2.4701,2.6958,6041
2024-11-11,2.4,2.6511,2.4,2.5696,16235
2024-11-12,2.7984,2.7984,2.41,2.6323,7577
2024-11-13,2.36,2.52,2.36,2.3712,4314
2024-11-14,2.36,2.38,2.3,2.3,5234
2024-11-15,2.2,2.36,2.02,2.02,15915
2024-11-18,2.13,2.2182,2.04,2.12,20627
2024-11-19,2.03,2.21,2.03,2.17,19597
2024-11-20,2.09,2.199,2.09,2.14,13978
2024-11-21,2.06,2.24,2.06,2.215,4026
2024-11-22,2.22,2.27,2.2,2.23,3161
2024-11-25,2.12,2.3,2.1,2.29,63227
2024-11-26,2.35,2.6,2.27,2.35,29989
2024-11-27,2.39,2.39,2.3064,2.3064,2683
2024-11-29,2.3,2.44,2.23,2.44,8637
2024-12-02,2.39,2.41,2.36,2.36,6350
2024-12-03,2.37,2.41,2.3,2.3779,11657
2024-12-04,2.29,2.4498,2.27,2.27,8833
2024-12-05,2.38,2.38,2.28,2.28,7864
2024-12-06,2.3,2.38,2.22,2.2538,4189
2024-12-09,2.33,2.3799,2.15,2.191,23411
2024-12-10,2.3,2.3,2.1404,2.2041,7951
2024-12-11,2.228,2.56,2.0369,2.295,35455
2024-12-12,2.2,2.21,2.09,2.1454,6089
2024-12-13,2.09,2.1935,2.0152,2.045,15567
2024-12-16,2.0747,2.2478,2.06,2.18,7269
2024-12-17,2.11,2.268,2.0515,2.143,9196
2024-12-18,2.13,2.22,2.1131,2.12,4087
2024-12-19,2.1048,2.15,2.1048,2.1394,4858
2024-12-20,2.06,2.15,2.06,2.1263,1657
2024-12-23,2.11,2.14,2.11,2.12,3153
2024-12-24,2.11,2.12,2.11,2.12,765
2024-12-26,2.3,2.305,2.1301,2.1301,3074
2024-12-27,2.2309,2.2612,2.1,2.2612,4796
2024-12-30,2.22,2.26,2.1,2.21,16790
2024-12-31,2.12,2.24,2.09,2.09,15681
2025-01-02,2.08,2.2274,2.08,2.15,3491
2025-01-03,2.15,2.1805,2.1,2.155,8068
2025-01-06,2.21,2.34,2.16,2.22,8759
2025-01-07,2.2589,2.435,2.197,2.39,17932
2025-01-08,2.41,2.67,2.3601,2.42,31899
2025-01-10,2.36,2.43,2.27,2.27,8451
2025-01-13,2.27,2.34,2.22,2.23,2334
2025-01-14,2.345,2.4,2.22,2.22,2139
2025-01-15,2.252,2.252,2.14,2.1905,3204
2025-01-16,2.16,2.2434,2.1501,2.2431,3253
2025-01-17,2.2955,2.45,2.23,2.45,1908
2025-01-21,2.4,2.64,2.24,2.43,22823
2025-01-22,2.45,2.47,2.45,2.45,13959
2025-01-23,2.29,2.5265,2.29,2.45,1981
2025-01-24,2.385,2.5352,2.3756,2.38,2873
2025-01-27,2.1792,2.3289,2.12,2.1505,6689
2025-01-28,2.35,2.35,2.15,2.19,1470
2025-01-29,2.3,2.3,2.1399,2.17,4813
2025-01-30,2.3011,2.4,2.16,2.1972,5169
2025-01-31,2.1589,2.26,2.15,2.16,3603
2025-02-03,2.2441,2.2441,2.11,2.2275,2869
2025-02-04,2.2175,2.2187,2.1,2.208,4067
2025-02-05,2.1,2.2029,2.1,2.145,2691
2025-02-06,2.1872,2.1976,2.015,2.0705,19357
2025-02-07,2.1371,2.26,2.05,2.145,2561
2025-02-10,2.125,2.1819,2.0599,2.087,8825
2025-02-11,2.06,2.09,2.0405,2.0405,4702
2025-02-12,2.08,2.1,2.0354,2.06,3621
2025-02-13,2.1841,2.1841,2.08,2.08,7330
2025-02-14,2.19,2.19,2.04,2.086,1449
2025-02-18,2.03,2.0798,2.03,2.0798,1468
2025-02-19,2.1065,2.1492,2.1065,2.1492,822
2025-02-20,2.105,2.17,2.08,2.08,2315
2025-02-21,2.04,2.19,2.03,2.1065,12942
2025-02-24,2.1561,2.1561,2.04,2.04,5636
2025-02-25,2.04,2.04,1.87,1.91,12801
2025-02-26,2,2,1.9,1.95,4980
2025-02-27,1.92,1.97,1.88,1.956,4410
2025-02-28,1.915,1.94,1.9123,1.92,3676
