date,open,high,low,close,volume
2024-03-01,20.05,21.24,19.8943,21.19,298246
2024-03-04,21.22,21.435,20.1,20.13,188017
2024-03-05,20.07,20.3,19.56,19.73,178829
2024-03-06,20,20,19.27,19.4,148889
2024-03-07,19.51,19.88,19.38,19.63,135981
2024-03-08,19.92,19.98,19.15,19.34,197868
2024-03-11,19.37,19.87,19.22,19.66,163265
2024-03-12,19.67,19.67,19.23,19.31,95357
2024-03-13,19.29,19.9,19.29,19.86,122179
2024-03-14,19.72,19.72,18.98,19.14,172662
2024-03-15,18.84,19.59,17.57,19.33,537141
2024-03-18,19.26,19.26,17.635,17.81,247371
2024-03-19,17.81,18.31,17.79,18.04,268711
2024-03-20,17.93,17.995,17.51,17.8,288077
2024-03-21,17.9,19.05,17.65,18.96,258087
2024-03-22,18.89,19.185,18.41,18.73,178626
2024-03-25,18.85,19.37,18.75,19.08,247506
2024-03-26,19.15,19.78,18.79,19.32,248551
2024-03-27,19.36,20.65,19.36,20.65,292627
2024-03-28,20.55,21.42,20.55,21.13,289574
2024-04-01,21.25,21.25,20.76,20.96,269811
2024-04-02,20.86,20.93,19.86,20.24,209624
2024-04-03,20.18,20.47,19.95,20.15,211713
2024-04-04,18.55,20.26,17.04,19.61,606166
2024-04-05,19.44,20.62,19.03,19.98,221973
2024-04-08,20.27,20.53,20.03,20.17,246667
2024-04-09,20.27,20.76,20.15,20.52,373522
2024-04-10,19.79,19.79,18.41,18.85,544395
2024-04-11,18.87,19.04,18.22,18.23,338860
2024-04-12,18.42,18.76,17,17.26,416739
2024-04-15,17.39,18.15,17.37,17.6,347778
2024-04-16,17.31,17.48,16.9,17.43,381149
2024-04-17,17.78,18.61,17.64,18.22,267939
2024-04-18,18.25,19.13,17.87,18.71,273076
2024-04-19,18.54,18.72,18.265,18.41,214000
2024-04-22,18.41,18.62,18.12,18.16,213511
2024-04-23,18.05,18.24,17.56,17.64,268790
2024-04-24,17.54,17.94,17.38,17.91,318247
2024-04-25,17.87,18.4,17.48,18.14,351667
2024-04-26,18.33,18.42,17.81,17.9,204171
2024-04-29,18.03,18.415,17.83,17.99,146645
2024-04-30,17.57,17.795,17.24,17.42,274947
2024-05-01,17.64,17.7585,16.84,17.31,303037
2024-05-02,17.52,17.97,17.415,17.55,216243
2024-05-03,17.92,18.04,17.5,17.86,174122
2024-05-06,18.09,18.81,18.0881,18.79,204237
2024-05-07,18.82,19.0799,18.21,18.25,221839
2024-05-08,17.86,17.86,17.37,17.62,166304
2024-05-09,17.57,18.23,17.54,18.21,166446
2024-05-10,18.34,18.43,18.0316,18.39,205120
2024-05-13,18.51,18.97,18.51,18.53,144139
2024-05-14,18.93,19.6,18.7,19.46,334115
2024-05-15,19.69,19.7,18.32,18.78,167194
2024-05-16,18.74,19.25,18.62,19.05,127515
2024-05-17,19.28,19.33,18.86,18.89,126939
2024-05-20,18.76,18.8,18.032,18.15,232963
2024-05-21,18.08,18.3,17.94,18.04,118447
2024-05-22,17.75,18.31,17.75,18.17,173223
2024-05-23,18.21,18.21,17.2647,17.55,146981
2024-05-24,17.75,17.88,17.42,17.6,142427
2024-05-28,18,18.6,17.74,17.86,163464
2024-05-29,17.59,17.72,16.57,16.66,199877
2024-05-30,16.99,17.4,16.99,17.14,166458
2024-05-31,17.53,17.53,17.01,17.11,258291
2024-06-03,17.31,17.39,16.58,16.87,219276
2024-06-04,16.58,16.59,15.9,16.18,298073
2024-06-05,16.18,16.31,15.95,16.26,238699
2024-06-06,16.26,16.54,16.08,16.22,120132
2024-06-07,15.93,16.19,15.7,15.91,158939
2024-06-10,15.81,16.32,15.58,16.25,240166
2024-06-11,15.96,15.96,15.46,15.75,245754
2024-06-12,16.35,16.35,15.55,15.98,400483
2024-06-13,15.9,16.05,15.23,15.5,283120
2024-06-14,15.27,15.61,15.11,15.51,249913
2024-06-17,15.46,15.46,15.02,15.35,251133
2024-06-18,15.28,15.46,14.68,14.86,380247
2024-06-20,14.85,14.9975,14.62,14.63,380995
2024-06-21,14.64,14.82,14.45,14.59,748695
2024-06-24,14.77,15.15,14.55,15.04,389163
2024-06-25,14.9,14.9,14.25,14.32,444353
2024-06-26,14.24,14.505,14.03,14.47,378202
2024-06-27,14.53,14.91,14.36,14.64,303587
2024-06-28,14.83,15.42,14.76,15.27,675272
2024-07-01,15.29,15.64,15.18,15.29,470148
