date,open,high,low,close,volume
2024-03-01,6.16,7.08,6.017,6.75,227139
2024-03-04,6.9,7.14,6.5,6.73,48290
2024-03-05,6.67,6.851,6.36,6.58,41019
2024-03-06,6.68,6.79,6.18,6.43,61953
2024-03-07,6.5,6.7,6.23,6.55,45293
2024-03-08,6.52,6.6,6.28,6.6,23492
2024-03-11,6.47,6.56,6.21,6.29,26460
2024-03-12,6.22,6.46,5.89,6.09,31118
2024-03-13,6.01,6.15,6.01,6.01,17321
2024-03-14,5.98,5.99,5.6446,5.65,21195
2024-03-15,5.6,5.85,5.51,5.61,8630
2024-03-18,5.61,5.89,5.61,5.62,10899
2024-03-19,5.7935,5.8613,5.62,5.63,9633
2024-03-20,5.59,5.877,5.59,5.84,7593
2024-03-21,6.08,6.08,5.6048,5.86,18182
2024-03-22,5.81,6.02,5.7401,5.8,6330
2024-03-25,5.75,5.99,5.75,5.88,8429
2024-03-26,5.81,6.2999,5.81,6.28,20797
2024-03-27,5.91,6.3,5.66,5.84,53252
2024-03-28,5.99,6,5.63,5.84,15698
2024-04-01,5.67,6,5.67,5.92,19586
2024-04-02,5.81,6,5.735,5.83,14662
2024-04-03,5.73,5.8898,5.15,5.2,70495
2024-04-04,5.31,5.53,4.45,4.6,97051
2024-04-05,4.65,5.029,4.5,4.75,26516
2024-04-08,4.76,4.76,4.43,4.5,26330
2024-04-09,4.48,4.73,4.48,4.59,13209
2024-04-10,4.4,4.4,4,4.08,80547
2024-04-11,4.06,4.19,3.87,3.9,72845
2024-04-12,3.92,3.92,3.72,3.72,23939
2024-04-15,3.8,3.85,3.4417,3.67,61107
2024-04-16,3.58,3.7499,3.48,3.67,28807
2024-04-17,3.78,4.16,3.74,4.08,23030
2024-04-18,4.07,4.215,4.05,4.08,14176
2024-04-19,4.01,4.08,3.4601,3.57,44137
2024-04-22,3.7,3.9,3.62,3.7,16549
2024-04-23,3.69,4.16,3.69,3.92,6971
2024-04-24,3.97,4.08,3.87,4.01,8563
2024-04-25,4.08,4.33,3.87,4.32,23491
2024-04-26,4.35,4.35,4.09,4.1,4019
2024-04-29,4.15,4.42,4.0201,4.41,5020
2024-04-30,4.2814,4.5,4.25,4.27,14850
2024-05-01,3.86,4.24,3.86,4.02,16802
2024-05-02,4.02,4.05,3.85,3.96,14824
2024-05-03,3.97,4.14,3.82,3.97,39900
2024-05-06,4.1,4.39,4.08,4.29,28048
2024-05-07,4.3,4.3,4.2,4.2,10450
2024-05-08,4.2,4.2,3.8908,4.1,6019
2024-05-09,4.1,4.1,3.95,4.021,12984
2024-05-10,4.13,4.29,4.073,4.27,11111
2024-05-13,4.27,4.66,4.27,4.46,32396
2024-05-14,4.63,4.7,4.535,4.65,32312
2024-05-15,4.72,4.7416,4.54,4.72,21036
2024-05-16,4.73,4.7305,4.57,4.68,14551
2024-05-17,4.81,5.24,4.75,4.99,130400
2024-05-20,5.08,5.24,4.95,5.14,111551
2024-05-21,5.46,5.46,5.1,5.15,25438
2024-05-22,5.24,5.25,5.0901,5.11,44830
2024-05-23,5.15,5.22,4.91,4.97,40015
2024-05-24,5.045,5.045,4.9,4.97,7205
2024-05-28,4.98,5.1152,4.7601,4.88,31656
2024-05-29,4.75,4.9407,4.6,4.7,26963
2024-05-30,5,5.005,4.2652,4.39,41257
2024-05-31,4.42,4.525,4.26,4.32,19232
2024-06-03,4.26,4.465,4.26,4.37,24709
2024-06-04,4.28,4.465,4.15,4.39,43011
2024-06-05,4.39,4.39,4.15,4.26,31907
2024-06-06,4.23,4.23,3.91,3.96,65375
2024-06-07,3.97,3.98,3.73,3.76,58396
2024-06-10,3.68,3.8692,3.56,3.58,60183
2024-06-11,3.55,4.18,3.55,4.18,16721
2024-06-12,4,4.225,3.89,4.2,24869
2024-06-13,4.08,4.159,4.02,4.02,5354
2024-06-14,3.9,4.05,3.74,4.05,7909
2024-06-17,4.0005,4.03,3.785,4.03,18183
2024-06-18,3.9,4.09,3.9,4.08,12110
2024-06-20,3.95,3.95,3.765,3.77,15921
2024-06-21,3.74,3.8717,3.58,3.655,16816
2024-06-24,3.64,3.94,3.64,3.89,20376
2024-06-25,3.78,3.92,3.7,3.92,21954
2024-06-26,3.92,4.2,3.86,3.98,33863
2024-06-27,3.91,3.96,3.82,3.91,18881
2024-06-28,3.85,4.04,3.8,3.917,3845
2024-07-01,3.82,4.01,3.82,3.94,10580
2024-07-02,3.92,4.08,3.86,4.05,60247
2024-07-03,4.07,4.07,3.94,4.045,3714
2024-07-05,3.96,4,3.9201,3.97,6187
2024-07-08,3.91,4,3.9,3.9,13254
2024-07-09,3.9,4,3.8488,4,9076
2024-07-10,4.05,4.05,3.8801,4.05,11996
2024-07-11,4,4.14,3.926,4.08,15722
2024-07-12,4.04,4.525,4.04,4.3,128718
2024-07-15,4.44,4.51,4.18,4.48,32832
2024-07-16,4.5,4.58,4.29,4.58,45858
2024-07-17,4.43,4.552,4.25,4.3,27405
2024-07-18,4.34,4.4,4.25,4.37,9203
2024-07-19,4.29,4.3278,4.04,4.04,31500
2024-07-22,3.94,4.1275,3.94,4.02,16173
2024-07-23,3.91,4.05,3.91,4.05,22168
2024-07-24,4.05,4.1,3.94,4.02,71836
2024-07-25,3.91,4.09,3.91,4.02,9870
2024-07-26,4.05,4.05,3.91,3.9816,11463
2024-07-29,4.01,4.01,3.83,3.85,19654
