date,open,high,low,close,volume
2024-03-01,0.0142,0.0153,0.0107,0.0107,3715
2024-03-04,0.0112,0.0117,0.0107,0.0107,3500
2024-04-04,0.0199,0.02,0.018,0.02,4000
2024-04-05,0.0185,0.02,0.0185,0.02,16333
2024-04-12,0.0239,0.024,0.0224,0.0224,2150
2024-04-15,0.0233,0.0234,0.02,0.0224,7100
2024-04-17,0.0224,0.0282,0.02,0.025,8000
2024-04-23,0.02,0.02,0.02,0.02,100
2024-04-26,0.0283,0.0327,0.0252,0.0326,11400
2024-04-29,0.03,0.032,0.0201,0.027,13721
2024-04-30,0.03,0.0485,0.022,0.03,32836
2024-05-03,0.03,0.03,0.03,0.03,2500
2024-05-15,0.03,0.03,0.027,0.027,5409
2024-05-22,0.0249,0.0249,0.0249,0.0249,100
2024-06-11,0.0225,0.0225,0.02,0.02,50719
2024-07-09,0.0217,0.0226,0.02,0.02,100000
2024-08-07,0.0212,0.0212,0.0201,0.0201,13109
2024-08-12,0.0201,0.0374,0.0201,0.0355,62300
2024-08-14,0.036,0.036,0.036,0.036,850
2024-08-27,0.024,0.024,0.018,0.0199,471926
2024-09-13,0.0325,0.0368,0.0325,0.0368,2201
2024-10-21,0.0296,0.0302,0.0296,0.03,17790
2024-11-27,0.0239,0.0239,0.0208,0.0208,455
2024-12-06,0.0244,0.0244,0.0244,0.0244,250
2024-12-16,0.0245,0.0247,0.0111,0.015,262841
2024-12-17,0.0289,0.0289,0.0289,0.0289,100
2024-12-18,0.0161,0.0161,0.0127,0.0127,5000
2024-12-23,0.02,0.0213,0.0125,0.0125,257912
2024-12-24,0.0249,0.0249,0.0249,0.0249,180
2024-12-26,0.024,0.024,0.024,0.024,100
2024-12-31,0.022499,0.0517,0.022499,0.0315,62765
2025-01-02,0.0383,0.0456,0.0379,0.0456,300
2025-01-03,0.039,0.0608,0.039,0.0607,19735
2025-01-06,0.05,0.0578,0.0202,0.057,1990
2025-01-08,0.05,0.05,0.0499,0.0499,265
2025-01-10,0.0461,0.0461,0.0461,0.0461,105
2025-01-13,0.0442,0.06,0.0442,0.06,26065
2025-01-15,0.0599,0.0713,0.0588,0.0668,18217
2025-01-17,0.05,0.0681,0.0495,0.06,1305782.0
2025-01-21,0.0601,0.0636,0.0601,0.0601,1705
2025-01-22,0.06,0.064,0.0501,0.051,16987
2025-01-24,0.0561,0.064,0.0501,0.0513,434661
2025-01-27,0.06,0.064,0.0499,0.05,115890
2025-01-28,0.063998,0.0706,0.055,0.06302,137704
2025-01-30,0.05,0.05,0.0476,0.05,57692
2025-01-31,0.07,0.07,0.0675,0.0675,362
2025-02-03,0.065,0.066103,0.06,0.065,738382
2025-02-04,0.0526,0.0526,0.0526,0.0526,500
2025-02-05,0.044,0.09,0.0399,0.05,2260823.0
2025-02-06,0.05,0.0575,0.045,0.055,269664
2025-02-07,0.0499,0.055,0.041,0.05,217581
2025-02-10,0.059,0.0888,0.05,0.08,442245
2025-02-11,0.0799,0.0799,0.0799,0.0799,5687
2025-02-12,0.08,0.08,0.071,0.0721,52472
2025-02-13,0.08,0.08,0.0506,0.0506,58775
