date,open,high,low,close,volume
2024-07-05,0.09,0.11,0.08,0.085,1309316.0
2024-07-08,0.08,0.09,0.08,0.08,361300
2024-07-09,0.08,0.08,0.07,0.07,637700
2024-07-10,0.07,0.07,0.06,0.06,600
2024-07-11,0.07,0.07,0.07,0.07,69505
2024-07-16,0.07,0.07,0.07,0.07,80728
2024-07-18,0.06,0.0659,0.06,0.0659,50000
2024-07-22,0.06,0.06,0.06,0.06,20006
2024-07-24,0.06,0.06,0.06,0.06,50014
2024-07-29,0.068249,0.068249,0.068249,0.068249,1000
2024-07-30,0.07,0.07,0.0601,0.0601,2500
2024-08-01,0.0601,0.0601,0.0601,0.0601,2000
2024-08-02,0.06,0.06,0.06,0.06,1000
2024-08-05,0.0601,0.062,0.0601,0.0619,929
2024-08-12,0.09,0.09,0.09,0.09,195
2024-08-13,0.066,0.066,0.0601,0.0601,1025
2024-08-14,0.0841,0.0841,0.0841,0.0841,121
2024-08-15,0.09,0.09,0.066,0.066,702
2024-08-16,0.0761,0.08,0.0761,0.079006,5701
2024-08-19,0.0601,0.08,0.06,0.06,112055
2024-08-20,0.06,0.062,0.06,0.061,103205
2024-08-21,0.065051,0.065051,0.06,0.0601,24929
2024-08-22,0.0698,0.0698,0.0698,0.0698,242
2024-08-23,0.06,0.07,0.06,0.0601,13884
2024-08-26,0.065,0.07,0.065,0.07,200251
2024-08-27,0.08,0.08,0.0602,0.0602,2400
2024-08-28,0.060101,0.08,0.0601,0.0601,3556
2024-09-03,0.0799,0.0799,0.0601,0.0639,3039
2024-09-04,0.0768,0.08,0.076,0.08,2769
2024-09-05,0.0602,0.0799,0.0602,0.0799,5070
2024-09-09,0.0652,0.0652,0.0652,0.0652,1050
2024-09-12,0.074,0.074,0.0602,0.0713,3983
2024-09-16,0.0601,0.064757,0.0601,0.064757,14557
2024-09-18,0.0623,0.0628,0.0602,0.0627,2020
2024-09-20,0.0713,0.0714,0.0713,0.0714,250
2024-09-24,0.0602,0.0602,0.0602,0.0602,2000
2024-09-26,0.067101,0.067101,0.0626,0.064823,2140
2024-09-27,0.0602,0.0629,0.0602,0.0628,1700
2024-09-30,0.074,0.074,0.0633,0.0633,2000
2024-10-07,0.0629,0.0629,0.06,0.0602,401100
2024-10-08,0.0636,0.065,0.0602,0.065,2701
2024-10-09,0.065,0.065,0.065,0.065,810
2024-10-10,0.062101,0.07,0.062,0.0621,2362
2024-10-11,0.0628,0.0628,0.0628,0.0628,155
2024-10-14,0.0627,0.0627,0.0627,0.0627,829
2024-10-15,0.062,0.062,0.062,0.062,1000
2024-10-18,0.0636,0.0636,0.062,0.062,3700
2024-10-21,0.0601,0.0601,0.0601,0.0601,2800
2024-10-24,0.062,0.062,0.06,0.0602,252500
2024-10-30,0.065,0.065,0.0602,0.0602,1400
2024-10-31,0.061,0.061,0.0602,0.0602,1033
2024-11-01,0.0627,0.0627,0.0627,0.0627,1012
2024-11-04,0.06134,0.06134,0.06134,0.06134,254
2024-11-06,0.065,0.065,0.065,0.065,2200
2024-11-07,0.0601,0.065,0.0601,0.065,2400
2024-11-08,0.065,0.065,0.065,0.065,400
2024-11-12,0.065,0.065,0.065,0.065,3159
2024-11-13,0.065,0.065,0.065,0.065,2459
2024-11-14,0.061,0.061,0.0532,0.06,210030
2024-11-15,0.061,0.061,0.06,0.0601,3403
2024-11-18,0.0618,0.065,0.0538,0.06,2942
2024-11-19,0.06,0.0619,0.06,0.0601,8438
2024-11-20,0.065,0.065,0.0601,0.0601,6559
2024-11-21,0.0538,0.06,0.0511,0.054,292617
2024-11-22,0.06,0.06,0.051,0.051,8550
2024-11-25,0.053,0.053,0.053,0.053,161
