date,open,high,low,close,volume
2024-03-01,14.28,14.28,12.84,13.2,61687.25
2024-03-04,13.08,13.182,12.1212,12.36,18687.25
2024-03-05,12.12,12.84,12.12,12.48,6934.5833
2024-03-06,12.6,12.6,12.12,12.24,4083.4167
2024-03-07,12.24,12.48,11.52,11.52,14324.75
2024-03-08,11.76,11.8788,8.04,8.28,172150.5833
2024-03-11,8.4,8.4,6,6.96,146256.9167
2024-03-12,7.32,7.8,6.612,6.624,78591.3333
2024-03-13,6.828,7.1988,6.42,6.4596,15280.9167
2024-03-14,7.0344,7.0644,5.28,5.748,50378.5833
2024-03-15,5.748,6,4.7052,5.3436,50064.75
2024-03-18,5.508,6.36,5.304,5.34,22396.6667
2024-03-19,5.9232,5.9232,4.95,5.016,73003.25
2024-03-20,5.232,5.232,3.72,3.84,160742
2024-03-21,3.7932,3.936,3.7812,3.936,49132.5833
2024-03-22,3.84,4.0776,3.6084,3.984,42358.9167
2024-03-25,4.32,5.1552,4.284,4.6752,103413.3333
2024-03-26,4.6752,4.7988,4.32,4.41,17714.25
2024-03-27,4.5108,4.8,4.362,4.4988,22725.3333
2024-03-28,4.608,4.68,4.2144,4.332,20458.4167
2024-04-01,4.4688,4.56,4.32,4.368,10354.6667
2024-04-02,4.3632,4.56,4.2,4.4592,12814.5833
2024-04-03,4.4592,4.6751,4.446,4.512,4392.5833
2024-04-04,4.644,4.644,4.38,4.44,10553.6667
2024-04-05,4.548,4.56,4.2192,4.344,24709.9167
2024-04-08,4.56,4.56,4.224,4.296,9634.75
2024-04-09,4.5084,4.5096,3.9795,4.2,26758.5833
2024-04-10,4.44,4.44,4.1196,4.2228,7271.4167
2024-04-11,4.332,4.56,4.116,4.32,14403.9167
2024-04-12,4.548,4.5588,4.14,4.3008,44865.0833
2024-04-15,4.2,4.4388,4.08,4.32,33225.3333
2024-04-16,4.1904,4.56,3.96,4.1832,22213
2024-04-17,4.32,4.32,3.84,3.84,54948.6667
2024-04-18,3.84,3.8892,3.3744,3.6,68114.25
2024-04-19,3.66,3.96,3.54,3.672,28821.9167
2024-04-22,3.888,3.888,3.648,3.7056,28804.75
2024-04-23,3.6684,3.84,3.1788,3.348,35191
2024-04-24,3.36,3.5856,2.8944,3,46939.8333
2024-04-25,3.06,3.2388,2.544,2.7912,71172.8333
2024-04-26,2.8968,3.36,2.88,3.1116,23861.25
2024-04-29,3.276,3.36,2.9988,3.0024,27923.6667
2024-04-30,3,3.4799,2.9592,3.4032,24433.6667
2024-05-01,3.3012,6,3.3012,5.88,389004.3333
2024-05-02,6.174,10.2576,5.88,7.428,846752.5833
2024-05-03,7.44,10.56,7.3128,10.2,355160.5
2024-05-06,9.6468,9.84,9,9.4668,69320.4167
2024-05-07,9.048,9.12,6,7.2516,175083.3333
2024-05-08,7.2,7.4376,6.132,6.4392,41768.5
2024-05-09,6.264,6.9744,5.4,5.736,63599.25
2024-05-10,5.604,5.79,4.98,5.3184,66150.5
2024-05-13,5.28,5.628,4.2,4.332,124010.3333
2024-05-14,4.5,5.76,4.5,5.3352,74272.75
2024-05-15,5.1,5.6378,4.8132,5.3148,16755
2024-05-16,5.31,6.3912,5.2332,6.276,17815.25
2024-05-17,6.2172,7.68,5.9496,7.32,58027.9167
2024-05-20,7.2,7.68,6.72,7.086,14760.5
2024-05-21,7.2,7.2,6.1332,6.6168,25597.6667
2024-05-22,6.6,6.84,6.0372,6.6,6858.0833
2024-05-23,6.6,7.2,6.0012,6.6444,31167.25
2024-05-24,6.5028,6.84,6.24,6.5148,13763.8333
2024-05-28,6.828,6.828,6.12,6.324,30061.5
2024-05-29,6.468,6.72,5.7672,6.72,32100.6667
2024-05-30,6.84,6.84,6.1416,6.492,7386.25
2024-05-31,6.5388,6.5388,6.1452,6.252,6341.3333
2024-06-03,6.24,6.8364,5.856,6.468,7097.25
2024-06-04,6.48,6.708,6.1212,6.6,7034.5833
2024-06-05,6.6,7.8,6.5676,7.3212,18111.0833
2024-06-06,7.308,7.74,7.104,7.2,11522.5
2024-06-07,7.6668,8.5794,7.2,8.1252,25263.5833
2024-06-10,8.3352,8.3352,7.566,7.836,12483.4167
2024-06-11,8.016,8.3988,7.8,7.9896,9750.8333
2024-06-12,7.812,8.4,6.9804,7.5084,13940.5
2024-06-13,7.1604,7.5,7.1604,7.4406,4380
2024-06-14,7.32,7.44,7.1844,7.296,2974.5833
2024-06-17,7.3212,7.536,7.32,7.3224,8941.8333
2024-06-18,7.512,7.512,6.756,7.068,8718.5
2024-06-20,6.912,7.2,6.9,7.0992,8006.5
2024-06-21,7.308,7.32,6.5964,6.9264,6830.9167
2024-06-24,6.8952,7.2,6.7212,6.84,4466
2024-06-25,6.9,7.08,6.72,7.0776,3200.25
2024-06-26,7.032,7.8,7.032,7.5,7871.5
2024-06-27,7.68,7.8,6.12,6.6012,20156.6667
2024-06-28,6.84,6.84,6,6.0024,19111.6667
2024-07-01,6.0012,6.7194,6.0012,6.588,4608.3333
2024-07-02,6.7416,6.8376,6.1344,6.6588,4725.8333
2024-07-03,6.348,6.5988,6.1812,6.2004,5983.25
2024-07-05,6.24,6.552,6.012,6.528,6357.5
2024-07-08,6.732,6.732,6.12,6.1932,8503.5833
2024-07-09,6.12,6.12,5.7012,6.1188,6631.0833
2024-07-10,6.1188,6.54,5.88,6.0324,16804.6667
2024-07-11,6.54,6.54,6.0456,6.0612,10706.0833
2024-07-12,5.976,6.516,5.976,6.456,2285.5
2024-07-15,6.6,6.7788,6.024,6.0684,4069.5
2024-07-16,6.0672,6.312,6,6.0906,4963.5
2024-07-17,6.312,6.312,6,6.24,4766.1667
2024-07-18,6.234,6.234,5.8908,6,5429.8333
2024-07-19,5.8272,6.1176,5.76,5.88,2540.25
2024-07-22,6,6.18,5.7767,6,5354.0833
2024-07-23,6.2388,6.24,5.7,5.994,5640.5833
2024-07-24,6,6.24,5.4144,5.64,5512.4167
2024-07-25,5.4,5.8788,5.4,5.5572,7306.0833
2024-07-26,5.6628,5.88,5.5572,5.7132,4999.1667
2024-07-29,5.7576,5.76,5.5656,5.7,14417.4167
2024-07-30,5.7468,5.8788,5.58,5.76,3590.3333
2024-07-31,5.6413,6,5.64,6,16415.25
2024-08-01,6.114,6.36,5.6544,6.3588,19671.6667
2024-08-02,6.24,6.2412,5.64,5.76,4540.25
2024-08-05,5.4,5.7588,5.22,5.3028,13208.9167
2024-08-06,5.532,6,5.28,5.28,5993.3333
2024-08-07,5.148,5.76,4.8156,5.304,6079.9167
2024-08-08,5.3928,5.394,5.0664,5.3196,3636.75
2024-08-09,5.4,5.5308,5.0964,5.22,3318
2024-08-12,5.2212,5.4,5.2212,5.2944,3222.6667
2024-08-13,5.5056,5.8968,5.1624,5.8968,4400.5
2024-08-14,5.52,5.9988,5.2032,5.4,17289.75
2024-08-15,5.412,5.796,5.0412,5.16,18170
2024-08-16,5.364,5.364,4.9201,5.0976,2225.25
2024-08-19,5.1312,5.28,4.8,4.92,4377.1667
2024-08-20,5.0256,5.28,4.7256,5.268,8412.5833
2024-08-21,5.16,5.388,4.98,5.388,6828
2024-08-22,5.37,5.4,4.8396,4.8828,8409.9167
2024-08-23,4.704,5.0772,4.692,4.8168,6296.9167
2024-08-26,5.0088,5.22,4.6872,5.1744,16099.5
2024-08-27,4.8,5.2188,4.692,5.04,17369
