date,open,high,low,close,volume
2024-03-01,16.11,17.22,14.9,16.845,3453247.0
2024-03-04,16.81,22.24,16.61,20.85,3868714.0
2024-03-05,20.25,23,20.09,21.05,1712262.0
2024-03-06,21.75,24.32,21.2411,23.63,2123188.0
2024-03-07,24.5,24.71,21.23,22.51,1806737.0
2024-03-08,22.07,25.77,22.07,23.25,1797598.0
2024-03-11,22.8,24.1537,20.67,20.69,1318409.0
2024-03-12,20.7,21.365,19.83,20.1,856844
2024-03-13,19.74,20.4,19.16,19.3,845931
2024-03-14,19.19,19.3,17.33,17.56,1518149.0
2024-03-15,17.69,18.2,16.74,17.58,2062108.0
2024-03-18,15.61,17.29,15.1001,17.16,2938820.0
2024-03-19,16.76,18.33,16.33,18.22,1147751.0
2024-03-20,18.5,20.485,18.01,20.33,1197877.0
2024-03-21,20.33,21.18,19.5,20.88,826251
2024-03-22,21.57,21.7,19.14,19.49,1095513.0
2024-03-25,19.5,19.83,18.645,19.01,540395
2024-03-26,19.2,19.2,17.75,17.75,617453
2024-03-27,17.85,19.14,17.85,18.97,670243
2024-03-28,20.27,21.86,19.35,21.17,1804949.0
2024-04-01,21.3,22.55,20.87,22.47,963510
2024-04-02,22,22.87,21.62,22.47,660624
2024-04-03,23.1,24.42,21.84,22.96,1771569.0
2024-04-04,23.06,24.12,22.5,23.11,669305
2024-04-05,23.15,24.04,22.54,23.38,486276
2024-04-08,23.79,27.3097,23.299,26.37,1690100.0
2024-04-09,26,26.24,23.18,23.5,1198441.0
2024-04-10,23,23.21,21.96,22.7,645638
2024-04-11,22.64,23.95,22.1,22.94,621103
2024-04-12,22.48,22.635,20.38,21.27,879158
2024-04-15,21.4,21.545,19.8185,20.32,628328
2024-04-16,19.82,21.08,19.82,20.92,399867
2024-04-17,20.98,21.47,20.335,20.46,280649
2024-04-18,20.74,21.25,19.19,19.75,589732
2024-04-19,19.5,20.31,19.5,19.99,829053
2024-04-22,20.08,22.55,19.7546,21.54,1088087.0
2024-04-23,21.05,22.09,21,21.72,522858
2024-04-24,30.61,35,26.46,29.75,12195067.0
2024-04-25,28.49,35,27.91,34.69,3316914.0
2024-04-26,35.02,40.09,34.25,36.82,4547003.0
2024-04-29,37,40.06,34.31,38.55,1871358.0
2024-04-30,37.8,38.54,34,34.4,1388055.0
2024-05-01,34.4,35,32.2601,32.69,843430
2024-05-02,32.69,35.13,32.31,33.58,941224
2024-05-03,33.62,34.4199,29.6201,31.1,1114275.0
2024-05-06,31.32,32.3,29.6,30.02,901850
2024-05-07,30.3,32.27,30.08,31.82,572776
2024-05-08,31.5,32.6,30.905,31.49,446355
2024-05-09,30.62,32.9,30.61,32.35,584297
2024-05-10,32.75,33.2,31.27,32.14,466575
2024-05-13,33,35.63,32.85,34.98,1014107.0
2024-05-14,34.24,37.08,33.1211,34.23,1045638.0
2024-05-15,35,35.14,31.91,32.16,1302944.0
2024-05-16,33.53,34.45,27.732,28.52,2018541.0
2024-05-17,28.5,29.44,27.5,28.41,1019240.0
2024-05-20,28.58,30.76,27.9711,30.71,1041691.0
2024-05-21,30.22,30.75,29.7,30.17,394058
2024-05-22,30,33,29.43,31.95,1141713.0
2024-05-23,32,32.05,30.13,30.49,613719
2024-05-24,30.96,31.3099,30.3,30.7,437157
2024-05-28,31.15,31.15,28.24,28.49,669820
2024-05-29,27.75,27.7751,26.31,26.69,708196
2024-05-30,26.35,26.74,24.55,24.81,1083696.0
2024-05-31,24.81,24.99,23.18,23.96,807795
2024-06-03,24,24.375,22.49,23.355,1152388.0
2024-06-04,23.35,23.955,22.91,23.35,486805
