date,open,high,low,close,volume
2024-03-01,17.8159,18.4,16.3302,18.1963,6493
2024-03-04,18.2,19.88,17.65,18.17,32088
2024-03-05,18.3,19.87,18.25,18.47,4640
2024-03-06,18.78,18.82,18.22,18.32,6701
2024-03-07,18.78,19.045,16.5115,17.0501,17119
2024-03-08,17.2287,18.94,17.2287,18.94,5252
2024-03-11,18.25,18.48,17.655,18.13,7936
2024-03-12,18,18.08,17.0501,17.55,7951
2024-03-13,17.77,17.9899,17.12,17.2878,12376
2024-03-14,17.28,17.28,15.81,16.36,13848
2024-03-15,16.31,17.4839,16.001,17.0383,9006
2024-03-18,16.08,16.9,16.0001,16.11,6879
2024-03-19,16,16.4006,15.8,16.22,9355
2024-03-20,16.32,16.488,15.9001,16,14553
2024-03-21,16.25,16.75,16.11,16.21,7287
2024-03-22,17.1,17.32,16.8,17.05,18968
2024-03-25,16.72,17.4,16.12,16.53,13003
2024-03-26,16.35,16.5705,16.3,16.4017,5434
2024-03-27,16.9237,16.99,16.495,16.99,2989
2024-03-28,16.95,17.11,16.6,16.79,41392
2024-04-01,16.96,17.57,16.96,17.42,6680
2024-04-02,17.69,17.9844,17.22,17.9844,5499
2024-04-03,18,18.4,17.31,17.76,8694
2024-04-04,17.7701,17.94,17.33,17.94,5285
2024-04-05,17.9599,18.4444,17.945,18.04,8852
2024-04-08,18.25,19.075,18.15,19.01,13809
2024-04-09,18.76,19.07,18.75,19.07,2181
2024-04-10,19,19,18.6001,18.76,2831
2024-04-11,19.15,19.15,18.15,18.87,4353
2024-04-12,19.2399,19.3,18.36,19.05,2523
2024-04-15,19.16,19.31,19.15,19.2,2760
2024-04-16,19.26,19.31,19.21,19.31,765
2024-04-17,19.46,19.46,18.4801,19.28,1747
2024-04-18,19.29,19.6,19.255,19.5,2709
2024-04-19,19.16,19.16,18.88,19,4295
2024-04-22,19.0899,19.09,18.5031,18.58,3116
2024-04-23,18.7751,18.88,18.7751,18.88,739
2024-04-24,19.98,21,19.98,21,21346
2024-04-25,20.35,21.3595,20.0176,20.0176,1922
2024-04-26,20.75,21.58,20.75,21.58,12414
2024-04-29,21.58,22.04,21.1,21.1001,15857
2024-04-30,21.48,22.1799,21.15,21.66,3562
2024-05-01,21.83,21.83,21.61,21.6101,1800
2024-05-02,21.874,21.92,21.1,21.1,2476
2024-05-03,21.53,21.96,21.35,21.7,3278
2024-05-06,21.9481,22.46,21.6,22.46,1963
2024-05-07,22.34,22.375,21.451,21.47,6276
2024-05-08,21.45,21.45,21.45,21.45,360
2024-05-09,22.0745,22.0745,21.45,21.525,2057
2024-05-10,21.47,21.8377,20.46,21.65,2414
2024-05-13,21.155,21.375,21.155,21.375,724
2024-05-14,21.375,21.375,21.2,21.2,1495
2024-05-15,20.63,20.85,20.24,20.24,3813
2024-05-16,21.49,21.49,20.27,20.75,2858
2024-05-17,20.5837,21.05,20.25,21,2101
2024-05-20,21.37,22,21.2977,21.2977,6168
2024-05-21,21.875,22,21.875,21.95,2149
2024-05-22,21.9603,21.9603,21.8335,21.8335,876
