date,open,high,low,close,volume
2024-03-01,7.66,8.17,7.5001,7.87,203634
2024-03-04,7.87,7.99,7.35,7.64,127211
2024-03-05,7.51,7.725,7.28,7.32,120584
2024-03-06,7.32,7.49,7.05,7.31,94561
2024-03-07,7.4,7.73,7.4,7.58,94099
2024-03-08,7.73,7.99,7.0487,7.58,133890
2024-03-11,7.47,7.69,7.3,7.54,73328
2024-03-12,7.46,7.46,7.13,7.31,185957
2024-03-13,7.33,7.53,7.08,7.1,171766
2024-03-14,6.2,6.3,4.96,5,1529871.0
2024-03-15,5.13,5.7,4.89,5.28,961436
2024-03-18,5.45,5.955,5.3,5.71,353270
2024-03-19,5.74,6.14,5.71,5.9,274407
2024-03-20,5.88,6.07,5.68,6.02,188249
2024-03-21,6.03,6.11,5.8769,5.99,110943
2024-03-22,5.98,6.13,5.88,6.04,75559
2024-03-25,6.02,6.285,5.89,5.93,88089
2024-03-26,5.88,6.18,5.88,6.09,105437
2024-03-27,6.08,6.44,6.08,6.41,102125
2024-03-28,6.46,6.65,6.44,6.46,74255
2024-04-01,6.38,6.5432,6.11,6.24,133680
2024-04-02,6.05,6.21,5.94,6.21,127025
2024-04-03,6.12,6.33,6.01,6.06,74434
2024-04-04,6.06,6.32,5.94,5.99,64219
2024-04-05,6.1,6.18,5.91,5.91,67347
2024-04-08,5.88,6.015,5.76,5.86,136866
2024-04-09,5.86,5.97,5.71,5.92,96649
2024-04-10,5.77,5.92,5.68,5.83,89976
2024-04-11,5.79,5.943,5.73,5.89,75676
2024-04-12,5.86,5.86,5.54,5.65,105660
2024-04-15,5.65,5.77,5.38,5.48,147530
2024-04-16,5.445,5.72,5.4047,5.56,91401
2024-04-17,5.66,5.75,5.3,5.31,56351
2024-04-18,5.38,5.49,5.134,5.19,140196
2024-04-19,5.19,5.27,5.11,5.15,73505
2024-04-22,5.13,5.29,4.975,5.16,112108
2024-04-23,5.11,5.435,4.92,5.02,164573
2024-04-24,5.05,5.2,4.93,5.12,234075
2024-04-25,5.01,5.06,4.82,4.96,201458
2024-04-26,5.02,5.2,4.88,4.88,127835
2024-04-29,4.85,5.425,4.85,5.42,185604
2024-04-30,5.35,5.41,5.1,5.16,121676
2024-05-01,5.2,5.38,4.915,5.04,150406
2024-05-02,5.16,5.193,4.97,5,81232
2024-05-03,5.15,5.39,5.15,5.21,106061
2024-05-06,5.32,5.39,5.14,5.14,116569
2024-05-07,5.13,5.19,4.87,4.89,139727
2024-05-08,5.12,5.52,5.1182,5.45,194007
2024-05-09,5.52,6.265,5.46,6.17,237831
2024-05-10,6.13,6.368,5.69,5.79,124896
2024-05-13,5.77,6.25,5.77,6.09,112863
2024-05-14,6.06,6.42,6.06,6.36,135539
2024-05-15,6.35,6.69,6.21,6.51,102312
2024-05-16,6.59,6.7001,6.46,6.55,58334
2024-05-17,6.46,6.59,6.3101,6.42,67929
2024-05-20,6.42,6.485,6.07,6.08,60670
2024-05-21,6,6.34,6,6.27,74564
2024-05-22,6.15,6.315,5.86,5.86,100912
2024-05-23,5.86,6.02,5.73,5.8,90488
2024-05-24,5.82,6.067,5.8,5.91,78766
2024-05-28,5.92,6.02,5.57,5.58,132343
2024-05-29,5.5,5.61,5.38,5.56,109865
2024-05-30,5.63,5.75,5.45,5.64,78841
2024-05-31,5.73,5.96,5.49,5.72,73366
2024-06-03,5.82,5.84,5.62,5.66,69904
2024-06-04,5.61,5.655,5.46,5.5,51081
2024-06-05,5.51,5.87,5.5,5.83,90305
2024-06-06,5.87,5.88,5.51,5.65,66637
2024-06-07,5.49,5.75,5.48,5.53,103549
2024-06-10,5.48,5.5442,5.225,5.42,100959
2024-06-11,5.39,5.4,5.16,5.3,72884
2024-06-12,5.54,5.74,5.4,5.55,102189
2024-06-13,5.59,5.65,5.28,5.4,71541
2024-06-14,5.34,5.41,5,5.18,218415
2024-06-17,5.2,5.3099,5.05,5.25,139567
2024-06-18,5.27,5.29,5.0701,5.17,184163
2024-06-20,5.14,5.15,4.82,4.98,302488
2024-06-21,4.96,4.96,4.325,4.455,347807
2024-06-24,4.69,4.7441,4.285,4.41,232112
2024-06-25,4.33,4.36,4,4.14,320005
2024-06-26,4.2,4.58,4.2,4.32,264694
2024-06-27,4.26,4.4467,4.05,4.35,236614
2024-06-28,4.35,4.4,4.09,4.1,2087739.0
2024-07-01,4.04,4.2,3.71,3.75,645170
2024-07-02,3.75,3.83,3.61,3.77,325849
2024-07-03,3.72,4.03,3.72,3.88,159377
2024-07-05,3.91,3.91,3.62,3.78,251564
2024-07-08,3.76,3.93,3.66,3.68,142928
2024-07-09,3.6,3.6,3.32,3.35,420235
2024-07-10,3.36,3.7,3.36,3.65,2199970.0
2024-07-11,3.78,4.545,3.78,4.505,495037
2024-07-12,4.54,5.07,4.27,4.305,437775
2024-07-15,4.34,4.5,4.29,4.38,226870
2024-07-16,4.46,4.9,4.425,4.8,442920
2024-07-17,4.6,5.03,4.47,4.73,199903
2024-07-18,4.71,4.88,4.32,4.35,114423
2024-07-19,4.31,4.445,4.1,4.13,142335
2024-07-22,4.17,4.31,4.095,4.28,124292
2024-07-23,4.25,4.27,4.05,4.21,161519
2024-07-24,4.18,4.38,3.97,3.97,147423
2024-07-25,3.94,4.35,3.94,4.2,144657
2024-07-26,4.28,4.39,4.23,4.29,63484
2024-07-29,4.35,4.39,4.02,4.08,111390
2024-07-30,4.08,4.28,3.93,4.115,152704
2024-07-31,4.14,4.2854,4.014,4.12,122977
2024-08-01,4.07,4.17,3.85,3.93,168147
2024-08-02,3.82,3.97,3.6749,3.84,125089
2024-08-05,3.6,3.95,3.5,3.6,218760
2024-08-06,3.6,3.67,3.49,3.6,187538
2024-08-07,3.8,4.09,3.16,3.4,578112
2024-08-08,3.6,3.6,3.125,3.505,306925
2024-08-09,3.47,3.79,3.39,3.43,151824
2024-08-12,3.42,3.48,3.28,3.42,214779
2024-08-13,3.45,3.57,3.38,3.53,135013
2024-08-14,3.49,3.64,3.41,3.52,65182
2024-08-15,3.66,4.099,3.58,3.97,131966
2024-08-16,3.91,4.2,3.83,4.02,119988
2024-08-19,3.96,4.17,3.9,3.96,90037
