date,open,high,low,close,volume
2024-03-01,4.1899,4.19,4.1,4.1,6964
2024-03-04,4.19,4.19,4.05,4.06,6473
2024-03-05,4.1,4.1,4.0177,4.02,7315
2024-03-06,4.1314,4.1314,4.03,4.03,3817
2024-03-07,4.1,4.1648,3.9102,4,12342
2024-03-08,3.96,4.0007,3.946,3.97,3515
2024-03-11,3.97,3.97,3.9,3.9,5672
2024-03-12,3.82,3.87,3.62,3.62,18360
2024-03-13,3.805,3.805,3.45,3.48,9115
2024-03-14,3.45,3.69,3.45,3.68,14922
2024-03-15,3.74,3.775,3.57,3.57,10974
2024-03-18,3.61,3.83,3.5901,3.7,5134
2024-03-19,3.63,3.71,3.5,3.5,4027
2024-03-20,3.5,3.59,3.5,3.59,5519
2024-03-21,3.6,3.6945,3.59,3.6,6439
2024-03-22,3.69,3.87,3.68,3.76,4811
2024-03-25,3.74,3.9499,3.73,3.8549,1785
2024-03-26,3.85,3.85,3.71,3.75,3214
2024-03-27,3.75,3.81,3.7001,3.72,10453
2024-03-28,3.71,3.71,3.5901,3.62,5516
2024-04-01,3.75,3.75,3.75,3.75,1835
2024-04-02,3.75,3.75,3.5,3.56,31284
2024-04-03,3.6,3.75,3.55,3.71,15690
2024-04-04,3.7,3.9175,3.69,3.87,36828
2024-04-05,3.8175,3.8175,3.59,3.6839,23697
2024-04-08,3.78,3.78,3.59,3.65,6169
2024-04-09,3.7266,3.735,3.6501,3.7,5770
2024-04-10,3.6101,3.6106,3.61,3.6106,1130
2024-04-11,3.66,3.69,3.585,3.63,1900
2024-04-12,3.63,3.63,3.5599,3.56,1527
2024-04-15,3.51,3.69,3.5,3.6492,7089
2024-04-16,3.6,3.645,3.5,3.645,9175
2024-04-17,3.5101,3.55,3.5101,3.53,3768
2024-04-18,3.64,3.64,3.5283,3.5501,18456
2024-04-19,3.76,3.76,3.55,3.55,10696
2024-04-22,3.5,3.665,3.5,3.57,11232
2024-04-23,3.687,3.687,3.54,3.54,2809
2024-04-24,3.53,3.63,3.53,3.55,7103
2024-04-25,3.53,3.635,3.53,3.585,6321
2024-04-26,3.61,3.7253,3.56,3.56,5438
2024-04-29,3.56,3.64,3.55,3.6308,4210
2024-04-30,3.56,3.72,3.55,3.58,7989
2024-05-01,3.68,3.68,3.56,3.56,9666
2024-05-02,3.6371,3.665,3.55,3.6,8190
2024-05-03,3.56,3.68,3.5598,3.58,6218
2024-05-06,3.59,3.59,3.5,3.56,37598
2024-05-07,3.52,3.59,3.51,3.54,14226
2024-05-08,3.5,3.57,3.5,3.5,9163
2024-05-09,3.52,3.5899,3.51,3.52,8229
2024-05-10,3.5184,3.58,3.5,3.5,16334
2024-05-13,3.5,3.57,3.49,3.49,16123
2024-05-14,3.48,3.48,3.2289,3.33,17428
2024-05-15,3.34,3.3537,3.08,3.11,15818
