date,open,high,low,close,volume
2024-03-01,18.47,20.35,18.3784,20.11,2431724.0
2024-03-04,20.6,20.63,16.3,18.86,3929269.0
2024-03-05,19.56,19.87,18.5601,19.14,1307964.0
2024-03-06,19.18,20.605,19.18,20.02,1451936.0
2024-03-07,20.06,20.73,19.24,20.02,1965176.0
2024-03-08,20.39,21.545,20.34,21.46,1331959.0
2024-03-11,21.3,21.67,20.8,21.02,1026571.0
2024-03-12,21.56,22.87,20.91,22.69,1220327.0
2024-03-13,22.42,24.91,22.2484,24.83,1494538.0
2024-03-14,25.5,26.24,23.5,23.97,2387284.0
2024-03-15,23.73,24.94,23.73,24.42,1683893.0
2024-03-18,24.5,25.115,23.66,23.93,1978127.0
2024-03-19,23.56,24.7,23.2,23.79,1335464.0
2024-03-20,23.67,24.81,23.45,24.24,1286577.0
2024-03-21,24.54,24.83,23.78,24.1,1083169.0
2024-03-22,24.29,24.61,23.47,23.7,738660
2024-03-25,23.63,24.22,22.85,23.19,1097007.0
2024-03-26,23.6,24.41,23.4959,24.05,977053
2024-03-27,24.2,25.6099,23.69,24.67,1848987.0
2024-03-28,24.56,25.95,24.5,25.52,1232348.0
2024-04-01,25.69,26.62,24.77,26.4,930820
2024-04-02,25.6799,26.98,25.09,26.87,1306510.0
2024-04-03,26.59,27.66,26.09,26.64,950099
2024-04-04,26.85,27.17,21.56,23.69,2586259.0
2024-04-05,23.57,24.745,22.9429,24.63,976614
2024-04-08,24.62,25.24,24,24.78,539469
2024-04-09,24.79,25.86,24.51,25.86,501557
2024-04-10,24.73,25.8,24.45,25.64,1043257.0
2024-04-11,25.72,25.9874,25.19,25.35,724943
2024-04-12,25.28,25.54,23.913,24.09,799049
2024-04-15,24.09,24.44,23.6201,23.91,855512
2024-04-16,23.69,24.198,23.25,23.91,714143
2024-04-17,24.22,24.24,23.43,23.55,710901
2024-04-18,23.55,23.98,22.78,23.04,1129677.0
2024-04-19,22.89,23.59,22.24,22.73,1001284.0
2024-04-22,22.95,24.825,22.75,24.16,907241
2024-04-23,24.2,26.02,24.06,25.14,852726
2024-04-24,25.69,25.82,24.74,25.09,557495
2024-04-25,24.4,24.96,23.35,23.83,1226349.0
2024-04-26,24.01,24.76,23.49,24.36,1031705.0
2024-04-29,24.55,25.5515,24.43,24.7,630868
2024-04-30,24.42,25.31,24.06,24.13,1052567.0
2024-05-01,24.15,26.97,23.9215,25.8,1162474.0
2024-05-02,26.19,26.34,25.25,25.58,552470
2024-05-03,26.68,27.34,26.075,26.45,637990
2024-05-06,26.73,26.85,25.74,26.33,693266
2024-05-07,26.74,26.74,24.9547,25.39,681392
2024-05-08,25.49,26.18,25.0454,26.06,795835
2024-05-09,26.3,27.49,26.2,27.1,1215086.0
2024-05-10,26.4,27.2,25.65,25.96,1160114.0
2024-05-13,26.04,26.7,25.68,26.02,783656
2024-05-14,26.61,29.1,26.4,28.91,1796521.0
2024-05-15,29.29,30.54,28.4,29.51,1676860.0
2024-05-16,29.32,29.47,28.49,28.72,1070120.0
2024-05-17,28.83,29.583,28.41,29.5,890857
2024-05-20,30.01,30.55,29.17,29.24,1270424.0
2024-05-21,29,29.7378,28.75,29.51,722260
2024-05-22,29.4,30.84,29.3,29.62,908688
2024-05-23,29.71,30,27.38,27.47,1369485.0
2024-05-24,27.66,28.385,27.01,27.45,652793
2024-05-28,27.92,27.92,25.02,26.32,1719988.0
2024-05-29,25.76,27.0997,25.55,26.61,786548
2024-05-30,27.19,27.6,26.61,27.06,759473
2024-05-31,27.11,27.7099,26.35,26.86,918429
2024-06-03,27.07,27.4101,26.16,26.91,654648
2024-06-04,26.75,27.89,26.4,27.7,977808
2024-06-05,27.79,28.83,27.19,27.94,571535
2024-06-06,27.84,27.97,26.01,26.04,737476
2024-06-07,25.56,27.1798,25.3,26.6,913125
2024-06-10,26.15,27.34,25.85,27.11,1124203.0
2024-06-11,26.7,29.55,26.44,28.92,2055773.0
2024-06-12,35.655,39.25,34.51,38.36,10161806.0
2024-06-13,38.24,40.4,37.05,39.96,2810707.0
2024-06-14,39.95,42,38.76,39.64,4716080.0
2024-06-17,39.34,41.48,38.86,39.6,1772296.0
2024-06-18,39.13,39.89,38.04,38.33,1888873.0
2024-06-20,38.06,38.29,36.91,37.61,2707782.0
2024-06-21,38.33,40.5,38,39,3946954.0
2024-06-24,38.74,40,38.39,39.66,1109010.0
2024-06-25,39.72,40.84,38.91,38.95,1230293.0
2024-06-26,38.74,40.02,38.17,39.91,875539
2024-06-27,39.83,41,39.33,40.54,1446374.0
2024-06-28,40.56,41.5,40.01,40.85,7611888.0
2024-07-01,40.72,41.4,40.05,41.28,1179511.0
2024-07-02,41.28,41.865,38.66,38.8,1380124.0
2024-07-03,38.56,38.94,36.77,37.21,952935
2024-07-05,36.95,39.185,36.63,39,1009934.0
2024-07-08,39.33,39.39,38.0537,38.62,721431
2024-07-09,38.76,40.56,38.36,40.37,1015609.0
2024-07-10,40.49,42.79,40.27,42.53,1551179.0
2024-07-11,43.095,44.675,42.84,44.31,1788572.0
2024-07-12,44.98,45.19,43.81,44.8,1267552.0
2024-07-15,44.95,45.86,44.01,45.62,2375481.0
2024-07-16,46.39,47.05,46,46.68,1217545.0
2024-07-17,45.79,46.955,44.38,45.13,1576512.0
2024-07-18,45.51,46.49,43.62,44.77,1298052.0
2024-07-19,45.17,45.48,44.21,45.12,906669
2024-07-22,45.34,46.425,45.2,46.3,1514826.0
2024-07-23,45.9,47.01,45.07,45.96,1069128.0
2024-07-24,45.27,46.05,44.48,44.65,782839
2024-07-25,44.76,46.56,44.09,44.72,1380195.0
2024-07-26,45.54,48.29,45.0901,48.14,996455
2024-07-29,48.49,48.8012,45.73,46.43,836191
2024-07-30,46.86,47.37,45.1659,45.3,671782
2024-07-31,45.97,46.0799,44.31,45.58,934117
2024-08-01,45.85,46.47,44.32,44.57,923027
2024-08-02,41.63,42.17,39.65,41.27,1540132.0
2024-08-05,37.1,42.36,37.04,42.2,1687707.0
2024-08-06,42.5,44.6,41.47,43.81,864473
2024-08-07,45,45.265,41.08,41.11,780606
2024-08-08,41.59,42.2,39.74,41.87,677334
2024-08-09,47.37,47.5,43.01,46.95,2478491.0
2024-08-12,46.66,46.9,43.2245,44.48,1327755.0
2024-08-13,44.87,45.5,44.1,44.99,952094
2024-08-14,42.89,43.37,40.5401,42.85,1001646.0
2024-08-15,44,45.97,44,45.49,3101038.0
2024-08-16,45.52,45.53,44.32,44.98,1453418.0
