date,open,high,low,close,volume
2024-03-01,12.91,12.995,12.78,12.94,790326
2024-03-04,12.9,13.12,12.89,13.09,838596
2024-03-05,13.07,13.145,12.93,12.93,1081964.0
2024-03-06,13,13.02,12.79,12.84,974426
2024-03-07,12.94,13.045,12.84,12.93,1465309.0
2024-03-08,13.12,13.13,12.88,13.01,810045
2024-03-11,12.96,13.12,12.96,13.07,1019502.0
2024-03-12,13.02,13.03,12.86,12.94,1468684.0
2024-03-13,12.91,13.055,12.9,12.94,798362
2024-03-14,12.72,12.785,12.305,12.46,923746
2024-03-15,12.41,12.585,12.35,12.56,2306407.0
2024-03-18,12.51,12.66,12.485,12.61,836316
2024-03-19,12.56,12.7,12.485,12.57,984316
2024-03-20,12.49,12.815,12.46,12.76,783599
2024-03-21,12.81,12.92,12.725,12.85,1014362.0
2024-03-22,12.9,12.93,12.45,12.47,1049042.0
2024-03-25,12.5,12.59,12.305,12.33,829173
2024-03-26,12.38,12.495,12.33,12.48,1343979.0
2024-03-27,12.61,12.82,12.57,12.7,1108309.0
2024-03-28,12.74,12.92,12.7,12.82,938031
2024-04-01,12.87,12.87,12.53,12.53,688540
2024-04-02,12.41,12.54,12.245,12.34,977698
2024-04-03,12.28,12.43,12.24,12.42,623201
2024-04-04,12.52,12.575,12.285,12.35,567911
2024-04-05,11.88,12.35,11.88,12.26,1835067.0
2024-04-08,12.35,12.46,12.3,12.45,837860
2024-04-09,12.49,12.83,12.47,12.81,1569670.0
2024-04-10,12.41,12.56,12.28,12.4,2110040.0
2024-04-11,12.49,12.49,12.26,12.31,1506948.0
2024-04-12,12.28,12.44,12.24,12.43,1225154.0
2024-04-15,12.44,12.615,12.235,12.32,1048925.0
2024-04-16,12.26,12.29,12.015,12.09,747516
2024-04-17,12.09,12.39,11.965,11.98,1036283.0
2024-04-18,11.99,12.44,11.93,12.09,820439
2024-04-19,12.07,12.34,12.01,12.28,888504
2024-04-22,12.32,12.43,12.25,12.4,1310236.0
2024-04-23,12.35,12.625,12.32,12.53,840188
2024-04-24,12.43,12.66,12.34,12.4,993748
2024-04-25,12.24,12.39,12.16,12.36,940305
2024-04-26,12.43,12.545,12.22,12.25,1054321.0
2024-04-29,12.34,12.63,12.27,12.32,1041930.0
2024-04-30,12.22,12.435,12.22,12.27,1002721.0
2024-05-01,12.23,12.52,12.16,12.36,782448
2024-05-02,12.38,12.585,12.27,12.48,542992
2024-05-03,12.66,12.73,12.29,12.38,551948
2024-05-06,12.45,12.5,12.305,12.41,447717
2024-05-07,12.47,12.635,12.46,12.58,757981
2024-05-08,12.53,12.53,12.335,12.41,608342
2024-05-09,12.44,12.52,12.36,12.45,613524
2024-05-10,12.43,12.55,12.41,12.44,711289
2024-05-13,12.48,12.525,12.43,12.48,527301
2024-05-14,12.59,12.64,12.39,12.5,670117
2024-05-15,12.6,12.67,12.54,12.63,502615
2024-05-16,12.65,12.705,12.55,12.65,717715
2024-05-17,12.69,12.77,12.61,12.75,485627
2024-05-20,12.76,12.76,12.45,12.46,738548
2024-05-21,12.44,12.54,12.38,12.44,456403
2024-05-22,12.43,12.535,12.38,12.42,1045170.0
2024-05-23,12.38,12.405,12.1525,12.22,766487
2024-05-24,12.31,12.36,12.08,12.09,706710
2024-05-28,12.12,12.28,12.03,12.06,1069191.0
2024-05-29,11.99,12,11.87,11.96,661184
2024-05-30,12.07,12.25,12.07,12.18,845891
2024-05-31,12.25,12.54,12.23,12.52,783014
2024-06-03,12.6,12.705,12.52,12.64,520275
2024-06-04,12.57,12.71,12.51,12.63,523449
2024-06-05,12.63,12.63,12.51,12.57,350012
2024-06-06,12.51,12.62,12.46,12.6,420694
2024-06-07,12.45,12.57,12.36,12.51,550924
2024-06-10,12.41,12.48,12.235,12.43,560466
2024-06-11,12.35,12.48,12.32,12.38,748162
2024-06-12,12.68,12.82,12.37,12.45,1270067.0
2024-06-13,12.47,12.61,12.41,12.49,1458191.0
2024-06-14,12.27,12.36,12.22,12.31,656995
2024-06-17,12.22,12.325,12.185,12.3,487369
2024-06-18,12.34,12.34,12.19,12.28,563832
2024-06-20,12.2,12.33,12.08,12.31,414279
2024-06-21,12.35,12.39,12.24,12.24,1539909.0
2024-06-24,12.3,12.46,12.24,12.43,416869
2024-06-25,12.39,12.42,12.15,12.22,465326
