date,open,high,low,close,volume
2024-03-01,2.76,2.8,2.13,2.29,2197852.0
2024-03-04,2.3,2.31,2.06,2.18,1012390.0
2024-03-05,2.15,2.2,1.9,1.97,812265
2024-03-06,2.3,4.79,2.25,3.15,86949529.0
2024-03-07,2.8,3.05,2.4,2.45,5139197.0
2024-03-08,2.49,3.12,2.48,2.83,4972548.0
2024-03-11,3.59,4.2299,2.94,3.02,33372263.0
2024-03-12,3.15,3.19,2.69,2.89,2902221.0
2024-03-13,2.79,3.12,2.7,2.99,1899571.0
2024-03-14,2.88,2.91,2.67,2.81,1224399.0
2024-03-15,2.77,2.7801,2.39,2.45,1912504.0
2024-03-18,2.8,2.95,2.46,2.495,2637192.0
2024-03-19,2.5,2.54,2.2,2.31,1215422.0
2024-03-20,2.28,2.41,2.16,2.29,887283
2024-03-21,2.39,2.53,2.225,2.5,1049069.0
2024-03-22,2.4101,2.5,2.3,2.35,773775
2024-03-25,2.43,2.48,2.27,2.4,731717
2024-03-26,2.58,2.58,2.195,2.205,1790529.0
2024-03-27,2.24,2.3,2.15,2.24,1018695.0
2024-03-28,2.24,2.29,2.12,2.14,683858
2024-04-01,2.06,2.13,1.9301,1.95,1037598.0
2024-04-02,1.91,2.04,1.7994,2.01,1046941.0
2024-04-03,2.4,2.48,1.88,1.89,6377843.0
2024-04-04,1.83,1.9,1.78,1.83,1359621.0
2024-04-05,1.76,1.82,1.72,1.74,826352
2024-04-08,1.755,1.77,1.52,1.57,1295890.0
2024-04-09,1.93,2.3,1.54,1.58,40178339.0
2024-04-10,1.4801,1.57,1.41,1.57,2680700.0
2024-04-11,1.54,1.5502,1.42,1.49,3139404.0
2024-04-12,1.43,1.45,1.29,1.3,2242934.0
2024-04-15,1.25,1.27,1.1,1.13,2242694.0
2024-04-16,1.12,1.24,1.08,1.15,1321151.0
2024-04-17,1.15,1.165,1.01,1.03,1621220.0
2024-04-18,1.06,1.13,0.99,1.1,1244998.0
2024-04-19,1.04,1.1,1.03,1.04,603709
2024-04-22,1.04,1.11,0.9801,1.08,766495
2024-04-23,1.03,1.2,1.03,1.1,1611848.0
2024-04-24,1.09,1.13,1.08,1.11,619459
2024-04-25,1.11,1.11,1.05,1.07,487186
2024-04-26,1.06,1.12,1.06,1.09,339004
2024-04-29,1.07,1.11,1.05,1.09,460086
2024-04-30,1.07,1.085,1,1.02,789322
2024-05-01,1,1.075,0.9911,1.02,572889
2024-05-02,1.01,1.07,1.01,1.04,461924
2024-05-03,1.05,1.0801,1.02,1.07,371398
2024-05-06,1.07,1.11,1.031,1.08,522916
2024-05-07,1.06,1.09,1.045,1.08,336126
2024-05-08,1.09,1.09,1.03,1.05,356549
2024-05-09,1.03,1.07,1.02,1.06,332065
2024-05-10,1.03,1.06,1.03,1.05,324476
2024-05-13,1.08,1.08,1.03,1.05,520869
2024-05-14,1.03,1.32,1.02,1.06,3982444.0
2024-05-15,1.09,1.1,1.05,1.06,844490
2024-05-16,1.05,1.15,1.05,1.1,973978
2024-05-17,1.09,1.12,1.06,1.06,557329
2024-05-20,1.1,1.14,1.06,1.07,570457
2024-05-21,1.18,1.205,1.1,1.19,3470665.0
2024-05-22,1.24,1.2493,1.08,1.09,1391901.0
2024-05-23,1.11,1.1185,1.01,1.03,922115
2024-05-24,1.07,1.0803,1.03,1.04,873157
2024-05-28,1.04,1.05,1.01,1.05,532246
2024-05-29,1.05,1.05,1.02,1.03,279460
2024-05-30,1.03,1.03,0.97,1.02,524435
2024-05-31,1.02,1.04,1,1.03,445319
2024-06-03,1.04,1.05,1.01,1.03,244232
2024-06-04,1.04,1.04,1.01,1.02,246329
2024-06-05,1.03,1.03,0.98,1,540342
2024-06-06,1.01,1.03,0.982,0.99,443438
2024-06-07,0.9801,0.989,0.85,0.9708,806989
2024-06-10,1.02,1.04,0.9224,0.9374,1659740.0
2024-06-11,0.9452,0.95,0.9001,0.9144,570907
2024-06-12,0.9,0.92,0.8212,0.85,1123174.0
2024-06-13,0.845,0.845,0.785,0.79,716770
2024-06-14,0.8158,0.84,0.7812,0.8,842988
2024-06-17,0.8079,0.8079,0.7191,0.74,787178
2024-06-18,0.7128,0.714999,0.6722,0.7087,769933
2024-06-20,0.6988,0.7126,0.6605,0.712,477023
2024-06-21,0.715,0.7569,0.7131,0.7449,279393
2024-06-24,0.7673,0.8098,0.761,0.7799,408093
2024-06-25,0.81,0.8242,0.74,0.76,552971
2024-06-26,0.74,0.76,0.722,0.7275,167376
2024-06-27,0.7404,0.77,0.7349,0.7599,269922
2024-06-28,0.7739,0.7739,0.735,0.74,134524
2024-07-01,0.653,0.7162,0.62,0.69,12507431.0
2024-07-02,0.685,0.7,0.65,0.6901,1277647.0
2024-07-03,0.679,0.679,0.645,0.65,2379171.0
2024-07-05,0.62,0.72,0.62,0.6921,948553
2024-07-08,0.6924,0.7343,0.659195,0.72,526370
2024-07-09,0.75,0.75,0.68,0.71,393268
2024-07-10,0.7074,0.7074,0.6795,0.6824,485260
2024-07-11,0.6869,0.7398,0.68,0.7268,628589
2024-07-12,0.7195,0.8495,0.7149,0.84,1305908.0
2024-07-15,0.8,0.82,0.78,0.797,493615
2024-07-16,0.781,0.7969,0.7669,0.7899,250592
2024-07-17,0.8031,0.8031,0.725,0.7396,360217
2024-07-18,0.7329,0.749,0.722,0.7358,223841
2024-07-19,0.75,0.75,0.71,0.7299,191140
2024-07-22,0.73,0.7428,0.6914,0.7179,173228
2024-07-23,0.7133,0.778,0.6992,0.7644,384998
2024-07-24,0.74,0.7702,0.7355,0.77,207071
2024-07-25,0.75,0.778,0.75,0.7629,156895
2024-07-26,0.7771,1.02,0.77,0.8843,4241991.0
2024-07-29,0.847,0.8501,0.78,0.8264,497084
2024-07-30,0.8,0.81,0.77,0.785,252456
2024-07-31,0.773,0.7735,0.725,0.7439,729177
