date,open,high,low,close,volume
2024-03-01,13.44,13.63,12.65,12.81,9171000.0
2024-03-04,12.92,12.93,12.045,12.3,6845627.0
2024-03-05,11.99,12.48,11.59,11.91,5923909.0
2024-03-06,12.11,12.13,11.205,11.32,5200530.0
2024-03-07,11.4,11.57,10.74,11.15,6019569.0
2024-03-08,11.4,12.34,10.88,11.19,6245205.0
2024-03-11,11.35,11.55,10.265,10.37,5551049.0
2024-03-12,10.395,10.6799,10.16,10.54,4920999.0
2024-03-13,10.6,11.37,10.38,10.98,7248735.0
2024-03-14,11.27,11.87,10.45,10.78,10142989.0
2024-03-15,10.71,11.53,10.6,11.22,11301499.0
2024-03-18,11.76,12.345,11.17,11.42,11375281.0
2024-03-19,10.94,11.18,10.45,10.75,6475034.0
2024-03-20,10.57,11.18,10.28,11.07,5434982.0
2024-03-21,11.2,11.4498,10.26,10.65,8042219.0
2024-03-22,10.51,10.79,10.29,10.49,3695419.0
2024-03-25,10.51,10.91,10.41,10.53,3831136.0
2024-03-26,10.61,10.8899,10.31,10.32,5067181.0
2024-03-27,10.35,10.42,10.0701,10.17,3999372.0
2024-03-28,10.1,10.28,9.94,9.97,5441658.0
2024-04-01,9.98,9.98,9.33,9.37,6625093.0
2024-04-02,8.96,9,8.67,8.77,6851339.0
2024-04-03,8.85,9.35,8.7232,8.93,6047447.0
2024-04-04,9.02,9.33,8.71,8.73,4723884.0
2024-04-05,8.534,8.94,8.41,8.87,3413361.0
2024-04-08,8.91,9.12,8.79,9,3129444.0
2024-04-09,9,9.22,8.95,9.09,2596372.0
2024-04-10,8.61,8.778,8.41,8.58,3752477.0
2024-04-11,8.65,8.94,8.5,8.92,3148604.0
2024-04-12,8.8,8.925,8.315,8.41,3428259.0
2024-04-15,8.41,8.4583,7.77,7.79,5142648.0
2024-04-16,7.61,7.77,7.51,7.57,3821784.0
2024-04-17,7.64,7.71,7.43,7.47,3490576.0
2024-04-18,7.35,7.58,7.27,7.4,2833695.0
2024-04-19,7.3,7.44,7.135,7.35,3994317.0
2024-04-22,7.46,7.79,7.205,7.6,3906160.0
2024-04-23,7.56,7.92,7.55,7.7,5103909.0
2024-04-24,8.15,8.27,7.89,7.94,7180567.0
2024-04-25,7.57,7.885,7.48,7.84,4335698.0
2024-04-26,7.86,8.1391,7.68,8.12,4383926.0
2024-04-29,8.3,8.545,8.09,8.2,4079322.0
2024-04-30,8.06,8.2625,7.8,7.82,3805416.0
2024-05-01,7.75,8.75,7.73,8.34,5723959.0
2024-05-02,8.47,8.79,8.3,8.79,3855339.0
2024-05-03,9.24,9.4,8.7,8.84,3972817.0
2024-05-06,8.93,9.21,8.82,8.94,3360944.0
2024-05-07,8.9,9.05,8.57,8.79,3204336.0
2024-05-08,8.56,8.765,8.43,8.59,2567147.0
2024-05-09,8.6,8.69,8.46,8.64,2906140.0
2024-05-10,9.05,9.34,8.22,8.6,7269997.0
2024-05-13,9.42,10.396,9.06,9.48,15396119.0
2024-05-14,9.73,10.56,9.7,10.05,10160705.0
2024-05-15,10.34,10.665,9.68,10.01,6829813.0
2024-05-16,10.05,10.11,9.43,9.51,4859139.0
2024-05-17,9.5,9.58,9.17,9.42,4713933.0
2024-05-20,9.43,9.81,9.25,9.78,3484861.0
2024-05-21,9.63,9.8,9.385,9.51,3014821.0
2024-05-22,9.52,9.56,9.22,9.36,3587831.0
2024-05-23,9.55,9.5598,8.84,9.03,6667755.0
2024-05-24,9.1,9.31,8.9731,9.16,3401122.0
2024-05-28,9.32,9.62,8.87,8.99,4547996.0
2024-05-29,8.745,8.75,8.36,8.58,5724122.0
2024-05-30,8.72,8.92,8.6,8.87,3369978.0
2024-05-31,8.93,9.2,8.22,8.28,6422123.0
2024-06-03,8.39,8.86,8.32,8.59,4456135.0
2024-06-04,8.56,8.755,8.4,8.41,2932478.0
2024-06-05,8.42,9.135,8.27,9.09,4842818.0
2024-06-06,9,9.22,8.7202,9.01,3386355.0
2024-06-07,8.76,8.935,8.4201,8.51,3863456.0
2024-06-10,8.45,8.68,8.33,8.62,3221392.0
2024-06-11,8.5,8.67,8.265,8.58,3075546.0
2024-06-12,8.95,9.49,8.9425,9.3,6189639.0
2024-06-13,9.33,9.6,9.1201,9.44,3055989.0
2024-06-14,9.24,9.41,9.165,9.26,2843767.0
2024-06-17,9.2,9.475,9.11,9.37,3224888.0
2024-06-18,9.33,9.99,9.24,9.7,4412224.0
2024-06-20,9.59,9.66,8.94,9.15,3948975.0
2024-06-21,9.1,9.22,8.62,8.85,8394359.0
2024-06-24,8.88,9.7,8.87,9.34,6469763.0
2024-06-25,9.45,9.865,9.3,9.38,5189013.0
2024-06-26,9.3,9.47,8.745,8.76,5599581.0
2024-06-27,7,7.6,6.75,7.575,28265398.0
2024-06-28,7.57,7.7,7.1501,7.5,22194852.0
2024-07-01,7.53,7.95,7.39,7.46,7588612.0
2024-07-02,7.43,7.435,7.04,7.16,6240953.0
2024-07-03,7.23,7.57,7.12,7.35,3234518.0
2024-07-05,7.36,7.405,7.21,7.32,3463556.0
2024-07-08,7.38,7.56,7.32,7.4,3863178.0
2024-07-09,7.4,7.45,7.16,7.44,4317054.0
2024-07-10,7.48,7.51,7.145,7.23,5147942.0
2024-07-11,7.44,7.85,7.44,7.68,8401084.0
2024-07-12,7.79,8.61,7.78,8.36,10131760.0
2024-07-15,8.41,8.44,8.11,8.2,5229683.0
2024-07-16,8.4,8.665,8.29,8.6,4902007.0
2024-07-17,8.32,8.735,8.18,8.35,3912486.0
2024-07-18,8.35,8.48,7.825,7.87,3886313.0
2024-07-19,7.89,7.96,7.59,7.61,3050420.0
2024-07-22,7.72,8.19,7.5,8.14,4115826.0
2024-07-23,8.03,8.71,7.92,8.58,4114872.0
2024-07-24,8.35,8.51,7.79,7.81,3738546.0
2024-07-25,7.8,8.56,7.68,8.05,5048898.0
2024-07-26,8.25,8.49,8.14,8.35,2920943.0
2024-07-29,8.36,8.48,7.92,8.19,3455660.0
2024-07-30,8.21,8.32,7.88,7.95,2355899.0
2024-07-31,8,8.63,7.84,8.2,4915307.0
2024-08-01,8.18,8.18,7.25,7.34,5977604.0
2024-08-02,7.03,7.2,6.82,7.02,5506965.0
2024-08-05,6.17,7.005,6.1,6.77,6592141.0
2024-08-06,6.902,7.02,6.605,6.71,4465474.0
2024-08-07,7.1,7.11,6.36,6.37,7052479.0
2024-08-08,6.5,6.82,6.42,6.64,7369821.0
2024-08-09,6.83,7.03,6.25,6.29,8642384.0
2024-08-12,6.25,6.29,5.96,6.03,5826168.0
2024-08-13,6.09,6.59,6.01,6.54,7205589.0
2024-08-14,6.66,6.67,6.245,6.28,4812668.0
2024-08-15,6.47,6.75,6.465,6.69,4977284.0
2024-08-16,6.73,6.819,6.61,6.74,4965964.0
2024-08-19,6.76,7.18,6.53,7.15,4896720.0
2024-08-20,7.17,7.31,6.97,7.16,3865705.0
2024-08-21,7.17,7.66,7.13,7.62,5030662.0
2024-08-22,7.7,7.705,7.32,7.35,5212237.0
2024-08-23,7.46,7.8423,7.26,7.81,6356128.0
2024-08-26,7.89,8.165,7.78,7.89,3739399.0
2024-08-27,7.8,7.94,7.46,7.61,3726207.0
2024-08-28,7.59,7.59,7.16,7.37,3632510.0
2024-08-29,7.52,7.81,7.34,7.41,3293472.0
2024-08-30,7.53,7.6,7.195,7.28,3451972.0
2024-09-03,6.46,6.78,5.94,6.07,13369695.0
2024-09-04,6.05,6.225,5.885,6.1,5697066.0
2024-09-05,6.14,6.325,6.04,6.17,3476706.0
2024-09-06,6.16,6.3,5.895,5.92,4567934.0
