date,open,high,low,close,volume
2024-03-01,3.89,3.99,3.825,3.94,5288
2024-03-04,3.93,4,3.8369,3.86,4449
2024-03-05,3.86,3.86,3.78,3.78,760
2024-03-06,3.905,3.905,3.905,3.905,129
2024-03-07,4,4,3.915,4,2841
2024-03-08,4.09,4.66,4.09,4.6461,19150
2024-03-11,4.65,4.65,4.525,4.61,3145
2024-03-12,4.5,4.75,4.5,4.725,13860
2024-03-13,4.72,4.8,4.66,4.75,13496
2024-03-14,4.75,4.75,4.55,4.75,5818
2024-03-15,4.44,4.78,4.44,4.75,5484
2024-03-18,4.738,4.7493,4.73,4.7493,3184
2024-03-19,4.67,4.67,4.6,4.6,2448
2024-03-20,4.535,4.85,4.4042,4.81,11010
2024-03-21,4.85,4.85,4.745,4.81,790
2024-03-22,4.8,4.8,4.8,4.8,2072
2024-03-26,4.7412,4.7412,4.67,4.67,711
2024-03-27,4.8,4.81,4.735,4.81,8682
2024-03-28,4.7491,4.87,4.7491,4.84,13239
2024-04-01,4.85,4.85,4.6718,4.77,1686
2024-04-02,4.76,4.77,4.76,4.76,3479
2024-04-03,4.67,4.825,4.67,4.825,1539
2024-04-04,4.85,4.93,4.8,4.8799,12116
2024-04-05,4.88,4.98,4.88,4.88,37662
2024-04-08,4.9,4.93,4.875,4.92,12489
2024-04-09,4.82,4.98,4.74,4.98,24036
2024-04-10,4.78,4.98,4.77,4.965,7196
2024-04-12,4.82,4.82,4.82,4.82,908
2024-04-15,4.78,4.7839,4.6325,4.72,1541
2024-04-16,4.52,4.63,4.42,4.63,3706
2024-04-17,4.425,4.425,4.41,4.41,595
2024-04-19,4.535,4.535,4.535,4.535,115
2024-04-22,4.4,4.4,4.35,4.4,2026
2024-04-25,4.36,4.385,4.36,4.385,791
2024-04-26,4.3,4.3,4.3,4.3,508
2024-04-29,4.38,4.38,4.38,4.38,798
2024-04-30,4.36,4.37,4.3382,4.37,1371
2024-05-01,4.4015,4.4015,4.4015,4.4015,566
2024-05-02,4.37,4.4,4.3568,4.36,2834
2024-05-06,4.33,4.33,4.04,4.1,31887
2024-05-07,4.15,4.19,4.15,4.19,5432
2024-05-08,4.19,4.19,4.19,4.19,278
2024-05-09,4.23,4.5,4.23,4.5,3517
2024-05-10,4.54,4.6299,4.35,4.35,3090
2024-05-13,4.4,4.42,4.4,4.42,507
2024-05-14,4.42,4.42,4.42,4.42,464
2024-05-15,4.4,4.42,4.4,4.4199,4923
2024-05-16,4.61,4.74,4.6,4.6,442
2024-05-17,4.795,4.95,4.795,4.875,6253
2024-05-20,5.14,6.4,4.78,5.27,34371
2024-05-21,5.0599,5.06,4.88,5,15465
2024-05-22,4.93,5.1,4.93,5.09,2012
2024-05-23,5.17,5.18,5,5.12,3010
2024-05-24,5.12,5.17,4.86,5.05,2332
2024-05-28,5.21,5.44,5.165,5.44,4423
2024-05-29,5.28,5.5,5.235,5.345,7265
2024-05-30,4.8,5.9,4.8,5.602,60104
2024-05-31,5.86,5.86,5.7169,5.78,2361
2024-06-03,5.94,6.07,5.78,5.83,17536
2024-06-04,5.85,5.85,5.5012,5.73,8057
2024-06-05,5.78,5.92,5.38,5.92,4929
2024-06-06,5.9,5.99,5.71,5.78,6204
2024-06-07,5.93,5.93,5.4,5.49,6937
2024-06-10,5.565,5.67,5.44,5.67,4267
2024-06-11,5.62,6,5.54,5.95,10769
2024-06-12,5.72,5.97,5.64,5.64,4074
2024-06-13,5.87,5.87,5.64,5.71,3255
2024-06-14,5.75,5.75,5.4001,5.5,3581
2024-06-17,5.58,5.66,5.47,5.48,2000
2024-06-18,5.44,5.56,5.06,5.28,5630
2024-06-20,5.2,5.31,4.96,5.3,4693
2024-06-21,5.01,5.2572,5.01,5.2572,6603
2024-06-24,5.25,5.3127,5.2,5.28,6997
2024-06-25,5.28,5.35,5.15,5.35,1515
2024-06-26,5.145,5.145,5.08,5.1415,473
2024-06-27,4.9,5.01,4.9,5.01,377
2024-07-01,5.1974,5.1974,4.8101,4.84,2379
2024-07-02,4.97,4.97,4.65,4.65,14426
2024-07-03,4.68,4.68,4.68,4.68,152
2024-07-08,4.68,4.68,4.68,4.68,152
2024-07-09,4.78,4.78,4.76,4.77,786
2024-07-10,4.8684,4.8684,4.8684,4.8684,336
2024-07-11,4.63,4.69,4.63,4.69,3680
2024-07-12,4.69,4.86,4.51,4.7857,8809
2024-07-15,4.75,4.864,4.75,4.81,2858
2024-07-16,4.6204,4.6204,4.6204,4.6204,355
2024-07-17,4.98,4.98,4.98,4.98,419
2024-07-18,5.1154,5.1154,4.805,4.81,1501
2024-07-19,4.81,4.81,4.81,4.81,161
2024-07-22,4.81,5,4.81,5,4236
2024-07-23,5.41,5.85,5.41,5.525,5509
2024-07-24,5.519,5.52,5.519,5.52,527
2024-07-25,5.3,5.3,5.12,5.12,2472
2024-07-26,5.48,5.48,5.15,5.15,5933
2024-07-29,5.51,5.51,5.51,5.51,1017
2024-07-30,5.33,5.33,5.33,5.33,426
2024-07-31,5.03,5.03,5.03,5.03,270
2024-08-01,5.09,5.14,5.09,5.13,1418
2024-08-02,5.06,5.06,5.05,5.05,1832
2024-08-05,4.33,4.33,4.33,4.33,341
2024-08-06,4.57,4.885,4.57,4.885,4622
2024-08-07,5.05,5.22,5.05,5.15,11764
2024-08-08,5.025,5.04,4.99,5.04,1007
2024-08-09,5.12,5.12,5.12,5.12,211
2024-08-12,5.14,5.14,5.09,5.09,1046
2024-08-14,5.21,5.21,5.16,5.185,1526
2024-08-15,5.0901,5.265,5.0901,5.1,3918
2024-08-16,5.26,5.26,5.14,5.14,725
2024-08-19,5.13,5.15,5.13,5.14,1190
2024-08-20,5.05,5.16,5.04,5.11,7386
2024-08-21,5.1,5.25,5.1,5.25,10861
2024-08-22,5.51,5.51,5.51,5.51,212
2024-08-23,5.32,5.32,5.32,5.32,343
2024-08-26,5.54,5.54,5.39,5.46,2603
2024-08-28,5.3655,5.3655,5.3655,5.3655,186
2024-08-29,5.33,5.48,5.29,5.4,7967
2024-08-30,5.4,5.41,5.3,5.31,2178
2024-09-03,5.1,5.3,5.1,5.22,1092
2024-09-04,5.2,5.4,5.2,5.4,10546
2024-09-05,5.33,5.64,5.33,5.59,4230
2024-09-06,5.65,5.65,5.22,5.22,5796
2024-09-09,5.22,5.28,5.12,5.28,1725
2024-09-10,5.2,5.29,5.14,5.23,5149
2024-09-11,5.17,5.2,5.16,5.17,3130
2024-09-12,5.2,5.5,5.1513,5.29,17183
2024-09-13,5.25,5.2843,5.203,5.203,2243
2024-09-16,5.5,6,5.5,5.89,22951
2024-09-17,6.03,6.36,5.9,6.01,27294
2024-09-18,6.25,6.38,6.0901,6.2,61667
2024-09-19,5.95,6.1,5.51,5.71,76706
2024-09-20,5.6,5.9,5.2,5.61,13154
2024-09-23,5.66,5.7763,5.525,5.71,6169
2024-09-24,5.675,5.7,5.4601,5.66,5700
2024-09-25,5.64,5.89,5.4215,5.51,11963
2024-09-26,5.49,5.645,5.47,5.47,2244
2024-09-27,5.46,5.74,5.26,5.605,22336
2024-10-01,5.5,5.87,5.495,5.66,12506
2024-10-02,5.74,5.82,5.71,5.71,2842
2024-10-03,5.66,5.89,5.66,5.89,1788
2024-10-04,5.65,5.99,5.65,5.796,3671
2024-10-07,5.59,5.79,5.59,5.79,742
2024-10-08,5.81,5.81,5.81,5.81,586
2024-10-09,5.82,5.864,5.67,5.69,9565
2024-10-10,5.67,5.67,5.67,5.67,216
2024-10-11,5.85,5.99,5.75,5.98,7800
2024-10-14,5.43,5.89,5.43,5.75,7564
2024-10-15,5.99,5.99,5.72,5.72,3348
2024-10-16,5.95,6.05,5.71,6.05,15458
