date,open,high,low,close,volume
2024-03-01,94.45,94.57,92.91,93.16,7995399.0
2024-03-04,93.06,93.32,92.04,92.46,7321004.0
2024-03-05,92.1,92.17,91.065,91.22,7137304.0
2024-03-06,91.35,92.03,91.12,91.65,4826947.0
2024-03-07,91.62,91.76,90.31,90.95,8792403.0
2024-03-08,90.62,91.53,90.6,91.06,7673306.0
2024-03-11,91.26,92.96,91.1675,92.07,6702272.0
2024-03-12,92,92.72,91.21,92.4,9444933.0
2024-03-13,92.49,92.87,90.87,91.61,8254464.0
2024-03-14,91.1,91.71,90.41,91.66,8544799.0
2024-03-15,91.6,92.02,90.0975,90.12,18136261.0
2024-03-18,90.75,91.425,90.53,91.01,7413967.0
2024-03-19,91,91.9,90.86,91.59,5676530.0
2024-03-20,91.79,92.625,91.515,92.6,5804396.0
2024-03-21,92.63,93.17,91.64,91.66,6287275.0
2024-03-22,91.74,91.78,90.06,90.71,6495018.0
2024-03-25,90.65,91.1175,90.47,90.67,5831486.0
2024-03-26,90.98,91,90.23,90.36,6213118.0
2024-03-27,90.65,91.83,90.6,91.5,5863683.0
2024-03-28,91.79,92.24,91.3,91.39,6784293.0
2024-04-01,91.82,92.07,91.02,91.53,4990156.0
2024-04-02,91.11,91.24,89.23,89.3,8276754.0
2024-04-03,89.6,89.84,88.65,88.7,6316375.0
2024-04-04,89.13,89.34,87.61,87.62,8057591.0
2024-04-05,87.9,87.93,86.83,86.85,7161442.0
2024-04-08,86.97,87.36,86.3561,87.19,6322904.0
2024-04-09,87.19,87.6,86.31,87.13,6242718.0
2024-04-10,86.32,86.87,85.6,85.95,7413858.0
2024-04-11,86,86.31,85.26,85.9,6841570.0
2024-04-12,85.42,85.51,84.29,84.92,8594849.0
2024-04-15,85.4,86.365,84.915,85.17,8247827.0
2024-04-16,84.82,86.19,84.42,85.42,8726858.0
2024-04-17,86,86.42,85.34,86.21,6772934.0
2024-04-18,86.438,87.63,86.05,87.15,11338565.0
2024-04-19,87.15,88.08,87.12,87.61,11208017.0
2024-04-22,88.08,88.61,87.34,88.18,8578695.0
2024-04-23,88.77,88.81,87.32,87.87,5607021.0
2024-04-24,87.06,88.94,86.95,88.75,6993043.0
2024-04-25,89.55,89.73,87.68,87.84,7003184.0
2024-04-26,87.4,89.25,87.3704,88.25,7024987.0
2024-04-29,88.24,88.61,87.86,88.33,8217197.0
2024-04-30,87.61,88.99,87.18,88.49,14054015.0
2024-05-01,75.82,76.99,72.67,74.44,66506724.0
2024-05-02,74.9,75.145,73.35,74.93,23874977.0
2024-05-03,75.27,75.51,72.985,73.11,21764207.0
2024-05-06,73.31,74.19,72.7,72.9,18602463.0
2024-05-07,72.85,72.85,71.8,72.5,21701136.0
2024-05-08,72.29,74.475,72.25,73.5,24437093.0
2024-05-09,73.57,75.76,73.07,75.68,18461968.0
