date,open,high,low,close,volume
2024-03-01,0.8199,0.8789,0.8001,0.83,136868
2024-03-04,0.82,0.8262,0.8,0.803,72640
2024-03-05,0.8185,0.8352,0.8041,0.82,57148
2024-03-06,0.8261,0.925,0.8261,0.8954,312036
2024-03-07,0.9031,1.05,0.89,1,500097
2024-03-08,1.02,1.85,1.02,1.69,9447939.0
2024-03-11,1.47,2.6799,1.32,1.87,10222867.0
2024-03-12,1.73,2.89,1.63,2.59,5293768.0
2024-03-13,2.6,2.89,1.61,1.8,1729384.0
2024-03-14,1.93,1.9899,1.43,1.54,665802
2024-03-15,1.58,1.8523,1.48,1.71,354140
2024-03-18,1.72,1.8399,1.64,1.8,255611
2024-03-19,1.81,2.25,1.81,1.94,884936
2024-03-20,1.95,1.97,1.65,1.71,198041
2024-03-21,1.71,1.79,1.68,1.71,102683
2024-03-22,1.72,1.8,1.666,1.68,84405
2024-03-25,1.68,1.68,1.5,1.515,157327
2024-03-26,1.51,1.51,1.22,1.32,187610
2024-03-27,1.35,1.37,1.27,1.35,42761
2024-03-28,1.36,1.63,1.33,1.58,117004
2024-04-01,1.56,1.75,1.56,1.7299,166973
2024-04-02,1.68,1.74,1.52,1.74,40849
2024-04-03,1.76,1.849,1.66,1.6998,63866
2024-04-04,1.83,1.83,1.6503,1.72,74507
2024-04-05,1.64,1.74,1.5,1.57,78929
2024-04-08,1.57,1.72,1.5,1.66,55307
2024-04-09,1.64,1.75,1.61,1.67,38252
2024-04-10,1.61,1.7,1.58,1.65,33544
2024-04-11,1.68,1.7,1.56,1.63,40201
2024-04-12,1.58,1.65,1.55,1.59,36905
2024-04-15,1.56,1.7499,1.47,1.71,69106
2024-04-16,1.66,1.71,1.45,1.61,59842
2024-04-17,1.51,1.645,1.4301,1.57,14735
2024-04-18,1.47,1.6,1.45,1.59,27661
2024-04-19,1.59,1.59,1.25,1.46,53258
2024-04-22,1.46,1.65,1.46,1.625,25864
2024-04-23,1.64,1.68,1.49,1.64,29172
2024-04-24,1.58,1.72,1.58,1.64,33464
2024-04-25,1.61,1.68,1.5344,1.67,9316
2024-04-26,1.66,1.68,1.54,1.68,20291
