date,open,high,low,close,volume
2024-03-04,52.25,52.25,52.25,52.25,177
2024-03-06,52.58,53.3,52.58,52.83,1044
2024-03-07,50.11,50.11,50.11,50.11,121
2024-03-14,51.36,51.36,51.36,51.36,164
2024-03-15,52.69,52.69,52.69,52.69,998
2024-03-18,53.68,53.68,53.68,53.68,223
2024-03-26,54.92,54.92,53.65,53.65,620
2024-03-27,54.93,54.93,54.93,54.93,131
2024-03-28,55.99,55.99,55.99,55.99,246
2024-04-01,57.395,57.395,57.395,57.395,296
2024-04-02,55.99,56.25,55.98,56.25,1729
2024-04-03,56.25,56.25,56.25,56.25,290
2024-04-04,54.74,55.36,54.74,55.36,1067
2024-04-05,58.49,58.49,58.49,58.49,128
2024-04-09,56.4,56.4,56.4,56.4,148
2024-04-12,57.99,57.99,57.99,57.99,139
2024-04-15,56.76,56.76,56.76,56.76,246
2024-04-16,56.95,56.9985,56.95,56.9985,412
2024-04-24,58.8,58.8,58.8,58.8,200
2024-04-26,59.015,59.015,59.015,59.015,184
2024-04-30,58.8,58.8,58.8,58.8,363
2024-05-07,59.21,59.21,59.21,59.21,242
2024-05-10,59.62,59.75,59.475,59.75,3277
2024-05-17,61.83,63.56,61.83,63.56,1533
2024-05-20,61.85,61.85,61.85,61.85,174
2024-05-22,59.62,62.3,59.62,62.3,3532
2024-05-23,59.78,62.848,59.394,60.01,5917
2024-05-24,59.14,61.82,59.09,61.82,3648
2024-06-04,58.8,58.8,58.8,58.8,145
2024-06-12,57.3469,57.3469,57.3469,57.3469,109
2024-06-14,56.5,57.57,56.5,57.57,1442
2024-06-17,56.05,56.05,56.05,56.05,789
2024-06-18,57.41,57.41,57.41,57.41,576
2024-06-28,58.4,58.4,58.4,58.4,411
2024-07-29,61.01,61.01,60,60,9317
2024-07-30,60.65,61.2987,59.78,59.78,3624
2024-08-01,60.31,60.8216,59.81,59.81,2241
2024-08-02,58.91,59,58.91,59,755
2024-08-07,57.51,57.51,57.51,57.51,237
2024-08-21,61.25,61.25,61.25,61.25,133
2024-08-30,60.9,60.9,60.9,60.9,133
2024-09-10,59.7,59.7,59.7,59.7,1087
2024-09-11,59.6,59.6,59.6,59.6,547
2024-09-12,59.95,59.95,59.95,59.95,768
2024-09-13,60.8,60.8,60.6,60.6,812
2024-09-16,60.9,60.9,60.9,60.9,738
2024-09-17,62.1,62.1,62.1,62.1,548
2024-09-18,62.8,64.42,62.8,62.8,1347
2024-09-20,62.05,64.2,61.95,64.2,15770
2024-09-24,63.71,63.71,61.1,61.1,2297
2024-10-09,61.91,61.91,61.44,61.44,456
2024-10-15,63.91,63.91,63.91,63.91,258
2024-10-25,64.4,64.4,64.4,64.4,259
2024-10-28,63.54,64.79,63.4174,63.4174,1892
2024-10-29,63.83,65.295,63.1,63.1,5072
2024-10-30,63.6999,64.5306,61.73,61.73,8658
2024-10-31,63.3,63.7,61.38,61.82,5557
2024-11-01,63.11,64.11,61.5,63.05,5235
2024-11-04,62.8735,64.3,62.356,62.6302,3027
2024-11-05,62.76,64.362,62.1643,63,3914
2024-11-18,70.5,70.5,70.5,70.5,390
2024-11-21,71.26,71.26,71.26,71.26,696
2024-11-25,73.7,73.7,73.7,73.7,665
2024-12-20,78.5,79.8,78.5,79.8,4359
2024-12-23,79.41,79.41,79.41,79.41,340
2025-01-07,76.84,76.84,76.01,76.02,1375
2025-01-16,71.47,71.47,71.47,71.47,348
2025-01-23,71.7,71.7,71.7,71.7,655
2025-02-07,72.15,72.29,72.15,72.29,2646
2025-02-11,81.43,81.43,81.43,81.43,201
2025-02-13,77.01,77.01,77.01,77.01,309
2025-02-14,78.75,81,78.75,80.6,1581
2025-02-26,83.75,83.75,83.75,83.75,514
