date,open,high,low,close,volume
2024-03-01,62.35,63.48,61.92,63.39,1120699.0
2024-03-04,63.74,65.53,63.42,63.58,1576235.0
2024-03-05,63.62,64.52,62.82,62.88,1187662.0
2024-03-06,63.75,63.91,63,63.34,799974
2024-03-07,63.72,64.615,62.99,63.31,1015429.0
2024-03-08,63.14,63.44,62.5,63.35,933622
2024-03-11,63.35,63.49,61.65,62.55,1575553.0
2024-03-12,62.4,63.67,62.4,62.72,979557
2024-03-13,62.4,63.235,62.315,63.09,1642409.0
2024-03-14,63.28,63.7699,62.531,63.13,1834788.0
2024-03-15,62.47,64.82,62.47,64.53,2141355.0
2024-03-18,63.56,64.35,63.09,63.33,1136582.0
2024-03-19,62.29,62.47,61.01,61.15,2041261.0
2024-03-20,60.8,62.47,60.4633,62.29,1515659.0
2024-03-21,62.53,62.665,62.01,62.32,1024867.0
2024-03-22,62.03,63.65,62.03,63.59,1080029.0
2024-03-25,64.03,64.9699,63.35,63.43,2353472.0
2024-03-26,63.72,64.16,63.57,63.91,965737
2024-03-27,64.3,64.35,63.03,64.04,1050224.0
2024-03-28,64.13,64.95,64.13,64.48,921141
2024-04-01,64.57,64.57,63.49,63.61,1360846.0
2024-04-02,63.26,64.06,62.96,63.8,1074276.0
2024-04-03,63.87,63.96,62.89,63.29,1380036.0
2024-04-04,63.35,63.4,62.03,62.57,1041781.0
2024-04-05,62.83,63.53,62.58,63.46,948061
2024-04-08,62.99,63.97,62.9,63.51,951537
2024-04-09,63.88,63.88,62.72,63.06,942760
2024-04-10,62.34,64.215,62.05,63.99,1211577.0
2024-04-11,64.66,64.73,63.51,64.4,888008
2024-04-12,64.04,64.1,61.75,62.5,1200694.0
2024-04-15,63.16,63.42,62.24,62.32,825631
2024-04-16,61.68,62.73,61.61,62.29,887491
2024-04-17,62.9,62.9,61.71,62.42,1010778.0
2024-04-18,62.88,63.79,62.715,63.1,1084493.0
2024-04-19,63.22,65.2,63.16,65.15,1337567.0
2024-04-22,65.3,66.18,64.83,65.43,1705670.0
2024-04-23,65.28,65.925,64.3116,65.49,1083694.0
2024-04-24,65.47,65.79,64.69,65.59,1533382.0
2024-04-25,65.54,66.05,65.07,65.9,1772583.0
2024-04-26,65.88,68.0299,65.19,66.98,1894319.0
2024-04-29,66.98,68.03,66.4,67.5,2397935.0
2024-04-30,67.5,67.5,65.86,66.03,1674598.0
2024-05-01,65.82,66.37,64.02,64.29,1996939.0
2024-05-02,71.4,74.03,69.96,72,4293225.0
2024-05-03,72.09,74,71.15,73.68,2070802.0
2024-05-06,74.13,75.54,73.46,75,1672124.0
2024-05-07,75.07,75.95,74.45,74.77,1452430.0
2024-05-08,74.25,74.92,73.663,74.66,1104578.0
2024-05-09,74.74,75.01,73.965,74.59,716772
2024-05-10,74.59,75.785,74.54,75.73,789899
2024-05-13,76.49,77.17,75.95,76.09,876590
2024-05-14,76.45,77.28,75.52,76.74,1138148.0
2024-05-15,76.77,77.1,75.82,76.84,733974
2024-05-16,77.23,78.28,76.895,77.38,850985
2024-05-17,77.96,78.81,77.78,78.57,935499
2024-05-20,78.54,79.6801,78.54,79.19,999288
2024-05-21,79.39,79.65,78.27,78.42,994221
2024-05-22,78.3,79.77,78.3,79.17,2486114.0
2024-05-23,79.99,80.96,79.39,80.69,1815481.0
2024-05-24,81.19,82.96,81.01,82.78,1060220.0
2024-05-28,82.7,82.7,78.3,78.94,2075912.0
2024-05-29,78.51,79.82,78,79.16,849601
2024-05-30,79.07,79.78,78.6101,79.03,1501174.0
2024-05-31,79.22,79.54,77.97,78.98,1130643.0
2024-06-03,78.75,79.82,77.91,78.85,1141150.0
2024-06-04,78.55,79.25,77.67,78.35,1229316.0
2024-06-05,78.51,79.67,78.35,78.74,1686441.0
2024-06-06,78.81,79.27,77.56,78.22,824890
2024-06-07,78,78.41,76.92,77.03,789676
2024-06-10,76.54,76.69,75.15,76.13,1297937.0
2024-06-11,76,76.25,75.1,75.64,1608836.0
2024-06-12,75.98,76.62,74.145,75.23,1246378.0
2024-06-13,75.25,75.78,74.79,75.69,1071992.0
2024-06-14,75.16,75.74,74.8,75.58,821179
2024-06-17,78.97,79.04,77.37,77.75,1558737.0
2024-06-18,78.03,78.98,77.5,77.75,1021595.0
2024-06-20,77.98,78.11,76.31,76.99,1268106.0
2024-06-21,77.06,77.63,76.62,77.35,1610726.0
2024-06-24,77.53,80.97,77.28,80.67,1540194.0
2024-06-25,80.53,82.9,80.44,82.75,1301324.0
2024-06-26,82.17,83.1,81.8019,83.07,965936
2024-06-27,82.61,83.4,81.33,81.68,907991
2024-06-28,82.93,83.71,82.205,83.66,1919043.0
2024-07-01,83.72,84.46,82.34,83.57,1206319.0
2024-07-02,83.56,84.23,82.81,82.97,946720
2024-07-03,82.6,82.7,80.85,82.64,763746
2024-07-05,82.64,83.61,82.05,82.51,1181097.0
2024-07-08,82.86,83.65,82.12,82.54,963915
2024-07-09,82.81,82.92,80.54,80.58,1005391.0
2024-07-10,81,81.4351,79.34,80.44,1106851.0
2024-07-11,80.77,83.07,80.685,82.7,1051299.0
2024-07-12,82.89,84,82.03,82.63,828342
2024-07-15,82.74,84.365,82.74,83.84,1162743.0
2024-07-16,84.5,86.04,84.09,85.13,1586656.0
2024-07-17,84.38,85.52,82.32,82.86,1211967.0
2024-07-18,82.7,84.39,81.84,82.71,876679
2024-07-19,82.65,83.07,81.41,82.02,596298
2024-07-22,82.27,83.53,81.93,83.26,834814
2024-07-23,82.82,84.53,82.285,83.86,1265889.0
2024-07-24,83.34,83.79,82.545,83.15,1006870.0
2024-07-25,83.3,84.1595,82.5374,83.21,1244069.0
2024-07-26,84.63,86.73,84.41,86.7,1296726.0
2024-07-29,87.3,88.36,84.24,84.66,2480195.0
2024-07-30,102.09,103.8,95.025,95.88,6439649.0
2024-07-31,96.78,101.55,96.24,99.89,2783016.0
2024-08-01,100.38,102.89,99.21,100.76,2081056.0
2024-08-02,98.24,99.11,96.31,97.67,1471402.0
2024-08-05,92.54,96.73,91.36,95,2040323.0
2024-08-06,95.6,97.04,93.88,95.03,1882552.0
2024-08-07,96.09,96.455,93.42,94.17,1368138.0
2024-08-08,94.73,96.51,94.6,95.92,969983
