date,open,high,low,close,volume
2024-03-01,12.88,13.63,12.805,13.35,4955243.0
2024-03-04,13.33,13.43,12.62,13.01,3270021.0
2024-03-05,12.8,13.18,12.28,12.31,4005932.0
2024-03-06,12.57,12.629,12.11,12.54,2793829.0
2024-03-07,12.57,13.13,12.39,13,2098040.0
2024-03-08,13.25,13.31,12.9,13.02,3842261.0
2024-03-11,12.99,13.435,12.92,12.99,3393082.0
2024-03-12,12.88,12.9,12.02,12.16,4055088.0
2024-03-13,12.2,12.24,11.92,11.99,2852517.0
2024-03-14,12,12.07,11.66,11.82,3236904.0
2024-03-15,11.73,12.1,11.62,12.06,4204601.0
2024-03-18,12.03,12.06,11.705,11.71,2584247.0
2024-03-19,11.58,11.975,11.48,11.88,3436737.0
2024-03-20,11.83,12.385,11.73,12.24,3063872.0
2024-03-21,12.33,12.975,12.24,12.71,3220296.0
2024-03-22,12.68,12.73,12.115,12.12,2595243.0
2024-03-25,12.1,12.295,11.65,11.79,2543315.0
2024-03-26,11.92,11.94,11.11,11.14,4253085.0
2024-03-27,11.24,12.09,11.18,11.76,5239724.0
2024-03-28,11.65,11.85,11,11.18,7127956.0
2024-04-01,11.42,11.6,11.06,11.38,4274247.0
2024-04-02,11.1,11.12,10.585,10.75,4381064.0
2024-04-03,10.77,10.985,10.525,10.86,3856204.0
2024-04-04,11.04,11.24,10.535,10.66,2986119.0
2024-04-05,10.53,10.5947,10.18,10.38,3921475.0
2024-04-08,10.545,10.79,10.24,10.27,4123561.0
2024-04-09,10.41,10.63,10.315,10.59,4493797.0
2024-04-10,10.1,10.26,9.91,10.11,5557486.0
2024-04-11,10.13,10.1525,9.65,9.68,4800928.0
2024-04-12,9.68,9.7,9.09,9.17,4941544.0
2024-04-15,9.05,9.2,8.66,8.72,4836456.0
2024-04-16,8.56,8.69,8.235,8.35,7350748.0
2024-04-17,8.56,8.7,8.27,8.28,4615216.0
2024-04-18,8.27,8.365,8.11,8.21,3313868.0
2024-04-19,8.15,8.38,8.06,8.29,4928713.0
2024-04-22,8.27,8.45,8.08,8.43,2842291.0
2024-04-23,8.37,9.075,8.3,8.46,3149949.0
2024-04-24,8.36,8.585,8.22,8.49,2823716.0
2024-04-25,8.28,8.34,8.15,8.26,2599785.0
2024-04-26,8.25,8.68,8.23,8.52,3108627.0
2024-04-29,8.63,8.855,8.6,8.73,2711256.0
2024-04-30,8.51,8.63,8.34,8.45,2621546.0
2024-05-01,8.47,8.905,8.47,8.5,3559789.0
2024-05-02,8.67,8.78,8.47,8.73,3391859.0
2024-05-03,9.02,9.16,8.86,9,3977658.0
2024-05-06,9.16,9.1699,8.83,8.85,4802377.0
2024-05-07,8.86,8.9,8.705,8.8,5585729.0
2024-05-08,7.66,8.29,7.27,7.51,13818898.0
2024-05-09,7.59,7.73,7.35,7.675,5625144.0
2024-05-10,7.78,7.81,6.91,6.94,11224804.0
2024-05-13,7,7.22,6.895,7.13,9320527.0
2024-05-14,7.38,7.6,7.02,7.03,4662124.0
2024-05-15,7.28,7.42,6.73,6.79,4771476.0
2024-05-16,6.79,7.02,6.66,6.84,4603720.0
2024-05-17,6.82,6.82,6.33,6.41,4937199.0
2024-05-20,6.42,6.645,6.285,6.6,10916685.0
2024-05-21,6.51,6.83,6.46,6.8,4759666.0
2024-05-22,6.78,7.95,6.75,7.64,14336633.0
2024-05-23,7.64,7.72,7.48,7.62,6995117.0
2024-05-24,7.7,8.125,7.7,8.05,7979098.0
2024-05-28,8.23,8.475,7.91,7.95,7003899.0
2024-05-29,7.75,8.455,7.64,8.29,6066701.0
2024-05-30,8.35,8.4399,8.055,8.17,4912570.0
2024-05-31,8.25,8.52,7.66,7.87,6097703.0
2024-06-03,8.02,8.05,7.08,7.16,7353081.0
2024-06-04,7.05,7.265,6.8901,7.19,6355257.0
2024-06-05,7.21,7.515,7.05,7.22,5449045.0
2024-06-06,7.17,7.2,6.97,7.02,4088093.0
2024-06-07,6.87,7.17,6.785,6.81,4757386.0
2024-06-10,6.77,6.85,6.555,6.81,3645875.0
2024-06-11,7.5,7.765,7.11,7.45,9057439.0
2024-06-12,7.77,7.96,7.035,7.07,6978680.0
2024-06-13,7.11,7.11,6.76,6.79,10526556.0
2024-06-14,6.79,6.9,6.435,6.48,7711198.0
2024-06-17,6.54,6.825,6.445,6.66,7521846.0
2024-06-18,6.6,7.01,6.6,6.88,6612487.0
2024-06-20,6.79,6.89,6.48,6.58,6030314.0
2024-06-21,6.58,6.61,6.3,6.51,8953846.0
2024-06-24,6.48,6.605,6.25,6.49,4890260.0
2024-06-25,6.44,6.485,6.23,6.29,5616716.0
2024-06-26,6.27,6.33,6.085,6.28,3597518.0
