date,open,high,low,close,volume
2024-03-01,55.03,56.5,54.39,56.4,243610
2024-03-04,56.13,56.79,55.41,56.72,187680
2024-03-05,56.71,57.805,55.94,56.3,165966
2024-03-06,56.52,57.28,56.5,57.09,182190
2024-03-07,57.55,57.87,56.95,57.22,130408
2024-03-08,57.89,57.89,57.16,57.39,116932
2024-03-11,57.22,58.47,57.22,58.17,192793
2024-03-12,57.79,58.125,57.02,57.54,115839
2024-03-13,57.4,58.415,57.4,57.72,141314
2024-03-14,57.4,57.7,55.5,56.9,401741
2024-03-15,56.6,57.3473,56.39,57.09,681192
2024-03-18,57,57,55.72,55.79,158683
2024-03-19,55.8,56.54,55.56,55.72,194580
2024-03-20,55.43,56.64,55.43,56.25,123367
2024-03-21,56.26,57.035,56.26,56.61,127203
2024-03-22,57,57,55.75,55.84,137799
2024-03-25,55.92,56.215,55.4,55.52,115308
2024-03-26,55.99,55.99,55.2,55.56,120746
2024-03-27,56,56.83,56,56.64,199954
2024-03-28,56.94,57.55,56.51,56.59,225171
2024-04-01,56.74,56.74,55.35,55.92,169012
2024-04-02,55.75,56.105,54.685,54.81,172004
2024-04-03,54.63,55.44,54.2252,54.62,210139
2024-04-04,55.23,55.4,54.66,55.27,141332
2024-04-05,54.93,54.93,53.95,54.45,160828
2024-04-08,54.71,55.0896,54.425,54.89,150007
2024-04-09,55.09,55.68,54.835,55.38,153000
2024-04-10,54.2,54.54,52.96,53.54,218291
2024-04-11,53.77,53.82,53.1,53.39,135270
2024-04-12,53.44,53.45,52.495,52.82,120097
2024-04-15,52.85,52.87,51.92,52.77,189648
2024-04-16,52.47,52.47,51.365,51.94,151830
2024-04-17,52.03,52.79,52.0181,52.56,175248
2024-04-18,52.83,53.44,52.795,53.09,163404
2024-04-19,53.02,54.33,53.02,54.27,334369
2024-04-22,54.25,54.57,53.67,54.09,121182
2024-04-23,54.07,55.435,54.07,55.08,149125
2024-04-24,54.57,55.65,54.43,55.13,208995
2024-04-25,55.07,55.465,54.235,54.81,147307
2024-04-26,54.04,54.44,52.21,53.5,332045
2024-04-29,53.83,54.135,53.72,53.79,180581
2024-04-30,53.39,54.77,53.31,54.45,308947
2024-05-01,54.71,55.78,54.63,55.02,201558
2024-05-02,55.53,55.64,54.92,55.43,161130
2024-05-03,55.7,55.98,54.92,55.53,252325
