date,open,high,low,close,volume
2024-03-01,42.61,43.1,41.81,42.28,18329
2024-03-04,42.75,43.1606,41.83,41.83,12397
2024-03-05,41.98,43.1,41.53,42.8,8810
2024-03-06,42.69,42.815,42,42.73,23003
2024-03-07,42.4602,43.69,42.4602,43.4,11259
2024-03-08,44.01,44.49,43.8,43.9,22153
2024-03-11,43.918,44.4,43.918,44.21,12106
2024-03-12,44,44.74,43.89,44.3,20590
2024-03-13,44.2,44.26,42.69,42.82,20118
2024-03-14,42.82,42.82,41.62,41.72,33088
2024-03-15,41.39,43.38,41.39,42.9,54518
2024-03-18,43.25,43.25,41.48,41.55,19749
2024-03-19,41.64,41.985,41.04,41.1,19244
2024-03-20,40.63,43.57,40.4,43.2,24770
2024-03-21,43.77,44.14,42.89,43.48,21931
2024-03-22,41.9,42.7,41.76,42.7,27484
2024-03-25,43.6,43.86,42.98,43.12,23636
2024-03-26,42.625,42.74,41.96,41.96,12928
2024-03-27,43.73,43.85,42.58,43.74,13215
2024-03-28,44.08,44.09,43.5,43.71,41163
2024-04-01,43.98,43.98,42.065,42.66,12848
2024-04-02,41.35,42.08,41.35,41.98,11973
2024-04-03,41.55,42.135,41.55,42.07,10361
2024-04-04,43.055,43.055,41.9,42.3,13677
2024-04-05,42.67,42.67,41.69,41.97,6072
2024-04-08,43.0379,43.0379,41.89,41.89,16464
2024-04-09,42.06,42.06,41.66,41.9,6827
2024-04-10,40.97,41.37,39,40.19,33897
2024-04-11,40.15,40.7,39.142,40.35,13422
2024-04-12,40.03,40.28,39.0316,40.25,13858
2024-04-15,40.44,40.44,39.57,40.15,21657
2024-04-16,40.43,40.49,40,40.11,9255
2024-04-17,40.24,40.26,39,40.24,27047
2024-04-18,40.425,40.7,39.69,40.07,15410
2024-04-19,39.78,41.68,39.78,41.63,22803
2024-04-22,41.5,43.4,41.5,41.57,9573
2024-04-23,42.22,42.7,41.26,41.97,11693
2024-04-24,41.92,41.935,41.25,41.74,22021
2024-04-25,41.04,41.67,40.6809,41.31,11449
2024-04-26,41.98,41.98,40.51,40.94,18165
2024-04-29,42.52,42.52,40.5,40.83,13351
2024-04-30,40.12,40.39,40,40.1,19322
2024-05-01,40.4,40.94,39,40.5,35130
2024-05-02,40.7,41.555,39.44,41.31,37131
2024-05-03,42.09,42.09,40.965,41.38,26248
2024-05-06,41.5,41.75,41.06,41.3,77959
2024-05-07,41.5,41.59,40.79,40.95,48778
2024-05-08,40.21,41.565,40.18,41.52,62960
2024-05-09,41.37,42.55,41.35,42.29,73559
2024-05-10,42.04,42.4,41.38,42.1,46871
2024-05-13,42.61,42.68,41.8501,41.92,22452
2024-05-14,42.3,42.3,41.75,42,59864
2024-05-15,42.39,42.475,42.145,42.46,42091
2024-05-16,42.08,43.34,42.08,43.25,92320
2024-05-17,43.59,43.85,43.14,43.6,42733
2024-05-20,43.26,43.55,42.02,42.28,63751
2024-05-21,41.89,42.77,41.89,42.6,19022
2024-05-22,42.21,42.54,41.9,42.3,21350
2024-05-23,42.125,42.405,41.6,41.99,35403
2024-05-24,41.95,42.28,41.89,42.23,17994
2024-05-28,41.812,42.42,41.812,42.07,29016
2024-05-29,41.33,41.46,40.94,41.06,21197
2024-05-30,41.5,42.1099,40.9788,41.72,13950
2024-05-31,42.2,42.7,41.82,42.11,21476
2024-06-03,42.49,42.73,41.51,41.51,40129
2024-06-04,41.2,41.415,40.99,41.2,16953
2024-06-05,41.66,42.03,41.5081,41.84,16138
2024-06-06,41.3,41.579,41.01,41.53,13333
2024-06-07,41.25,41.44,40.99,41.23,11467
2024-06-10,40.67,40.9199,40.38,40.63,11769
2024-06-11,39.895,40.68,39.895,40.68,8725
2024-06-12,41.65,42.53,41.195,41.35,77535
2024-06-13,41.16,41.41,40.62,41.11,17182
2024-06-14,40.58,40.65,40.01,40.65,15317
2024-06-17,40.2,41.12,40.17,41.02,9214
2024-06-18,41.0001,41.81,40.75,41.73,26279
2024-06-20,41.29,41.98,41.29,41.97,23248
2024-06-21,41.96,42.12,41.38,41.38,55916
2024-06-24,41.74,42.22,41.46,41.52,23659
2024-06-25,41.28,41.62,41.28,41.43,10494
2024-06-26,41.02,42.66,41.02,42.32,14796
2024-06-27,42.6,43.22,42.6,43.22,13086
2024-06-28,43.22,45.27,43.22,45.01,112915
2024-07-01,45.01,45.44,44.23,44.37,18299
2024-07-02,44.61,44.91,44.31,44.84,11212
2024-07-03,44.65,44.92,43.9104,44.14,9881
2024-07-05,43.86,44.52,43.1,43.14,20709
2024-07-08,43.69,44.35,43.52,43.57,12045
2024-07-09,43.6,44.03,43.14,43.83,8048
2024-07-10,44.33,44.76,44.18,44.76,9616
2024-07-11,45.87,47.48,45.72,46.2,72772
2024-07-12,46.83,46.96,45.9,46,49132
2024-07-15,46.58,48.2,46.58,47.59,39191
2024-07-16,48.26,50.5,48.26,50.5,55189
2024-07-17,50.04,51.25,48.3701,50.69,32730
2024-07-18,50.25,51.615,48.32,49.15,37128
2024-07-19,49.17,49.61,48.185,48.39,16932
2024-07-22,48.57,50.33,48.1,50.1,60839
2024-07-23,49.72,51.655,49.72,51.4,24057
2024-07-24,51.33,52.87,50.655,51,46255
2024-07-25,51.16,53.33,51.16,52.52,47708
2024-07-26,53.53,53.59,51.893,52.5,22111
2024-07-29,52.3,52.3,50.64,50.66,19244
2024-07-30,51.59,55.61,50.445,55.38,88561
2024-07-31,55.29,58.03,54.39,57.2,148798
2024-08-01,57.2,57.2,52.91,53.64,34000
2024-08-02,51.37,52.77,51.27,52.32,30204
2024-08-05,50.24,51.19,48.68,49.64,36320
