date,open,high,low,close,volume
2024-03-01,38,38.985,38,38.96,2899
2024-03-04,38.45,39.1414,37.94,38.49,16993
2024-03-05,39.9799,39.9799,37,37.17,27240
2024-03-06,37.5,37.5,36.5,36.79,28059
2024-03-07,36.78,38.05,36.495,36.83,28028
2024-03-08,37.505,37.8983,36.41,36.52,6146
2024-03-11,36.22,37.2964,36.22,36.5,9655
2024-03-12,37,37.58,36.7782,36.85,11255
2024-03-13,37.25,37.62,37.25,37.3,7843
2024-03-14,36.75,37.005,36.36,36.36,10980
2024-03-15,36.22,37.29,36.22,37,18645
2024-03-18,37.38,37.4143,36.27,36.41,10573
2024-03-19,36.9999,37.8399,36.88,37.24,12742
2024-03-20,37.58,37.85,37.06,37.69,10964
2024-03-21,37.3,37.9999,37.24,37.72,10382
2024-03-22,38.05,38.09,37.22,37.41,5370
2024-03-25,36.68,37.425,35.58,36.25,26663
2024-03-26,36.75,37.35,36.5,36.75,17244
2024-03-27,35.95,37.348,35.73,37.3,13385
2024-03-28,37,37.25,36.57,37,7868
2024-04-01,36.06,36.98,36.06,36.45,3382
2024-04-02,35.894,36.04,34.7893,35.21,15027
2024-04-03,35,35.279,34.51,34.83,21224
2024-04-04,35.5,35.895,34.19,34.19,9801
2024-04-05,34.04,34.29,33.89,33.93,14418
2024-04-08,34,35.37,33.8,34,28154
2024-04-09,34,34,32.85,33.41,22378
2024-04-10,33.06,33.4,32.435,33.01,8799
2024-04-11,33.119,33.17,32.6,32.95,13970
2024-04-12,32.9,33.74,32.9,33.52,11923
2024-04-15,33.47,33.47,32.05,32.25,9082
2024-04-16,32.1,32.6399,31.0574,31.65,11229
2024-04-17,32.55,32.6399,31.53,31.6,9489
2024-04-18,31.51,35,31.51,34.01,23014
2024-04-19,33.29,34.67,32.72,33.79,10559
2024-04-22,33.99,33.99,31.77,32.9,11914
2024-04-23,32.9,33.65,32.035,32.6,11772
2024-04-24,32.855,33.145,32.5,32.5,5324
2024-04-25,31.53,32.82,31.53,32.21,13783
2024-04-26,32.82,32.82,32,32.35,7803
2024-04-29,33.74,33.74,31.8798,32.43,8173
2024-04-30,31.8649,32.48,31.1001,31.84,19291
2024-05-01,31.5353,32.19,31.18,31.23,7399
2024-05-02,32.065,32.065,31.01,31.01,7788
2024-05-03,31.8345,33.8276,31,32.44,25076
2024-05-06,32.3,33.41,31.96,32.56,6863
2024-05-07,33,34,32.51,33.5,10667
2024-05-08,33.27,33.7199,32.6,32.86,8595
2024-05-09,33.365,33.495,33.08,33.12,3886
2024-05-10,32.74,33.745,31.42,31.42,15126
2024-05-13,31.45,31.75,28.815,29.28,35927
2024-05-14,28.79,30.99,27.875,29.86,44662
2024-05-15,29.88,34.295,29.57,34.06,31362
2024-05-16,30.88,34,30.88,31.7,14931
2024-05-17,31.99,32.345,30.0001,30.51,17327
2024-05-20,31.28,32.93,30.7941,32.53,12948
2024-05-21,31.3632,31.7143,31.3489,31.51,6321
2024-05-22,31.86,32.39,30,30.28,14936
2024-05-23,31.485,31.485,28.6162,28.8,35546
2024-05-24,29.19,31.4999,29.19,31,23444
2024-05-28,30.6206,32.175,30.2101,30.53,11958
2024-05-29,29.6,31.45,29.6,30.7,23648
2024-05-30,31.5,31.5,29.725,30.19,26336
2024-05-31,29.89,30.63,29.5,29.7,9259
2024-06-03,30.01,30.47,28.55,28.55,28349
2024-06-04,28.5,29.5499,28.3,28.3,27460
2024-06-05,28.61,29.4899,27.41,27.85,19212
2024-06-06,27.7,30.6099,27.7,29.21,32274
2024-06-07,29.07,30.8,29.07,30.06,10971
2024-06-10,30.36,32.96,29.6,32.69,25521
2024-06-11,32.65,32.97,30.8,30.99,19805
2024-06-12,32.33,32.71,31.14,31.27,14284
2024-06-13,31.6966,31.75,30.25,30.55,8889
2024-06-14,30.55,31.06,29.85,30.08,11448
2024-06-17,30.73,30.73,28.92,29.02,16071
2024-06-18,28.61,30.03,27.6347,29.65,20405
2024-06-20,29.6201,29.6201,28.17,28.7,30063
2024-06-21,28.29,29.36,27.81,27.97,31544
2024-06-24,28.4575,29.49,28,28.97,28496
2024-06-25,28.5,29.101,27.5,28.18,23456
2024-06-26,28.01,28.4,27.665,28.01,9673
2024-06-27,28.07,29.09,27.84,29.09,9142
2024-06-28,28.465,28.8285,27.7,28.22,50674
2024-07-01,27.86,28.22,26.6,26.95,28586
2024-07-02,26.95,28,26.76,27.7,33503
2024-07-03,28.33,28.33,27.135,27.62,4272
2024-07-05,27.55,27.96,26.25,26.86,30149
2024-07-08,27.7858,28.11,26.995,27.79,11038
2024-07-09,28.04,28.36,27.16,27.3,11344
2024-07-10,27.73,28.48,27.195,27.67,16923
2024-07-11,27.89,29.02,27.7,28.8,38131
2024-07-12,28.83,29.45,28.42,28.88,24958
2024-07-15,28.98,29.98,28.35,29.66,19616
2024-07-16,29.99,31.83,29.2,31.83,53598
2024-07-17,31.49,31.49,29.81,30.1,19796
2024-07-18,29.98,30.925,29.1,29.1,32911
2024-07-19,29.28,30.15,28.99,30.15,20229
2024-07-22,30.29,31.9899,29.94,31.3,8082
2024-07-23,30.74,32,30.235,31.7,18889
2024-07-24,30.95,32.73,30.725,31.2,13932
2024-07-25,31.15,32.19,30.38,32.19,20563
2024-07-26,32.4,32.73,31.75,32.68,11602
2024-07-29,32.75,32.75,30.69,30.9,9196
2024-07-30,30.88,30.88,28.57,29.84,19967
2024-07-31,29.86,32.1,29.1701,31.89,13061
2024-08-01,31.21,32.25,29,29.96,20209
2024-08-02,28.78,29.95,28.39,28.7,14839
2024-08-05,28.22,28.22,26,26.93,50300
2024-08-06,27.01,28.4499,26.52,27.74,20282
2024-08-07,27.75,27.95,26.3,27.08,16177
2024-08-08,27.515,28.49,27.29,27.9,4871
2024-08-09,28.17,28.17,27.23,27.88,15322
2024-08-12,28.28,28.5,27.1,27.83,16098
2024-08-13,28.25,32.63,28.25,32.04,34588
