date,open,high,low,close,volume
2024-04-01,0.119,0.119,0.119,0.119,1789.916
2024-06-20,0.119,0.119,0.119,0.119,8.4034
2024-06-28,1.904,1.904,1.904,1.904,839.4958
2024-07-01,2.261,2.261,2.261,2.261,880.6723
2024-07-17,1.428,1.428,1.428,1.428,3374.2857
2024-07-18,1.19,1.19,1.19,1.19,784.2857
2024-07-31,1.19,1.19,1.19,1.19,3417.395
2024-08-02,0.357,0.357,0.357,0.357,128.1513
2024-08-23,1.19,1.19,1.19,1.19,294.1176
2024-09-10,2.618,2.618,2.38,2.38,7822.2689
2024-09-11,2.38,2.38,2.38,2.38,1260.5042
2024-10-23,9,10,8.75,9,213725
2024-10-24,8.81,9.15,8.81,9.01,73594
2024-10-25,9.3,9.3,8.15,8.4,48962
2024-10-28,8.75,8.812,7.42,7.62,7333
2024-10-29,7.61,8.87,7.1,7.62,41852
2024-10-30,7.875,8.48,7.2001,7.3,12335
2024-10-31,7.07,7.27,6.2733,7.19,20151
2024-11-01,7.02,7.21,7,7.02,2835
2024-11-04,7.1,7.4,6.75,6.75,18122
2024-11-05,7.53,7.9484,5.7,6.5,46526
2024-11-06,6.2,7.9999,6.2,7.1,29694
2024-11-07,6.5,7.4916,6.5,6.5,17972
2024-11-08,6.31,6.55,6,6.5362,19167
2024-11-11,6.48,6.5739,6,6.285,10982
2024-11-12,6.01,7.14,6,6.35,15725
2024-11-13,6.355,6.59,5.95,6.08,12092
2024-11-14,6.14,6.54,6,6,13831
2024-11-15,6.2,7.41,6.1,6.36,20533
2024-11-18,6.8799,7.62,6.03,6.38,40121
2024-11-19,6.75,6.98,5.73,5.9,92713
2024-11-20,6.37,7.65,5.75,5.82,35855
2024-11-21,6.1,7.03,6,6.02,22906
2024-11-22,5.77,6.34,5.5,5.8,37233
2024-11-25,5.8224,5.89,5.63,5.89,15612
2024-11-26,6.09,6.1,5.8,6.1,32592
2024-11-27,6.21,6.21,5.52,6.1,12987
2024-11-29,5.8,5.83,5.6,5.7625,3688
2024-12-02,5.65,5.75,5.5,5.69,10501
2024-12-03,5.5,5.75,5.5,5.5001,12618
2024-12-04,5.75,5.84,5.23,5.23,20723
2024-12-05,5.23,5.7297,5.06,5.57,12125
2024-12-06,5.65,5.86,5.1373,5.54,11357
2024-12-09,5.99,5.99,5.08,5.85,14171
2024-12-10,5.7531,5.8933,5.5,5.7,20043
2024-12-11,5.6,5.74,5.51,5.67,6541
2024-12-12,5.578,5.7131,5.3,5.6,5717
2024-12-13,5.543,5.55,5.27,5.27,2022
2024-12-16,5.51,5.51,5.1,5.1,7234
2024-12-17,5.1,5.74,5.1,5.44,10497
2024-12-18,5.315,5.5,5.11,5.23,14066
2024-12-19,5.28,5.49,5.12,5.12,9245
2024-12-20,5.1,5.1,4.33,4.5,21575
2024-12-23,4.7,5.0131,4.35,4.49,18662
2024-12-24,4.4472,4.4472,4.3,4.3,1207
2024-12-26,4.29,4.9465,4.25,4.49,11399
2024-12-27,4.69,4.69,4.5,4.5,6022
2024-12-30,4.68,4.68,4.17,4.17,11269
2024-12-31,4.56,4.56,4.2,4.4,15533
2025-01-02,4.49,4.49,4.11,4.23,18699
2025-01-03,4.1,4.5,4.1,4.23,19845
2025-01-06,4.47,4.5,4.21,4.35,22530
2025-01-07,4.5,4.55,4.218,4.27,28325
2025-01-08,4.59,4.98,4.269,4.98,21464
2025-01-10,4.85,4.9,4.11,4.18,64400
2025-01-13,4.3,4.6843,4.23,4.49,14861
2025-01-14,4.6,4.6642,4.3007,4.6642,7745
2025-01-15,4.4917,4.4917,4.27,4.34,15508
2025-01-16,4.5439,4.6213,4.15,4.15,10015
2025-01-17,4.46,4.4712,4.01,4.07,11559
2025-01-21,4.01,4.2,4.01,4.06,15996
2025-01-22,4.07,4.16,3.89,4.11,16629
2025-01-23,4,4.13,3.7048,3.94,19231
2025-01-24,4.07,4.07,3.72,3.72,9069
2025-01-27,3.9,3.9,3.695,3.796,8290
2025-01-28,3.77,3.9,3.77,3.8511,978
2025-01-29,3.9,4.4,3.85,4.2033,52087
2025-01-30,4.17,4.4618,4,4.2,14604
2025-01-31,4.1,4.2516,3.85,3.85,13879
2025-02-03,3.88,4.05,3.71,3.8704,10470
2025-02-04,3.87,4.2626,3.7992,4.22,43480
2025-02-05,4.2395,4.24,3.835,4.211,16068
2025-02-06,3.9,4.2328,3.89,4,6624
2025-02-07,4.03,4.207,3.585,3.8444,25892
2025-02-10,4.16,4.16,3.36,3.43,33822
2025-02-11,3.35,3.6739,3,3.02,8141
2025-02-12,3.1,4,3.03,3.743,43085
2025-02-13,3.5,3.85,3.48,3.5,6098
2025-02-14,3.58,3.7475,3.49,3.7,7124
2025-02-18,3.53,3.75,3.51,3.51,4854
2025-02-19,3.67,3.8,3.6142,3.75,21281
2025-02-20,3.9158,4.25,3.7501,3.8751,55469
2025-02-21,4.06,4.0846,3.81,3.87,4060
2025-02-24,4,4.1153,3.69,3.69,20085
2025-02-25,3.85,3.8798,3.4997,3.73,8253
2025-02-26,3.85,3.8664,3.0432,3.66,23901
2025-02-27,3.6283,3.9353,3.6283,3.8,8518
2025-02-28,3.7,3.8551,3.5261,3.84,21488
