date,open,high,low,close,volume
2024-03-01,3.57,3.83,3.5101,3.55,77698
2024-03-04,3.45,3.6,3.33,3.51,150869
2024-03-05,3.42,3.56,3.3,3.35,93520
2024-03-06,3.47,3.61,3.358,3.4,109107
2024-03-07,3.41,3.9,3.4,3.765,119963
2024-03-08,3.77,3.8899,3.48,3.5,65281
2024-03-11,3.29,3.6999,3.29,3.69,135345
2024-03-12,3.64,3.8,3.51,3.73,59419
2024-03-13,3.77,3.81,3.61,3.81,32400
2024-03-14,3.91,3.9999,3.5,3.52,77864
2024-03-15,3.7756,3.7756,3.39,3.585,39598
2024-03-18,3.58,3.77,3.5,3.625,54651
2024-03-19,3.635,3.7555,3.51,3.65,50799
2024-03-20,3.66,3.85,3.602,3.84,132965
2024-03-21,3.82,3.96,3.75,3.8,48146
2024-03-22,3.8,3.86,3.63,3.67,24264
2024-03-25,3.67,3.83,3.54,3.77,29812
2024-03-26,3.73,3.73,3.515,3.52,50627
2024-03-27,3.5,3.6,3.38,3.4,38606
2024-03-28,3.42,3.5,3.384,3.42,25228
2024-04-01,3.37,3.66,3.37,3.44,30970
2024-04-02,3.4,3.6299,3.31,3.45,72346
2024-04-03,3.38,3.63,3.365,3.43,54129
2024-04-04,3.35,3.42,3.35,3.41,6601
2024-04-05,3.4163,3.55,3.29,3.29,5141
2024-04-08,3.4,3.6595,3.27,3.53,47733
2024-04-09,3.46,3.49,3.31,3.39,6296
2024-04-10,3.38,3.485,3.38,3.47,3922
2024-04-11,3.5,3.51,3.36,3.43,13976
2024-04-12,3.322,3.49,3.3201,3.36,19115
2024-04-15,3.35,3.42,3.35,3.375,5593
2024-04-16,3.34,3.42,3.29,3.34,9198
2024-04-17,3.3,3.4,3.28,3.33,7949
2024-04-18,3.32,3.485,3.31,3.45,7091
2024-04-19,3.42,3.49,3.13,3.13,43174
2024-04-22,3.13,3.36,3.01,3.04,13166
2024-04-23,3,3.2,3,3.14,9433
2024-04-24,3.07,3.1,2.83,2.99,47135
2024-04-25,2.97,2.97,2.83,2.83,6665
2024-04-26,2.82,3.06,2.8,3.01,18062
2024-04-29,2.93,2.99,2.8235,2.9083,7717
2024-04-30,2.8101,2.8301,2.76,2.77,8897
2024-05-01,2.77,2.97,2.72,2.8,12211
2024-05-02,2.862,2.862,2.75,2.77,7192
2024-05-03,2.81,2.81,2.44,2.6601,24585
2024-05-06,2.5,2.71,2.5,2.59,10225
2024-05-07,2.57,2.71,2.53,2.54,34398
2024-05-08,2.65,2.65,2.54,2.6199,5855
2024-05-09,2.5799,2.62,2.55,2.61,11192
2024-05-10,2.54,2.68,2.51,2.63,20431
2024-05-13,2.6,2.65,2.55,2.64,27001
2024-05-14,2.59,2.6864,2.59,2.65,12485
2024-05-15,2.66,2.66,2.57,2.58,7982
2024-05-16,2.53,2.65,2.53,2.65,12665
2024-05-17,2.6,2.7499,2.6,2.68,30492
2024-05-20,2.715,2.7261,2.6,2.62,17369
2024-05-21,2.6,2.75,2.6,2.61,15291
2024-05-22,2.61,2.67,2.58,2.58,16224
2024-05-23,2.5945,2.5945,2.52,2.5202,13174
2024-05-24,2.53,2.5732,2.52,2.5373,5910
2024-05-28,2.51,2.575,2.3101,2.41,27125
2024-05-29,2.45,2.4797,2.3407,2.38,9251
2024-05-30,2.3701,2.38,2.35,2.37,2602
2024-05-31,2.31,2.35,2.295,2.33,17233
2024-06-03,2.28,2.33,2.25,2.28,9670
2024-06-04,2.3,2.38,2.3,2.35,8368
2024-06-05,2.4,2.444,2.29,2.36,12969
2024-06-06,2.39,2.39,2.27,2.2894,43001
2024-06-07,2.295,2.33,2.27,2.28,13344
2024-06-10,2.3,2.3275,2.255,2.2599,5803
2024-06-11,2.32,2.32,2.22,2.22,6418
2024-06-12,2.265,2.265,2.226,2.23,3341
2024-06-13,2.2301,2.27,2.18,2.2,11152
2024-06-14,2.22,2.27,2.12,2.15,5728
2024-06-17,2.21,2.22,2.14,2.14,6526
2024-06-18,2.1603,2.17,2.11,2.15,7985
