date,open,high,low,close,volume
2024-03-01,30.91,31.04,30.22,30.75,108934
2024-03-04,31.08,31.74,30.943,31.01,163907
2024-03-05,31,32.16,31,32.05,159050
2024-03-06,32.05,32.5,31.21,31.92,127376
2024-03-07,32.29,32.66,31.98,32.04,155471
2024-03-08,32.69,32.69,32.03,32.05,105507
2024-03-11,32.1,32.25,31.64,31.65,124285
2024-03-12,31.58,31.65,31.05,31.12,121494
2024-03-13,31.09,31.595,30.9,31.01,124448
2024-03-14,30.84,30.95,29.91,30.05,165148
2024-03-15,30.07,30.83,29.95,30.42,757515
2024-03-18,30.5,30.67,29.97,30.04,139993
2024-03-19,30.01,30.62,29.73,30.24,139973
2024-03-20,30.17,31.71,29.81,31.32,123779
2024-03-21,31.51,31.99,31.36,31.45,108402
2024-03-22,31.66,31.66,30.5636,30.78,96977
2024-03-25,30.98,31.29,30.67,30.74,86661
2024-03-26,31.1,31.1,30.3113,30.37,113561
2024-03-27,30.69,31.76,30.69,31.76,141276
2024-03-28,31.71,32.14,31.59,32.08,250493
2024-04-01,32.07,32.07,31.39,31.89,150177
2024-04-02,31.42,31.79,31.095,31.38,244788
2024-04-03,31.28,31.56,30.995,31.02,129807
2024-04-04,31.46,31.7829,30.98,31.11,177293
2024-04-05,31.06,31.19,30.83,30.89,98875
2024-04-08,31.12,31.365,30.9221,31.26,91026
2024-04-09,31.33,31.43,31,31.3,92529
2024-04-10,30.38,30.38,29.12,29.48,184257
2024-04-11,29.77,29.84,29.09,29.46,108327
2024-04-12,29.17,29.445,29.08,29.28,110395
2024-04-15,29.22,29.635,28.95,29.38,156500
2024-04-16,29.04,29.4401,28.86,29.19,131413
2024-04-17,29.4,29.68,29.15,29.2,163106
2024-04-18,28.83,29.9,28.83,29.35,164047
2024-04-19,29.03,30.52,28.9875,30.47,189346
2024-04-22,30.57,31.025,30.475,30.79,145835
2024-04-23,30.86,31.66,30.7649,31.15,186941
2024-04-24,30.9,31.3,30.71,31.27,152761
2024-04-25,30.97,31.09,30.49,31,122530
2024-04-26,30.95,31.42,30.69,30.98,109102
2024-04-29,31.08,31.55,30.58,30.61,102267
2024-04-30,30.43,30.52,30.07,30.15,168369
2024-05-01,30.37,31.47,30.2,30.89,186382
2024-05-02,31.25,31.56,31.11,31.53,145346
2024-05-03,31.97,32,31.5,31.55,121527
2024-05-06,31.86,32.005,31.69,31.72,88226
2024-05-07,31.83,32.1013,31.64,31.69,109292
2024-05-08,31.21,31.7,29.905,31.62,77854
2024-05-09,31.75,32.08,31.6048,32,108153
2024-05-10,31.93,32.06,31.61,31.88,81789
2024-05-13,32.02,32.2,31.73,31.78,105583
2024-05-14,32,32.12,31.575,31.8,81050
2024-05-15,32.2,32.25,31.86,32.2,124085
2024-05-16,32.16,32.55,32.01,32.37,123465
2024-05-17,32.56,33.18,32.48,33.1,191065
2024-05-20,33.12,33.14,32.605,32.68,125445
2024-05-21,32.54,33.055,32.54,32.96,76942
2024-05-22,32.8,33.005,32.43,32.87,110843
2024-05-23,33.05,33.1699,32.34,32.47,247565
2024-05-24,32.73,32.9,32.56,32.88,94987
2024-05-28,32.95,33.2,32.13,32.29,156449
2024-05-29,31.9,31.93,30.97,31.19,136200
2024-05-30,31.74,32.02,31.23,31.75,92330
2024-05-31,31.94,32.15,31.591,31.91,157508
2024-06-03,32.34,32.94,31.37,32.01,188704
2024-06-04,31.54,31.68,30.902,30.94,109253
2024-06-05,31.2,31.32,30.4475,30.97,93079
2024-06-06,30.85,31.32,30.82,31.18,71756
2024-06-07,30.83,31.26,30.785,31.16,71018
