date,open,high,low,close,volume
2024-03-01,7.35,7.6185,7.35,7.35,703.7333
2024-03-04,7.056,7.875,7.056,7.35,2462.3333
2024-03-05,7.4865,7.6275,7.0545,7.566,1009.7333
2024-03-06,7.566,7.566,7.083,7.29,522.4
2024-03-07,7.5,7.6485,7.29,7.35,867.1333
2024-03-08,7.29,7.6455,7.29,7.35,791.1333
2024-03-11,7.275,7.6485,7.2,7.2,2151.0667
2024-03-12,6.9,7.3065,6.7575,6.9,2324.4667
2024-03-13,6.765,7.5,6.765,7.365,1261.8
2024-03-14,7.365,7.485,7.023,7.335,847.2
2024-03-15,7.155,7.95,6.7665,7.95,9572.0667
2024-03-18,8.1,9.6,7.986,9.3765,9370.5333
2024-03-19,9.45,9.6,6.6135,8.94,5020.4667
2024-03-20,8.82,9.45,8.7855,8.82,2036.4
2024-03-21,8.4765,8.8035,8.25,8.25,2417.8
2024-03-22,8.4008,8.4008,7.8,7.95,1345.6667
2024-03-25,7.86,7.8615,7.215,7.365,4420.2
2024-03-26,7.26,7.26,6.9,6.915,1027
2024-03-27,6.9,7.203,6.9,6.987,900.5333
2024-03-28,6.975,7.5,6.975,7.2,1546.7333
2024-04-01,7.5,7.8,7.017,7.227,1057.6
2024-04-02,7.26,7.7895,7.26,7.35,1014.4
2024-04-03,7.0725,7.47,7.0725,7.0725,5052.4
2024-04-04,7.0725,7.497,7.0725,7.497,726.6667
2024-04-05,7.26,7.26,6.7515,6.9,3730.6667
2024-04-08,6.765,7.5728,6.7635,7.5,4617.4
2024-04-09,7.6425,7.6425,6.9,6.9,3150.1333
2024-04-10,6.765,7.08,6,6,6580.4
2024-04-11,6,6,5.34,5.4,6165.7333
2024-04-12,5.85,5.991,4.95,4.95,10922.9333
2024-04-15,5.25,5.475,4.95,5.1,9259.3333
2024-04-16,5.1,5.5005,4.9515,4.965,660.8667
2024-04-17,4.962,6,4.962,5.3565,569.6
2024-04-18,5.7,5.775,4.95,4.98,3555.5333
2024-04-19,5.229,5.46,4.95,4.965,482.3333
2024-04-22,5.2395,5.2395,5.1015,5.1015,275.8
2024-04-23,4.95,5.535,4.95,4.965,204.3333
2024-04-24,5.1075,5.265,4.95,5.1,361.4667
2024-04-25,5.6955,6.6045,4.7625,5.1,7383.5333
2024-04-26,5.25,5.25,4.575,4.815,3199.6
2024-04-29,4.815,5.2815,4.5,4.65,6554.6
2024-04-30,4.8,5.2635,4.245,4.485,9333.0667
2024-05-01,4.275,4.8015,4.2,4.365,8129.5333
2024-05-02,4.5,4.65,4.14,4.3365,16290.4667
2024-05-03,4.221,4.4835,3.6,4.365,15966.4667
2024-05-06,4.5825,5.0955,4.35,4.95,5387.6667
2024-05-07,5.0535,5.25,4.8,4.95,3581.4667
2024-05-08,5.2275,5.2485,5.025,5.157,3282
2024-05-09,5.1015,5.232,4.875,5.034,416.8667
2024-05-10,4.89,5.16,4.875,5.0055,1811.7333
2024-05-13,5.1038,5.1038,4.8405,4.8405,627
2024-05-14,4.6815,5.1,4.275,4.8,1801
2024-05-15,4.515,4.83,4.35,4.575,7484.4
2024-05-16,4.7565,4.77,4.65,4.725,2022.2
2024-05-17,4.905,4.9995,4.74,4.74,744.6667
2024-05-20,4.8,4.9455,4.65,4.65,1474.4
2024-05-21,4.65,5.247,4.65,4.8,3113.1333
2024-05-22,4.8165,5.25,4.7925,4.935,5098.4667
2024-05-23,4.965,5.16,4.809,5.16,1211
2024-05-24,5.25,5.529,5.055,5.055,2375.6
2024-05-28,5.1,5.7495,5.1,5.4345,1061.4667
2024-05-29,5.85,6.75,5.733,6.3,8207.1333
2024-05-30,6.3,6.438,6,6,1931.7333
2024-05-31,6.2985,6.2985,5.835,5.85,3310.8
2024-06-03,5.85,6.15,5.85,6.1485,2238.5333
2024-06-04,6.117,6.15,5.85,5.85,728.8
2024-06-05,6,6.15,5.85,5.8875,1860.9333
2024-06-06,6.15,6.2985,6,6.15,3651
2024-06-07,6.105,7.35,6.105,6.9,5765.8
2024-06-10,7.35,7.35,6.8265,6.9075,4967.8667
2024-06-11,6.9,9.747,5.9265,9.6,61733.6667
2024-06-12,8.7,8.7,7.2,7.725,22011.9333
2024-06-13,7.5675,8.0352,7.2,7.8015,4673.8667
2024-06-14,7.5,7.65,7.275,7.6485,2369.4
2024-06-17,7.5,8.616,7.212,7.95,2309.4667
2024-06-18,7.695,7.8,7.05,7.5,5998.1333
2024-06-20,7.35,7.5,6.87,6.99,1275.6
2024-06-21,6.9,7.7985,6.9,7.3875,7322.8667
2024-06-24,7.35,7.4925,7.185,7.35,2205.5333
2024-06-25,7.485,8.25,7.2,7.68,2835.4
2024-06-26,8.2185,8.22,7.35,7.5885,3672.7333
2024-06-27,7.65,7.95,7.2,7.2,446
2024-06-28,7.5,7.5,6.912,6.912,5080.0667
2024-07-01,6.747,7.425,6.4275,7.248,2249.1333
2024-07-02,7.275,7.8,6.525,7.4145,4844.6
2024-07-03,7.65,7.65,7.29,7.5375,160.7333
2024-07-05,7.185,7.9485,7.185,7.785,1116.5333
