date,open,high,low,close,volume
2024-03-01,21.98,22.6,21.915,22.6,8343
2024-03-04,22.91,22.95,22.25,22.3,3092
2024-03-05,22.46,22.5,22.11,22.11,3655
2024-03-06,22.4471,22.4471,22,22.1,4635
2024-03-07,22.3,22.5,22,22.49,7597
2024-03-08,22.5,22.5,22.265,22.45,2309
2024-03-11,22.0159,22.65,22.0159,22.02,9020
2024-03-12,22.05,22.54,22,22.54,9957
2024-03-13,22.6,22.86,22.56,22.73,8046
2024-03-14,22.8,22.8,22.5,22.52,5636
2024-03-15,22.3,23.345,22.02,22.02,21935
2024-03-18,22.01,23,22.01,22.03,6262
2024-03-19,22.625,22.625,22.2,22.2,2927
2024-03-20,22.51,22.75,22.51,22.75,3417
2024-03-21,22.3308,22.64,22.3308,22.64,5371
2024-03-22,22.9931,22.9931,22.32,22.32,2949
2024-03-25,22.67,22.67,22.37,22.39,2812
2024-03-26,22.48,22.48,22.35,22.35,3169
2024-03-27,22.625,22.79,22.625,22.66,4957
2024-03-28,22.7474,22.845,22.55,22.83,6131
2024-04-01,22.745,22.745,22.25,22.25,3850
2024-04-02,22.29,22.64,22.05,22.05,7884
2024-04-03,22.45,22.5,22.11,22.11,5069
2024-04-04,22.5627,22.5627,22.5,22.53,4652
2024-04-05,22.27,22.27,22.27,22.27,1458
2024-04-08,22.31,22.31,22.27,22.27,2631
2024-04-09,22.28,22.28,22.28,22.28,1606
2024-04-10,22.25,22.57,22.25,22.57,9218
2024-04-11,22.75,22.75,22.42,22.42,7932
2024-04-12,22.295,22.295,22.28,22.28,2896
2024-04-15,22.3,22.6,22.25,22.25,4512
2024-04-16,22.25,22.57,22.25,22.29,3523
2024-04-17,22.625,22.625,22.4,22.4,2677
2024-04-18,22.444,22.8,22.444,22.48,5955
2024-04-19,22.34,22.94,22.34,22.94,4706
2024-04-22,22.62,22.7,22.52,22.52,5299
2024-04-23,22.59,22.625,22.33,22.45,2850
2024-04-24,22.28,22.78,22.25,22.78,5247
2024-04-25,22.625,22.625,22.4,22.4,4229
2024-04-26,22.76,22.76,22.76,22.76,2321
2024-04-29,22.76,22.97,22.7,22.7,1925
2024-04-30,22.625,22.68,22.625,22.68,3842
2024-05-01,22.8512,22.975,22.63,22.91,5033
2024-05-02,22.985,23.38,22.94,23,5677
2024-05-03,23,23.48,22.45,23.4,2816
2024-05-06,24.408,24.48,24.05,24.05,3381
2024-05-07,24.04,24.04,23.35,23.35,5231
2024-05-08,23.43,23.43,23.11,23.2,2627
2024-05-09,23.61,24.26,22.96,23.9,4164
2024-05-10,23.5125,23.66,23.27,23.53,3614
2024-05-13,22.43,22.6,22.43,22.6,3248
2024-05-14,22.67,23.3,22.67,23.3,4121
2024-05-15,23.85,24.49,23.26,24.49,17488
2024-05-16,24.45,24.7,23.745,24.7,21941
2024-05-17,24.75,24.75,24.29,24.75,3633
2024-05-20,24.51,25.25,24.01,25.25,6998
2024-05-21,25.02,25.1723,24.56,24.56,3886
2024-05-22,24.23,24.96,23.8216,24.96,6585
2024-05-23,24.17,24.57,24.17,24.36,7613
2024-05-24,23.7122,24.78,23.7122,24.18,7198
2024-05-28,23.8,23.8,23.3,23.3,5274
2024-05-29,23.25,23.565,22.26,22.33,17872
2024-05-30,23.2179,23.2179,22.62,23.07,3676
2024-05-31,23.105,23.85,23.105,23.85,6314
2024-06-03,23.85,23.94,23.18,23.94,5748
2024-06-04,23.2501,24.04,23.2501,23.96,4028
2024-06-05,24.01,24.44,24.01,24.42,2833
2024-06-06,24.42,24.44,23.9,23.9,3319
2024-06-07,24.1,24.3,23.7241,24.1,3226
2024-06-10,24.23,24.23,24.12,24.12,2067
2024-06-11,24.27,24.27,24.27,24.27,2222
2024-06-12,24.44,25.6,24.43,25.1,6859
2024-06-13,25.07,25.42,24.98,24.98,2972
2024-06-14,24.81,24.81,24.81,24.81,2600
2024-06-17,25.42,25.42,25.42,25.42,1851
2024-06-18,23.18,24.66,23.18,24.65,4159
2024-06-20,24.34,24.85,24.24,24.24,5632
2024-06-21,24.23,25.215,24.23,24.75,15796
2024-06-24,24.8,25.27,24.24,24.24,17013
2024-06-25,25.16,25.16,24,24.02,6583
2024-06-26,24,24.62,23.5892,23.72,22401
2024-06-27,23.79,25.14,23.79,25.14,6072
2024-06-28,24.94,25.49,24.02,25.22,55358
2024-07-01,24.94,25.23,24.94,25.23,6371
2024-07-02,24.82,25.37,24.82,25.26,3751
2024-07-03,25.25,25.25,24.86,24.86,2536
2024-07-05,24.97,25.269,24.5317,25.07,17236
2024-07-08,25.35,25.45,24.93,25.45,4508
2024-07-09,24.674,25.43,24.674,25.24,4533
2024-07-10,25.7,25.99,25.7,25.99,2728
2024-07-11,26.55,27.63,26.2,27.4,9112
2024-07-12,27.8,28.95,27.8,28.46,10249
2024-07-15,28.98,29.36,27.96,28.9,12966
2024-07-16,29.64,29.7,29.15,29.63,16718
2024-07-17,29.72,30.15,27.04,30.15,10379
2024-07-18,29.64,30.655,27.81,27.81,15292
2024-07-19,27.87,28.1,27.87,27.99,5544
2024-07-22,28.11,28.58,27.61,28.44,14695
2024-07-23,28.44,29,28.44,28.81,11393
2024-07-24,28.81,29.25,27.68,27.68,7757
2024-07-25,27.96,28.95,27.96,28.86,9271
2024-07-26,29,29.15,28.3175,28.99,7164
2024-07-29,28.34,28.4875,27.2,27.2,7031
2024-07-30,27.4,27.4,26.5,26.93,7106
2024-07-31,26.56,27.72,25.9,27.62,10680
2024-08-01,27.53,27.53,26.05,26.06,5785
2024-08-02,26.05,26.08,25.7,25.71,8759
2024-08-05,24.37,24.3731,23.52,23.52,10563
2024-08-06,23.38,24.75,23.185,24.75,3928
2024-08-07,24.42,25.155,23.51,23.51,32282
2024-08-08,23.5,24.28,23.5,24.28,3186
2024-08-09,24.66,24.7,24.13,24.13,2951
2024-08-12,24,24.5,23.45,23.45,4496
2024-08-13,23.75,23.75,23.6,23.6,1539
2024-08-14,23.34,23.4,23,23.01,4972
2024-08-15,23.59,24.55,23.59,24.55,3583
