date,open,high,low,close,volume
2024-03-01,0.075,0.095,0.075,0.095,1384
2024-03-04,0.11,0.11,0.1099,0.11,1736
2024-03-13,0.095776,0.133,0.095776,0.133,301
2024-03-15,0.123225,0.123225,0.0954,0.12,1855
2024-03-18,0.11,0.11,0.1099,0.1099,307
2024-03-20,0.0954,0.1,0.06,0.1,9715
2024-03-22,0.0601,0.1,0.0601,0.1,700
2024-03-25,0.1,0.11,0.04,0.0642,55929
2024-03-26,0.0739,0.09,0.0646,0.0772,80789
2024-03-27,0.0772,0.0772,0.0772,0.0772,228
2024-03-28,0.08,0.08,0.08,0.08,391
2024-04-01,0.08,0.08,0.08,0.08,8314
2024-04-03,0.06,0.07425,0.05,0.05,12508
2024-04-04,0.064104,0.064104,0.045,0.045,69749
2024-04-05,0.059,0.059,0.0485,0.0485,4087
2024-04-09,0.041,0.0727,0.040691,0.0688,19950
2024-04-11,0.0718,0.0719,0.062,0.062049,5846
2024-04-12,0.056,0.056,0.055,0.055,1512
2024-04-16,0.0885,0.0885,0.075,0.075,700
2024-04-18,0.0885,0.0885,0.055,0.0745,2955
2024-04-24,0.0692,0.08,0.0551,0.08,2411
2024-04-29,0.055,0.055,0.05,0.055,28864
2024-05-03,0.085,0.085,0.055,0.085,9220
2024-05-07,0.08,0.08,0.0471,0.078099,9483
2024-05-08,0.065449,0.065449,0.065449,0.065449,208
2024-05-10,0.082,0.082,0.0417,0.0574,11224
2024-05-13,0.0618,0.066,0.0616,0.066,3152
2024-05-16,0.0688,0.0698,0.0637,0.0637,500
2024-05-20,0.0794,0.0794,0.0794,0.0794,200
2024-05-21,0.0794,0.0794,0.0794,0.0794,1019
2024-05-22,0.06,0.06,0.06,0.06,64160
2024-05-23,0.065,0.065,0.0606,0.0606,1551
2024-05-24,0.05,0.0702,0.05,0.0702,2429
2024-05-28,0.1003,0.160101,0.074,0.08,842702
2024-05-29,0.081,0.0999,0.0411,0.0746,101108
2024-05-30,0.1601,0.19,0.095,0.095442,572631
2024-05-31,0.129999,0.13,0.081,0.11,60272
2024-06-03,0.11,0.11,0.0703,0.08314,25737
2024-06-04,0.099,0.099,0.0705,0.0705,700
