date,open,high,low,close,volume
2024-03-04,0.03,0.04,0.0251,0.039754,15623
2024-03-06,0.035,0.035,0.035,0.035,710
2024-03-08,0.021,0.0399,0.021,0.0399,1461
2024-03-11,0.04,0.0619,0.035,0.059,113469
2024-03-12,0.059,0.059,0.0351,0.0385,4411
2024-03-15,0.059,0.0619,0.0367,0.0619,34580
2024-03-18,0.06099,0.06099,0.06099,0.06099,150
2024-03-22,0.0301,0.0431,0.0301,0.0407,15000
2024-03-27,0.059,0.059,0.0411,0.0411,12900
2024-03-28,0.058,0.058,0.04505,0.05,4604
2024-04-01,0.0501,0.0501,0.045053,0.0474,1544
2024-04-03,0.05,0.05,0.05,0.05,10002
2024-04-04,0.0411,0.05,0.0411,0.05,200
2024-04-05,0.047499,0.047499,0.047499,0.047499,100
2024-04-12,0.05,0.058,0.0411,0.0412,7236
2024-04-16,0.0411,0.0411,0.0411,0.0411,5611
2024-04-18,0.0411,0.0411,0.0411,0.0411,1020
2024-04-25,0.0411,0.0411,0.0411,0.0411,411
2024-04-29,0.0411,0.0411,0.0411,0.0411,500
2024-05-07,0.041201,0.041201,0.04,0.04,6164
2024-05-08,0.058,0.058,0.035,0.035,4355
2024-05-14,0.055,0.055,0.0333,0.0333,2000
2024-05-15,0.0571,0.0571,0.053,0.053,3455
2024-05-16,0.053,0.0545,0.048,0.0502,14100
2024-05-21,0.043,0.0545,0.043,0.0545,554
2024-05-22,0.0602,0.099,0.0529,0.0581,192319
2024-05-23,0.06,0.06,0.0431,0.0431,5669
2024-05-24,0.0431,0.0431,0.043,0.043,3003
2024-05-28,0.040101,0.0495,0.04,0.04,1261
2024-05-29,0.04,0.05899,0.04,0.04,58569
2024-05-31,0.04,0.045548,0.04,0.04,4212
2024-06-03,0.0351,0.049899,0.0351,0.049899,8400
2024-06-04,0.04,0.0598,0.04,0.0598,49069
2024-06-05,0.055,0.0595,0.0501,0.0548,83044
2024-06-06,0.0401,0.05,0.04,0.05,27733
2024-06-10,0.0595,0.0595,0.0352,0.0353,4515
2024-06-11,0.0353,0.04,0.0353,0.0399,3362
2024-06-12,0.0398,0.0398,0.0398,0.0398,462
2024-06-17,0.0507,0.0507,0.0507,0.0507,100
2024-06-18,0.0543,0.0543,0.0376,0.039,2269
2024-06-20,0.0375,0.0375,0.0375,0.0375,872
2024-06-21,0.049899,0.049899,0.0497,0.0497,2717
2024-06-24,0.0397,0.0398,0.0397,0.0398,1099
2024-06-25,0.049,0.049,0.049,0.049,127
2024-06-26,0.049,0.049,0.0375,0.0376,3632
2024-06-28,0.037701,0.037701,0.037701,0.037701,100
2024-07-01,0.049,0.049,0.0375,0.043199,6568
2024-07-02,0.049,0.049,0.0434,0.046251,5144
2024-07-03,0.04665,0.04665,0.0466,0.0466,1606
2024-07-08,0.04,0.049,0.04,0.049,3288
2024-07-09,0.04899,0.04899,0.036,0.0489,2102
2024-07-11,0.036,0.049,0.036,0.048899,1950
2024-07-15,0.036,0.0488,0.036,0.0488,1000
2024-07-16,0.036201,0.042501,0.0362,0.0362,565
2024-07-17,0.038,0.0488,0.038,0.0488,3400
2024-07-18,0.048699,0.0488,0.0441,0.0488,8779
