date,open,high,low,close,volume
2024-03-01,15.23,15.73,14.975,15.35,446206
2024-03-04,15.29,15.51,15.19,15.31,378367
2024-03-05,15.3,15.385,14.93,15.07,361384
2024-03-06,15.22,15.41,15.04,15.3,338542
2024-03-07,15.49,15.72,15.33,15.7,257534
2024-03-08,15.87,16.1,15.62,15.74,255293
2024-03-11,15.45,15.9,15.31,15.83,279634
2024-03-12,15.72,15.945,15.6135,15.93,453727
2024-03-13,15.72,16.135,15.72,16.1,301669
2024-03-14,16.08,16.46,15.9,16.31,413702
2024-03-15,16.15,16.84,16.15,16.75,598983
2024-03-18,16.75,16.75,15.83,15.835,273160
2024-03-19,15.64,16.15,15.38,16.12,316358
2024-03-20,16.13,16.46,15.95,16.44,139777
2024-03-21,16.54,16.73,16.1,16.52,168249
2024-03-22,16.5,16.575,15.81,16.44,238608
2024-03-25,16.34,16.95,15.97,16,281463
2024-03-26,16.01,16.075,15.23,15.46,218529
2024-03-27,15.7,15.98,15.64,15.86,115312
2024-03-28,15.81,16.3,15.81,16.25,239555
2024-04-01,16.27,16.4163,15.5,15.67,181497
2024-04-02,15.37,15.45,14.99,15.16,161294
2024-04-03,15.19,15.805,15.19,15.39,291680
2024-04-04,15.58,15.79,15.25,15.25,155571
2024-04-05,15.36,16.05,15.31,15.8,290939
2024-04-08,15.93,16.0825,15.5,15.58,137493
2024-04-09,15.63,15.74,15.46,15.58,114482
2024-04-10,15.4,15.48,14.87,15.04,186387
2024-04-11,15.19,15.3,14.955,15.05,183064
2024-04-12,15,15.16,14.75,14.78,167100
2024-04-15,15.05,15.1199,14.07,14.1,206496
2024-04-16,14.09,14.5994,13.66,14.38,185156
2024-04-17,14.44,14.63,14.16,14.16,122513
2024-04-18,14.17,14.44,14.11,14.14,122575
2024-04-19,14.1,14.63,14.1,14.4,158633
2024-04-22,14.54,14.65,14.36,14.65,108337
2024-04-23,14.64,14.94,14.57,14.57,104705
2024-04-24,14.55,15.59,14.55,15.04,402089
2024-04-25,14.9,14.9,13.9,14.27,268362
2024-04-26,14.28,14.38,13.91,14.3,235715
2024-04-29,14.35,14.55,13.991,14.13,147007
2024-04-30,13.99,14.09,13.77,13.77,117400
2024-05-01,13.83,14.6,13.77,14.34,167020
2024-05-02,14.36,14.46,14.21,14.44,85347
2024-05-03,14.54,14.745,14.21,14.275,127954
2024-05-06,14.21,14.46,14.19,14.19,140594
2024-05-07,13.82,14.6,13,14.44,471720
2024-05-08,14.06,14.3,13.565,13.85,368621
2024-05-09,13.8,14.09,13.71,14.05,221775
2024-05-10,14.01,14.15,13.6114,13.9,197127
2024-05-13,13.94,14.17,13.76,13.83,191152
2024-05-14,13.95,14.24,13.6,13.63,191251
2024-05-15,13.84,13.9,13.43,13.69,726014
2024-05-16,13.74,13.82,13.45,13.66,339693
2024-05-17,13.76,14.02,13.515,13.73,238949
2024-05-20,13.67,13.91,13.65,13.65,136256
2024-05-21,13.53,13.605,12.74,12.84,294548
2024-05-22,12.8,13.12,12.5891,12.92,360210
2024-05-23,12.93,13.06,12.54,12.78,263248
2024-05-24,12.87,12.96,12.62,12.86,248106
2024-05-28,13.07,13.07,12.62,12.68,172333
2024-05-29,12.52,12.89,12.43,12.83,211525
2024-05-30,12.88,13.075,12.83,12.92,275254
2024-05-31,12.96,13.19,12.71,12.73,286054
2024-06-03,12.78,13.01,12.6291,12.82,989224
2024-06-04,12.85,12.85,12.14,12.24,211777
2024-06-05,12.28,12.34,12.05,12.11,237485
2024-06-06,12.05,12.3,11.995,12.18,301283
2024-06-07,12.04,12.23,11.93,12.03,183719
2024-06-10,11.89,12.085,11.825,12.03,475959
2024-06-11,11.92,12.26,11.75,12.13,313151
2024-06-12,12.31,12.5,11.81,11.99,486577
2024-06-13,11.99,12.12,11.62,11.91,381976
2024-06-14,11.81,11.85,11.6,11.78,332743
2024-06-17,11.67,11.87,11.4954,11.74,217812
2024-06-18,11.72,11.8,11.35,11.49,151845
2024-06-20,11.4,11.49,11.13,11.13,179493
2024-06-21,11.23,11.58,11.14,11.37,392230
2024-06-24,11.37,11.42,11.17,11.3,282185
2024-06-25,11.29,11.48,11.21,11.32,225592
2024-06-26,11.26,11.44,11.2,11.26,215095
2024-06-27,11.26,11.57,11.18,11.57,185018
2024-06-28,11.65,11.98,11.45,11.94,1130639.0
2024-07-01,12.03,12.18,11.38,11.41,353335
2024-07-02,11.4,11.54,11.29,11.32,282727
2024-07-03,11.38,11.51,11.2,11.43,311047
2024-07-05,11.37,11.42,11.12,11.29,434787
2024-07-08,11.4,11.67,11.39,11.54,391060
2024-07-09,11.48,11.68,11.34,11.56,414224
2024-07-10,11.63,11.63,11.19,11.5,576561
2024-07-11,11.64,12.01,11.64,11.8,426305
2024-07-12,11.95,12.32,11.95,12.02,207547
2024-07-15,12.06,12.45,12.0248,12.44,284622
2024-07-16,12.52,12.92,12.52,12.75,279599
2024-07-17,12.69,12.91,12.475,12.7,180163
2024-07-18,12.6,12.78,12.23,12.31,140079
2024-07-19,12.35,12.45,12.18,12.38,113908
2024-07-22,12.48,12.715,12.28,12.68,119213
2024-07-23,12.6,12.95,12.56,12.94,153394
2024-07-24,12.86,13.15,12.815,12.88,170832
2024-07-25,12.95,13.14,12.81,12.91,179495
2024-07-26,13.02,13.02,12.52,12.68,134678
2024-07-29,12.71,12.78,12.37,12.45,84487
2024-07-30,12.51,12.82,12.47,12.77,117112
2024-07-31,12.75,13.13,12.5,12.77,136653
2024-08-01,12.79,12.93,12.2875,12.44,135180
2024-08-02,12.03,12.32,11.97,12.26,182196
2024-08-05,11.69,11.83,11.3301,11.54,236647
2024-08-06,12.15,13.18,11.1301,13.14,455359
2024-08-07,13.15,14.24,13.12,13.47,290577
2024-08-08,13.48,13.563,12.915,13.19,151759
2024-08-09,13.27,13.49,13.06,13.31,138480
2024-08-12,13.31,13.41,12.89,12.97,129474
2024-08-13,13.06,13.21,12.71,12.79,169178
2024-08-14,12.82,12.82,12.37,12.57,108425
2024-08-15,12.62,13.28,12.62,13.01,101998
2024-08-16,12.93,13.25,12.9,12.99,181293
2024-08-19,12.96,13.12,12.831,13.12,120902
2024-08-20,13.06,13.18,12.69,12.74,68593
2024-08-21,12.8,12.86,12.54,12.7,121797
2024-08-22,12.41,12.67,12.41,12.46,95144
2024-08-23,12.51,13.08,12.485,13.05,135810
