date,open,high,low,close,volume
2024-03-01,9,9.2,8.7,9.05,130888
2024-03-04,9,9.0852,8.625,9,73704
2024-03-05,9,9,8.35,8.89,62074
2024-03-06,9,9,8.11,8.76,52828
2024-03-07,8.9,9,8.5407,8.7,34692
2024-03-08,8.58,8.98,8.3,8.46,23543
2024-03-11,8.55,8.55,6.66,6.87,45179
2024-03-12,6.7,7.96,6.54,6.63,20846
2024-03-13,6.43,8.3666,5.6,7.22,75769
2024-03-14,8.09,8.48,5.8149,6.51,104744
2024-03-15,6.51,6.76,5.73,5.73,54026
2024-03-18,5.81,6.2,4.76,4.83,64733
2024-03-19,4.76,5.95,4.76,5.95,23888
2024-03-20,6.03,6.9077,6.03,6.6,28399
2024-03-21,6.58,7.15,6,6.79,38053
2024-03-22,6.79,6.85,6.1,6.49,28327
2024-03-25,6.01,6.12,5.55,5.55,17641
2024-03-26,5.51,5.93,5.36,5.56,11941
2024-03-27,5.89,6,4.76,5.085,52915
2024-03-28,5,5.99,5,5.15,30290
2024-04-01,5.44,5.775,5.05,5.46,20000
2024-04-02,5.6922,5.7145,5.052,5.495,27972
2024-04-03,5.4221,5.745,5.3,5.555,16167
2024-04-04,5.76,7.56,5.283,7.3101,73091
2024-04-05,7.99,7.99,7,7.1,42583
2024-04-08,7.25,7.62,6.26,6.71,18934
2024-04-09,6.81,7.24,6.51,6.8501,13827
2024-04-10,7.2,7.76,7,7.69,16507
2024-04-11,7.07,8.21,7.07,8.2,38748
2024-04-12,8.6,9.2886,7.7077,9,209779
2024-04-15,9.28,9.28,8.6901,8.84,58020
2024-04-16,9,9.39,7.77,8.37,283940
2024-04-17,8.52,8.89,8.135,8.48,63656
2024-04-18,8.25,8.35,7.9101,7.95,36808
2024-04-19,8.07,8.35,7.66,7.985,32960
2024-04-22,8.315,8.315,5.5,5.605,134231
2024-04-23,5.6,5.94,5.56,5.82,26288
2024-04-24,5.95,6.97,5.92,6.97,40951
2024-04-25,6.97,6.97,6.51,6.7999,9325
2024-04-26,6.77,6.865,5.9,6.865,23964
2024-04-29,6.63,7.52,6.49,7.27,19764
2024-04-30,7.27,7.27,6.17,6.62,11403
2024-05-01,6.62,6.825,6.2501,6.825,6528
2024-05-02,6.655,6.84,6.4186,6.84,3578
2024-05-03,6.63,6.63,6,6.2,15054
2024-05-06,6.25,6.85,6.0001,6.05,31444
2024-05-07,6.21,6.4257,6.07,6.28,24407
2024-05-08,6.34,6.34,5.93,5.93,26802
2024-05-09,6.2,6.7783,6.0501,6.54,73486
2024-05-10,6.8,7.3999,6.21,6.91,50538
2024-05-13,7.4,7.4,6.34,6.66,20704
2024-05-14,6.665,6.665,6.05,6.305,9827
2024-05-15,6.3335,6.6,6.21,6.21,8064
2024-05-16,6.2,6.4,6.02,6.1819,27952
2024-05-17,6.4,6.51,6.021,6.18,21192
2024-05-20,6,6.3593,6,6.04,7218
2024-05-21,6.1,6.1,5.56,5.7,29154
2024-05-22,5.56,6.046,5.56,5.6,10666
2024-05-23,5.95,6.4278,5.6,6.3,41777
