date,open,high,low,close,volume
2024-03-01,56.8,57.89,55.94,57.71,203712
2024-03-04,57.55,57.55,55.93,56.39,148530
2024-03-05,55.95,56.95,55.4,56.1,200349
2024-03-06,56.27,56.8,55.79,56.01,120494
2024-03-07,56.2,57.52,55.49,55.87,127420
2024-03-08,56.29,57.18,55.4,55.71,133422
2024-03-11,55.38,56.09,55.38,55.63,112693
2024-03-12,55.33,56.125,54.89,55.69,104656
2024-03-13,55.45,56.12,54.65,55.37,158450
2024-03-14,55.22,55.22,53.59,54.02,184767
2024-03-15,53.9,54.99,53.77,54.25,300498
2024-03-18,54.65,55.2499,54.03,54.24,150998
2024-03-19,54.11,54.78,54,54.14,132232
2024-03-20,53.8,54.6,53.105,53.95,234850
2024-03-21,54.19,56.09,54.11,55.53,240595
2024-03-22,55.53,55.64,54.93,54.98,130606
2024-03-25,54.98,55.43,54.205,54.91,164745
2024-03-26,55.23,56.83,54.06,54.61,162895
2024-03-27,55.27,56.94,55.27,56.88,194653
2024-03-28,56.75,57.905,56.71,57.58,189048
2024-04-01,57.96,57.96,55.77,56.06,138783
2024-04-02,55.41,55.41,54.7,55.26,207080
2024-04-03,54.65,56.44,54.65,56.2,139299
2024-04-04,57.04,57.04,55.275,55.43,85438
2024-04-05,55.02,55.92,54.65,54.72,129025
2024-04-08,54.89,56.05,54.72,55.21,106631
2024-04-09,55.21,56.2,55.21,56.15,172315
2024-04-10,54.29,54.29,52.385,53.07,198193
2024-04-11,53.59,54.065,53.25,53.59,114237
2024-04-12,52.94,52.94,51.73,51.89,109857
2024-04-15,52.25,52.7,51.07,51.69,144804
2024-04-16,51.07,51.58,50.85,51.06,146473
2024-04-17,51.51,51.51,50.33,50.48,121182
2024-04-18,50.45,50.91,49.82,50.22,127439
2024-04-19,49.85,50.98,49.69,49.99,147717
2024-04-22,49.91,50.33,49.1301,49.83,118923
2024-04-23,49.7,50.5,49.7,50.4,127275
2024-04-24,50.4,51.17,50.4,50.74,121531
2024-04-25,50,50.2,49.415,50.01,121790
2024-04-26,50.25,51.06,50.25,50.59,103860
2024-04-29,50.99,51.81,50.305,50.38,120505
2024-04-30,51.96,56.72,50.52,50.57,467211
2024-05-01,50.76,53.36,50.54,51.92,236227
2024-05-02,52.66,52.78,51.22,51.49,207820
2024-05-03,52.49,52.49,51.1,51.23,163214
2024-05-06,51.71,53.0025,50.89,51.05,114487
2024-05-07,51.38,51.63,50.7,50.79,127439
2024-05-08,49.94,51.71,49.88,51.57,95679
2024-05-09,51.5,51.91,51,51.37,82437
2024-05-10,51.47,51.61,50.295,50.53,95694
2024-05-13,50.73,51.2,50.435,50.64,87359
2024-05-14,51.44,51.44,50.66,51.37,101273
2024-05-15,51.77,52,50.63,51.61,96345
2024-05-16,51.52,51.52,50.52,50.72,82860
2024-05-17,50.71,51.165,50.08,50.44,94890
2024-05-20,50.51,50.51,49.21,49.33,129702
2024-05-21,49.1,49.535,48.72,49.48,98900
2024-05-22,49.47,49.73,48.56,48.86,113864
2024-05-23,48.86,49.26,47.79,48,194925
2024-05-24,48.54,49.62,47.87,49.21,179619
2024-05-28,49.63,51.14,49.27,51.11,139740
2024-05-29,50.28,51.22,50.28,50.79,156734
2024-05-30,51.3,53.2,50.77,53.05,180272
2024-05-31,53.28,54.34,52.91,53.94,252981
2024-06-03,54.15,55.2,53.56,54.84,195207
2024-06-04,54.34,55.32,53.91,54.48,233391
2024-06-05,54.3,55.06,53.16,55.01,177833
2024-06-06,55.88,56.3,54.51,54.9,186685
2024-06-07,54,54.82,53.055,53.76,162099
2024-06-10,52.88,53.42,52.05,52.98,205436
2024-06-11,52.58,52.81,51.83,52.54,176634
2024-06-12,54.06,54.29,52.56,52.98,116436
2024-06-13,52.58,52.93,50.35,50.9,144322
2024-06-14,50.13,50.24,49.03,50.06,197695
2024-06-17,50.21,51.33,49.965,51.25,114272
2024-06-18,51.1,51.18,49.62,51.12,141272
2024-06-20,50.79,52.4,49.98,51.12,207999
2024-06-21,51.12,51.12,50.18,51.05,626161
2024-06-24,51.38,51.87,50.49,50.51,114967
2024-06-25,50.24,50.24,48.6,49.16,141157
2024-06-26,48.74,48.89,48.19,48.74,118581
2024-06-27,48.97,49.41,48.49,49.07,123932
2024-06-28,49.64,49.98,48.74,49.32,215417
2024-07-01,49.4,50.38,48.775,50.05,219851
2024-07-02,50.21,51.355,50.17,50.2,185018
2024-07-03,50.17,50.8,49.06,49.47,48554
2024-07-05,49.19,49.505,48.32,48.46,74740
2024-07-08,49.06,49.46,48.441,48.51,72330
2024-07-09,48.25,48.5,47.76,47.86,92528
2024-07-10,48.09,48.11,47.485,48.05,89326
2024-07-11,49.32,51.04,49.15,50.96,166616
2024-07-12,51.24,51.93,50.825,51.24,104280
2024-07-15,51.53,52.25,50.96,51.54,141018
2024-07-16,52.3,53.71,52.3,53.68,129497
2024-07-17,53.15,53.78,52,52.82,189725
2024-07-18,52.69,53.865,51.87,52.27,96639
2024-07-19,52.29,52.29,49.9,50.06,104033
2024-07-22,49.75,50.414,49.05,50.2,141850
2024-07-23,50.08,51.435,49.55,50.92,119437
2024-07-24,50.73,51.26,50.225,50.55,143524
2024-07-25,50.8,51.09,49.34,49.5,336265
2024-07-26,50.28,51.15,48.92,51.06,198130
2024-07-29,51.25,51.48,49.63,50.4,170294
2024-07-30,50.67,50.81,50.13,50.31,202557
2024-07-31,55,56.68,53.645,55.18,315675
2024-08-01,54.63,55.355,53.45,54.1,246040
2024-08-02,51.8,52.85,50.95,51.83,150103
2024-08-05,49.5,49.9,48.69,49.79,194085
2024-08-06,49.59,50.57,48.88,50.17,159515
2024-08-07,49.91,52.02,49.43,49.85,153134
2024-08-08,50.49,51.18,48.98,49.21,102141
2024-08-09,49.1,50.61,49.02,49.64,165845
2024-08-12,50.04,50.04,48.5,48.92,139605
2024-08-13,49.44,50.99,48.845,50.82,167739
2024-08-14,51.03,51.21,49.95,50.58,151110
2024-08-15,51.64,52.06,50.89,51.34,172827
2024-08-16,51.19,51.46,50.32,50.52,96291
2024-08-19,50.72,51.27,50.51,51.23,164041
2024-08-20,51.48,51.555,50.5,51.04,177074
2024-08-21,51.61,51.61,50.62,50.89,107482
2024-08-22,50.79,51.01,48.44,48.55,100540
2024-08-23,48.77,50.7626,48.34,50.31,154791
2024-08-26,50.97,51.73,50.29,50.29,156160
2024-08-27,50.17,50.8,49.64,50.43,102739
2024-08-28,50.36,50.83,49.91,50.21,71582
2024-08-29,50.8,51.2,50.28,50.68,95725
2024-08-30,50.84,51.51,49.83,50.54,83538
2024-09-03,50.24,50.27,48.585,48.72,105496
2024-09-04,48.49,48.745,47.5,47.61,102532
2024-09-05,47.47,47.75,46.72,47.02,133980
2024-09-06,46.91,47.2,46.115,46.64,127694
2024-09-09,46.57,46.6,45.575,45.89,166699
2024-09-10,45.68,45.68,44.2,44.8,155561
2024-09-11,44.53,45.84,43.9,45.72,175735
2024-09-12,45.9,46.71,44.902,46.09,172777
2024-09-13,46.84,47.962,45.5,47.78,192398
2024-09-16,48.06,48.425,47.44,48.34,197040
2024-09-17,48.96,50,48.86,49.54,153899
