date,open,high,low,close,volume
2024-03-01,15.86,15.86,15.39,15.62,398881
2024-03-04,15.68,15.74,15.19,15.21,325883
2024-03-05,15.19,15.34,15.06,15.09,356635
2024-03-06,15.3,15.305,15.04,15.13,306420
2024-03-07,15.3,15.435,15.19,15.27,277379
2024-03-08,15.44,15.7171,15.349,15.48,256856
2024-03-11,15.44,15.55,15.01,15.2,241996
2024-03-12,15.17,15.39,15.02,15.33,210431
2024-03-13,15.27,15.62,15.27,15.43,704648
2024-03-14,15.38,15.38,14.83,14.96,290658
2024-03-15,14.9,15.195,14.79,15.14,2390899.0
2024-03-18,15.29,16.41,15.27,16.21,652893
2024-03-19,16.18,16.35,16.08,16.23,305107
2024-03-20,16.19,16.585,15.91,16.47,337878
2024-03-21,17.1,18.4699,17.01,17.88,1636560.0
2024-03-22,17.98,17.98,17.18,17.2,436101
2024-03-25,17.2,17.59,17.1399,17.21,389805
2024-03-26,17.24,17.48,16.9401,17.12,401194
2024-03-27,17.29,17.41,17.2,17.32,392434
2024-03-28,17.29,17.3198,16.61,16.82,652577
2024-04-01,16.82,17.03,16.5,16.6,346346
2024-04-02,16.33,16.62,16.13,16.5,628672
2024-04-03,16.4,16.99,16.3,16.94,499134
2024-04-04,17.15,17.25,16.49,16.51,378455
2024-04-05,16.47,16.81,16.42,16.65,242202
2024-04-08,16.76,16.905,16.6,16.6,270041
2024-04-09,16.65,16.77,16.32,16.42,240501
2024-04-10,15.81,15.91,15.5,15.64,695397
2024-04-11,15.69,15.91,15.57,15.8,700961
2024-04-12,15.73,15.86,15.35,15.43,401330
2024-04-15,15.69,15.87,15.335,15.44,233656
2024-04-16,15.39,15.41,14.9,15.13,616734
2024-04-17,15.26,15.44,14.75,14.88,695098
2024-04-18,15.03,15.29,14.88,14.93,543015
2024-04-19,14.89,15.2,14.73,14.88,437990
2024-04-22,15.03,15.27,14.92,15.1,360214
2024-04-23,15.16,16.255,15.1475,16.15,546438
2024-04-24,16.11,16.37,15.73,15.86,536399
2024-04-25,15.65,15.65,15.13,15.31,428527
2024-04-26,15.41,15.695,15.31,15.61,408332
2024-04-29,15.65,15.77,15.48,15.76,415012
2024-04-30,15.59,15.685,15.25,15.29,489769
2024-05-01,15.32,15.67,15.17,15.28,606989
2024-05-02,15.46,15.92,15.46,15.86,408221
2024-05-03,17.7,18.175,16.765,17.39,790051
2024-05-06,17.45,17.49,16.24,16.43,726369
2024-05-07,16.54,16.585,16.14,16.19,658537
2024-05-08,16,16.04,15.66,15.95,439289
2024-05-09,16.03,16.09,15.76,15.91,372191
2024-05-10,15.95,16.245,15.715,16.22,392185
2024-05-13,16.41,16.41,15.93,15.94,341827
2024-05-14,16.26,16.33,15.96,16.16,501987
2024-05-15,16.34,16.34,16.02,16.05,279777
2024-05-16,15.96,15.97,15.64,15.69,264142
2024-05-17,15.75,15.75,15.405,15.54,280685
2024-05-20,15.49,15.56,15.304,15.325,296742
2024-05-21,15.34,15.58,15.26,15.51,235740
2024-05-22,15.41,15.59,15.222,15.39,328507
