date,open,high,low,close,volume
2024-03-01,2.97,3.24,2.85,2.86,13698
2024-03-04,2.86,3.255,2.86,2.95,8103
2024-03-05,2.86,3.08,2.85,2.86,4640
2024-03-06,2.86,2.97,2.86,2.93,4007
2024-03-07,2.89,2.985,2.85,2.85,9770
2024-03-08,2.86,3,2.85,2.85,4901
2024-03-11,2.88,3.13,2.88,3.02,5069
2024-03-12,2.8614,2.9888,2.85,2.85,9835
2024-03-13,2.93,3.23,2.85,2.86,11767
2024-03-14,2.929,3.04,2.86,2.97,1676
2024-03-15,3.03,3.03,2.85,2.85,8039
2024-03-18,2.8656,2.8656,2.85,2.85,5590
2024-03-19,2.92,3.005,2.75,2.81,14515
2024-03-20,2.831,2.9842,2.75,2.84,5634
2024-03-21,2.75,2.75,2.52,2.53,12171
2024-03-22,2.52,2.54,2.42,2.48,5386
2024-03-25,2.445,2.48,2.41,2.41,2619
2024-03-26,2.5,2.5,2.5,2.5,414
2024-03-27,2.46,2.46,2.46,2.46,695
2024-03-28,2.5,2.72,2.4,2.65,15480
2024-04-01,2.61,2.83,2.4,2.81,4499
2024-04-02,2.55,2.9,2.405,2.5,118218
2024-04-03,2.76,2.76,2.41,2.5,7411
2024-04-04,2.5,2.625,2.44,2.44,77852
2024-04-05,2.42,2.57,2.4,2.565,6026
2024-04-08,2.56,2.56,2.515,2.515,793
2024-04-09,2.52,2.58,2.51,2.58,11165
2024-04-10,2.41,2.515,2.401,2.515,1847
2024-04-11,2.45,2.45,2.4,2.4,5499
2024-04-12,2.4,2.43,2.4,2.41,1713
2024-04-15,2.42,2.42,2.42,2.42,707
2024-04-16,2.44,2.6,2.44,2.6,707
2024-04-17,2.41,2.425,2.1,2.11,7444
2024-04-18,2.11,2.16,2,2.01,13356
2024-04-19,2.05,2.095,2,2,2764
2024-04-22,2.09,2.09,2,2,2740
2024-04-23,2,2.025,1.72,1.799,38941
2024-04-24,1.73,1.93,1.71,1.71,18948
2024-04-25,1.7,1.8571,1.7,1.7,11796
2024-04-26,1.71,1.8116,1.68,1.73,23753
2024-04-29,1.7,1.7818,1.68,1.7,10959
2024-04-30,1.73,1.92,1.69,1.78,26057
2024-05-01,1.79,1.95,1.78,1.91,5458
2024-05-02,1.91,1.9498,1.7,1.935,10382
2024-05-03,1.94,1.94,1.9,1.9,6858
2024-05-06,1.94,2,1.9356,1.98,8248
2024-05-07,2,2,1.89,1.92,7746
2024-05-08,1.89,1.91,1.85,1.85,1837
2024-05-09,1.96,1.96,1.8,1.81,8061
2024-05-10,1.81,1.82,1.8,1.8,2876
2024-05-13,1.88,1.89,1.74,1.74,10252
2024-05-14,1.81,1.97,1.81,1.95,9165
2024-05-15,2,2,1.88,1.88,5199
2024-05-16,1.94,1.9943,1.87,1.9,3988
2024-05-17,1.9857,1.9857,1.79,1.79,2690
2024-05-20,1.9799,2.03,1.74,1.79,10292
2024-05-21,1.9286,1.9299,1.79,1.79,6625
2024-05-22,1.78,1.9,1.7,1.71,8543
2024-05-23,1.7,1.83,1.7,1.71,19965
2024-05-24,1.8,1.835,1.745,1.83,14428
2024-05-28,1.88,1.88,1.74,1.775,6073
2024-05-29,1.78,1.93,1.75,1.75,2888
2024-05-30,1.77,1.94,1.755,1.84,8939
2024-05-31,1.76,1.76,1.76,1.76,3111
2024-06-03,1.83,1.865,1.77,1.84,3134
2024-06-04,1.75,1.85,1.75,1.85,7699
2024-06-05,1.785,1.85,1.7201,1.81,13535
2024-06-06,1.88,1.89,1.73,1.73,41877
2024-06-07,1.72,1.84,1.72,1.75,10686
2024-06-10,1.85,1.9,1.7501,1.76,7960
2024-06-11,1.88,1.9,1.77,1.79,141394
