date,open,high,low,close,volume
2024-03-01,1.45,1.45,1.31,1.31,61081
2024-03-04,1.31,1.35,1.2106,1.3,77956
2024-03-05,1.3,1.3196,1.22,1.25,46923
2024-03-06,1.31,1.31,1.23,1.27,88682
2024-03-07,1.18,1.28,1.1,1.135,166389
2024-03-08,1.15,1.175,1.08,1.125,45166
2024-03-11,1.09,1.16,1.09,1.1,41833
2024-03-12,1.14,1.21,1.08,1.09,90790
2024-03-13,1.06,1.18,1.06,1.17,102728
2024-03-14,1.18,1.22,1.1221,1.14,78993
2024-03-15,1.16,1.18,1.1372,1.15,35235
2024-03-18,1.13,1.19,1.12,1.15,56715
2024-03-19,1.13,1.18,1.13,1.14,56285
2024-03-20,1.19,1.19,1.0803,1.09,55290
2024-03-21,1.1,1.15,1.1,1.12,32494
2024-03-22,1.12,1.1455,1.0901,1.14,44475
2024-03-25,1.15,1.16,1.12,1.16,43910
2024-03-26,1.15,1.16,1.09,1.12,59899
2024-03-27,1.15,1.15,1.08,1.1,79510
2024-03-28,1.12,1.12,1.01,1.03,81350
2024-04-01,1.09,1.09,1.03,1.07,22327
2024-04-02,1.09,1.09,0.97,0.982,70669
2024-04-03,0.99,1.02,0.98,1.01,55386
2024-04-04,1.03,1.13,1.03,1.1,122573
2024-04-05,1.12,1.24,1.12,1.2,164923
2024-04-08,1.24,1.24,1.15,1.17,87159
2024-04-09,1.18,1.2,1.13,1.19,70484
2024-04-10,1.15,1.22,1.15,1.2,50670
2024-04-11,1.185,1.19,1.02,1.14,90890
2024-04-12,1.14,1.16,1.12,1.12,30747
2024-04-15,1.12,1.1431,1,1.02,150751
2024-04-16,1.01,1.07,1,1.02,70908
2024-04-17,1.02,1.0412,1.005,1.01,46435
2024-04-18,1,1.0495,1,1.04,17908
2024-04-19,1.02,1.02,0.95,0.99,77151
2024-04-22,0.97,0.99,0.92,0.93,60192
2024-04-23,0.9351,1.015,0.9266,0.9459,20779
2024-04-24,0.97,1.05,0.95,0.97,32552
2024-04-25,0.99,1.14,0.99,1.12,259785
2024-04-26,1.08,1.08,1.02,1.05,39947
2024-04-29,1.05,1.0991,0.9761,0.99,41489
2024-04-30,1.01,1.1,0.9734,1.03,45422
2024-05-01,1.01,1.055,1,1,78728
2024-05-02,1,1.0348,0.9912,1.02,18358
2024-05-03,1.03,1.04,0.99,1.02,66583
2024-05-06,1.03,1.06,1.025,1.03,36448
2024-05-07,0.99,1.05,0.99,0.9911,92332
2024-05-08,1.0106,1.04,1,1.04,31676
2024-05-09,1.04,1.0698,1.02,1.02,16178
2024-05-10,1.021,1.03,1.01,1.015,12703
2024-05-13,1.01,1.04,1.01,1.0301,28572
2024-05-14,1.03,1.03,1,1.02,77022
2024-05-15,0.99,1.27,0.99,1.215,497303
2024-05-16,1.18,1.18,1.11,1.15,43376
2024-05-17,1.17,1.17,1.08,1.08,42135
2024-05-20,1.05,1.1399,1,1.08,94900
2024-05-21,1.11,1.11,1.03,1.05,27234
2024-05-22,1.03,1.1,1,1.02,61216
2024-05-23,1.03,1.04,1.02,1.04,21920
2024-05-24,1.02,1.04,1.02,1.03,7715
2024-05-28,1.02,1.0495,0.97,1.03,104622
2024-05-29,1.0107,1.03,1,1.03,66836
2024-05-30,1,1.05,1,1.02,26953
2024-05-31,1.01,1.05,1,1.03,9002
2024-06-03,1.03,1.03,1,1.03,38087
2024-06-04,1.01,1.03,0.902,1.0299,66867
2024-06-05,1.03,1.03,0.9836,0.9998,7124
2024-06-06,0.97,0.992,0.96,0.979799,15350
2024-06-07,0.96,0.98,0.96,0.9715,14457
2024-06-10,0.96,1.0291,0.96,1.01,33494
2024-06-11,1,1.01,0.97,0.9755,14846
2024-06-12,0.97,0.9848,0.9,0.983,40809
2024-06-13,0.98,1,0.95,0.98,48448
2024-06-14,1,1.11,0.9601,1.06,136311
2024-06-17,1.06,1.06,0.9599,0.993,88042
2024-06-18,0.97,1,0.78105,0.7811,376268
2024-06-20,0.82,0.898,0.8,0.827,102861
2024-06-21,0.87,0.9292,0.83,0.9292,92530
