date,open,high,low,close,volume
2024-03-01,9.525,9.5661,9.07,9.32,22014
2024-03-04,9.41,9.95,9.31,9.83,37904
2024-03-05,9.91,10,9.76,9.89,18342
2024-03-06,9.68,9.99,9.68,9.99,27560
2024-03-07,9.9,9.99,9.63,9.63,29409
2024-03-08,9.79,10,9.4876,10,16107
2024-03-11,9.9,10,9.71,9.71,42391
2024-03-12,9.9,9.9,9.31,9.36,80705
2024-03-13,9.33,9.475,9.31,9.31,75080
2024-03-14,9.31,9.455,9.31,9.31,80260
2024-03-15,9.5,9.87,9.37,9.73,34916
2024-03-18,9.62,9.99,9.58,9.58,26743
2024-03-19,9.32,9.64,9.07,9.07,109775
2024-03-20,9.07,9.415,8.8101,9.11,51182
2024-03-21,9.1,9.7,8.8,9.47,57663
2024-03-22,9.61,9.79,9.44,9.78,14496
2024-03-25,9.9999,9.9999,9.3,9.32,103915
2024-03-26,9.31,9.622,9.31,9.32,140634
2024-03-27,9.32,9.46,9.31,9.44,80083
2024-03-28,9.46,10,9.46,9.75,15773
2024-04-01,9.79,10.25,9.58,10.25,42220
2024-04-02,10.2,10.2,9.39,9.8,25351
2024-04-03,9.5,9.94,9.5,9.78,19525
2024-04-04,9.8,9.8,9.58,9.8,19400
2024-04-05,9.8,9.8,9.6143,9.8,16640
2024-04-08,9.6001,10.42,9.6,10.16,28381
2024-04-09,10,10,9.6,9.8,40512
2024-04-10,9.99,10.32,9.58,9.7,19660
2024-04-11,9.8554,10.14,9.66,9.73,34333
2024-04-12,10.05,10.05,9.31,9.43,43210
2024-04-15,9.7175,9.88,9.33,9.5,13342
2024-04-16,9.41,9.83,9.39,9.62,20339
2024-04-17,9.65,9.9,9.46,9.72,9301
2024-04-18,9.635,9.99,9.42,9.83,12789
2024-04-19,9.49,9.95,9.46,9.49,8546
2024-04-22,10.05,10.19,9.8,9.84,10585
2024-04-23,10,10.2,9.8201,10.2,47472
2024-04-24,10.2399,10.24,9.69,10.24,15607
2024-04-25,9.93,10.2199,9.38,9.93,345524
2024-04-26,9.75,9.818,9.3,9.35,205822
2024-04-29,9.35,9.556,9.11,9.365,145828
2024-04-30,9.45,9.6,9.31,9.31,13237
2024-05-01,9.49,9.69,9.31,9.31,27289
2024-05-02,9.31,9.545,9.31,9.34,17849
2024-05-03,9.35,9.76,9.35,9.62,24438
2024-05-06,9.7999,10.05,9.595,9.62,18217
2024-05-07,9.68,10.1,9.6701,9.71,23102
2024-05-08,9.735,9.9899,9.31,9.66,5826
2024-05-09,9.716,9.96,9.665,9.8,8227
2024-05-10,9.95,10.0694,9.665,9.83,14092
2024-05-13,9.865,10.24,9.865,10.24,12369
2024-05-14,10.24,10.24,9.9,10.15,14619
2024-05-15,9.95,10.07,9.3,9.39,37677
2024-05-16,9.5,9.8335,9.3,9.7,23620
2024-05-17,9.76,9.89,9.52,9.85,5095
2024-05-20,9.69,10.17,9.69,10.15,13426
2024-05-21,10.1,10.1,9.81,9.97,2983
2024-05-22,9.95,9.95,9.6101,9.68,5297
2024-05-23,9.5006,9.85,9.09,9.54,11534
2024-05-24,9,9,6.8,7.56,353134
2024-05-28,7.78,7.9,7.57,7.9,105591
2024-05-29,7.71,7.9,7.5,7.5,29102
2024-05-30,7.55,7.75,7.215,7.44,63644
2024-05-31,7.615,7.615,7.095,7.16,31998
2024-06-03,7.25,7.55,7.05,7.49,24845
2024-06-04,7.37,7.48,7.12,7.36,36479
2024-06-05,7.15,7.2831,7.01,7.16,18636
2024-06-06,7.06,7.1237,6.5,6.92,61663
2024-06-07,7.01,7.19,6,6.51,47431
2024-06-10,6.62,6.62,6.065,6.16,31206
2024-06-11,6.06,6.2374,5.8881,5.96,24199
2024-06-12,5.95,6.155,5.7801,6.03,47359
2024-06-13,6.16,6.16,5.71,5.83,29085
2024-06-14,5.83,6.18,5.77,5.77,23706
2024-06-17,5.68,6.14,5.68,5.92,24528
2024-06-18,5.91,5.91,5.67,5.72,39045
2024-06-20,5.61,5.89,5.61,5.68,46571
2024-06-21,5.61,6.08,5.61,5.69,29634
2024-06-24,5.63,5.967,5.63,5.82,33364
2024-06-25,5.7,5.81,5.5101,5.57,30609
2024-06-26,5.67,5.71,5.52,5.65,24262
