date,open,high,low,close,volume
2024-03-01,0.16,0.16,0.13,0.145,39772
2024-03-04,0.14,0.148,0.1304,0.1351,59674
2024-03-05,0.1396,0.1594,0.135,0.155,103080
2024-03-06,0.16,0.1615,0.131,0.16,38695
2024-03-07,0.1549,0.17,0.15,0.17,86741
2024-03-08,0.17,0.18,0.16,0.18,127104
2024-03-11,0.185,0.1975,0.175,0.19,40175
2024-03-12,0.18,0.2505,0.16,0.2201,251852
2024-03-13,0.32,0.32,0.2201,0.25,396632
2024-03-14,0.2798,0.2989,0.2008,0.215001,186626
2024-03-15,0.21,0.22,0.201,0.21995,28228
2024-03-18,0.2101,0.22,0.2101,0.2199,16983
2024-03-19,0.22,0.22,0.185,0.199,41270
2024-03-20,0.2099,0.21,0.1901,0.209899,22847
2024-03-21,0.2199,0.2295,0.203,0.2173,59845
2024-03-22,0.2033,0.21,0.2,0.21,46419
2024-03-25,0.2001,0.21,0.17,0.19,36519
2024-03-26,0.17,0.17,0.1216,0.1402,179034
2024-03-27,0.175101,0.175101,0.1404,0.15,17117
2024-03-28,0.18,0.18,0.15,0.15,13560
2024-04-01,0.156,0.166,0.15,0.15,11194
2024-04-02,0.1599,0.21,0.1599,0.162,75536
2024-04-03,0.21,0.22,0.15,0.1775,79215
2024-04-04,0.24,0.24,0.15,0.1898,80766
2024-04-05,0.1799,0.185,0.1527,0.169,129350
2024-04-08,0.17,0.19,0.151,0.1729,65372
2024-04-09,0.18,0.198,0.17,0.17,41791
2024-04-10,0.1602,0.26,0.16,0.2371,138449
2024-04-11,0.2021,0.2437,0.2001,0.2119,12361
2024-04-12,0.195,0.24,0.195,0.2204,35927
2024-04-15,0.24,0.24,0.2108,0.237399,3397
2024-04-16,0.2108,0.225,0.1801,0.22,38385
2024-04-17,0.2299,0.235,0.22,0.22,26073
2024-04-18,0.212501,0.23,0.192,0.2264,21450
2024-04-19,0.2132,0.23,0.2,0.22,9599
2024-04-22,0.2094,0.2187,0.1907,0.1908,21659
2024-04-23,0.2138,0.22,0.17,0.1996,30465
2024-04-24,0.205,0.2088,0.182,0.199,6184
2024-04-25,0.18,0.208,0.17,0.19,25179
2024-04-30,0.18,0.18,0.1551,0.16,42931
2024-05-01,0.1649,0.18,0.16,0.179899,84649
2024-05-02,0.1799,0.1851,0.1601,0.17,25440
2024-05-03,0.168,0.1725,0.1606,0.165,29596
2024-05-06,0.182,0.182,0.1626,0.163,12490
2024-05-07,0.18,0.1815,0.1577,0.1577,14175
2024-05-08,0.1605,0.17,0.16,0.16,23299
2024-05-09,0.17,0.18,0.165,0.165,3092
2024-05-10,0.174516,0.18,0.1642,0.1643,9956
2024-05-13,0.1848,0.19,0.1713,0.18,22544
2024-05-14,0.18,0.18,0.1699,0.171,44636
2024-05-15,0.181,0.181,0.1697,0.1697,24223
2024-05-16,0.17,0.18,0.165,0.18,46000
2024-05-17,0.179999,0.179999,0.1651,0.171703,34143
2024-05-20,0.175,0.175,0.158,0.1742,20566
2024-05-21,0.17,0.1701,0.1601,0.162328,29135
2024-05-22,0.1601,0.1601,0.15,0.1501,47453
