date,open,high,low,close,volume
2024-03-01,2.25,2.25,2.15,2.15,4256
2024-03-04,2.15,2.2,2.11,2.15,14281
2024-03-05,2.11,2.2,2.08,2.1,10946
2024-03-06,2.08,2.4805,2.08,2.17,14749
2024-03-07,2.275,2.35,2.183,2.23,46639
2024-03-08,2.34,2.34,2.1578,2.23,31359
2024-03-11,2.19,2.23,2.17,2.23,1800
2024-03-12,2.23,2.29,2.17,2.28,18594
2024-03-13,2.23,2.3,2.21,2.22,6065
2024-03-14,2.235,2.235,2.12,2.2,13833
2024-03-15,2.13,2.24,2.08,2.24,12942
2024-03-18,2.26,2.26,2.11,2.175,3985
2024-03-19,2.1558,2.25,2.12,2.19,13442
2024-03-20,2.1201,2.25,2.1201,2.2,3988
2024-03-21,2.2,2.2,2.12,2.15,42710
2024-03-22,2.12,2.1701,2.12,2.12,6044
2024-03-25,2.2054,2.21,2.11,2.11,21184
2024-03-26,2.11,2.22,1.99,2.02,23335
2024-03-27,2.0573,2.115,1.98,1.98,12359
2024-03-28,2.01,2.04,1.96,2.04,18211
2024-04-01,1.96,2.03,1.95,1.95,7885
2024-04-02,1.9699,1.9699,1.94,1.96,8397
2024-04-03,1.98,2.0286,1.9779,2.0286,9738
2024-04-04,2,2.1,1.9952,2.0004,13645
2024-04-05,2,2.1,1.97,1.98,7843
2024-04-08,2.0187,2.0187,1.93,1.93,26240
2024-04-09,1.91,2.1,1.88,1.895,74986
2024-04-10,1.86,1.94,1.86,1.929,35873
2024-04-11,1.87,1.91,1.81,1.83,29571
2024-04-12,1.88,1.92,1.85,1.86,13691
2024-04-15,1.84,1.915,1.84,1.91,5278
2024-04-16,1.86,1.915,1.8,1.855,25502
2024-04-17,1.8316,1.84,1.8242,1.84,3052
2024-04-18,1.8,1.88,1.79,1.88,22890
2024-04-19,1.84,1.84,1.7994,1.8054,5746
2024-04-22,1.81,1.81,1.79,1.81,1560
2024-04-23,1.895,1.895,1.82,1.83,2794
2024-04-24,1.83,1.913,1.83,1.83,11196
2024-04-25,1.88,1.94,1.83,1.83,12497
2024-04-26,1.83,1.84,1.81,1.83,4535
2024-04-29,1.8,1.9696,1.78,1.78,10525
2024-04-30,1.78,1.82,1.78,1.82,6814
2024-05-01,1.88,1.88,1.75,1.75,20033
2024-05-02,1.81,1.87,1.68,1.68,26125
2024-05-03,1.66,1.8022,1.66,1.8022,13885
2024-05-06,1.838,1.84,1.69,1.73,15470
2024-05-07,1.72,1.81,1.65,1.69,19953
2024-05-08,1.74,1.75,1.6597,1.66,24241
2024-05-09,1.68,1.7799,1.65,1.65,14330
2024-05-10,1.65,1.71,1.65,1.7,5600
2024-05-13,1.66,2.08,1.55,1.58,197297
2024-05-14,1.57,1.625,1.49,1.52,30698
2024-05-15,1.53,1.545,1.5,1.53,22955
2024-05-16,1.63,1.63,1.5601,1.57,36793
2024-05-17,1.61,1.6101,1.56,1.58,3798
2024-05-20,1.5799,1.74,1.5799,1.58,15734
2024-05-21,1.59,1.6767,1.53,1.55,7916
2024-05-22,1.58,1.65,1.53,1.56,12414
2024-05-23,1.59,1.665,1.59,1.63,31303
2024-05-24,1.62,1.7,1.58,1.69,5881
2024-05-28,1.62,1.65,1.6,1.63,9921
2024-05-29,1.62,1.62,1.62,1.62,1089
2024-05-30,1.6499,1.81,1.64,1.66,33989
