date,open,high,low,close,volume
2024-03-01,25.17,25.17,25.155,25.155,717
2024-03-04,25.1303,25.16,25.07,25.07,2747
2024-03-05,25.135,25.16,25.1,25.125,2968
2024-03-06,25.14,25.15,25.1,25.125,17226
2024-03-07,25.185,25.185,25.12,25.14,6020
2024-03-08,25.172,25.2,25.11,25.18,5185
2024-03-11,25.12,25.1893,25.11,25.15,6605
2024-03-12,25.16,25.185,25.12,25.16,5196
2024-03-13,25.18,25.18,25.1201,25.17,2296
2024-03-14,25.14,25.18,25.14,25.16,5605
2024-03-15,25.11,25.1732,25.1,25.17,3264
2024-03-18,25.22,25.22,25.18,25.19,7550
2024-03-19,25.2,25.2067,25.14,25.18,8420
2024-03-20,25.2,25.23,25.171,25.22,3543
2024-03-21,25.2336,25.27,25.17,25.26,7741
2024-03-22,25.22,25.3,25.22,25.27,8106
2024-03-25,25.18,25.22,25.02,25.05,57334
2024-03-26,25.09,25.12,25.051,25.08,12498
2024-03-27,25.09,25.14,25.0801,25.13,7194
2024-03-28,25.14,25.14,25.0606,25.12,7980
2024-04-01,25.1,25.19,25.08,25.16,18394
2024-04-02,25.14,25.16,25.12,25.13,2704
2024-04-03,25.14,25.1885,25.13,25.15,6452
2024-04-04,25.17,25.1814,25.17,25.17,1794
2024-04-05,25.19,25.22,25.145,25.206,4494
2024-04-08,25.12,25.16,25.1,25.16,1007276.0
2024-04-09,25.1285,25.1753,25.12,25.158,5205
2024-04-10,25.12,25.14,25.12,25.13,2927
2024-04-11,25.12,25.1282,25.11,25.1282,1940
2024-04-12,25.1439,25.15,25.13,25.13,1883
2024-04-15,25.15,25.162,25.1,25.132,14448
2024-04-16,25.11,25.1499,25.1,25.14,4087
2024-04-17,25.15,25.17,25.15,25.15,4106
2024-04-18,25.14,25.17,25.13,25.16,11038
2024-04-19,25.17,25.18,25.1601,25.1777,9794
2024-04-22,25.13,25.1999,25.11,25.1999,5448
2024-04-23,25.19,25.19,25.17,25.19,3422
2024-04-24,25.19,25.2197,25.19,25.19,2067
2024-04-25,25.1999,25.21,25.197,25.21,3601
2024-04-26,25.205,25.22,25.19,25.2,4357
2024-04-29,25.2,25.25,25.195,25.25,5179
2024-04-30,25.28,25.36,25.2607,25.36,5438
2024-05-01,25.31,25.31,25.2387,25.25,13965
2024-05-02,25.24,25.32,25.24,25.32,3350
2024-05-03,25.24,25.32,25.24,25.32,1797
2024-05-06,25.2801,25.3,25.26,25.3,3460
2024-05-07,25.32,25.36,25.3,25.308,2365
2024-05-08,25.33,25.38,25.3,25.33,7836
2024-05-09,25.31,25.3146,25.3,25.3146,2531
2024-05-10,25.29,25.3,25.29,25.29,2585
2024-05-13,25.38,25.38,25.17,25.3,25232
2024-05-14,25.32,25.32,25.151,25.3,7983
2024-05-15,25.335,25.35,25.3105,25.35,2979
2024-05-16,25.338,25.35,25.31,25.35,3098
2024-05-17,25.37,25.3799,25.35,25.356,5389
2024-05-20,25.34,25.355,25.25,25.33,15252
2024-05-21,25.34,25.35,25.24,25.35,88958
2024-05-22,25.31,25.335,25.31,25.33,3962
2024-05-23,25.2934,25.38,25.2934,25.34,42080
2024-05-24,25.35,25.36,25.35,25.355,7815
2024-05-28,25.36,25.36,25.32,25.35,3513
2024-05-29,25.35,25.4,25.33,25.38,11848
2024-05-30,25.37,25.47,25.37,25.47,3437
2024-05-31,25.07,25.1,25.06,25.1,17137
2024-06-03,25.1,25.1,25,25.05,4244
2024-06-04,25.0699,25.07,25.06,25.0699,4872
2024-06-05,25.0501,25.08,25.05,25.0501,4045
2024-06-06,25.05,25.0856,25.05,25.07,3270
2024-06-07,25.07,25.07,25.044,25.0499,2710
2024-06-10,25.1,25.1,25.05,25.06,2208
2024-06-11,25.02,25.0599,25.01,25.0499,2889
2024-06-12,25.05,25.07,25.03,25.0601,4096
2024-06-13,25.06,25.1,25.06,25.1,2745
2024-06-14,25.102,25.12,25.07,25.09,5281
2024-06-17,25.07,25.085,25.07,25.07,4140
2024-06-18,25.07,25.0999,25.07,25.09,3208
2024-06-20,25.09,25.09,25.0445,25.06,2512
2024-06-21,25.06,25.09,25.06,25.09,1547
2024-06-24,25.0601,25.09,25.06,25.06,3691
2024-06-25,25.0635,25.0635,25.0635,25.0635,243
2024-06-26,25.09,25.09,25.08,25.08,825
2024-06-27,25.07,25.08,25.05,25.05,5247
2024-06-28,25.05,25.32,25.05,25.06,34699
2024-07-01,25.19,25.19,25.06,25.07,5407
2024-07-02,25.12,25.13,25.09,25.09,1608
2024-07-03,25.12,25.13,25.12,25.124,583
2024-07-05,25.16,25.17,25.16,25.17,1455
2024-07-08,25.14,25.2,25.14,25.18,1623
2024-07-09,25.21,25.24,25.185,25.185,7416
2024-07-10,25.16,25.2,25.16,25.18,3330
2024-07-12,25.25,25.25,25.19,25.2,4607
2024-07-15,25.34,25.34,25.15,25.15,1430
2024-07-16,25.1601,25.27,25.1601,25.24,15419
2024-07-17,25.21,25.24,25.2,25.24,1981
2024-07-18,25.1772,25.1772,25.1772,25.1772,733
2024-07-22,25.24,25.24,25.2,25.24,1221
2024-07-23,25.2001,25.2001,25.2001,25.2001,670
2024-07-24,25.2,25.24,25.1999,25.2,3632
2024-07-25,25.2499,25.2499,25.23,25.23,1728
2024-07-26,25.2302,25.25,25.18,25.25,2619
2024-07-29,25.28,25.29,25.26,25.26,3038
2024-07-30,25.25,25.25,25.25,25.25,871
2024-07-31,25.23,25.4,25.18,25.18,13645
2024-08-01,25.14,25.32,25.14,25.3199,2895
2024-08-02,25.36,25.36,25.25,25.31,1955
2024-08-05,25.21,25.32,25.18,25.3,3611
2024-08-06,25.2937,25.2937,25.22,25.22,3038
2024-08-07,25.265,25.308,25.265,25.308,936
2024-08-08,25.24,25.31,25.2,25.24,4671
2024-08-09,25.18,25.3099,25.18,25.21,667
2024-08-12,25.23,25.2499,25.21,25.22,4908
2024-08-13,25.2101,25.29,25.21,25.29,7066
2024-08-14,25.2501,25.3,25.21,25.23,3983
2024-08-15,25.2101,25.37,25.2101,25.31,5418
2024-08-16,25.28,25.3,25.28,25.3,2976
2024-08-19,25.3,25.36,25.1,25.36,4777
2024-08-20,25.3,25.3001,25.28,25.3001,1688
2024-08-21,25.3001,25.39,25.3,25.39,2261
2024-08-22,25.35,25.377,25.35,25.35,1088
2024-08-23,25.302,25.35,25.3,25.35,1213
2024-08-26,25.36,25.414,25.35,25.37,1990
2024-08-27,25.35,25.39,25.335,25.39,3123
2024-08-28,25.3301,25.38,25.3301,25.37,1806
2024-08-29,25.39,25.42,25.35,25.42,3527
2024-08-30,25.03,25.13,24.98,25.01,30536
2024-09-03,25.01,25.06,25.01,25.02,6206
2024-09-04,25.02,25.1,25.02,25.045,3947
2024-09-05,25.075,25.1,25.05,25.0801,6621
2024-09-06,25.09,25.09,25.05,25.09,8959
2024-09-09,25.08,25.14,25.08,25.14,2253
2024-09-10,25.0808,25.1,25.0808,25.1,1081
2024-09-11,25.12,25.12,25.12,25.12,586
2024-09-12,25.1001,25.16,25.1,25.16,2956
2024-09-13,25.14,25.15,25.14,25.15,1894
2024-09-16,25.11,25.33,25.11,25.32,5238
2024-09-17,25.23,25.26,25.23,25.26,2159
2024-09-18,25.2534,25.2534,25.14,25.14,5925
2024-09-19,25.18,25.18,25.1168,25.18,4627
2024-09-20,25.13,25.2499,25.1213,25.2,2041
2024-09-23,25.2,25.2027,25.13,25.134,4499
2024-09-24,25.17,25.21,25.1672,25.19,2670
2024-09-25,25.12,25.17,25.12,25.12,2211
2024-09-26,25.15,25.18,25.15,25.1697,2720
2024-09-27,25.1858,25.1885,25.16,25.1885,4068
2024-09-30,25.18,25.27,25.1,25.1,14928
2024-10-01,25.15,25.18,25.1448,25.18,5361
2024-10-02,25.14,25.15,25.14,25.15,5673
2024-10-03,25.21,25.21,25.1501,25.1989,3491
2024-10-04,25.2,25.2,25.1841,25.1955,1134
2024-10-07,25.21,25.22,25.16,25.1601,3641
2024-10-08,25.15,25.2099,25.12,25.16,4423
2024-10-09,25.13,25.2,25.12,25.1435,4960
2024-10-10,25.13,25.15,25.11,25.1431,10812
2024-10-11,25.13,25.16,25.11,25.15,9880
2024-10-14,25.15,25.1846,25.12,25.1846,6713
2024-10-15,25.18,25.19,25.1601,25.19,3184
2024-10-16,25.21,25.22,25.1701,25.2036,2544
2024-10-17,25.19,25.23,25.16,25.16,3643
2024-10-18,25.1401,25.2144,25.1401,25.18,4989
2024-10-21,25.16,25.21,25.16,25.21,3215
2024-10-22,25.2,25.2089,25.2,25.2,5396
2024-10-23,25.24,25.25,25.2067,25.25,4620
2024-10-24,25.2365,25.25,25.21,25.21,3235
2024-10-25,25.2398,25.2398,25.21,25.21,4145
2024-10-28,25.2385,25.2385,25.23,25.23,562
2024-10-30,25.21,25.2598,25.21,25.23,993
2024-10-31,25.26,25.28,25.11,25.18,42572
2024-11-01,25.21,25.2212,25.21,25.21,6514
2024-11-04,25.2,25.22,25.2,25.22,3412
2024-11-05,25.24,25.27,25.2399,25.25,3501
2024-11-06,25.23,25.2799,25.23,25.2792,1496
2024-11-07,25.27,25.3,25.25,25.3,1039026.0
2024-11-08,25.3,25.3,25.3,25.3,495
2024-11-11,25.37,25.37,25.3518,25.364,4385
2024-11-12,25.33,25.34,25.3101,25.3301,2122
2024-11-13,25.28,25.295,25.28,25.295,1314
2024-11-14,25.3395,25.3395,25.2938,25.301,3828
2024-11-15,25.322,25.322,25.322,25.322,128
2024-11-18,25.32,25.3401,25.3169,25.3169,2094
2024-11-20,25.31,25.32,25.3,25.32,47353
2024-11-21,25.358,25.358,25.35,25.35,604
2024-11-22,25.365,25.38,25.35,25.365,3810
2024-11-26,25.37,25.37,25.37,25.37,1448
2024-11-27,25.398,25.4,25.398,25.4,2412
