date,open,high,low,close,volume
2024-03-01,33.1,33.89,32.93,33.62,631825
2024-03-04,33.68,34.2,33.18,33.5,838156
2024-03-05,33.36,33.4282,32.495,32.87,363515
2024-03-06,33.34,33.625,32.545,32.63,363505
2024-03-07,32.69,33.55,32.69,33.07,311130
2024-03-08,33.11,33.355,32.12,32.31,596808
2024-03-11,31.5,31.95,31.18,31.39,560796
2024-03-12,31.5,31.93,31.3201,31.68,382868
2024-03-13,31.5,31.72,30.88,31.06,786550
2024-03-14,30.99,31.04,30.48,30.94,411567
2024-03-15,30.7,31.225,30.67,30.98,342070
2024-03-18,31.28,32.5,31.28,32.47,662319
2024-03-19,32.41,33.19,32.02,32.81,714605
2024-03-20,32.79,33.45,32.75,33.28,709447
2024-03-21,33.95,34.193,33.35,33.36,436759
2024-03-22,33.24,33.24,32.76,32.97,436326
2024-03-25,33,33.25,32.81,32.905,442984
2024-03-26,33.14,33.148,32.665,32.72,544883
2024-03-27,33,33.13,32.78,32.99,317436
2024-03-28,32.99,33.585,32.74,33.45,460284
2024-04-01,33.65,34.09,32.91,33.1,522410
2024-04-02,32.81,33.2,32.46,33,562817
2024-04-03,32.52,33.47,32.3801,32.81,357831
2024-04-04,32.8,33.755,32.63,32.85,611487
2024-04-05,32.9,33,32.28,32.64,345056
2024-04-08,33.26,33.78,33.08,33.51,416215
2024-04-09,34.05,34.58,33.99,34.48,860617
2024-04-10,34.03,34.59,33.61,33.83,652887
2024-04-11,33.91,33.91,32.44,33.3,532605
2024-04-12,32.87,32.87,31.335,31.58,702881
2024-04-15,32.01,32.02,30.74,31.03,566952
2024-04-16,31.2,32.09,31.0681,31.8,347098
2024-04-17,31.88,32.03,30.91,31.59,596119
2024-04-18,31.7,31.75,30.81,31.15,502941
2024-04-19,31.01,31.53,30.79,30.99,382367
2024-04-22,31.18,31.95,31.13,31.94,394596
2024-04-23,31.92,32.33,31.57,31.75,549367
2024-04-24,32.19,32.39,31.36,31.73,276028
2024-04-25,31.5,32.35,31.19,32.17,250708
2024-04-26,32.15,32.53,32.04,32.36,189410
2024-04-29,32.45,32.76,32.16,32.66,262184
2024-04-30,32.41,32.94,32.3947,32.87,269002
2024-05-01,32.72,33.15,31.78,32.31,405068
2024-05-02,32.63,32.85,31.9975,32.49,631106
2024-05-03,33.05,33.15,32.73,33.04,232687
2024-05-06,33.06,33.82,33.03,33.81,382140
2024-05-07,34.23,34.94,34.01,34.67,574028
2024-05-08,34.24,34.82,34.205,34.25,676868
2024-05-09,35.67,36.59,35.51,36.44,917475
2024-05-10,37.16,37.46,36.2325,36.71,498623
2024-05-13,36.61,37.07,36.31,36.48,286625
2024-05-14,36.65,37.09,36.33,36.95,321839
2024-05-15,36.98,37.07,36.43,36.75,322489
2024-05-16,36.34,37.14,36.28,36.97,422773
2024-05-17,37.18,37.195,36.53,36.71,275461
2024-05-20,36.5,37.14,36.45,36.99,428263
2024-05-21,36.47,37,35.95,36.81,541210
2024-05-22,37.2,37.99,37.1,37.62,419734
2024-05-23,37.87,37.87,36.46,36.81,342560
2024-05-24,37.06,37.69,37.02,37.66,327051
2024-05-28,37.76,38.31,37.67,37.85,288269
2024-05-29,37.5,37.785,37.045,37.19,216466
2024-05-30,37.02,37.67,36.95,37.5,251699
2024-05-31,37.59,37.7,36.94,37.54,411365
2024-06-03,37.92,38.18,37.175,37.61,413930
2024-06-04,37.27,37.32,36.53,36.72,294777
2024-06-05,36.81,37.64,36.62,37.52,370278
2024-06-06,37.42,38.02,37.42,37.93,312489
2024-06-07,37.56,37.7199,37.125,37.3,303585
2024-06-10,37.28,38.54,37.26,38.5,421424
2024-06-11,38.48,38.81,37.82,38.76,284631
2024-06-12,39.15,39.3599,38.723,38.95,259630
2024-06-13,38.75,39,38.41,38.64,394955
2024-06-14,38.43,38.73,38.08,38.64,235220
2024-06-17,38.47,39.37,38.2101,39.06,450941
2024-06-18,39.13,40.5999,39.09,39.65,678780
2024-06-20,39.12,39.43,38.53,39.12,788905
2024-06-21,38.91,39.56,38.89,39.07,391198
2024-06-24,38.73,39.035,38.18,38.28,431296
2024-06-25,38.11,38.61,37.76,38.39,467288
2024-06-26,38.32,38.89,38.24,38.83,434653
2024-06-27,38.7,39.04,38.38,38.55,378195
2024-06-28,39.08,39.78,39.08,39.31,418992
2024-07-01,39.31,39.8,39.2,39.67,275046
2024-07-02,39.59,39.98,39.35,39.35,216579
