date,open,high,low,close,volume
2024-03-01,5.42,5.7,5.24,5.64,666048
2024-03-04,5.69,5.69,5.2301,5.42,677092
2024-03-05,5.51,5.905,5.29,5.79,1072044.0
2024-03-06,5.8,5.89,5.4099,5.67,974981
2024-03-07,5.68,5.8246,5.36,5.38,803309
2024-03-08,5.59,5.85,4.56,4.72,3764755.0
2024-03-11,4.72,4.87,4.4,4.58,1005206.0
2024-03-12,4.58,4.85,4.48,4.73,729683
2024-03-13,4.3,4.4,3.88,4.01,1835880.0
2024-03-14,4.02,4.02,3.8501,3.96,549011
2024-03-15,4.05,4.39,3.87,4.0099,1071446.0
2024-03-18,4.41,5.2,3.95,4.19,6913674.0
2024-03-19,4.02,4.66,4,4.49,2729523.0
2024-03-20,4.5,4.61,4.29,4.54,913311
2024-03-21,4.55,5.03,4.51,4.99,1618475.0
2024-03-22,4.98,5.26,4.89,5.13,899127
2024-03-25,5.1,5.57,4.86,4.9,1524609.0
2024-03-26,5.33,5.6418,4.9,4.96,1973514.0
2024-03-27,4.98,5.4,4.805,5.38,1097518.0
2024-03-28,5.38,5.56,5.24,5.35,1095317.0
2024-04-01,5.53,5.99,5.39,5.79,1248111.0
2024-04-02,5.64,5.7,4.93,4.94,1082439.0
2024-04-03,4.96,5.16,4.7802,4.98,621792
2024-04-04,5.04,5.12,4.91,5.01,482867
2024-04-05,5.41,5.9,4.915,4.92,4392047.0
2024-04-08,5.25,5.7199,5.05,5.51,1718737.0
2024-04-09,5.48,5.81,5.46,5.63,1351334.0
2024-04-10,5.4,5.5,5.1866,5.23,855967
2024-04-11,5.21,5.52,5.11,5.52,713131
2024-04-12,5.47,5.495,4.9615,5.04,797617
2024-04-15,4.97,5.12,4.9501,4.985,349578
2024-04-16,4.99,4.99,4.7,4.86,931920
2024-04-17,4.91,5.2002,4.87,5.06,894430
2024-04-18,5.01,5.0699,4.61,4.64,708773
2024-04-19,4.61,4.7599,4.455,4.52,598452
2024-04-22,4.55,4.72,4.345,4.65,399617
2024-04-23,4.65,4.86,4.595,4.63,291931
2024-04-24,4.63,4.7389,4.21,4.27,468712
2024-04-25,4,4.3497,3.44,4.29,3725775.0
2024-04-26,4.25,4.3788,4.135,4.255,311544
2024-04-29,4.19,4.66,4.19,4.59,613097
2024-04-30,4.51,4.615,4.43,4.56,526060
2024-05-01,4.57,4.8,4.54,4.6,760529
2024-05-02,4.67,4.96,4.665,4.93,564831
2024-05-03,4.93,5.1299,4.6,4.76,596441
2024-05-06,4.79,4.9667,4.75,4.95,453554
2024-05-07,4.99,5.1,4.93,4.96,363321
2024-05-08,4.91,5.07,4.46,4.48,697164
2024-05-09,4.43,4.56,4.3248,4.435,478502
2024-05-10,4.47,4.49,4.24,4.38,402426
2024-05-13,4.47,4.598,4.44,4.49,228695
2024-05-14,4.51,4.9153,4.5,4.73,505941
2024-05-15,4.84,5.03,4.75,4.87,289149
2024-05-16,4.83,5.02,4.72,5,370605
2024-05-17,4.99,5.03,4.7,4.8,238056
2024-05-20,4.77,4.8199,4.36,4.38,439889
2024-05-21,4.35,4.51,4.22,4.38,377607
2024-05-22,4.39,4.71,4.39,4.55,325757
2024-05-23,4.6,4.6576,4.32,4.4,388622
2024-05-24,4.39,4.52,4.295,4.51,379393
2024-05-28,4.59,4.63,4.24,4.27,291953
2024-05-29,4.22,4.23,4.055,4.22,469614
2024-05-30,4.26,4.5277,4.19,4.36,416057
2024-05-31,4.39,4.4899,4.17,4.23,338318
2024-06-03,4.28,4.35,4.12,4.18,1674413.0
2024-06-04,4.16,4.4,4.1,4.3,390729
2024-06-05,4.29,4.64,4.29,4.56,956056
2024-06-06,4.05,4.19,3.86,4.13,1248951.0
2024-06-07,4.03,4.03,3.87,3.915,474382
2024-06-10,3.86,3.96,3.76,3.93,500653
2024-06-11,3.88,4,3.72,3.93,210400
2024-06-12,4.1,4.29,3.99,4.2,527511
2024-06-13,4.2,4.2,4,4.09,214949
2024-06-14,4.04,4.11,3.875,3.95,194527
2024-06-17,3.95,4.14,3.84,4.08,256687
2024-06-18,4.06,4.18,3.84,3.89,303850
2024-06-20,3.85,3.905,3.71,3.76,407243
2024-06-21,3.81,3.865,3.7,3.72,684734
2024-06-24,3.72,3.8999,3.66,3.86,501938
2024-06-25,3.86,3.9,3.72,3.76,317930
2024-06-26,3.71,3.7399,3.54,3.6,625700
2024-06-27,3.74,3.98,3.675,3.76,1249684.0
2024-06-28,3.8,3.85,3.7,3.85,614409
2024-07-01,3.83,4.14,3.83,4.05,552797
2024-07-02,4.02,4.16,3.84,3.86,271861
2024-07-03,3.89,4.09,3.84,4.01,339540
2024-07-05,3.96,4.05,3.88,4.03,333166
2024-07-08,4.03,4.13,3.8,3.95,554569
2024-07-09,3.96,4,3.88,3.94,211296
2024-07-10,3.97,4.1,3.75,3.85,763805
2024-07-11,3.95,4.37,3.75,4.15,1760250.0
2024-07-12,4.18,4.61,4.17,4.44,780878
2024-07-15,4.45,4.85,4.41,4.77,539960
2024-07-16,4.83,5.035,4.79,4.91,589845
2024-07-17,4.86,5,4.61,4.77,315979
2024-07-18,4.78,4.79,4.47,4.52,221613
2024-07-19,4.59,4.6,4.32,4.47,341834
2024-07-22,4.55,4.62,4.37,4.55,305591
2024-07-23,4.5,4.6201,4.47,4.575,190399
2024-07-24,4.53,4.75,4.35,4.38,161950
2024-07-25,4.4,4.68,4.23,4.57,353748
2024-07-26,4.69,4.825,4.53,4.79,333084
2024-07-29,4.7,4.89,4.635,4.81,428606
2024-07-30,4.85,4.98,4.82,4.92,539624
2024-07-31,4.92,5,4.64,4.72,376464
2024-08-01,4.71,4.71,4.17,4.28,398082
2024-08-02,4.02,4.2372,4.02,4.1,208976
2024-08-05,4.07,4.13,3.89,4.05,411009
2024-08-06,4.06,4.06,3.89,4.02,363553
2024-08-07,4.47,4.9,4.305,4.35,655057
2024-08-08,4.36,4.66,4.36,4.56,283137
2024-08-09,4.55,4.61,4.17,4.18,273851
2024-08-12,4.2,4.34,4.08,4.22,428978
2024-08-13,4.26,4.5,4.19,4.38,192813
2024-08-14,4.38,4.43,4.25,4.35,193149
2024-08-15,4.53,4.71,4.34,4.59,386706
2024-08-16,4.6,4.77,4.56,4.77,856485
2024-08-19,4.72,4.88,4.56,4.73,415209
2024-08-20,4.72,4.8,4.64,4.7,226116
2024-08-21,4.75,4.8425,4.57,4.72,248329
2024-08-22,4.72,4.84,4.55,4.56,127513
2024-08-23,4.58,4.82,4.54,4.75,266009
2024-08-26,4.78,4.99,4.66,4.69,280673
2024-08-27,4.64,4.77,4.5,4.57,185251
2024-08-28,4.53,4.56,4.42,4.44,110644
2024-08-29,4.5,5.04,4.439,4.82,496305
2024-08-30,4.85,4.9,4.67,4.87,222367
2024-09-03,4.86,4.98,4.43,4.43,327001
2024-09-04,4.87,4.87,4.32,4.41,313306
2024-09-05,4.43,4.505,4.33,4.44,100211
2024-09-06,4.41,4.499,4.28,4.4,138099
2024-09-09,4.4,4.475,4.285,4.36,142675
2024-09-10,4.34,4.57,4.225,4.5,137166
2024-09-11,4.46,4.59,4.35,4.5,149563
2024-09-12,4.55,4.71,4.49,4.59,649877
2024-09-13,4.67,4.72,4.61,4.71,181852
2024-09-16,4.72,4.84,4.62,4.81,190982
2024-09-17,4.81,4.96,4.77,4.8,305345
2024-09-18,4.77,4.915,4.65,4.72,220136
2024-09-19,4.89,4.905,4.77,4.87,172515
2024-09-20,4.79,5.23,4.79,5.05,862334
2024-09-23,5.09,5.09,4.77,4.79,281422
2024-09-24,4.83,5.01,4.601,4.77,376046
2024-09-25,4.32,4.51,4.21,4.32,1030991.0
2024-09-26,4.37,4.88,4.35,4.76,466538
2024-09-27,4.83,4.94,4.28,4.93,632807
2024-09-30,4.86,4.93,4.5201,4.72,166384
2024-10-01,4.72,4.795,4.44,4.6,345010
2024-10-02,4.61,4.83,4.4812,4.81,219405
2024-10-03,4.8,4.8201,4.6,4.75,199732
2024-10-04,4.75,4.92,4.7,4.81,155062
2024-10-07,4.81,4.83,4.6,4.8,216500
2024-10-08,4.77,4.78,4.66,4.74,117780
2024-10-09,4.74,4.9,4.68,4.88,140362
2024-10-10,4.81,4.85,4.73,4.82,146309
2024-10-11,4.81,5.03,4.81,5.01,524194
2024-10-14,5.01,5.1,4.94,5,309498
