date,open,high,low,close,volume
2024-03-01,7,7.02,6.85,6.96,164121
2024-03-04,6.96,6.98,6.61,6.65,110160
2024-03-05,6.65,6.8,6.58,6.69,91476
2024-03-06,6.72,6.87,6.7,6.82,418807
2024-03-07,6.83,6.9899,6.67,6.73,142309
2024-03-08,6.83,6.98,6.67,6.8,85006
2024-03-11,6.87,6.8931,6.66,6.82,91391
2024-03-12,6.85,6.85,6.63,6.69,75634
2024-03-13,6.72,6.86,6.6706,6.75,122896
2024-03-14,6.74,6.74,6.47,6.51,87035
2024-03-15,6.46,6.7299,6.45,6.53,261593
2024-03-18,6.54,6.705,6.42,6.61,382359
2024-03-19,6.62,7,6.56,6.9,289049
2024-03-20,6.89,6.98,6.6864,6.93,219672
2024-03-21,6.95,7.07,6.87,7,428527
2024-03-22,7,7,6.84,6.99,145991
2024-03-25,7.04,7.18,6.9499,6.97,67813
2024-03-26,7.06,7.06,6.93,6.96,70198
2024-03-27,6.94,7.0149,6.9,6.97,71225
2024-03-28,7,7.13,6.94,7.03,395556
2024-04-01,7.1,7.1,6.91,6.98,141446
2024-04-02,6.97,6.97,6.74,6.89,99339
2024-04-03,6.86,7,6.76,6.98,167501
2024-04-04,7.11,7.11,6.89,6.94,112610
2024-04-05,6.9,7.1,6.83,6.94,121595
2024-04-08,6.95,7.015,6.91,7,54532
2024-04-09,7,7.07,6.98,7,104703
2024-04-10,6.87,6.9789,6.755,6.85,108000
2024-04-11,6.83,6.96,6.75,6.89,89646
2024-04-12,6.84,7.1,6.84,6.93,83335
2024-04-15,7,7,6.76,6.84,78707
2024-04-16,6.77,6.78,6.58,6.73,106015
2024-04-17,6.77,6.77,6.489,6.65,103915
2024-04-18,6.72,6.72,6.47,6.5,84819
2024-04-19,6.47,6.515,6.18,6.34,113015
2024-04-22,6.4,6.435,6.2864,6.38,166510
2024-04-23,6.4,6.66,6.4,6.65,70104
2024-04-24,6.65,6.73,6.44,6.44,52932
2024-04-25,6.37,6.39,6.307,6.35,46597
2024-04-26,6.36,6.52,6.33,6.5,39341
2024-04-29,6.55,6.7,6.545,6.69,47665
2024-04-30,6.68,6.8672,6.6204,6.72,91656
2024-05-01,6.75,6.98,6.7158,6.87,71387
2024-05-02,6.91,6.91,6.67,6.74,71592
2024-05-03,6.9,7,6.83,6.94,46398
2024-05-06,7.09,7.1,6.97,7.03,68298
2024-05-07,6.99,7.02,6.86,6.88,55488
2024-05-08,6.8,6.88,6.71,6.86,48266
2024-05-09,6.99,6.99,6.68,6.72,87393
2024-05-10,6.71,6.76,6.485,6.68,73366
2024-05-13,6.74,6.81,6.68,6.68,44572
2024-05-14,6.75,6.77,6.68,6.75,47180
2024-05-15,6.81,6.8199,6.56,6.59,71041
2024-05-16,6.58,6.58,6.36,6.39,37923
2024-05-17,6.41,6.509,6.35,6.48,56110
2024-05-20,6.49,6.49,6.06,6.29,198229
2024-05-21,6.3,6.42,6.14,6.34,122542
2024-05-22,6.33,6.46,6.25,6.4,78045
2024-05-23,6.46,6.5,6.26,6.38,62558
2024-05-24,6.41,6.58,6.3805,6.56,90768
2024-05-28,6.63,6.65,6.43,6.58,70355
2024-05-29,6.51,6.6254,6.3,6.34,87272
2024-05-30,6.4,6.44,6.31,6.4,59784
2024-05-31,6.47,6.61,6.365,6.6,56771
2024-06-03,6.72,6.78,6.62,6.75,56604
2024-06-04,6.74,6.75,6.47,6.66,69432
2024-06-05,6.71,6.78,6.64,6.73,98185
2024-06-06,6.7,6.77,6.62,6.7,43395
2024-06-07,6.67,6.77,6.595,6.66,60069
2024-06-10,6.64,6.665,6.48,6.57,139999
2024-06-11,6.64,6.69,6.38,6.51,54127
2024-06-12,6.54,6.75,6.45,6.63,80555
2024-06-13,6.64,6.71,6.48,6.63,74936
2024-06-14,6.58,6.75,6.44,6.67,99803
2024-06-17,6.71,6.95,6.55,6.86,137163
2024-06-18,6.91,7,6.77,6.96,145480
2024-06-20,6.93,7,6.86,6.97,70294
2024-06-21,6.97,7,6.8,6.94,198728
2024-06-24,6.95,7,6.81,6.97,146173
2024-06-25,6.96,7,6.79,6.9,94444
2024-06-26,6.87,6.9,6.75,6.83,107853
