date,open,high,low,close,volume
2024-03-01,146.49,150.76,145.5,150.34,2341562.0
2024-03-04,150.34,150.83,146.315,146.33,2802727.0
2024-03-05,145,145,142,143.94,2910395.0
2024-03-06,145.95,146.48,143.35,143.9,1210424.0
2024-03-07,145.27,145.565,143.8,145.01,1415202.0
2024-03-08,144.79,145.72,142.64,143.73,1385393.0
2024-03-11,143.73,147.53,143.55,145.87,2151500.0
2024-03-12,145.13,145.97,143.74,144.53,1757871.0
2024-03-13,144.53,146.69,144.12,144.89,1371044.0
2024-03-14,143.76,144.22,141.45,143.77,1526947.0
2024-03-15,143.29,144.67,142.03,143.91,3757643.0
2024-03-18,143.96,145.21,143.43,144.62,2237055.0
2024-03-19,144.24,145.45,143.5,145.2,1118657.0
2024-03-20,145.46,149.41,145.12,148.43,2396589.0
2024-03-21,149.93,153.23,149.45,152.17,2474768.0
2024-03-22,152.67,153.24,151.72,152.46,1181137.0
2024-03-25,150,150.415,141.83,146.14,3763169.0
2024-03-26,147.29,148.7,145.04,146.67,1959872.0
2024-03-27,148,148,146.17,146.92,1181778.0
2024-03-28,145.19,150.34,144.575,148.49,1656386.0
2024-04-01,148.69,150.4781,147.515,150,1270875.0
2024-04-02,149.27,149.64,147.76,149.57,1251030.0
2024-04-03,149.39,152,148.635,151.73,1625843.0
2024-04-04,153.24,153.394,149.33,149.59,1503805.0
2024-04-05,149.82,151.82,149.82,151.04,1357341.0
2024-04-08,154.25,155.35,151.75,153.65,1434634.0
2024-04-09,155.24,156.25,153.37,154.7,1018074.0
2024-04-10,152.02,153.1027,151.12,152.12,1351188.0
2024-04-11,152.68,153.05,150.375,151.34,1101237.0
2024-04-12,150,150.32,147.18,147.27,2077424.0
2024-04-15,147.63,147.7599,144.48,145.3,1870301.0
2024-04-16,145.3,146.11,144.69,145.45,1776984.0
2024-04-17,146.52,147.27,143.04,143.16,1510662.0
2024-04-18,143.74,143.85,140.38,140.64,1486118.0
2024-04-19,140.02,140.94,139.25,140.6,2501614.0
2024-04-22,140.6,141.13,138.93,139.96,1152167.0
2024-04-23,140.85,143.25,140.55,141.72,1251437.0
2024-04-24,140.97,142.93,140.82,142.83,990199
2024-04-25,142.34,143.88,141.04,143.43,1091759.0
2024-04-26,143.38,145.69,143.38,144.47,836223
2024-04-29,144.08,145.72,143.73,144.27,1294097.0
2024-04-30,143.29,144.28,142.485,142.81,2293965.0
2024-05-01,142.22,145.12,141.5274,142.74,1154843.0
2024-05-02,143.87,143.87,140.365,143.07,1219866.0
2024-05-03,144.42,146.28,143.95,145.88,996048
2024-05-06,146,148.45,145.92,148.34,1075573.0
2024-05-07,148,148.7221,147.5115,148.33,995382
2024-05-08,147.75,148,145.385,145.97,1226023.0
2024-05-09,145.81,146.56,145.13,145.68,1132958.0
2024-05-10,145.51,146.64,144.875,145.88,1279320.0
2024-05-13,146.55,146.9099,143.69,143.95,1633554.0
2024-05-14,144.01,145.31,143.55,144.96,1558762.0
2024-05-15,145.77,148.25,145.45,148.08,1800876.0
2024-05-16,148.97,148.97,145.5,146.08,3594637.0
2024-05-17,151.64,154.41,146.2,147.84,5594860.0
2024-05-20,147.1,151.01,146.67,150.9,2165504.0
2024-05-21,150,152.74,150,151.42,1849631.0
2024-05-22,151.38,153.07,149.68,150.61,1469526.0
2024-05-23,153.52,154.54,151.33,152.33,2239110.0
2024-05-24,152.44,155.17,151.775,154.6,1607526.0
2024-05-28,154.97,157.37,153.96,156.79,2175989.0
2024-05-29,155.72,160.4,155.6,159.68,1998810.0
2024-05-30,159.68,160.73,157.865,159.78,1182754.0
2024-05-31,160.16,160.84,158.45,160.36,2136945.0
2024-06-03,160.25,163.73,160.01,163.64,1721210.0
2024-06-04,163.06,166.29,161.38,165.96,1708918.0
2024-06-05,166.64,167.75,165.07,167.43,1536592.0
2024-06-06,167.12,168.68,165.45,165.67,1499560.0
2024-06-07,165.65,166.43,164.65,164.77,1489189.0
2024-06-10,164.12,165.42,159.84,160.54,2049332.0
2024-06-11,160,160.97,157.76,158.51,1787455.0
2024-06-12,157,160.26,156.71,159.67,3420789.0
2024-06-13,158.635,160.4,157.56,157.72,1256188.0
2024-06-14,157.01,159.25,155.94,158.96,1161543.0
2024-06-17,158.16,158.96,157.17,157.4,1005086.0
2024-06-18,157.39,158.42,155.22,155.37,1167165.0
2024-06-20,155.01,155.56,153.99,154.98,1325373.0
2024-06-21,155.65,159.25,155.16,158.22,3004023.0
2024-06-24,158.06,160.23,157.44,159.71,1518682.0
2024-06-25,160,160.72,157.8,159.04,1001871.0
2024-06-26,158.83,159.6,156.98,157.54,1265674.0
2024-06-27,157.88,158.55,156.46,156.98,1025548.0
2024-06-28,156.84,158.18,155.2,155.49,1572983.0
2024-07-01,154.05,155.88,153.38,154.29,1237380.0
2024-07-02,154.56,155.45,154.29,154.65,1491222.0
2024-07-03,154.21,154.95,152.8,153.5,704089
2024-07-05,152.84,153.01,151.51,151.74,1114175.0
2024-07-08,151.84,152.81,151.03,152,1159601.0
2024-07-09,151.95,151.95,149.15,149.36,1312418.0
2024-07-10,149.4,149.9799,147.62,148.83,1782025.0
2024-07-11,150.01,153.08,149.85,151.52,2356384.0
2024-07-12,151.89,155.275,151.76,153.35,1542332.0
2024-07-15,153.55,154.57,152.31,153.31,1178176.0
2024-07-16,153.79,154.56,152.73,154.1,1087294.0
2024-07-17,154.13,154.13,149.83,149.87,1695034.0
2024-07-18,149.87,151.32,148.78,150.3,1830572.0
2024-07-19,150.45,151.25,148.92,150.32,1621641.0
2024-07-22,150.56,151.06,148.86,150.45,1041159.0
2024-07-23,150.45,152.52,150.07,151.71,1099836.0
2024-07-24,151.79,155.12,151.6631,152.89,1809728.0
2024-07-25,153.5,153.5,150.02,150.3,1446784.0
2024-07-26,150.63,151.055,149.16,150.745,1349562.0
2024-07-29,151.41,151.92,150.23,150.7,1295897.0
2024-07-30,150.43,152.4475,149.86,150,1335272.0
2024-07-31,151.1,152.25,150.38,150.53,1550703.0
2024-08-01,150.16,150.23,144.96,145.96,1637971.0
2024-08-02,146,146.565,143.16,143.68,1771530.0
2024-08-05,141.16,141.4,137.51,139.49,1923571.0
2024-08-06,139.35,141.47,138.99,140.11,1582405.0
2024-08-07,141,141.44,135.61,135.67,2657540.0
2024-08-08,136.83,138.87,135.24,138.78,2598400.0
2024-08-09,142.14,145.7,141.34,144.82,3973556.0
2024-08-12,145.89,149.5,145.26,147.29,2498630.0
2024-08-13,147.31,147.81,144.7,144.88,1567494.0
2024-08-14,144.63,145.91,143.17,144.91,943760
2024-08-15,145.9,148.05,145.5,146.38,1120408.0
2024-08-16,146.46,151.1,146.39,149.94,1832587.0
2024-08-19,150,150.86,148.6,150.5,1064202.0
2024-08-20,150.73,155.635,149.98,154.81,2709259.0
2024-08-21,156.62,161.37,156.49,160.07,1841413.0
2024-08-22,160,161.82,158.52,158.7,1212786.0
2024-08-23,160.2,160.9,158.8001,159.39,1067978.0
2024-08-26,159.94,161.2,159.705,160.38,788251
2024-08-27,160.31,161.915,160.16,160.78,739406
2024-08-28,160.89,161.145,158.13,159,1099461.0
2024-08-29,160.48,162.98,160.16,160.5,919323
2024-08-30,161.06,162.12,160.43,161.71,1173238.0
