date,open,high,low,close,volume
2024-03-01,3.8,3.8,3.5301,3.74,62789
2024-03-04,3.69,3.75,3.62,3.73,40064
2024-03-05,3.7,3.73,3.61,3.68,31543
2024-03-06,3.69,3.82,3.46,3.51,72615
2024-03-07,3.48,3.69,3.48,3.59,38905
2024-03-08,3.66,3.75,3.56,3.75,41824
2024-03-11,3.74,3.8,3.66,3.71,37835
2024-03-12,3.6498,3.77,3.59,3.65,40112
2024-03-13,3.62,3.77,3.56,3.64,35783
2024-03-14,3.65,3.65,3.5,3.55,31553
2024-03-15,3.43,3.74,3.43,3.56,206638
2024-03-18,3.61,3.72,3.55,3.63,31788
2024-03-19,3.63,3.7851,3.63,3.74,34611
2024-03-20,3.68,3.81,3.6401,3.8,44643
2024-03-21,3.76,3.95,3.76,3.91,67521
2024-03-22,3.9,3.96,3.66,3.71,40970
2024-03-25,3.69,3.84,3.61,3.7,27914
2024-03-26,3.69,3.8,3.54,3.73,26756
2024-03-27,3.69,3.78,3.6,3.63,55173
2024-03-28,3.63,3.8,3.6,3.64,53236
2024-04-01,3.72,3.75,3.63,3.69,49097
2024-04-02,3.67,3.67,3.43,3.5,65021
2024-04-03,3.5,3.71,3.5,3.59,62348
2024-04-04,3.65,3.65,3.54,3.59,88229
2024-04-05,3.63,3.67,3.56,3.62,49388
2024-04-08,3.62,3.67,3.53,3.63,41274
2024-04-09,3.67,3.86,3.66,3.75,243254
2024-04-10,3.69,3.7245,3.14,3.55,353144
2024-04-11,3.55,3.55,3.356,3.4,49734
2024-04-12,3.39,3.4,3.205,3.28,82412
2024-04-15,3.29,3.318,3.21,3.255,50566
2024-04-16,3.1726,3.31,3.16,3.3,27598
2024-04-17,3.29,3.29,3.15,3.15,36675
2024-04-18,3.16,3.31,3.14,3.23,41180
2024-04-19,3.22,3.41,3.22,3.33,50014
2024-04-22,3.27,3.32,3.25,3.31,25013
2024-04-23,3.27,3.43,3.26,3.38,21198
2024-04-24,3.36,3.38,3.27,3.32,41414
2024-04-25,3.3,3.34,3.24,3.3,29611
2024-04-26,3.3,3.34,3.27,3.31,16143
2024-04-29,3.29,3.3,3.24,3.24,30506
2024-04-30,3.24,3.31,3.24,3.25,25580
2024-05-01,3.27,3.29,3.2,3.25,86114
2024-05-02,3.19,3.22,3.04,3.12,90824
2024-05-03,3.16,3.16,3.01,3.08,36345
2024-05-06,3.07,3.23,3.07,3.14,62474
2024-05-07,3.14,3.14,2.955,2.98,86633
2024-05-08,2.94,3.12,2.94,3.11,27428
2024-05-09,3.14,3.23,3.04,3.23,41138
2024-05-10,3.22,3.38,3.18,3.37,49391
2024-05-13,3.38,3.42,3.27,3.29,45967
2024-05-14,3.33,3.7,3.33,3.6,133466
2024-05-15,3.68,3.69,3.555,3.69,94916
2024-05-16,3.71,3.75,3.64,3.74,61001
2024-05-17,3.75,3.76,3.7053,3.75,66227
2024-05-20,3.75,3.79,3.69,3.74,64037
2024-05-21,3.7095,3.77,3.61,3.68,21709
2024-05-22,3.66,3.69,3.57,3.69,43280
2024-05-23,3.7,3.7,3.34,3.55,68875
2024-05-24,3.54,3.5934,3.38,3.45,35336
2024-05-28,3.51,3.7,3.5,3.67,59181
2024-05-29,3.64,3.66,3.5795,3.58,33277
2024-05-30,3.62,3.735,3.55,3.7,43427
2024-05-31,3.74,3.75,3.68,3.71,35182
2024-06-03,3.73,3.73,3.5601,3.62,55618
2024-06-04,3.57,3.62,3.47,3.54,35244
2024-06-05,3.55,3.67,3.55,3.62,33272
2024-06-06,3.59,3.65,3.51,3.58,21954
2024-06-07,3.53,3.63,3.53,3.57,17476
2024-06-10,3.55,3.655,3.55,3.59,33967
2024-06-11,3.56,3.65,3.51,3.63,24228
2024-06-12,3.65,3.71,3.51,3.59,27505
2024-06-13,3.55,3.64,3.4899,3.54,17328
2024-06-14,3.52,3.56,3.34,3.37,37191
2024-06-17,3.27,3.38,3.23,3.29,115298
2024-06-18,3.33,3.47,3.29,3.29,56338
2024-06-20,3.28,3.39,3.2,3.21,38759
2024-06-21,3.21,3.34,3.21,3.27,65741
2024-06-24,3.28,3.48,3.28,3.38,23225
2024-06-25,3.36,3.43,3.22,3.24,34165
2024-06-26,3.2,3.31,3.2,3.25,45073
2024-06-27,3.29,3.335,3.2501,3.29,22654
2024-06-28,3.33,3.5,3.23,3.28,207037
2024-07-01,3.26,3.325,3.16,3.26,39255
2024-07-02,3.23,3.37,3.19,3.2,26075
2024-07-03,3.17,3.29,3.08,3.105,31991
2024-07-05,3.09,3.155,2.95,2.97,112933
2024-07-08,3,3.0088,2.76,2.8,73825
2024-07-09,2.78,2.87,2.5,2.685,155797
2024-07-10,2.7,2.84,2.7,2.84,69325
2024-07-11,2.81,3.11,2.81,3.1,41698
2024-07-12,3.14,3.27,3.14,3.21,51201
2024-07-15,3.21,3.2947,3.12,3.18,91214
2024-07-16,3.21,3.48,3.21,3.47,73123
2024-07-17,3.47,3.57,3.43,3.54,76669
2024-07-18,3.54,3.58,3.4,3.43,34450
2024-07-19,3.44,3.515,3.44,3.45,26211
2024-07-22,3.47,3.5091,3.4,3.5,259610
2024-07-23,4.64,4.94,4.04,4.08,5238315.0
2024-07-24,4.13,4.27,4.1,4.17,685073
2024-07-25,4.2,4.23,3.87,3.92,318757
2024-07-26,3.96,4.0166,3.81,3.98,151462
2024-07-29,3.96,3.96,3.74,3.83,319478
2024-07-30,3.86,4.1,3.71,4.05,151731
2024-07-31,3.99,4.07,3.792,4.02,85107
2024-08-01,3.99,4.06,3.69,3.93,332957
2024-08-02,3.7,3.8,3.645,3.72,182843
2024-08-05,3.53,3.73,3.53,3.65,201022
2024-08-06,3.66,3.73,3.53,3.65,95894
2024-08-07,3.73,3.73,3.53,3.55,103780
2024-08-08,3.58,3.95,3.57,3.72,231699
2024-08-09,3.75,3.88,3.6836,3.86,182806
2024-08-12,3.86,3.9,3.77,3.8,126197
2024-08-13,3.83,4.073,3.76,3.81,107492
2024-08-14,3.74,3.85,3.7,3.82,65553
2024-08-15,3.94,4.1319,3.86,3.88,80692
2024-08-16,3.83,3.8906,3.72,3.78,267009
2024-08-19,3.73,3.85,3.73,3.84,57514
2024-08-20,3.8,3.8387,3.66,3.67,71293
2024-08-21,3.66,3.74,3.66,3.72,73705
2024-08-22,3.72,3.83,3.7,3.71,54921
2024-08-23,3.76,3.8971,3.74,3.85,98891
2024-08-26,3.85,3.96,3.74,3.78,136740
2024-08-27,3.75,3.86,3.75,3.8,45175
2024-08-28,3.81,3.86,3.72,3.78,117313
2024-08-29,3.84,3.84,3.72,3.76,107579
2024-08-30,3.75,3.82,3.724,3.82,25518
2024-09-03,3.76,3.775,3.61,3.62,102709
2024-09-04,3.59,3.64,3.5499,3.61,80760
2024-09-05,3.68,3.685,3.61,3.66,62508
2024-09-06,3.66,3.725,3.6,3.65,81151
2024-09-09,3.64,3.77,3.61,3.61,64798
2024-09-10,3.595,3.6297,3.481,3.55,42281
2024-09-11,3.51,3.63,3.43,3.6,66503
2024-09-12,3.6,3.6,3.52,3.57,57216
2024-09-13,3.62,3.6999,3.57,3.68,126739
2024-09-16,3.65,3.7,3.58,3.66,55297
2024-09-17,3.67,3.78,3.67,3.73,60410
2024-09-18,3.75,3.795,3.65,3.66,107476
2024-09-19,3.9,4.07,3.71,3.83,533199
2024-09-20,3.8,4,3.78,3.93,238377
2024-09-23,3.95,4,3.91,3.99,62249
2024-09-24,4,4.05,3.94,3.99,83455
2024-09-25,4.03,4.03,3.94,3.99,56963
2024-09-26,3.98,4.06,3.98,4.01,66985
2024-09-27,4.05,4.18,4.02,4.105,127313
2024-09-30,4.11,4.17,4.07,4.09,70222
2024-10-01,4.06,4.17,4.05,4.13,110020
2024-10-02,4.19,4.52,4.185,4.49,328644
2024-10-03,4.49,4.5199,4.378613,4.38,60573
2024-10-04,4.32,4.52,4.32,4.51,67203
2024-10-07,4.52,4.64,4.39,4.64,108787
2024-10-08,4.59,4.89,4.55,4.75,122989
2024-10-09,4.73,4.9,4.695,4.76,181776
2024-10-10,4.75,4.77,4.51,4.66,88821
2024-10-11,4.58,4.8,4.58,4.69,156057
2024-10-14,4.64,4.7,4.62,4.64,72581
2024-10-15,4.59,4.59,4.43,4.47,112634
2024-10-16,4.5,4.56,4.4,4.51,133346
2024-10-17,4.49,4.56,4.44,4.52,65305
2024-10-18,4.55,4.55,4.49,4.52,138962
2024-10-21,4.52,4.53,4.41,4.43,103283
2024-10-22,4.4,4.4,4.27,4.32,51313
2024-10-23,4.32,4.39,4.22,4.37,54537
2024-10-24,4.38,4.39,4.34,4.35,43027
2024-10-25,4.39,4.42,4.33,4.33,51457
2024-10-28,4.3,4.49,4.3,4.42,42037
2024-10-29,4.42,4.43,4.32,4.34,49942
2024-10-30,4.33,4.47,4.33,4.4,62906
2024-10-31,4.35,4.44,4.342937,4.4,77504
2024-11-01,4.21,4.23,3.67,3.675,167215
2024-11-04,3.69,3.72,3.345,3.57,142129
2024-11-05,3.56,3.67,3.48,3.62,91256
2024-11-06,3.9,3.95,3.78,3.86,183938
2024-11-07,3.9,4,3.73,3.79,94135
2024-11-08,3.8,3.8,3.62,3.62,104222
2024-11-11,3.62,3.64,3.52,3.57,81294
2024-11-12,3.58,3.5985,3.395,3.46,99922
2024-11-13,3.53,3.7365,3.502,3.51,253886
2024-11-14,3.56,3.57,3.425,3.45,77476
2024-11-15,3.49,3.49,3.15,3.18,175545
2024-11-18,3.21,3.28,3.21,3.25,50312
2024-11-19,3.27,3.27,3.1502,3.19,55870
2024-11-20,3.23,3.24,3.16,3.23,71650
2024-11-21,3.26,3.29,3.21,3.23,79546
2024-11-22,3.25,3.54,3.2282,3.49,130514
2024-11-25,3.52,3.52,3.401,3.42,71486
2024-11-26,3.45,3.85,3.41,3.66,272717
2024-11-27,3.66,3.7099,3.55,3.58,101820
2024-11-29,3.58,3.61,3.44,3.48,91950
2024-12-02,3.45,3.48,3.34,3.43,73907
2024-12-03,3.47,3.47,3.35,3.38,50728
2024-12-04,3.39,3.405,3.245,3.25,72996
2024-12-05,3.22,3.344,3.18,3.21,75652
2024-12-06,3.2,3.27,3.13,3.18,48066
2024-12-09,3.25,3.35,3.12,3.13,112011
2024-12-10,3.12,3.23,3.04,3.16,62670
2024-12-11,3.15,3.155,3.03,3.12,101968
2024-12-12,3.09,3.1246,2.89,2.93,246123
2024-12-13,2.94,2.97,2.93,2.94,83628
2024-12-16,2.92,2.99,2.91,2.92,63928
2024-12-17,2.9,2.94,2.85,2.88,52238
2024-12-18,2.89,3.0475,2.81,2.83,96460
2024-12-19,2.85,2.91,2.81,2.82,79369
2024-12-20,2.8,2.865,2.76,2.84,141409
2024-12-23,2.88,2.88,2.75,2.76,70171
2024-12-24,2.76,2.8,2.7199,2.8,38549
2024-12-26,2.8,2.91,2.76,2.89,65792
2024-12-27,2.86,2.99,2.66,2.705,118154
2024-12-30,2.72,2.89,2.595,2.78,187851
2024-12-31,2.79,3.08,2.64,3,264727
2025-01-02,3.07,3.07,2.8801,2.98,36874
2025-01-03,3.01,3.19,2.94,3.12,59882
2025-01-06,3.11,3.16,3.07,3.09,77066
2025-01-07,3.09,3.09,2.94,3,64040
2025-01-08,2.99,2.99,2.92,2.94,50647
2025-01-10,3.03,3.03,2.85,2.87,74543
2025-01-13,2.84,2.9524,2.8299,2.93,33974
2025-01-14,2.95,3.04,2.91,3.04,54985
2025-01-15,3.12,3.36,3.0928,3.28,114865
2025-01-16,3.28,3.28,3.17,3.17,53862
2025-01-17,3.19,3.36,3.18873,3.34,99051
2025-01-21,3.35,3.49,3.33,3.425,170706
2025-01-22,3.46,3.52,3.25,3.28,137284
2025-01-23,3.21,3.305,3.2,3.22,55799
2025-01-24,3.23,3.36,3.1518,3.26,48238
2025-01-27,3.36,3.36,3.1,3.13,58257
2025-01-28,3.11,3.1113,2.99,3.04,45220
2025-01-29,3.05,3.09,3.04,3.08,30152
2025-01-30,3.03,3.0836,2.99,2.99,35751
2025-01-31,3,3.0477,2.95,2.99,36048
2025-02-03,2.9,2.94,2.85,2.9,46996
2025-02-04,2.92,3.0895,2.9057,3.05,54905
2025-02-05,3.06,3.13,3.04,3.13,43539
2025-02-06,3.15,3.17,3.02,3.08,28275
2025-02-07,3.11,3.13,2.92,2.92,41077
2025-02-10,2.93,3.005,2.93,2.97,54414
2025-02-11,2.97,3,2.96,2.96,17667
2025-02-12,2.96,2.9891,2.83,2.83,103496
2025-02-13,2.87,2.96,2.82,2.96,38959
2025-02-14,2.96,2.97,2.8701,2.91,26217
2025-02-18,2.92,2.99,2.85,2.86,50780
2025-02-19,2.86,2.865,2.74,2.76,96809
2025-02-20,2.82,2.8213,2.72,2.82,50964
2025-02-21,2.86,2.87,2.69,2.69,63082
2025-02-24,2.73,2.73,2.45,2.48,208518
2025-02-25,2.51,2.53,2.4001,2.43,74632
2025-02-26,2.42,2.43,2.33,2.38,131334
2025-02-27,2.39,2.4047,2.28,2.3,71430
2025-02-28,2.3,2.45,2.28,2.45,91178
