date,open,high,low,close,volume
2024-03-01,1.41,1.41,1.26,1.34,128166
2024-03-04,1.34,1.38,1.28,1.33,103037
2024-03-05,1.33,1.33,1.17,1.29,147154
2024-03-06,1.31,1.37,1.3003,1.37,28847
2024-03-07,1.36,1.37,1.29,1.32,81192
2024-03-08,1.32,1.33,1.2,1.2,151148
2024-03-11,1.26,1.285,1.19,1.2,134420
2024-03-12,1.22,1.26,1.2,1.22,40759
2024-03-13,1.23,1.27,1.22,1.22,98310
2024-03-14,1.23,1.23,1.15,1.15,185565
2024-03-15,1.17,1.18,1.01,1.01,170030
2024-03-18,1.04,1.09,0.98,0.98,132862
2024-03-19,1.03,1.06,0.93,0.95,121737
2024-03-20,0.93,0.99,0.86,0.99,124131
2024-03-21,1,1.08,0.99,1.04,84815
2024-03-22,1.04,1.0691,1.0022,1.03,35440
2024-03-25,1.03,1.06,1.01,1.04,45269
2024-03-26,1.03,1.07,1.01,1.06,42813
2024-03-27,1.045,1.06,1.03,1.06,6561
2024-03-28,1.06,1.07,1.04,1.07,13623
2024-04-01,1.07,1.07,1.05,1.07,22893
2024-04-02,1.02,1.06,1,1,28944
2024-04-03,1.01,1.04,1,1.03,25159
2024-04-04,1.03,1.05,1,1.02,17628
2024-04-05,1.04,1.04,0.9901,1.025,10501
2024-04-08,1.04,1.06,1,1.04,29028
2024-04-09,1.06,1.17,1.03,1.14,172209
2024-04-10,1.16,1.17,1.0601,1.1,120566
2024-04-11,1.13,1.13,1.08,1.13,27086
2024-04-12,1.13,1.13,1.02,1.1,51889
2024-04-15,1.1,1.1,0.99,1.03,56113
2024-04-16,1.01,1.02,0.97,1,38392
2024-04-17,0.9998,0.9998,0.91,0.9195,97383
2024-04-18,0.9545,1.01,0.9369,0.9988,20839
2024-04-19,0.989,0.99,0.8988,0.9172,36779
2024-04-22,0.97,0.9863,0.92,0.9863,23404
2024-04-23,0.96,1.06,0.96,1.02,26310
2024-04-24,1.04,1.04,0.9676,0.97,7442
2024-04-25,0.9316,1.02,0.9216,0.95,17523
2024-04-26,0.98,1.14,0.95,1.07,43536
2024-04-29,1.12,1.15,1.0556,1.15,28661
2024-04-30,1.08,1.11,1.03,1.1,13992
2024-05-01,1.085,1.11,0.99,1.1,24828
2024-05-02,1.09,1.14,0.9999,1.12,38851
2024-05-03,1.15,1.16,1.0201,1.12,41052
2024-05-06,1.09,1.1505,1.07,1.1,9798
2024-05-07,1.06,1.16,1.06,1.13,41055
2024-05-08,1.13,1.15,1.05,1.15,14085
2024-05-09,1.15,1.15,1.1,1.1,8580
2024-05-10,1.08,1.14,1.06,1.08,18230
2024-05-13,1.1066,1.15,1.1,1.14,25595
2024-05-14,1.15,1.39,1.14,1.36,220886
2024-05-15,1.45,1.54,1.3,1.45,313858
2024-05-16,1.44,1.5,1.43,1.43,20416
2024-05-17,1.39,1.4103,1.06,1.12,127219
2024-05-20,1.16,1.26,1.15,1.23,33313
2024-05-21,1.22,1.28,1.1996,1.27,19459
2024-05-22,1.27,1.5,1.24,1.46,56939
2024-05-23,1.44,1.455,1.22,1.3,49425
2024-05-24,1.3,1.47,1.2001,1.27,42794
2024-05-28,1.29,1.4,1.28,1.4,17430
2024-05-29,1.35,1.42,1.33,1.4,13981
2024-05-30,1.38,1.52,1.32,1.47,96253
2024-05-31,1.49,1.54,1.45,1.52,56329
2024-06-03,1.59,1.6,1.53,1.55,35767
2024-06-04,1.59,1.5999,1.45,1.5,26519
2024-06-05,1.57,1.66,1.52,1.56,67285
2024-06-06,1.59,1.69,1.51,1.53,44972
2024-06-07,1.58,1.6199,1.54,1.59,6999
2024-06-10,1.61,1.65,1.54,1.54,46935
2024-06-11,1.5678,1.67,1.5672,1.63,19737
2024-06-12,1.61,1.7899,1.61,1.74,64024
2024-06-13,1.77,1.79,1.65,1.67,26864
2024-06-14,1.64,1.67,1.57,1.6,23016
2024-06-17,1.61,1.695,1.6,1.64,13806
2024-06-18,1.63,1.63,1.5027,1.54,36084
2024-06-20,1.46,1.5399,1.38,1.45,47349
2024-06-21,1.45,1.45,1.36,1.42,29460
2024-06-24,1.4,1.485,1.28,1.29,43898
2024-06-25,1.31,1.39,1.29,1.35,30189
2024-06-26,1.35,1.4,1.27,1.27,35973
2024-06-27,1.2968,1.43,1.27,1.35,18269
2024-06-28,1.4,1.54,1.3999,1.54,27509
2024-07-01,1.62,1.62,1.48,1.53,19073
2024-07-02,1.51,1.61,1.44,1.56,25790
2024-07-03,1.48,1.62,1.41,1.56,40072
2024-07-05,1.5292,1.61,1.42,1.6,20973
2024-07-08,1.591,1.6,1.4802,1.57,8918
2024-07-09,1.51,1.51,1.39,1.42,14862
2024-07-10,1.59,1.85,1.45,1.73,106802
2024-07-11,1.72,1.72,1.6,1.62,37295
2024-07-12,1.67,1.7,1.6,1.67,22828
2024-07-15,1.64,1.655,1.52,1.54,39567
2024-07-16,1.64,1.64,1.4668,1.55,10537
