date,open,high,low,close,volume
2024-03-01,12.07,12.2999,12.065,12.25,5084
2024-03-04,12.2783,12.7099,12.137,12.31,11114
2024-03-05,12.43,12.51,12.32,12.32,2090
2024-03-06,12.51,12.9699,11.9201,12.345,18776
2024-03-07,11.74,12.25,11.74,12.015,3427
2024-03-08,12.14,12.1499,11.47,12,15111
2024-03-11,11.9,12.05,11.9,12.05,1562
2024-03-12,11.82,11.82,11.5485,11.7916,1491
2024-03-13,11.57,11.72,11.57,11.72,1309
2024-03-15,11.98,12.07,11.98,12.02,3540
2024-03-18,12.07,12.5,11.81,12.15,11822
2024-03-19,12.34,12.5,12,12,3128
2024-03-20,12.47,13.65,11.8792,12.9,18748
2024-03-21,13.35,13.9581,12.1543,13.53,8010
2024-03-22,13.52,14.24,13.295,14.24,4842
2024-03-25,14.39,15.5,14.39,15.33,14122
2024-03-26,15.11,15.11,14.355,14.9565,8747
2024-03-27,14.2099,14.958,14.2099,14.958,5183
2024-03-28,14.449,14.47,14.449,14.47,1009
2024-04-01,14.5001,14.93,14.5001,14.93,3224
2024-04-02,14.94,14.94,14.14,14.6,3349
2024-04-03,14.4,14.575,14.2067,14.5,3857
2024-04-04,14.49,14.6651,14.45,14.45,1741
2024-04-05,14.24,14.24,14.13,14.16,1519
2024-04-08,14.13,14.16,13.64,13.7561,3443
2024-04-09,13.25,13.9,12.9,13.41,5211
2024-04-10,13.0201,13.5809,13,13,3007
2024-04-11,12.85,14,12.85,13.58,2864
2024-04-12,13.81,13.81,13.25,13.5,2105
2024-04-15,13.4,13.4,12.8844,12.8844,5796
2024-04-16,13.175,13.68,12.7001,12.7001,1593
2024-04-17,13.6899,13.6899,12.76,12.76,3896
2024-04-18,13.9499,13.9499,13.0112,13.0112,1359
2024-04-19,13.59,13.59,13.14,13.14,593
2024-04-22,13.22,13.7299,12.8,13.7299,3342
2024-04-23,12.95,12.95,12.95,12.95,392
2024-04-24,12.9601,12.9601,12.96,12.96,1131
2024-04-25,12.855,12.8915,12.85,12.8915,2955
2024-04-26,12.795,12.8,12.7,12.7958,4157
2024-04-30,12.79,12.79,12.25,12.49,3733
2024-05-01,12.5,12.5,12.44,12.44,7235
2024-05-02,11.91,12.417,11.9001,12.417,5525
2024-05-03,12.25,12.25,12.25,12.25,487
2024-05-06,12.25,12.3,12.13,12.13,3484
2024-05-07,12.08,12.5,12.08,12.38,3308
2024-05-08,12.49,12.79,12.49,12.79,4277
2024-05-09,12.65,12.73,12.65,12.73,2331
2024-05-10,12.7494,12.7494,12.39,12.625,1627
2024-05-13,12.7037,12.7037,12.1,12.46,5751
2024-05-14,12.4,12.65,12.4,12.45,4651
2024-05-15,12.405,12.7186,12.1907,12.1999,2834
2024-05-16,12.5,12.5,12.1961,12.3,2942
2024-05-17,12.565,12.565,12.35,12.39,1998
