date,open,high,low,close,volume
2024-03-01,23.32,23.33,22.97,23.01,83701
2024-03-04,22.91,23.6035,22.575,22.96,72609
2024-03-05,22.99,23.095,22.65,22.77,67378
2024-03-06,22.89,23.14,22.6,22.98,61981
2024-03-07,23.07,23.08,22.34,22.38,104285
2024-03-08,22.53,22.89,22.22,22.62,67321
2024-03-11,22.61,22.885,22.04,22.57,80028
2024-03-12,22.48,22.48,22.08,22.11,77740
2024-03-13,22.11,22.18,21.595,21.98,120066
2024-03-14,21.9,21.95,21.55,21.72,106474
2024-03-15,21.79,22.35,21.79,22.09,293409
2024-03-18,22.17,22.44,21.7,21.82,124588
2024-03-19,21.85,21.9675,21.65,21.71,88253
2024-03-20,21.55,22.17,21.49,21.99,67930
2024-03-21,22.02,22.03,21.63,21.87,126462
2024-03-22,21.88,22.17,21.7,21.76,62471
2024-03-25,21.88,22.04,21.66,21.7,50187
2024-03-26,21.81,21.9242,21.49,21.52,32521
2024-03-27,21.7,21.86,21.54,21.85,43956
2024-03-28,21.93,22.06,21.66,21.77,99262
2024-04-01,21.86,22.07,21.575,21.8,68973
2024-04-02,21.64,21.7699,21.38,21.43,73066
2024-04-03,21.28,21.83,21.2,21.81,86564
2024-04-04,22.03,22.2242,21.495,21.5,72151
2024-04-05,21.47,21.63,21.32,21.39,144075
2024-04-08,21.49,21.91,21.41,21.88,66605
2024-04-09,21.85,22.01,21.255,21.52,57898
2024-04-10,21.17,21.96,21.12,21.93,117304
2024-04-11,21.89,22,21.63,21.74,75040
2024-04-12,21.58,21.95,21.58,21.77,66847
2024-04-15,21.76,21.84,21.32,21.44,42548
2024-04-16,21.4,21.62,21.15,21.59,58628
2024-04-17,21.55,21.84,21.42,21.61,77096
2024-04-18,21.72,22.37,21.72,22.03,86249
2024-04-19,22.03,22.81,22.03,22.8,108087
2024-04-22,22.74,22.9316,22.69,22.72,84886
2024-04-23,22.7,22.905,22.69,22.79,80634
2024-04-24,22.65,22.795,22.41,22.71,71731
2024-04-25,22.52,22.57,22.32,22.42,64179
2024-04-26,22.44,22.44,22.09,22.23,56508
2024-04-29,22.17,22.36,22.06,22.12,68675
2024-04-30,22.02,22.27,21.82,22.09,74954
2024-05-01,22.2,22.7442,21.92,22.44,57502
2024-05-02,22.51,22.93,22.42,22.93,88772
2024-05-03,23.06,23.29,22.56,22.64,63994
2024-05-06,22.68,23.27,22.68,23.27,64131
2024-05-07,23.36,23.91,23.355,23.39,84610
2024-05-08,23.44,24.16,22.69,23.6,117981
2024-05-09,23.49,23.69,22.81,23.46,75657
2024-05-10,23.53,23.72,23.3,23.7,66826
2024-05-13,23.76,23.89,23.56,23.65,62749
2024-05-14,23.98,24.04,22.7,22.74,71424
2024-05-15,22.86,23.49,22.86,23.3,91063
2024-05-16,23.29,23.62,22.96,23.58,62206
2024-05-17,23.68,23.73,23.39,23.53,37358
2024-05-20,23.55,23.9,23.05,23.05,86263
2024-05-21,23,23.305,23,23.13,44792
2024-05-22,23.07,23.2,22.665,22.99,104690
2024-05-23,22.78,22.83,22.17,22.61,266272
2024-05-24,22.7,22.7,22.16,22.58,71535
2024-05-28,22.69,23.13,22.64,22.86,84687
2024-05-29,22.66,22.67,22,22.02,71197
2024-05-30,22.22,22.52,22.14,22.32,60909
2024-05-31,22.31,22.379,21.65,22.25,91593
