date,open,high,low,close,volume
2024-03-01,2.23,2.26,1.9904,2.2,191812
2024-03-04,2.09,2.18,2,2.01,190274
2024-03-05,2.01,2.18,1.8308,2.06,87687
2024-03-06,2.06,2.19,2.05,2.11,37377
2024-03-07,2.11,2.15,1.97,2.09,72543
2024-03-08,2.1,2.1,1.98,1.985,66624
2024-03-11,1.94,2.03,1.865,1.88,66509
2024-03-12,1.88,2.01,1.88,1.96,29325
2024-03-13,1.99,2.175,1.94,2.08,58186
2024-03-14,2.05,2.14,1.9269,2,20488
2024-03-15,2.01,2.25,1.99,2.2,133727
2024-03-18,2.2,2.42,2.19,2.19,187767
2024-03-19,2.14,2.2335,2.09,2.15,34552
2024-03-20,2.18,2.2687,2,2.05,95817
2024-03-21,2.04,2.1495,2,2.09,54856
2024-03-22,2.05,2.28,2.05,2.16,284143
2024-03-25,2.17,2.1885,1.8,1.92,164029
2024-03-26,1.95,2.05,1.87,1.95,139678
2024-03-27,1.95,1.95,1.77,1.815,425756
2024-03-28,1.44,1.46,1.3,1.37,578589
2024-04-01,1.33,1.38,1.29,1.34,165812
2024-04-02,1.33,1.61,1.3268,1.51,412216
2024-04-03,1.66,1.96,1.56,1.91,526782
2024-04-04,2,2,1.61,1.65,231592
2024-04-05,1.63,1.7204,1.6,1.64,27083
2024-04-08,1.63,1.75,1.6014,1.74,50765
2024-04-09,1.72,1.74,1.68,1.71,30675
2024-04-10,1.69,1.78,1.67,1.76,39269
2024-04-11,1.67,1.75,1.67,1.72,17235
2024-04-12,1.75,1.75,1.64,1.64,24898
2024-04-15,1.67,1.75,1.65,1.71,54533
2024-04-16,1.68,1.7,1.62,1.6299,22606
2024-04-17,1.64,1.67,1.53,1.59,57480
2024-04-18,1.532,1.64,1.532,1.55,33152
2024-04-19,1.53,1.57,1.52,1.55,19360
2024-04-22,1.585,1.65,1.5213,1.61,32213
2024-04-23,1.548,1.7099,1.548,1.66,14574
2024-04-24,1.68,1.7099,1.65,1.66,10564
2024-04-25,1.67,1.85,1.67,1.83,54712
2024-04-26,1.79,1.8401,1.75,1.75,14800
2024-04-29,1.78,1.78,1.7279,1.77,40686
2024-04-30,1.75,2.16,1.75,2.09,241330
2024-05-01,2.01,2.15,1.86,1.86,86847
2024-05-02,1.95,1.95,1.86,1.93,15836
2024-05-03,1.96,2.089,1.95,1.99,32565
2024-05-06,2.02,2.02,1.75,1.89,118060
2024-05-07,1.9,1.9,1.79,1.82,15480
2024-05-08,1.8654,1.8989,1.83,1.85,7960
2024-05-09,1.86,1.93,1.79,1.88,43165
2024-05-10,1.9,1.9,1.79,1.84,59608
2024-05-13,1.82,1.85,1.78,1.85,81547
2024-05-14,1.85,1.87,1.76,1.85,108119
2024-05-15,1.87,1.87,1.5,1.51,91226
2024-05-16,1.7,1.7965,1.7,1.75,76518
2024-05-17,1.77,1.8,1.71,1.71,16454
2024-05-20,1.73,1.75,1.67,1.7,19125
2024-05-21,1.67,1.72,1.67,1.71,22632
2024-05-22,1.68,1.693,1.6,1.61,40312
2024-05-23,1.65,1.65,1.59,1.59,23667
2024-05-24,1.5931,1.655,1.5931,1.61,21520
2024-05-28,1.62,1.65,1.595,1.611,8224
2024-05-29,1.59,1.6,1.56,1.56,16761
2024-05-30,1.5799,1.58,1.49,1.49,40226
2024-05-31,1.5,1.5452,1.34,1.35,101783
2024-06-03,1.49,1.49,1.33,1.33,60230
2024-06-04,1.36,1.4,1.32,1.33,18813
2024-06-05,1.3,1.5,1.3,1.5,52431
2024-06-06,1.56,1.56,1.4,1.49,99861
2024-06-07,1.5,1.5,1.38,1.43,48682
2024-06-10,1.41,1.45,1.3,1.3,78913
2024-06-11,1.35,1.37,1.3001,1.34,35051
2024-06-12,1.31,1.4,1.31,1.37,19879
2024-06-13,1.3486,1.3999,1.32,1.3465,12174
2024-06-14,1.32,1.39,1.31,1.35,13224
2024-06-17,1.3781,1.41,1.35,1.4,15116
2024-06-18,1.41,1.43,1.34,1.34,33643
2024-06-20,1.34,1.38,1.29,1.29,41754
2024-06-21,1.2907,1.3,1.27,1.3,42606
2024-06-24,1.29,1.33,1.27,1.27,37188
2024-06-25,1.29,1.3,1.24,1.24,22838
2024-06-26,1.25,1.254,1.14,1.18,150898
2024-06-27,1.1999,1.34,1.16,1.31,52708
2024-06-28,1.32,1.34,1.2701,1.33,25048
2024-07-01,1.33,1.35,1.31,1.33,20889
2024-07-02,1.3,1.34,1.28,1.31,9105
2024-07-03,1.2959,1.4,1.2959,1.37,14532
2024-07-05,1.37,1.45,1.3401,1.44,25674
2024-07-08,1.44,1.44,1.38,1.4,9020
2024-07-09,1.39,1.4,1.365,1.38,12644
2024-07-10,1.38,1.65,1.38,1.52,90493
2024-07-11,1.5392,1.5589,1.4201,1.46,16042
2024-07-12,1.5,1.5,1.44,1.5,20179
2024-07-15,1.48,1.5,1.42,1.47,88739
2024-07-16,1.49,1.58,1.49,1.54,20210
2024-07-17,1.52,1.5699,1.48,1.54,31570
2024-07-18,1.525,1.5475,1.5135,1.53,11867
2024-07-19,1.54,1.54,1.49,1.49,2380
2024-07-22,1.56,1.56,1.51,1.54,16017
2024-07-23,1.55,1.5794,1.5,1.53,18682
2024-07-24,1.5,1.5705,1.5,1.53,8547
2024-07-25,1.49,1.5493,1.47,1.5,10799
2024-07-26,1.5,1.5,1.45,1.48,10258
2024-07-29,1.48,1.4981,1.4,1.43,22864
2024-07-30,1.41,1.47,1.3912,1.45,11505
2024-07-31,1.41,1.4174,1.35,1.4,40371
2024-08-01,1.38,1.4299,1.22,1.3,73909
2024-08-02,1.26,1.36,1.26,1.29,9461
2024-08-05,1.26,1.28,1.19,1.26,48129
2024-08-06,1.25,1.29,1.25,1.27,4198
2024-08-07,1.27,1.31,1.26,1.31,7921
2024-08-08,1.31,1.31,1.28,1.3,10673
2024-08-09,1.31,1.36,1.26,1.32,20422
2024-08-12,1.3,1.3599,1.18,1.22,51369
2024-08-13,1.22,1.3499,1.22,1.24,80847
2024-08-14,1.22,1.29,1.2001,1.25,76213
2024-08-15,1.315,1.39,1.28,1.36,24903
2024-08-16,1.39,1.39,1.32,1.37,9141
2024-08-19,1.348,1.41,1.3,1.4,18114
2024-08-20,1.4,1.47,1.34,1.47,19414
2024-08-21,1.4658,1.51,1.43,1.5,38638
2024-08-22,1.48,1.5,1.4,1.45,19777
2024-08-23,1.45,1.4613,1.42,1.42,2452
2024-08-26,1.48,1.48,1.37,1.43,77396
2024-08-27,1.3,1.41,1.3,1.38,23376
2024-08-28,1.37,1.38,1.34,1.34,12408
2024-08-29,1.3787,1.3787,1.32,1.33,4206
2024-08-30,1.344,1.39,1.34,1.385,3304
2024-09-03,1.39,1.39,1.31,1.36,28064
2024-09-04,1.33,1.38,1.29,1.38,20188
2024-09-05,1.35,1.42,1.288,1.385,36075
2024-09-06,1.38,1.4381,1.33,1.4,8507
2024-09-09,1.36,1.4799,1.32,1.47,20240
