date,open,high,low,close,volume
2024-03-01,7.3434,7.3434,6.9701,7.07,8489
2024-03-04,7.0386,7.2699,7.01,7.01,10935
2024-03-05,6.98,7.1373,6.98,6.98,5408
2024-03-06,7.24,7.24,6.8501,7.09,5773
2024-03-07,6.7002,7.02,6.7002,6.97,11675
2024-03-08,6.97,7.16,6.54,7.07,9009
2024-03-11,7.1,7.27,6.77,7,12588
2024-03-12,6.88,7.43,6.87,7.24,15526
2024-03-13,7.46,7.48,7.02,7.46,9831
2024-03-14,7.23,7.23,6.75,6.82,12741
2024-03-15,6.75,6.94,6.75,6.94,20835
2024-03-18,6.87,7.23,6.76,6.84,16506
2024-03-19,6.75,7.3634,6.75,6.85,4514
2024-03-20,6.95,7.205,6.95,7.06,3876
2024-03-21,7.31,7.31,6.95,7.28,5199
2024-03-22,7,7.3296,6.9501,6.96,4839
2024-03-25,7.18,7.18,6.64,6.64,18331
2024-03-26,6.84,7,6.6501,6.73,16669
2024-03-27,6.99,7.22,6.99,7.21,18814
2024-03-28,7.16,7.65,6.99,6.99,17630
2024-04-01,6.98,7.1,6.77,6.8,10960
2024-04-02,6.61,7.1032,6.54,6.79,7432
2024-04-03,6.66,6.98,6.5501,6.71,19613
2024-04-04,6.71,6.88,6.71,6.75,7942
2024-04-05,6.95,7.23,6.916,7.01,10159
2024-04-08,7.64,7.64,6.89,6.91,69301
2024-04-09,7.01,7.25,6.89,7.25,13913
2024-04-10,7.24,7.24,7,7.1,5807
2024-04-11,7,7.1,6.4,6.58,64064
2024-04-12,6.39,6.39,6.01,6.01,28566
2024-04-15,6,6.47,6,6.41,173254
2024-04-16,6.29,6.62,6.27,6.27,13525
2024-04-17,6.4,6.4,6.2801,6.39,14922
2024-04-18,6.43,6.43,6.31,6.31,27045
2024-04-19,6.3,6.48,6.28,6.35,16310
2024-04-22,6.4,6.5,6.374,6.41,22733
2024-04-23,6.48,6.49,6.25,6.35,126942
2024-04-24,6.27,6.4,6.25,6.33,167007
2024-04-25,6.25,6.4,6.25,6.4,4083
2024-04-26,6.59,6.75,6.45,6.69,3898
2024-04-29,6.73,6.85,6.51,6.69,15559
2024-04-30,6.75,6.75,6.6102,6.68,30119
2024-05-01,6.68,6.9936,6.68,6.84,4480
2024-05-02,6.86,6.95,6.75,6.76,28248
2024-05-03,6.79,7.12,6.79,6.92,7361
2024-05-06,6.77,6.9288,6.77,6.81,5039
2024-05-07,6.8323,6.95,6.82,6.82,9280
2024-05-08,6.84,6.84,6.59,6.71,96854
2024-05-09,6.66,6.75,6.43,6.75,47328
2024-05-10,6.67,6.84,6.59,6.8,7905
2024-05-13,6.72,6.72,6.5007,6.55,4022
2024-05-14,6.55,6.6,6.2201,6.36,46750
2024-05-15,6.4,6.4,5.89,5.93,71328
2024-05-16,6.1,6.2499,5.93,6.01,21299
2024-05-17,6.08,6.4224,5.5,5.76,54850
2024-05-20,5.67,5.67,5.24,5.25,47398
2024-05-21,5.25,5.82,5.12,5.61,51604
2024-05-22,5.65,5.84,5.5674,5.76,10353
2024-05-23,5.68,5.77,5.24,5.26,18858
2024-05-24,5.19,5.445,5.1206,5.38,10861
2024-05-28,5.54,5.6,5.38,5.38,10496
2024-05-29,5.35,5.39,5.2101,5.3,10672
2024-05-30,5.35,5.44,5.1733,5.36,7005
2024-05-31,5.39,5.6,5.39,5.55,9440
2024-06-03,5.61,5.7,5.55,5.68,7259
2024-06-04,5.7,5.7,5.5001,5.62,5978
2024-06-05,5.705,5.93,5.66,5.84,14508
2024-06-06,5.977,5.98,5.84,5.95,7294
2024-06-07,5.9146,6,5.68,5.82,6055
2024-06-10,5.89,6,5.78,5.83,7770
2024-06-11,5.83,5.91,5.45,5.73,15921
2024-06-12,6.23,6.94,6.0101,6.54,50449
2024-06-13,6.78,7.8,6.61,7.21,70642
2024-06-14,7.05,7.4499,7,7.06,15137
2024-06-17,7.13,7.7399,6.1,6.84,26220
2024-06-18,7.15,7.4244,5.91,5.96,21390
2024-06-20,5.94,6.78,5.935,6.12,22698
