date,open,high,low,close,volume
2024-03-01,0.8417,0.9,0.8117,0.9,9491
2024-03-04,0.939,0.94,0.82,0.89,3110
2024-03-05,0.83005,0.95,0.7879,0.94,5122
2024-03-06,0.8002,0.84964,0.745,0.8437,83178
2024-03-07,0.825,0.825,0.753,0.81,8734
2024-03-08,0.784551,0.89,0.7202,0.89,1516
2024-03-11,0.7301,0.848,0.7,0.848,9601
2024-03-12,0.8,0.8,0.69,0.8,6643
2024-03-13,0.8,0.8,0.78,0.782,7105
2024-03-14,0.78,0.78,0.7139,0.7139,4617
2024-03-15,0.773,0.9475,0.7501,0.8501,93218
2024-03-18,0.85,0.85,0.805,0.85,5488
2024-03-19,0.78,0.955,0.7543,0.8692,62971
2024-03-20,0.91,0.9838,0.7801,0.9003,137480
2024-03-21,1.105,1.105,0.79,0.9199,16911
2024-03-22,0.95,0.9963,0.8216,0.9,19105
2024-03-25,0.949899,0.95,0.8252,0.95,7594
2024-03-26,0.93,0.9625,0.84,0.9,35085
2024-03-27,0.92005,0.99,0.8502,0.95,35159
2024-03-28,0.9199,0.99,0.8551,0.98,7622
2024-04-01,0.94,0.94,0.94,0.94,354
2024-04-02,0.98,0.98,0.95,0.95,1294
2024-04-04,0.9766,1.08,0.8001,1.05,7359
2024-04-05,1.08,1.14,0.7969,1.045,18310
2024-04-08,1.1,1.14,0.8201,1.1,106661
2024-04-09,1.14,1.14,0.8521,1.11,30061
2024-04-10,1.09,1.15,0.8601,1.12,44976
2024-04-11,1.13,1.13,0.8704,1.11,12296
2024-04-12,0.9841,1.04,0.9841,1.03,1011
2024-04-15,0.9201,0.97,0.8901,0.97,4650
2024-04-16,0.9101,0.9122,0.9001,0.9001,1603
2024-04-17,0.89294,0.9598,0.7851,0.867,14529
2024-04-18,0.825949,0.8668,0.825949,0.8668,900
2024-04-19,0.8667,1,0.7851,0.9489,23735
2024-04-22,1.02,1.19,0.915,1.19,12691
2024-04-23,1.0547,1.18,0.952,1.13,50582
2024-04-24,1.33,1.33,1.05,1.13,7920
2024-04-25,1.1257,1.19,1.1255,1.1455,3100
2024-04-26,1.18,1.39,1.18,1.285,1990
2024-04-29,1.2,1.2,0.9801,1.09,9133
2024-04-30,1.06,1.08,0.96,1,59823
2024-05-01,0.9105,0.92,0.837,0.9,13178
2024-05-02,0.87,0.997,0.87,0.89,59554
2024-05-03,0.8897,0.9,0.85,0.8966,8214
2024-05-06,0.89,0.92,0.82,0.894138,85060
2024-05-07,0.89,0.9,0.865,0.8999,104178
2024-05-08,0.8999,0.9349,0.81,0.9349,36826
2024-05-09,0.99,0.99,0.9423,0.9423,2441
2024-05-14,0.8552,0.884379,0.8552,0.8552,1653
2024-05-15,0.849999,0.849999,0.849999,0.849999,301
2024-05-16,0.78,0.84,0.78,0.7968,4828
2024-05-17,0.7101,0.7485,0.705,0.705,1000
2024-05-20,0.78,0.78,0.7363,0.7594,14842
2024-05-21,0.76,0.8925,0.6474,0.75,149313
2024-05-22,0.75,0.8975,0.7162,0.75,78405
2024-05-23,0.75,0.8754,0.72,0.72,11643
2024-05-24,0.7227,0.85,0.72,0.8475,52819
2024-05-28,0.7251,0.73,0.72,0.72,3102
2024-05-29,0.62,0.7007,0.611,0.65575,37369
2024-05-30,0.61,0.699,0.61,0.63,38630
2024-05-31,0.6894,0.875,0.645,0.7425,7014
2024-06-03,0.68,0.7425,0.6401,0.7153,9500
2024-06-04,0.635,0.675321,0.595,0.6233,33264
2024-06-05,0.6297,0.6596,0.59,0.63225,10455
2024-06-06,0.634994,0.6691,0.61,0.6425,7342
2024-06-07,0.6646,0.8,0.6151,0.8,13597
2024-06-10,0.7998,0.8856,0.675,0.84,176659
2024-06-11,0.78703,0.85,0.779523,0.8374,9939
2024-06-12,0.84,1.05,0.6714,0.8288,170968
2024-06-13,0.9786,1.01995,0.8501,0.96,61669
2024-06-14,0.95,0.96,0.91,0.9587,28478
2024-06-17,0.95,0.96,0.8101,0.8101,5843
2024-06-18,0.94,0.96,0.8344,0.875321,15107
2024-06-20,0.8553,0.8553,0.6789,0.73,184235
2024-06-21,0.6975,0.7525,0.695632,0.695632,9125
2024-06-24,0.73972,0.7949,0.5076,0.5888,160395
2024-06-25,0.5888,0.7175,0.555,0.5933,25078
2024-06-26,0.7233,0.7499,0.60011,0.7066,29834
2024-06-27,0.6426,0.668175,0.6239,0.6239,3384
2024-06-28,0.688701,0.7798,0.5,0.608,18281
2024-07-01,0.6273,0.6273,0.6273,0.6273,175
2024-07-02,0.5116,0.5751,0.5116,0.5751,474
2024-07-03,0.6126,0.897399,0.5964,0.62,66584
2024-07-05,0.9875,0.9875,0.5202,0.7949,90756
2024-07-08,0.857399,0.86,0.702912,0.82,30583
2024-07-09,0.85,0.89,0.73,0.815,47255
2024-07-10,0.82,0.87,0.7,0.87,33452
2024-07-11,0.838,0.87,0.75,0.7662,38800
2024-07-15,0.69,0.969,0.69,0.9381,31089
2024-07-16,0.844949,0.9597,0.7903,0.844951,755
2024-07-17,0.99,0.9999,0.8038,0.8038,2448
2024-07-18,1,1,1,1,100
2024-07-19,0.7511,0.7865,0.73,0.7863,699
2024-07-22,0.87,0.9899,0.87,0.9899,1988
2024-07-23,0.9443,0.99,0.8342,0.9009,83529
2024-07-25,0.825001,0.92,0.66,0.66,13415
2024-07-26,0.762,0.792501,0.56,0.7074,347977
2024-07-29,0.72,0.72,0.56,0.6449,32643
2024-07-30,0.6299,0.6299,0.6238,0.6299,1438
2024-07-31,0.6292,0.68999,0.6125,0.6768,14657
2024-08-05,0.56,0.667,0.4675,0.5991,33998
2024-08-06,0.599,0.6679,0.5022,0.5877,21527
2024-08-07,0.597,0.84,0.56865,0.7554,106365
2024-08-08,0.7297,0.76,0.6427,0.7079,77080
2024-08-09,0.7245,0.75,0.6233,0.6233,5337
2024-08-12,0.6463,0.8375,0.627,0.642,5889
2024-08-13,0.7514,0.8325,0.6859,0.725,16820
2024-08-14,0.694249,0.9609,0.6563,0.775,282576
2024-08-15,0.805,0.9118,0.7658,0.9049,71768
2024-08-16,0.9049,0.905,0.812449,0.8419,52923
2024-08-19,0.82,0.9348,0.79655,0.9199,96471
2024-08-20,0.9,0.9399,0.84245,0.910982,27166
2024-08-21,0.982468,0.999799,0.8637,0.9,36376
2024-08-22,0.9096,0.9097,0.822,0.8996,43362
2024-08-23,0.898901,1.02,0.8,0.95,355154
2024-08-26,1.03,1.05,0.89,0.9737,154456
2024-08-27,0.9219,0.9595,0.8616,0.8821,1009
