date,open,high,low,close,volume
2024-03-01,9.02,9.8,9,9.7,141414
2024-03-04,9.73,9.9499,9.5935,9.66,66529
2024-03-05,9.41,9.78,9.2034,9.38,36260
2024-03-06,9.48,9.8799,9.355,9.69,41271
2024-03-07,9.7,9.91,9.66,9.75,26957
2024-03-08,9.7,9.87,9.5214,9.76,29789
2024-03-11,9.82,10,9.58,9.79,138701
2024-03-12,9.76,9.76,8.53,8.71,142743
2024-03-13,8.63,8.91,8.35,8.51,98530
2024-03-14,8.54,8.97,8.42,8.85,54834
2024-03-15,8.92,8.92,8.35,8.42,188585
2024-03-18,8.54,8.86,8.427,8.66,70341
2024-03-19,8.67,9.13,8.65,9.09,38848
2024-03-20,9,9.33,8.83,9.31,50418
2024-03-21,9.35,9.66,9.35,9.5,50024
2024-03-22,9.43,9.49,9.13,9.21,23017
2024-03-25,9.24,9.53,9.04,9.2,56840
2024-03-26,9.18,9.275,8.9,8.9,27839
2024-03-27,8.95,9.128,8.87,9.03,35121
2024-03-28,9.01,9.17,8.8,8.81,37305
2024-04-01,8.97,10.25,8.9401,9.96,220835
2024-04-02,10.14,10.14,9.36,9.55,72229
2024-04-03,9.67,9.78,9.43,9.63,45114
2024-04-04,9.77,9.77,9.06,9.25,36187
2024-04-05,9.3,9.5,9.1,9.28,31058
2024-04-08,9.26,9.84,9.16,9.58,57845
2024-04-09,9.46,9.48,8.64,9.05,96736
2024-04-10,9.05,9.06,8.665,8.84,48210
2024-04-11,8.8,9.025,8.75,8.9,22832
2024-04-12,8.93,8.96,8.65,8.96,32292
2024-04-15,8.97,8.97,8.55,8.6,40038
2024-04-16,8.53,9.26,8.47,8.91,46710
2024-04-17,8.91,9.11,8.705,8.78,48154
2024-04-18,8.86,8.885,8.6455,8.81,24478
2024-04-19,8.73,8.84,8.5501,8.67,30041
2024-04-22,8.68,9.04,8.6,8.69,80798
2024-04-23,8.78,8.82,8.41,8.41,50506
2024-04-24,8.51,8.8399,8.47,8.73,46509
2024-04-25,10.5,10.75,9.89,10.71,511764
2024-04-26,10.75,11.56,10.591,11.39,253864
2024-04-29,11.4,11.63,10.92,11.54,275462
2024-04-30,11.37,12.215,11.37,11.7,211320
2024-05-01,11.68,12,11.22,11.97,119737
2024-05-02,12,12.615,11.465,12.56,216255
2024-05-03,12.4,12.68,12.25,12.55,92617
2024-05-06,12.77,13.3899,12.56,13.25,228160
2024-05-07,13.25,13.36,12.62,12.65,107427
2024-05-08,12.63,13.24,12.21,13.06,126117
2024-05-09,13.14,13.39,12.56,12.66,107036
2024-05-10,12.69,12.75,12.2,12.33,82768
2024-05-13,12.33,12.6299,12.275,12.33,109292
2024-05-14,12.27,12.27,10.62,11.45,203371
2024-05-15,11.47,11.91,11.2986,11.87,95759
2024-05-16,11.8,11.95,11.48,11.65,63365
2024-05-17,11.69,11.93,11.14,11.25,80033
2024-05-20,11.21,11.6599,11,11.19,137011
2024-05-21,11.13,11.75,11.13,11.73,73102
2024-05-22,11.75,11.94,11.41,11.58,56403
2024-05-23,11.72,11.77,11.2,11.36,53178
2024-05-24,11.23,11.38,11.09,11.3,62591
2024-05-28,11.32,12.1391,11.32,12.06,136436
2024-05-29,12.06,12.15,11.7701,11.86,63939
2024-05-30,11.86,11.89,11.34,11.46,80416
2024-05-31,11.49,11.67,11.12,11.64,57220
2024-06-03,11.77,12.01,11.1401,11.33,71342
2024-06-04,11.29,11.34,10.96,11.17,63350
2024-06-05,11.28,11.45,11.1,11.15,58260
2024-06-06,11.11,11.6099,10.87,10.93,73012
2024-06-07,10.9,11.12,10.83,10.9,57598
2024-06-10,10.71,11.01,10.55,10.92,76009
2024-06-11,10.92,10.93,10.545,10.55,62973
2024-06-12,10.54,11.04,10.54,10.71,53700
2024-06-13,10.61,10.75,10.13,10.48,66529
2024-06-14,10.43,10.43,9.96,10.14,58880
2024-06-17,10.08,10.23,9.8,10.19,79273
2024-06-18,10.12,10.52,10.1,10.1,66338
2024-06-20,10.15,10.57,9.96,9.96,82966
2024-06-21,9.91,10.19,9.72,10,62453
2024-06-24,10.2,10.34,9.8,9.8,144593
2024-06-25,9.9,9.9,9.36,9.48,124504
2024-06-26,9.55,10.37,9.55,10.33,138472
