date,open,high,low,close,volume
2024-03-01,5.95,6.42,5.83,6.41,4744728.0
2024-03-04,6.45,6.58,6.33,6.55,2311019.0
2024-03-05,6.47,6.6,6.3325,6.39,1875172.0
2024-03-06,6.46,6.66,6.455,6.56,1420524.0
2024-03-07,6.6,6.65,6.52,6.55,2096566.0
2024-03-08,6.64,6.71,6.52,6.56,1453585.0
2024-03-11,6.53,6.65,6.465,6.5,1397521.0
2024-03-12,6.47,6.52,5.86,6.23,2395933.0
2024-03-13,6.21,6.38,6.21,6.25,1232676.0
2024-03-14,6.2,6.265,6.13,6.24,1353651.0
2024-03-15,6.19,6.32,6.175,6.22,3232007.0
2024-03-18,6.21,6.26,6.1,6.13,776029
2024-03-19,6.1,6.24,6.08,6.17,822117
2024-03-20,6.11,6.31,6.068,6.27,990872
2024-03-21,6.35,6.3891,6.22,6.35,1467068.0
2024-03-22,6.37,6.38,6.02,6.02,1837716.0
2024-03-25,6.05,6.105,6.025,6.04,1054537.0
2024-03-26,6.11,6.11,5.93,5.94,1506843.0
2024-03-27,5.9,6,5.81,5.87,2049438.0
2024-03-28,5.87,5.97,5.84,5.9,1709375.0
2024-04-01,5.94,6.02,5.825,5.92,1125745.0
2024-04-02,5.81,5.88,5.72,5.84,1755023.0
2024-04-03,5.82,5.84,5.7,5.81,1123977.0
2024-04-04,5.86,5.9,5.69,5.7,1244037.0
2024-04-05,5.7,5.72,5.59,5.62,1367904.0
2024-04-08,5.65,5.8,5.63,5.74,1115956.0
2024-04-09,5.75,5.93,5.72,5.91,887029
2024-04-10,5.71,5.84,5.6,5.71,2331652.0
2024-04-11,5.75,5.82,5.655,5.7,1149584.0
2024-04-12,5.68,5.73,5.58,5.61,1113121.0
2024-04-15,5.64,5.83,5.47,5.47,971000
2024-04-16,5.41,5.445,5.32,5.37,1120028.0
2024-04-17,5.44,5.485,5.29,5.3,774116
2024-04-18,5.32,5.38,5.28,5.31,929108
2024-04-19,5.25,5.4,5.24,5.31,1201241.0
2024-04-22,5.32,5.38,5.2411,5.31,814946
2024-04-23,5.35,6.01,5.32,5.74,5307484.0
2024-04-24,5.66,6.01,5.66,5.71,8674736.0
2024-04-25,5.56,5.65,5.44,5.595,3046857.0
2024-04-26,5.61,5.825,5.555,5.78,3081642.0
2024-04-29,5.79,5.845,5.68,5.7,1635539.0
2024-04-30,5.62,5.77,5.52,5.75,2683345.0
2024-05-01,5.79,5.97,5.6125,5.81,1874033.0
2024-05-02,5.8,6.06,5.8,6.03,1937519.0
2024-05-03,5.78,5.79,4.17,4.44,21065721.0
2024-05-06,4.44,4.445,3.78,3.8,12817199.0
2024-05-07,3.82,3.9,3.75,3.88,7764158.0
2024-05-08,3.8,3.95,3.65,3.87,5675172.0
2024-05-09,3.89,4.01,3.77,3.8,4780635.0
2024-05-10,3.8,3.95,3.8,3.87,2690454.0
2024-05-13,3.9,3.915,3.74,3.83,2602832.0
2024-05-14,3.88,3.962,3.84,3.85,2101499.0
2024-05-15,3.94,4.0151,3.775,3.79,2369301.0
2024-05-16,3.79,3.83,3.62,3.63,2940981.0
2024-05-17,3.65,3.73,3.6,3.65,2948040.0
2024-05-20,3.67,3.725,3.605,3.62,1735861.0
2024-05-21,3.6,3.65,3.505,3.53,2195910.0
2024-05-22,3.5,3.51,3.43,3.46,2376903.0
2024-05-23,3.46,3.485,3.25,3.26,3731607.0
2024-05-24,3.27,3.33,3.2,3.24,2140280.0
2024-05-28,3.27,3.3,3.095,3.11,3083427.0
2024-05-29,3.08,3.11,3,3.1,2672544.0
2024-05-30,3.11,3.23,3.08,3.19,2666400.0
2024-05-31,3.2,3.22,3.105,3.16,2888426.0
2024-06-03,3.18,3.25,3.11,3.14,1944709.0
2024-06-04,3.14,3.16,3.02,3.02,2052278.0
2024-06-05,3.03,3.14,2.99,3.13,2054974.0
2024-06-06,3.15,3.28,3.13,3.265,1827883.0
2024-06-07,3.21,3.27,3.15,3.26,1713315.0
2024-06-10,3.25,3.465,3.23,3.26,2663012.0
