date,open,high,low,close,volume
2024-03-01,27.24,27.6,26.32,26.75,80807
2024-03-04,26.835,27.3,26.46,27.11,10071
2024-03-05,27.11,27.56,27,27.4,11670
2024-03-06,27.5686,27.5686,27.0336,27.34,6784
2024-03-07,27.0601,28.01,27.0601,27.63,12057
2024-03-08,27.78,27.79,27.5525,27.75,6887
2024-03-11,27.8916,28.15,27.24,27.66,9648
2024-03-12,27.6975,27.76,27.3,27.3,5953
2024-03-13,27.7,27.815,27.595,27.69,8721
2024-03-14,27.91,27.91,26.12,26.8,24048
2024-03-15,26.41,28.02,26.41,28.02,38948
2024-03-18,27.93,28.11,27.32,27.32,13387
2024-03-19,27.35,27.82,26.95,27.03,6623
2024-03-20,27,28.18,26.78,27.8,19679
2024-03-21,27.75,29.87,26.85,29.7,82232
2024-03-22,29.7,29.7,28.68,28.68,21779
2024-03-25,28.94,28.94,27.48,27.48,23789
2024-03-26,27.48,27.54,27.03,27.38,13825
2024-03-27,27.89,28.265,27.25,27.85,83547
2024-03-28,27.8,27.845,27.36,27.6,15933
2024-04-01,27.44,28.1,26.785,27.7,44433
2024-04-02,27.35,28.2899,26.81,27.01,7748
2024-04-03,26.89,26.9,26.35,26.7,9431
2024-04-04,26.87,26.88,26.87,26.88,5403
2024-04-05,26.66,26.885,26.6,26.68,4711
2024-04-08,27,27,26.28,26.35,6147
2024-04-09,26.35,26.35,26.35,26.35,4008
2024-04-10,26.11,26.6,25.67,26.34,21112
2024-04-11,26,26.255,25.7293,26,7975
2024-04-12,26.5,26.6999,26.02,26.28,35383
2024-04-15,26.34,26.6975,26.325,26.43,15860
2024-04-16,26.26,26.45,26.26,26.4,5461
2024-04-17,26.38,26.47,26.28,26.28,25457
2024-04-18,26.47,26.475,26.395,26.395,9044
2024-04-19,26.29,26.91,26.29,26.91,7968
2024-04-22,26.59,27.58,26.59,27.51,13380
2024-04-23,27.33,27.84,27.33,27.63,7197
2024-04-24,27.32,27.74,27.25,27.74,9138
2024-04-25,26.96,27.25,26.8,27.25,11150
2024-04-26,27.25,27.62,27.25,27.62,4532
2024-04-29,26.88,27.01,26.88,27.01,2748
2024-04-30,26.8,26.92,26.55,26.92,13622
2024-05-01,27.03,27.53,27,27.27,27979
2024-05-02,27.22,27.54,27.22,27.44,9457
2024-05-03,27.43,27.7,27.1421,27.7,3354
2024-05-06,27.99,28,27.36,27.36,6368
2024-05-07,27.3,27.8999,26.7901,27.1,8382
2024-05-08,27.01,27.55,27.01,27.55,6392
2024-05-09,27.74,27.96,27.5101,27.85,8282
2024-05-10,27.94,27.94,27.62,27.65,5054
2024-05-13,27.7,27.82,27.1,27.1,4967
2024-05-14,27.39,27.46,26.88,26.88,5329
2024-05-15,27.01,27.6,26.746,27.6,21067
2024-05-16,27.4568,27.84,27.455,27.7,9704
2024-05-17,28.05,28.085,27.82,27.94,7053
2024-05-20,28.99,28.99,26.91,26.91,19702
2024-05-21,27.3275,27.63,26.91,27.5,23847
2024-05-22,27.41,27.78,27.41,27.62,9854
2024-05-23,27.775,27.8099,27.27,27.46,13006
2024-05-24,27.83,27.88,27.47,27.88,9170
2024-05-28,27.69,27.98,27.42,27.42,12117
2024-05-29,27.31,27.795,27.31,27.57,12097
2024-05-30,27.54,27.9199,27.43,27.43,9427
2024-05-31,27.7799,28,27.7,27.98,9018
2024-06-03,28.35,28.35,27,27.07,11345
2024-06-04,27,27,26.51,26.79,9967
2024-06-05,26.58,26.7,26.5,26.7,8820
2024-06-06,26.53,27.02,26.36,26.56,9181
2024-06-07,26.46,26.49,26.29,26.29,12630
2024-06-10,26.3,26.31,26.06,26.22,17726
2024-06-11,26.06,26.36,26.06,26.36,10115
2024-06-12,26.94,27.26,26.07,26.7,14492
2024-06-13,26.32,26.33,26.32,26.33,3402
2024-06-14,26.06,26.06,25.66,25.76,15823
2024-06-17,26.055,26.33,25.9,26.28,6528
2024-06-18,26.85,27.705,26.22,26.56,18663
2024-06-20,26.46,27.33,25.92,25.93,29231
2024-06-21,26.05,26.1375,25.6,25.91,43402
2024-06-24,25.75,26.51,25.75,26.49,28008
2024-06-25,26.1511,27.05,26.1511,26.65,7720
2024-06-26,26.505,27.49,26.39,26.92,15516
2024-06-27,27.3243,27.87,27.3243,27.87,9297
2024-06-28,28.02,29.73,27.9871,29.57,63759
2024-07-01,29.55,29.55,28.85,28.85,11414
2024-07-02,29.02,29.05,28.45,28.58,6768
2024-07-03,28.4,28.4,27.97,27.97,3434
2024-07-05,27.8,27.8,27.07,27.1,25185
2024-07-08,27.21,27.57,26.27,27.32,16063
2024-07-09,27.4,27.51,27.14,27.4,17823
2024-07-10,27.57,28.15,27.4991,28.15,11844
2024-07-11,28.82,29.64,28.15,29.15,20386
2024-07-12,29.76,31.44,29.08,30.17,45781
2024-07-15,31.12,31.61,30.78,31.29,39027
