date,open,high,low,close,volume
2024-03-01,13.12,13.73,13,13.5,1981367.0
2024-03-04,13.48,13.63,13.08,13.09,1777762.0
2024-03-05,12.93,13.07,12.74,12.79,1758888.0
2024-03-06,13.02,13.145,12.87,12.88,1418348.0
2024-03-07,12.96,13.3,12.89,12.9,2053981.0
2024-03-08,12.97,13.265,12.845,12.93,1430331.0
2024-03-11,12.89,13.08,12.75,12.8,1431698.0
2024-03-12,12.79,12.92,12.61,12.62,1433152.0
2024-03-13,12.58,12.8305,12.51,12.59,1424474.0
2024-03-14,12.58,12.645,12.105,12.25,2085049.0
2024-03-15,12.18,12.36,11.92,11.96,2474104.0
2024-03-18,12.14,12.31,12,12.06,2955271.0
2024-03-19,11.97,12.115,11.63,12.01,3067190.0
2024-03-20,11.95,12.595,11.95,12.48,2367794.0
2024-03-21,12.49,12.69,12.43,12.57,2296926.0
2024-03-22,12.64,12.64,12.28,12.3,1644489.0
2024-03-25,12.3,12.515,12.28,12.4,1500160.0
2024-03-26,12.54,12.61,12.125,12.15,1813980.0
2024-03-27,12.28,12.4,12.145,12.28,2102086.0
2024-03-28,12.27,12.43,12.16,12.26,2753544.0
2024-04-01,12.25,12.46,12.155,12.21,1567428.0
2024-04-02,11.91,12.26,11.77,12.13,2446949.0
2024-04-03,11.9,12.24,11.9,12.18,2142630.0
2024-04-04,12.39,12.45,11.92,11.93,1659214.0
2024-04-05,11.95,12.055,11.81,11.91,2128250.0
2024-04-08,11.98,12.06,11.81,11.88,1472574.0
2024-04-09,12,12.16,11.87,12.1,1200259.0
2024-04-10,11.68,11.93,11.6,11.87,1962398.0
2024-04-11,11.97,12.01,11.67,11.94,1750207.0
2024-04-12,11.8,11.94,11.61,11.63,1445919.0
2024-04-15,11.56,11.8,11.135,11.2,2208753.0
2024-04-16,11.02,11.31,10.98,11.12,2009076.0
2024-04-17,11.17,11.375,11.14,11.25,1446501.0
2024-04-18,11.17,11.355,11.05,11.23,1582904.0
2024-04-19,11.19,11.44,11.085,11.13,1342778.0
2024-04-22,11.17,11.34,11.13,11.23,1612372.0
2024-04-23,11.18,11.595,11.18,11.37,1918797.0
2024-04-24,11.41,11.51,11.24,11.36,1042744.0
2024-04-25,11.1,11.19,11.055,11.18,1169489.0
2024-04-26,11.37,11.59,11.23,11.56,1078312.0
2024-04-29,11.56,11.7795,11.56,11.73,1622529.0
2024-04-30,11.75,11.885,11.6578,11.7,2667943.0
2024-05-01,11.83,12.34,11.82,11.96,4105888.0
2024-05-02,12.97,13.05,12.11,12.99,6134159.0
2024-05-03,13.22,13.3,12.76,12.89,2461885.0
2024-05-06,13,13.01,12.515,12.63,2503089.0
2024-05-07,12.61,12.61,12.33,12.35,1707748.0
2024-05-08,12.1501,12.18,11.59,11.92,2615316.0
2024-05-09,11.92,12.18,11.92,12.1,2013939.0
2024-05-10,12.1,12.15,11.825,11.92,1486537.0
2024-05-13,12.06,12.4,12.02,12.07,1721875.0
2024-05-14,12.1,12.5,12.1,12.33,1842435.0
2024-05-15,12.51,12.54,12.2,12.27,2000259.0
2024-05-16,12.2,12.4,11.975,11.99,1555101.0
2024-05-17,11.98,11.99,11.83,11.91,1067803.0
2024-05-20,11.85,11.96,11.53,11.57,1760097.0
2024-05-21,11.52,11.67,11.4556,11.6,1679999.0
2024-05-22,11.52,11.65,11.36,11.41,1372937.0
2024-05-23,11.42,11.43,11.03,11.1,1564224.0
2024-05-24,11.22,11.26,10.97,11.14,1469829.0
2024-05-28,11.18,11.18,10.72,10.8,1451903.0
2024-05-29,10.8,11.46,10.63,10.78,2886865.0
2024-05-30,10.87,11.02,10.77,10.78,1456777.0
2024-05-31,10.86,10.995,10.53,10.57,2762998.0
2024-06-03,10.73,10.77,10.3902,10.56,1914730.0
2024-06-04,10.55,10.63,10.16,10.25,1880694.0
2024-06-05,10.31,10.765,10.22,10.74,2438968.0
2024-06-06,10.74,10.91,10.605,10.74,1771801.0
2024-06-07,10.52,10.74,10.52,10.72,1323910.0
2024-06-10,10.62,10.76,10.58,10.64,1598569.0
2024-06-11,10.64,10.66,10.49,10.56,1029276.0
2024-06-12,10.87,10.95,10.65,10.73,1336880.0
2024-06-13,10.72,10.74,10.38,10.43,1208527.0
2024-06-14,10.37,10.4,10.27,10.39,1428256.0
2024-06-17,10.35,10.375,10.125,10.3,2256536.0
2024-06-18,10.33,10.4,10.19,10.2,1491123.0
2024-06-20,10.15,10.38,10.1,10.12,1339866.0
2024-06-21,10.14,10.51,10.11,10.48,3257180.0
2024-06-24,10.58,10.58,10.3,10.43,2248418.0
2024-06-25,10.41,10.57,10.29,10.56,1410623.0
2024-06-26,10.53,10.71,10.52,10.66,1605449.0
2024-06-27,10.71,10.75,10.48,10.59,1370052.0
2024-06-28,10.69,10.78,10.55,10.75,2814621.0
2024-07-01,10.75,10.83,10.5,10.68,1749938.0
2024-07-02,10.62,10.75,10.46,10.74,1474944.0
2024-07-03,10.73,11.095,10.725,11.03,1210632.0
2024-07-05,10.94,11.12,10.9,10.905,1391489.0
2024-07-08,11,11.295,10.954,11.19,1342960.0
2024-07-09,11.18,11.4,10.98,11.38,1595343.0
2024-07-10,11.42,11.435,10.665,10.78,2323120.0
2024-07-11,11.03,11.24,10.89,11.18,2657624.0
2024-07-12,11.32,11.53,11.13,11.39,1823182.0
2024-07-15,11.44,11.59,11.35,11.49,1524362.0
2024-07-16,11.63,12.019,11.61,11.97,2154310.0
2024-07-17,11.9,12.15,11.71,11.72,1823298.0
2024-07-18,11.65,11.86,11.24,11.36,1705497.0
2024-07-19,11.36,11.62,11.315,11.44,1380943.0
2024-07-22,11.46,11.57,11.325,11.54,1453316.0
2024-07-23,11.55,11.92,11.49,11.65,1682015.0
2024-07-24,11.46,11.65,11.24,11.43,1460666.0
2024-07-25,11.42,11.545,11.28,11.42,1782529.0
2024-07-26,11.66,11.8,11.3,11.35,1369347.0
2024-07-29,11.36,11.555,11.31,11.5,1278920.0
2024-07-30,11.54,11.69,11.4,11.55,2713130.0
2024-07-31,11.6,12.255,11.525,12.12,2566720.0
2024-08-01,12.15,12.3,11.07,11.11,3296447.0
2024-08-02,10.72,10.87,10.46,10.7,1690453.0
2024-08-05,10.11,11.115,9.98,11.05,4810053.0
2024-08-06,11.15,11.21,10.78,10.79,2491660.0
2024-08-07,10.9,11.31,10.45,10.46,2940299.0
2024-08-08,9.72,9.805,8.425,9.37,10116542.0
2024-08-09,9.44,9.776,9.26,9.33,4291907.0
2024-08-12,9.23,9.23,8.67,9.01,6996174.0
2024-08-13,9.12,9.475,9.06,9.35,3465067.0
2024-08-14,9.45,9.73,9.24,9.45,3899383.0
2024-08-15,9.61,10.11,9.56,9.99,3202689.0
2024-08-16,9.87,10.05,9.77,9.78,2469181.0
2024-08-19,9.79,10.01,9.545,9.68,4362975.0
2024-08-20,9.71,9.73,9.31,9.39,2961403.0
2024-08-21,9.33,9.72,9.25,9.7,5229421.0
2024-08-22,9.71,9.79,9.42,9.54,1663035.0
2024-08-23,9.62,10.07,9.55,10.02,1909522.0
2024-08-26,10.05,10.12,9.74,9.77,1585822.0
2024-08-27,9.75,9.905,9.645,9.77,1340567.0
2024-08-28,9.67,9.72,9.29,9.33,2323628.0
2024-08-29,9.49,9.765,9.455,9.61,1779638.0
2024-08-30,9.67,9.7581,9.535,9.64,1557201.0
2024-09-03,9.59,9.6097,9.275,9.3,2450358.0
2024-09-04,9.206,9.68,9.14,9.59,2115448.0
2024-09-05,9.68,9.83,9.595,9.82,1309440.0
2024-09-06,9.84,9.89,9.44,9.51,1662575.0
2024-09-09,9.57,9.69,9.365,9.39,1371630.0
2024-09-10,9.39,9.42,9.095,9.14,1743784.0
2024-09-11,9.13,9.295,8.9045,9.2,2523977.0
2024-09-12,9.2,9.42,9.04,9.31,1473274.0
2024-09-13,9.8,10.26,9.752,10.24,2181499.0
2024-09-16,10.24,10.24,9.78,10.12,2146267.0
2024-09-17,10.26,10.51,10.19,10.45,1635404.0
2024-09-18,10.43,10.8775,10.38,10.44,2046591.0
2024-09-19,10.69,10.79,10.4,10.77,1591712.0
2024-09-20,10.77,10.91,10.675,10.71,1727775.0
2024-09-23,10.7,10.78,10.38,10.56,1650961.0
2024-09-24,10.7,10.81,10.45,10.65,1293290.0
2024-09-25,10.44,10.61,10.345,10.42,1390726.0
2024-09-26,10.7,10.72,10.275,10.31,1162355.0
2024-09-27,10.46,10.585,10.36,10.55,1236850.0
2024-09-30,10.47,10.7594,10.405,10.45,989915
2024-10-01,10.47,10.485,10.155,10.3,1015376.0
